Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
1.48E+00,2.9600000E+02,3.9168920E+01,NaN,2.6161000E-07,NaN,2.6161000E-06,NaN,NaN
3.41E+01,2.9630000E+02,3.9129260E+01,3.7884060E-01,2.6492000E-07,NaN,2.6492000E-06,NaN,NaN
4.03E+01,2.9657000E+02,3.9093640E+01,6.4809360E-01,2.6845000E-07,NaN,2.6845000E-06,NaN,NaN
4.63E+01,2.9694000E+02,3.9044920E+01,1.2632570E+00,2.7368000E-07,NaN,2.7368000E-06,NaN,NaN
4.93E+01,2.9716000E+02,3.9016020E+01,1.6283310E+00,2.7703000E-07,NaN,2.7703000E-06,NaN,NaN
5.25E+01,2.9741000E+02,3.8983220E+01,2.0420770E+00,2.8111000E-07,NaN,2.8111000E-06,NaN,NaN
5.55E+01,2.9768000E+02,3.8947860E+01,2.4768510E+00,2.8550000E-07,NaN,2.8550000E-06,NaN,NaN
5.85E+01,2.9796000E+02,3.8911260E+01,2.9392860E+00,2.9043000E-07,NaN,2.9043000E-06,NaN,NaN
6.15E+01,2.9828000E+02,3.8869520E+01,3.3898710E+00,2.9580000E-07,NaN,2.9580000E-06,NaN,NaN
6.45E+01,2.9859000E+02,3.8829160E+01,3.8578970E+00,3.0158000E-07,NaN,3.0158000E-06,NaN,NaN
6.77E+01,2.9890000E+02,3.8788890E+01,4.3180110E+00,3.0797000E-07,NaN,3.0797000E-06,NaN,NaN
7.08E+01,2.9922000E+02,3.8747410E+01,4.7357550E+00,3.1482000E-07,NaN,3.1482000E-06,NaN,NaN
7.38E+01,2.9953000E+02,3.8707310E+01,5.1118230E+00,3.2142000E-07,NaN,3.2142000E-06,NaN,NaN
7.68E+01,2.9994000E+02,3.8654400E+01,5.4195160E+00,3.2823000E-07,NaN,3.2823000E-06,NaN,NaN
8.00E+01,3.0015000E+02,3.8627350E+01,5.7418720E+00,3.3543000E-07,NaN,3.3543000E-06,NaN,NaN
8.30E+01,3.0056000E+02,3.8574660E+01,5.8992040E+00,3.4240000E-07,NaN,3.4240000E-06,NaN,NaN
8.61E+01,3.0085000E+02,3.8537480E+01,6.0935590E+00,3.4968000E-07,NaN,3.4968000E-06,NaN,NaN
8.92E+01,3.0112000E+02,3.8502920E+01,6.2047450E+00,3.5678000E-07,NaN,3.5678000E-06,NaN,NaN
9.23E+01,3.0140000E+02,3.8467150E+01,6.2255200E+00,3.6414000E-07,NaN,3.6414000E-06,NaN,NaN
9.54E+01,3.0166000E+02,3.8434000E+01,6.1881450E+00,3.7115000E-07,NaN,3.7115000E-06,4.62E-01,1.80E+01
9.83E+01,3.0192000E+02,3.8400900E+01,6.0936000E+00,3.7783000E-07,NaN,3.7783000E-06,4.66E-01,1.81E+01
1.01E+02,3.0218000E+02,3.8367860E+01,5.9921970E+00,3.8477000E-07,NaN,3.8477000E-06,4.70E-01,1.83E+01
1.04E+02,3.0243000E+02,3.8336140E+01,5.8641300E+00,3.9156000E-07,NaN,3.9156000E-06,4.73E-01,1.84E+01
1.07E+02,3.0269000E+02,3.8303210E+01,5.7094500E+00,3.9816000E-07,NaN,3.9816000E-06,4.77E-01,1.85E+01
1.10E+02,3.0294000E+02,3.8271600E+01,5.5542640E+00,4.0473000E-07,NaN,4.0473000E-06,4.80E-01,1.86E+01
1.13E+02,3.0318000E+02,3.8241310E+01,5.3926750E+00,4.1149000E-07,NaN,4.1149000E-06,4.82E-01,1.87E+01
1.16E+02,3.0342000E+02,3.8211060E+01,5.3177270E+00,4.1819000E-07,NaN,4.1819000E-06,4.84E-01,1.88E+01
1.19E+02,3.0366000E+02,3.8180860E+01,5.1559320E+00,4.2521000E-07,NaN,4.2521000E-06,4.86E-01,1.88E+01
1.22E+02,3.0390000E+02,3.8150710E+01,5.0954800E+00,4.3225000E-07,NaN,4.3225000E-06,4.88E-01,1.89E+01
1.25E+02,3.0407000E+02,3.8129380E+01,5.0431750E+00,4.3965000E-07,NaN,4.3965000E-06,4.90E-01,1.90E+01
1.28E+02,3.0431000E+02,3.8099310E+01,4.9292320E+00,4.4648000E-07,NaN,4.4648000E-06,4.93E-01,1.91E+01
1.31E+02,3.0457000E+02,3.8066780E+01,4.8440120E+00,4.5370000E-07,NaN,4.5370000E-06,4.95E-01,1.91E+01
1.34E+02,3.0484000E+02,3.8033070E+01,4.7877490E+00,4.6115000E-07,NaN,4.6115000E-06,4.97E-01,1.92E+01
1.37E+02,3.0509000E+02,3.8001900E+01,4.7740560E+00,4.6942000E-07,NaN,4.6942000E-06,4.98E-01,1.93E+01
1.40E+02,3.0535000E+02,3.7969540E+01,4.7636710E+00,4.7739000E-07,NaN,4.7739000E-06,4.99E-01,1.93E+01
1.43E+02,3.0562000E+02,3.7936000E+01,4.7715640E+00,4.8594000E-07,NaN,4.8594000E-06,5.01E-01,1.94E+01
1.46E+02,3.0587000E+02,3.7904990E+01,4.8102580E+00,4.9389000E-07,NaN,4.9389000E-06,5.02E-01,1.94E+01
1.49E+02,3.0613000E+02,3.7872800E+01,4.8718830E+00,5.0238000E-07,NaN,5.0238000E-06,5.03E-01,1.94E+01
1.52E+02,3.0640000E+02,3.7839430E+01,4.9423770E+00,5.1105000E-07,NaN,5.1105000E-06,5.04E-01,1.95E+01
1.55E+02,3.0667000E+02,3.7806110E+01,5.0257700E+00,5.1985000E-07,NaN,5.1985000E-06,5.05E-01,1.95E+01
1.58E+02,3.0695000E+02,3.7771620E+01,5.1155980E+00,5.2876000E-07,NaN,5.2876000E-06,5.06E-01,1.95E+01
1.61E+02,3.0722000E+02,3.7738430E+01,5.2206100E+00,5.3797000E-07,NaN,5.3797000E-06,5.07E-01,1.95E+01
1.68E+02,3.0791000E+02,3.7653860E+01,5.2493260E+00,5.5798000E-07,NaN,5.5798000E-06,5.08E-01,1.96E+01
1.73E+02,3.0816000E+02,3.7623310E+01,5.3687970E+00,5.7257000E-07,NaN,5.7257000E-06,5.08E-01,1.96E+01
1.76E+02,3.0842000E+02,3.7591600E+01,5.3323790E+00,5.8258000E-07,NaN,5.8258000E-06,5.09E-01,1.96E+01
1.79E+02,3.0868000E+02,3.7559930E+01,5.3059500E+00,5.9230000E-07,NaN,5.9230000E-06,5.10E-01,1.96E+01
1.82E+02,3.0895000E+02,3.7527110E+01,5.2719190E+00,6.0191000E-07,NaN,6.0191000E-06,5.10E-01,1.96E+01
1.85E+02,3.0921000E+02,3.7495550E+01,5.2493160E+00,6.1205000E-07,NaN,6.1205000E-06,5.11E-01,1.96E+01
1.88E+02,3.0946000E+02,3.7465260E+01,5.2236200E+00,6.2214000E-07,NaN,6.2214000E-06,5.12E-01,1.97E+01
1.90E+02,3.0972000E+02,3.7433810E+01,5.1940660E+00,6.3169000E-07,NaN,6.3169000E-06,5.12E-01,1.97E+01
1.94E+02,3.0998000E+02,3.7402410E+01,5.1659720E+00,6.4258000E-07,NaN,6.4258000E-06,5.13E-01,1.97E+01
1.97E+02,3.1023000E+02,3.7372270E+01,5.1342750E+00,6.5332000E-07,NaN,6.5332000E-06,5.15E-01,1.97E+01
2.00E+02,3.1049000E+02,3.7340980E+01,5.0970040E+00,6.6426000E-07,NaN,6.6426000E-06,5.16E-01,1.98E+01
2.03E+02,3.1075000E+02,3.7309730E+01,5.0713260E+00,6.7546000E-07,NaN,6.7546000E-06,5.17E-01,1.98E+01
2.06E+02,3.1102000E+02,3.7277350E+01,5.0443270E+00,6.8688000E-07,NaN,6.8688000E-06,5.18E-01,1.98E+01
2.09E+02,3.1128000E+02,3.7246210E+01,5.1558640E+00,6.9834000E-07,NaN,6.9834000E-06,5.19E-01,1.99E+01
2.12E+02,3.1153000E+02,3.7216320E+01,5.1452640E+00,7.0979000E-07,NaN,7.0979000E-06,5.21E-01,1.99E+01
2.15E+02,3.1179000E+02,3.7185280E+01,5.1226300E+00,7.2150000E-07,NaN,7.2150000E-06,5.22E-01,1.99E+01
