Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
7.55E+00,4.592800E+02,2.524386E+01,NaN,2.247700E-04,NaN,2.247700E-03,NaN,NaN
1.30E+01,4.577500E+02,2.532824E+01,NaN,2.196100E-04,NaN,2.196100E-03,NaN,NaN
1.98E+01,4.543900E+02,2.551553E+01,NaN,2.088900E-04,NaN,2.088900E-03,NaN,NaN
2.82E+01,4.505800E+02,2.573128E+01,NaN,1.894220E-04,NaN,1.894220E-03,NaN,NaN
3.21E+01,4.476000E+02,2.590259E+01,NaN,1.756880E-04,NaN,1.756880E-03,NaN,NaN
3.85E+01,4.402300E+02,2.633623E+01,NaN,1.518490E-04,NaN,1.518490E-03,NaN,NaN
4.78E+01,4.352700E+02,2.663634E+01,NaN,1.211550E-04,NaN,1.211550E-03,NaN,NaN
5.34E+01,4.277000E+02,2.710779E+01,NaN,1.056300E-04,NaN,1.056300E-03,NaN,NaN
6.35E+01,4.212500E+02,2.752285E+01,NaN,8.251100E-05,NaN,8.251100E-04,NaN,NaN
7.24E+01,4.176800E+02,2.775809E+01,NaN,6.679300E-05,NaN,6.679300E-04,NaN,NaN
7.81E+01,4.105000E+02,2.824361E+01,NaN,5.840900E-05,NaN,5.840900E-04,NaN,NaN
8.86E+01,4.067600E+02,2.850329E+01,NaN,4.589900E-05,NaN,4.589900E-04,NaN,NaN
9.40E+01,4.001500E+02,2.897413E+01,NaN,4.062000E-05,NaN,4.062000E-04,NaN,NaN
1.06E+02,3.967800E+02,2.922022E+01,NaN,3.133500E-05,NaN,3.133500E-04,NaN,NaN
1.12E+02,3.908900E+02,2.966052E+01,NaN,2.763000E-05,NaN,2.763000E-04,NaN,NaN
1.24E+02,3.877300E+02,2.990225E+01,NaN,2.145100E-05,NaN,2.145100E-04,NaN,NaN
1.30E+02,3.828600E+02,3.028261E+01,NaN,1.892530E-05,NaN,1.892530E-04,NaN,NaN
1.39E+02,3.800600E+02,3.050571E+01,NaN,1.561630E-05,NaN,1.561630E-04,NaN,NaN
1.45E+02,3.746600E+02,3.094539E+01,NaN,1.381770E-05,NaN,1.381770E-04,NaN,NaN
1.57E+02,3.721300E+02,3.115578E+01,NaN,1.097540E-05,NaN,1.097540E-04,NaN,NaN
1.64E+02,3.676200E+02,3.153800E+01,NaN,9.712000E-06,NaN,9.712000E-05,NaN,NaN
1.75E+02,3.653100E+02,3.173743E+01,NaN,7.986000E-06,NaN,7.986000E-05,NaN,NaN
1.82E+02,3.609300E+02,3.212257E+01,NaN,7.046300E-06,NaN,7.046300E-05,NaN,NaN
1.93E+02,3.587600E+02,3.231687E+01,NaN,5.832800E-06,NaN,5.832800E-05,NaN,NaN
1.98E+02,3.554200E+02,3.262056E+01,NaN,5.325200E-06,NaN,5.325200E-05,NaN,NaN
