Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
1.72E+00,4.69970E+02,2.47E+01,NaN,3.11830E-04,NaN,3.11830E-03,NaN,NaN
8.50E+00,4.69120E+02,2.47E+01,-6.08E+00,3.08220E-04,NaN,3.08220E-03,NaN,NaN
1.16E+01,4.68010E+02,2.48E+01,-7.48E+00,3.03270E-04,NaN,3.03270E-03,NaN,NaN
1.44E+01,4.66510E+02,2.49E+01,-1.54E+01,2.94560E-04,NaN,2.94560E-03,NaN,NaN
1.73E+01,4.64660E+02,2.50E+01,-2.67E+01,2.83910E-04,NaN,2.83910E-03,NaN,NaN
2.00E+01,4.62750E+02,2.51E+01,-3.51E+01,2.72600E-04,NaN,2.72600E-03,NaN,NaN
2.30E+01,4.60750E+02,2.52E+01,-3.97E+01,2.59550E-04,NaN,2.59550E-03,NaN,NaN
2.59E+01,4.58690E+02,2.53E+01,-4.10E+01,2.47070E-04,NaN,2.47070E-03,3.70E-01,9.21E+00
2.87E+01,4.57300E+02,2.54E+01,-4.17E+01,2.33840E-04,NaN,2.33840E-03,3.83E-01,9.57E+00
3.16E+01,4.55210E+02,2.55E+01,-3.61E+01,2.21220E-04,NaN,2.21220E-03,4.07E-01,1.02E+01
3.46E+01,4.53120E+02,2.56E+01,-3.63E+01,2.09080E-04,NaN,2.09080E-03,4.23E-01,1.06E+01
3.75E+01,4.51030E+02,2.57E+01,-4.29E+01,1.97461E-04,NaN,1.97461E-03,4.35E-01,1.09E+01
4.03E+01,4.48800E+02,2.58E+01,-4.26E+01,1.86338E-04,NaN,1.86338E-03,4.44E-01,1.12E+01
4.34E+01,4.46740E+02,2.60E+01,-4.50E+01,1.75432E-04,NaN,1.75432E-03,4.49E-01,1.13E+01
4.64E+01,4.44700E+02,2.61E+01,-4.37E+01,1.64977E-04,NaN,1.64977E-03,4.55E-01,1.15E+01
4.92E+01,4.42690E+02,2.62E+01,-4.05E+01,1.56001E-04,NaN,1.56001E-03,4.64E-01,1.18E+01
5.22E+01,4.40690E+02,2.63E+01,-4.18E+01,1.46709E-04,NaN,1.46709E-03,4.72E-01,1.20E+01
5.52E+01,4.38720E+02,2.64E+01,-4.15E+01,1.38344E-04,NaN,1.38344E-03,4.81E-01,1.23E+01
5.82E+01,4.37410E+02,2.65E+01,-4.02E+01,1.30132E-04,NaN,1.30132E-03,4.88E-01,1.25E+01
6.09E+01,4.35480E+02,2.66E+01,-3.31E+01,1.22900E-04,NaN,1.22900E-03,4.97E-01,1.28E+01
6.38E+01,4.33570E+02,2.67E+01,-3.35E+01,1.15959E-04,NaN,1.15959E-03,5.04E-01,1.30E+01
6.66E+01,4.31560E+02,2.69E+01,-4.04E+01,1.09596E-04,NaN,1.09596E-03,5.07E-01,1.32E+01
6.95E+01,4.29690E+02,2.70E+01,-4.13E+01,1.03470E-04,NaN,1.03470E-03,5.08E-01,1.32E+01
7.26E+01,4.27870E+02,2.71E+01,-4.09E+01,9.74570E-05,NaN,9.74570E-04,5.07E-01,1.32E+01
7.54E+01,4.26060E+02,2.72E+01,-3.74E+01,9.21800E-05,NaN,9.21800E-04,5.09E-01,1.34E+01
7.84E+01,4.24850E+02,2.73E+01,-3.73E+01,8.66740E-05,NaN,8.66740E-04,5.11E-01,1.35E+01
8.12E+01,4.23080E+02,2.74E+01,-3.08E+01,8.22460E-05,NaN,8.22460E-04,5.16E-01,1.37E+01
8.40E+01,4.21340E+02,2.75E+01,-3.08E+01,7.77290E-05,NaN,7.77290E-04,5.20E-01,1.38E+01
8.69E+01,4.19620E+02,2.76E+01,-3.79E+01,7.34160E-05,NaN,7.34160E-04,5.21E-01,1.39E+01
8.99E+01,4.17920E+02,2.77E+01,-3.58E+01,6.92540E-05,NaN,6.92540E-04,5.21E-01,1.40E+01
9.28E+01,4.16130E+02,2.79E+01,-3.46E+01,6.54370E-05,NaN,6.54370E-04,5.22E-01,1.41E+01
9.59E+01,4.14490E+02,2.80E+01,-3.56E+01,6.17530E-05,NaN,6.17530E-04,5.19E-01,1.41E+01
9.89E+01,4.12860E+02,2.81E+01,-3.44E+01,5.83020E-05,NaN,5.83020E-04,5.17E-01,1.40E+01
1.02E+02,4.11270E+02,2.82E+01,-3.25E+01,5.51390E-05,NaN,5.51390E-04,5.14E-01,1.40E+01
1.05E+02,4.09700E+02,2.83E+01,-3.27E+01,5.21440E-05,NaN,5.21440E-04,5.16E-01,1.41E+01
1.08E+02,4.08150E+02,2.84E+01,-3.24E+01,4.93920E-05,NaN,4.93920E-04,5.17E-01,1.42E+01
