Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
2180.0,470.03,24.66651,2.049625,0.00028592,,0.0028592,0.437,10.9
2180.0,470.03,24.66651,2.128817,0.00028519,,0.0028519,0.437,10.9
2180.0,469.93,24.67176,2.199302,0.00028437,,0.0028437,0.436,10.9
2170.0,469.82,24.67754,2.240916,0.00028357,,0.0028357,0.436,10.9
2170.0,469.67,24.68542,2.316628,0.00028279,,0.0028279,0.436,10.9
2170.0,469.56,24.6912,2.367539,0.00028186,,0.0028186,0.436,10.9
2160.0,469.45,24.69699,2.397101,0.00028122,,0.0028122,0.435,10.9
2160.0,469.3,24.70488,2.457211,0.00028028,,0.0028028,0.435,10.9
2160.0,469.19,24.71067,2.501572,0.00027952,,0.0027952,0.435,10.9
2150.0,469.04,24.71857,2.553417,0.00027867,,0.0027867,0.435,10.9
2150.0,468.92,24.7249,2.628196,0.00027785,,0.0027785,0.435,10.9
2150.0,468.76,24.73334,2.73447,0.000277,,0.00277,0.435,10.9
2140.0,468.64,24.73967,2.581882,0.00027453,,0.0027453,0.437,11.0
2130.0,468.28,24.75869,2.593295,0.00027379,,0.0027379,0.437,11.0
2130.0,468.12,24.76715,2.609909,0.00027303,,0.0027303,0.437,11.0
2130.0,468.0,24.7735,2.622252,0.00027213,,0.0027213,0.437,11.0
2120.0,467.82,24.78304,2.464046,0.00027125,,0.0027125,0.437,11.0
2120.0,467.7,24.78939,2.543347,0.00027034,,0.0027034,0.437,11.0
2120.0,467.57,24.79629,2.617308,0.00026938,,0.0026938,0.437,11.0
2110.0,467.39,24.80584,2.687408,0.00026847,,0.0026847,0.437,11.0
2110.0,467.26,24.81274,2.761503,0.00026758,,0.0026758,0.438,11.0
2110.0,467.13,24.81964,2.811744,0.00026665,,0.0026665,0.438,11.1
2100.0,466.95,24.82921,2.898461,0.0002658,,0.002658,0.438,11.1
2100.0,466.81,24.83666,2.958853,0.00026484,,0.0026484,0.438,11.1
2100.0,466.67,24.84411,3.008207,0.00026388,,0.0026388,0.439,11.1
2090.0,466.49,24.85369,3.091934,0.0002629,,0.002629,0.439,11.1
2090.0,466.35,24.86116,3.168631,0.00026197,,0.0026197,0.439,11.1
2080.0,466.17,24.87076,3.294045,0.00026096,,0.0026096,0.439,11.1
2080.0,466.03,24.87823,3.125902,0.0002583,,0.002583,0.439,11.1
2070.0,465.59,24.90174,3.163582,0.00025731,,0.0025731,0.439,11.1
2070.0,465.39,24.91244,3.199954,0.00025635,,0.0025635,0.438,11.1
2070.0,465.24,24.92047,3.214389,0.00025533,,0.0025533,0.438,11.1
2060.0,465.04,24.93119,3.060729,0.0002543,,0.002543,0.438,11.1
2060.0,464.89,24.93923,3.171781,0.00025323,,0.0025323,0.438,11.1
2050.0,464.68,24.9505,3.266409,0.00025211,,0.0025211,0.438,11.1
2050.0,464.53,24.95856,3.347876,0.00025096,,0.0025096,0.438,11.1
2050.0,464.36,24.9677,3.408825,0.00024992,,0.0024992,0.438,11.2
2040.0,464.15,24.97899,3.467365,0.00024884,,0.0024884,0.438,11.2
2040.0,463.98,24.98815,3.535014,0.00024784,,0.0024784,0.438,11.2
2040.0,463.77,24.99946,3.61098,0.00024675,,0.0024675,0.438,11.2
2030.0,463.6,25.00863,3.66285,0.00024556,,0.0024556,0.438,11.2
2030.0,463.37,25.02104,3.769942,0.00024442,,0.0024442,0.438,11.2
2030.0,463.21,25.02968,3.851242,0.00024332,,0.0024332,0.438,11.2
2020.0,463.03,25.03941,3.980664,0.0002422,,0.002422,0.438,11.2
2010.0,462.79,25.0524,3.810809,0.00023925,,0.0023925,0.439,11.2
2010.0,462.26,25.08112,3.85333,0.00023811,,0.0023811,0.439,11.3
2010.0,462.08,25.09089,3.915001,0.00023696,,0.0023696,0.439,11.3
2000.0,461.84,25.10393,3.977746,0.00023572,,0.0023572,0.439,11.3
2000.0,461.65,25.11426,3.751372,0.00023464,,0.0023464,0.439,11.3
2000.0,461.46,25.1246,3.880654,0.00023343,,0.0023343,0.439,11.3
1990.0,461.21,25.13822,4.034882,0.0002322,,0.002322,0.439,11.3
1990.0,461.01,25.14913,4.141512,0.00023104,,0.0023104,0.439,11.3
1990.0,460.82,25.1595,4.197179,0.00022987,,0.0022987,0.439,11.3
1980.0,460.56,25.1737,4.293511,0.00022859,,0.0022859,0.439,11.3
1980.0,460.36,25.18464,4.396925,0.00022735,,0.0022735,0.441,11.4
1980.0,460.08,25.19997,4.490492,0.00022614,,0.0022614,0.441,11.4
1970.0,459.88,25.21092,4.578897,0.00022484,,0.0022484,0.441,11.4
1970.0,459.66,25.22299,4.617251,0.0002236,,0.002236,0.441,11.4
1970.0,459.38,25.23836,4.706469,0.00022242,,0.0022242,0.441,11.4
1960.0,459.17,25.24991,4.800874,0.00022118,,0.0022118,0.441,11.4
1950.0,458.94,25.26256,4.30203,0.00021778,,0.0021778,0.442,11.5
1950.0,458.28,25.29894,4.406923,0.00021654,,0.0021654,0.443,11.5
1950.0,457.98,25.31552,4.514732,0.0002152,,0.002152,0.443,11.5
1940.0,457.76,25.32768,4.593981,0.00021392,,0.0021392,0.443,11.5
1940.0,457.54,25.33986,4.652113,0.00021253,,0.0021253,0.443,11.5
1940.0,457.22,25.3576,4.711256,0.00021109,,0.0021109,0.443,11.5
1930.0,456.89,25.37591,4.760677,0.000209846,,0.00209846,0.444,11.5
1930.0,456.66,25.38869,4.844731,0.000208315,,0.00208315,0.444,11.6
1930.0,456.34,25.4065,4.837038,0.000206864,,0.00206864,0.444,11.6
1920.0,456.1,25.41986,4.949219,0.000205282,,0.00205282,0.445,11.6
1920.0,455.79,25.43715,5.050457,0.000203747,,0.00203747,0.445,11.6
1910.0,455.47,25.45502,5.162934,0.000202198,,0.00202198,0.446,11.6
1910.0,455.14,25.47348,4.809625,0.000198666,,0.00198666,0.447,11.7
1900.0,454.34,25.51833,4.882371,0.000196654,,0.00196654,0.447,11.7
1900.0,454.02,25.53632,4.936019,0.000195125,,0.00195125,0.447,11.7
1890.0,453.69,25.55489,4.979915,0.000193526,,0.00193526,0.448,11.7
1890.0,453.34,25.57462,5.040416,0.000191917,,0.00191917,0.448,11.8
1880.0,453.01,25.59325,5.097448,0.000190191,,0.00190191,0.449,11.8
1880.0,452.66,25.61304,5.071633,0.000187901,,0.00187901,0.449,11.8
1870.0,452.15,25.64193,5.115815,0.000186033,,0.00186033,0.45,11.8
1870.0,451.8,25.6618,5.018212,0.000183303,,0.00183303,0.451,11.9
