Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
2.01E+01,2.96040E+02,3.92E+01,3.23E-01,1.64766E-07,NaN,1.64766E-06,NaN,NaN
3.49E+01,2.96300E+02,3.91E+01,5.41E-01,1.66729E-07,NaN,1.66729E-06,NaN,NaN
4.37E+01,2.96600E+02,3.91E+01,8.97E-01,1.69422E-07,NaN,1.69422E-06,NaN,NaN
4.68E+01,2.96750E+02,3.91E+01,1.09E+00,1.70800E-07,NaN,1.70800E-06,NaN,NaN
5.29E+01,2.97140E+02,3.90E+01,1.63E+00,1.74204E-07,NaN,1.74204E-06,NaN,NaN
5.58E+01,2.97360E+02,3.90E+01,1.96E+00,1.76201E-07,NaN,1.76201E-06,NaN,NaN
5.89E+01,2.97670E+02,3.89E+01,2.33E+00,1.78587E-07,NaN,1.78587E-06,NaN,NaN
6.21E+01,2.97850E+02,3.89E+01,2.76E+00,1.81428E-07,NaN,1.81428E-06,NaN,NaN
6.50E+01,2.98110E+02,3.89E+01,3.13E+00,1.84105E-07,NaN,1.84105E-06,NaN,NaN
6.80E+01,2.98380E+02,3.89E+01,3.50E+00,1.87232E-07,NaN,1.87232E-06,NaN,NaN
7.09E+01,2.98660E+02,3.88E+01,3.87E+00,1.90312E-07,NaN,1.90312E-06,NaN,NaN
7.38E+01,2.98970E+02,3.88E+01,4.23E+00,1.93585E-07,NaN,1.93585E-06,NaN,NaN
7.71E+01,2.99260E+02,3.87E+01,4.56E+00,1.97514E-07,NaN,1.97514E-06,NaN,NaN
8.00E+01,2.99550E+02,3.87E+01,4.85E+00,2.01045E-07,NaN,2.01045E-06,NaN,NaN
8.30E+01,2.99830E+02,3.87E+01,5.09E+00,2.04855E-07,NaN,2.04855E-06,NaN,NaN
8.59E+01,3.00110E+02,3.86E+01,5.27E+00,2.08550E-07,NaN,2.08550E-06,NaN,NaN
8.86E+01,3.00390E+02,3.86E+01,5.44E+00,2.12230E-07,NaN,2.12230E-06,NaN,NaN
9.17E+01,3.00660E+02,3.86E+01,5.56E+00,2.16290E-07,NaN,2.16290E-06,4.37E-01,1.70E+01
9.46E+01,3.00920E+02,3.85E+01,5.64E+00,2.20090E-07,NaN,2.20090E-06,4.41E-01,1.72E+01
9.74E+01,3.01120E+02,3.85E+01,5.73E+00,2.23880E-07,NaN,2.23880E-06,4.45E-01,1.73E+01
1.00E+02,3.01380E+02,3.85E+01,5.67E+00,2.27740E-07,NaN,2.27740E-06,4.49E-01,1.75E+01
1.03E+02,3.01640E+02,3.84E+01,5.60E+00,2.31680E-07,NaN,2.31680E-06,4.53E-01,1.76E+01
1.06E+02,3.01900E+02,3.84E+01,5.51E+00,2.35740E-07,NaN,2.35740E-06,4.57E-01,1.78E+01
1.09E+02,3.02150E+02,3.84E+01,5.41E+00,2.39800E-07,NaN,2.39800E-06,4.60E-01,1.79E+01
1.12E+02,3.02400E+02,3.83E+01,5.33E+00,2.43510E-07,NaN,2.43510E-06,4.64E-01,1.80E+01
1.15E+02,3.02650E+02,3.83E+01,5.25E+00,2.47410E-07,NaN,2.47410E-06,4.66E-01,1.81E+01
1.18E+02,3.02900E+02,3.83E+01,5.20E+00,2.51580E-07,NaN,2.51580E-06,4.69E-01,1.82E+01
1.21E+02,3.03170E+02,3.82E+01,5.14E+00,2.55760E-07,NaN,2.55760E-06,4.71E-01,1.83E+01
1.24E+02,3.03430E+02,3.82E+01,5.12E+00,2.59900E-07,NaN,2.59900E-06,4.73E-01,1.83E+01
1.27E+02,3.03690E+02,3.82E+01,5.13E+00,2.64220E-07,NaN,2.64220E-06,4.74E-01,1.84E+01
1.30E+02,3.03940E+02,3.81E+01,5.16E+00,2.68490E-07,NaN,2.68490E-06,4.76E-01,1.84E+01
1.33E+02,3.04200E+02,3.81E+01,5.19E+00,2.72940E-07,NaN,2.72940E-06,4.77E-01,1.85E+01
1.36E+02,3.04380E+02,3.81E+01,5.20E+00,2.77500E-07,NaN,2.77500E-06,4.79E-01,1.85E+01
1.39E+02,3.04640E+02,3.81E+01,5.16E+00,2.81950E-07,NaN,2.81950E-06,4.80E-01,1.86E+01
1.42E+02,3.04910E+02,3.80E+01,5.13E+00,2.86630E-07,NaN,2.86630E-06,4.82E-01,1.86E+01
1.45E+02,3.05170E+02,3.80E+01,5.12E+00,2.91470E-07,NaN,2.91470E-06,4.83E-01,1.87E+01
1.48E+02,3.05450E+02,3.80E+01,5.10E+00,2.96510E-07,NaN,2.96510E-06,4.84E-01,1.87E+01
1.51E+02,3.05710E+02,3.79E+01,5.11E+00,3.01650E-07,NaN,3.01650E-06,4.86E-01,1.88E+01
1.54E+02,3.05950E+02,3.79E+01,5.12E+00,3.06410E-07,NaN,3.06410E-06,4.87E-01,1.88E+01
