Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
1.44E+00,4.600000E+02,2.520435E+01,-6.407323E-01,2.223200E-04,NaN,2.223200E-03,NaN,NaN
2.77E+01,4.597200E+02,2.521970E+01,-1.459444E+00,2.209700E-04,NaN,2.209700E-03,NaN,NaN
3.84E+01,4.594600E+02,2.523397E+01,-1.130435E+00,2.195400E-04,NaN,2.195400E-03,4.81E-01,1.21E+01
4.53E+01,4.593300E+02,2.524111E+01,-6.444222E-01,2.186400E-04,NaN,2.186400E-03,4.33E-01,1.09E+01
5.92E+01,4.591800E+02,2.524936E+01,-1.449873E+00,2.175000E-04,NaN,2.175000E-03,4.67E-01,1.18E+01
7.62E+01,4.587700E+02,2.527192E+01,-4.568383E-01,2.161200E-04,NaN,2.161200E-03,4.87E-01,1.23E+01
8.67E+01,4.586900E+02,2.527633E+01,-9.522865E-01,2.146800E-04,NaN,2.146800E-03,4.85E-01,1.22E+01
9.68E+01,4.585300E+02,2.528515E+01,-9.610984E-01,2.136900E-04,NaN,2.136900E-03,5.37E-01,1.36E+01
1.10E+02,4.583200E+02,2.529674E+01,-8.713598E-01,2.127800E-04,NaN,2.127800E-03,4.40E-01,1.11E+01
1.23E+02,4.581300E+02,2.530723E+01,-1.183924E+00,2.116600E-04,NaN,2.116600E-03,4.52E-01,1.14E+01
1.33E+02,4.579400E+02,2.531773E+01,-9.863996E-01,2.107800E-04,NaN,2.107800E-03,4.68E-01,1.19E+01
1.46E+02,4.577200E+02,2.532990E+01,-9.981851E-01,2.094100E-04,NaN,2.094100E-03,4.66E-01,1.18E+01
1.59E+02,4.575000E+02,2.534208E+01,-8.427755E-01,2.083200E-04,NaN,2.083200E-03,4.58E-01,1.16E+01
1.70E+02,4.573500E+02,2.535039E+01,-1.051348E+00,2.074900E-04,NaN,2.074900E-03,4.42E-01,1.12E+01
1.83E+02,4.571200E+02,2.536314E+01,-1.091240E+00,2.064200E-04,NaN,2.064200E-03,4.40E-01,1.11E+01
1.93E+02,4.569400E+02,2.537313E+01,-1.008480E+00,2.054200E-04,NaN,2.054200E-03,4.47E-01,1.13E+01
2.06E+02,4.567200E+02,2.538536E+01,-8.546368E-01,2.043900E-04,NaN,2.043900E-03,4.49E-01,1.14E+01
2.19E+02,4.565300E+02,2.539592E+01,-1.071429E+00,2.033000E-04,NaN,2.033000E-03,4.38E-01,1.11E+01
2.39E+02,4.561800E+02,2.541541E+01,-1.442741E+00,2.016300E-04,NaN,2.016300E-03,4.41E-01,1.12E+01
2.42E+02,4.561000E+02,2.541986E+01,-1.012106E+00,2.013100E-04,NaN,2.013100E-03,4.45E-01,1.13E+01
2.52E+02,4.559300E+02,2.542934E+01,-8.603619E-01,2.003900E-04,NaN,2.003900E-03,4.68E-01,1.19E+01
2.67E+02,4.557200E+02,2.544106E+01,-1.012027E+00,1.992400E-04,NaN,1.992400E-03,4.75E-01,1.21E+01
2.81E+02,4.554900E+02,2.545391E+01,-1.038462E+00,1.980850E-04,NaN,1.980850E-03,4.49E-01,1.14E+01
2.91E+02,4.553100E+02,2.546397E+01,-1.063830E+00,1.971280E-04,NaN,1.971280E-03,3.96E-01,1.01E+01
3.01E+02,4.551300E+02,2.547404E+01,-1.411038E+00,1.964560E-04,NaN,1.964560E-03,4.21E-01,1.07E+01
3.15E+02,4.548100E+02,2.549196E+01,-4.652966E-01,1.952590E-04,NaN,1.952590E-03,4.51E-01,1.15E+01
3.28E+02,4.547100E+02,2.549757E+01,-1.010001E+00,1.941820E-04,NaN,1.941820E-03,4.87E-01,1.24E+01
3.38E+02,4.545400E+02,2.550711E+01,-1.081162E+00,1.933120E-04,NaN,1.933120E-03,4.86E-01,1.24E+01
3.51E+02,4.543000E+02,2.552058E+01,-1.155068E+00,1.921930E-04,NaN,1.921930E-03,4.33E-01,1.10E+01
3.61E+02,4.541000E+02,2.553182E+01,-8.586148E-01,1.913320E-04,NaN,1.913320E-03,4.41E-01,1.13E+01
3.72E+02,4.539500E+02,2.554026E+01,-9.619055E-01,1.905860E-04,NaN,1.905860E-03,4.08E-01,1.04E+01
3.85E+02,4.537400E+02,2.555208E+01,-1.520913E+00,1.894810E-04,NaN,1.894810E-03,4.19E-01,1.07E+01
3.98E+02,4.534000E+02,2.557124E+01,-3.366059E-01,1.883440E-04,NaN,1.883440E-03,4.46E-01,1.14E+01
4.09E+02,4.533400E+02,2.557462E+01,-1.040914E+00,1.877390E-04,NaN,1.877390E-03,4.78E-01,1.22E+01
4.23E+02,4.531000E+02,2.558817E+01,-8.819206E-01,1.863830E-04,NaN,1.863830E-03,4.98E-01,1.27E+01
4.33E+02,4.529500E+02,2.559664E+01,-1.080302E+00,1.855870E-04,NaN,1.855870E-03,4.47E-01,1.14E+01
4.47E+02,4.527000E+02,2.561078E+01,-9.850420E-01,1.846450E-04,NaN,1.846450E-03,4.23E-01,1.08E+01
4.58E+02,4.525200E+02,2.562097E+01,-1.105342E+00,1.838160E-04,NaN,1.838160E-03,4.23E-01,1.08E+01
4.70E+02,4.523000E+02,2.563343E+01,-1.045296E+00,1.827700E-04,NaN,1.827700E-03,4.47E-01,1.15E+01
4.81E+02,4.521100E+02,2.564420E+01,-9.427517E-01,1.819350E-04,NaN,1.819350E-03,4.51E-01,1.16E+01
4.96E+02,4.518800E+02,2.565725E+01,-8.750608E-01,1.808370E-04,NaN,1.808370E-03,4.50E-01,1.16E+01
5.06E+02,4.517300E+02,2.566577E+01,-1.040462E+00,1.801330E-04,NaN,1.801330E-03,4.41E-01,1.13E+01
5.20E+02,4.514900E+02,2.567942E+01,-1.219237E+00,1.790460E-04,NaN,1.790460E-03,4.35E-01,1.12E+01
5.29E+02,4.513100E+02,2.568966E+01,-9.240040E-01,1.783400E-04,NaN,1.783400E-03,4.50E-01,1.15E+01
5.43E+02,4.510800E+02,2.570276E+01,-8.355715E-01,1.772590E-04,NaN,1.772590E-03,4.53E-01,1.16E+01
5.54E+02,4.509400E+02,2.571074E+01,-1.075429E+00,1.764760E-04,NaN,1.764760E-03,4.07E-01,1.05E+01
5.67E+02,4.507000E+02,2.572443E+01,-1.544402E+00,1.755090E-04,NaN,1.755090E-03,4.15E-01,1.07E+01
5.79E+02,4.504000E+02,2.574156E+01,-4.830918E-01,1.746420E-04,NaN,1.746420E-03,4.17E-01,1.07E+01
5.88E+02,4.503200E+02,2.574614E+01,-1.035375E+00,1.737870E-04,NaN,1.737870E-03,4.46E-01,1.15E+01
5.99E+02,4.501400E+02,2.575643E+01,-8.747631E-01,1.730990E-04,NaN,1.730990E-03,4.71E-01,1.21E+01
6.13E+02,4.499400E+02,2.576788E+01,-1.017549E+00,1.722370E-04,NaN,1.722370E-03,4.35E-01,1.12E+01
6.26E+02,4.497100E+02,2.578106E+01,-9.608648E-01,1.712310E-04,NaN,1.712310E-03,4.38E-01,1.13E+01
6.36E+02,4.495500E+02,2.579023E+01,-1.066509E+00,1.705020E-04,NaN,1.705020E-03,4.40E-01,1.14E+01
6.50E+02,4.493100E+02,2.580401E+01,-9.229882E-01,1.695530E-04,NaN,1.695530E-03,4.33E-01,1.12E+01
6.60E+02,4.491500E+02,2.581320E+01,-1.052464E+00,1.688060E-04,NaN,1.688060E-03,4.30E-01,1.11E+01
6.73E+02,4.489300E+02,2.582585E+01,-1.014156E+00,1.679370E-04,NaN,1.679370E-03,4.39E-01,1.13E+01
6.87E+02,4.486900E+02,2.583967E+01,-1.046309E+00,1.669250E-04,NaN,1.669250E-03,4.38E-01,1.13E+01
6.97E+02,4.485100E+02,2.585004E+01,-1.030081E+00,1.661210E-04,NaN,1.661210E-03,4.57E-01,1.18E+01
7.11E+02,4.482800E+02,2.586330E+01,-8.752310E-01,1.651610E-04,NaN,1.651610E-03,4.59E-01,1.19E+01
7.21E+02,4.481300E+02,2.587196E+01,-9.539673E-01,1.644120E-04,NaN,1.644120E-03,4.03E-01,1.04E+01
7.34E+02,4.479200E+02,2.588409E+01,-1.648190E+00,1.635730E-04,NaN,1.635730E-03,4.09E-01,1.06E+01
7.44E+02,4.476400E+02,2.590028E+01,-5.859852E-01,1.628500E-04,NaN,1.628500E-03,4.23E-01,1.09E+01
7.57E+02,4.475200E+02,2.590722E+01,-9.276301E-01,1.619910E-04,NaN,1.619910E-03,4.48E-01,1.16E+01
7.70E+02,4.473100E+02,2.591938E+01,-1.017964E+00,1.610820E-04,NaN,1.610820E-03,4.83E-01,1.25E+01
7.80E+02,4.471400E+02,2.592924E+01,-9.955502E-01,1.604240E-04,NaN,1.604240E-03,4.46E-01,1.16E+01
7.93E+02,4.469200E+02,2.594200E+01,-1.011102E+00,1.594970E-04,NaN,1.594970E-03,4.43E-01,1.15E+01
8.03E+02,4.467500E+02,2.595187E+01,-1.033398E+00,1.587840E-04,NaN,1.587840E-03,3.90E-01,1.01E+01
8.17E+02,4.465200E+02,2.596524E+01,-1.640890E+00,1.578660E-04,NaN,1.578660E-03,3.97E-01,1.03E+01
8.27E+02,4.462300E+02,2.598212E+01,-5.069352E-01,1.571990E-04,NaN,1.571990E-03,4.12E-01,1.07E+01
8.42E+02,4.461100E+02,2.598911E+01,-1.081666E+00,1.563240E-04,NaN,1.563240E-03,4.46E-01,1.16E+01
8.53E+02,4.459100E+02,2.600076E+01,-9.409305E-01,1.555450E-04,NaN,1.555450E-03,4.97E-01,1.29E+01
8.64E+02,4.457300E+02,2.601126E+01,-9.753935E-01,1.547600E-04,NaN,1.547600E-03,4.55E-01,1.18E+01
8.78E+02,4.455100E+02,2.602411E+01,-9.466566E-01,1.538430E-04,NaN,1.538430E-03,4.47E-01,1.16E+01
8.91E+02,4.453000E+02,2.603638E+01,-1.092012E+00,1.530240E-04,NaN,1.530240E-03,3.92E-01,1.02E+01
9.01E+02,4.451200E+02,2.604691E+01,-1.525804E+00,1.523780E-04,NaN,1.523780E-03,4.10E-01,1.07E+01
9.14E+02,4.447800E+02,2.606682E+01,-3.241141E-01,1.514340E-04,NaN,1.514340E-03,4.41E-01,1.15E+01
9.24E+02,4.447300E+02,2.606975E+01,-9.122700E-01,1.507350E-04,NaN,1.507350E-03,4.62E-01,1.20E+01
9.37E+02,4.445300E+02,2.608148E+01,-9.986382E-01,1.499400E-04,NaN,1.499400E-03,4.85E-01,1.26E+01
9.50E+02,4.443100E+02,2.609439E+01,-1.031762E+00,1.491790E-04,NaN,1.491790E-03,4.33E-01,1.13E+01
9.60E+02,4.441400E+02,2.610438E+01,-9.841933E-01,1.484820E-04,NaN,1.484820E-03,4.40E-01,1.15E+01
9.73E+02,4.439200E+02,2.611732E+01,-1.012910E+00,1.476460E-04,NaN,1.476460E-03,3.93E-01,1.03E+01
9.83E+02,4.437500E+02,2.612732E+01,-1.568452E+00,1.469610E-04,NaN,1.469610E-03,4.08E-01,1.07E+01
9.97E+02,4.434000E+02,2.614795E+01,-3.311868E-01,1.461060E-04,NaN,1.461060E-03,4.30E-01,1.12E+01
1.01E+03,4.433400E+02,2.615149E+01,-9.817959E-01,1.454140E-04,NaN,1.454140E-03,4.43E-01,1.16E+01
1.02E+03,4.431000E+02,2.616565E+01,-1.085209E+00,1.445140E-04,NaN,1.445140E-03,4.75E-01,1.24E+01
1.03E+03,4.429200E+02,2.617628E+01,-1.041745E+00,1.439140E-04,NaN,1.439140E-03,4.36E-01,1.14E+01
1.05E+03,4.426900E+02,2.618988E+01,-8.549618E-01,1.430430E-04,NaN,1.430430E-03,4.43E-01,1.16E+01
1.06E+03,4.425500E+02,2.619817E+01,-9.219422E-01,1.424550E-04,NaN,1.424550E-03,4.38E-01,1.15E+01
