Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
1.47E+00,4.80000E+02,2.42E+01,-6.29E-01,3.75280E-04,NaN,3.75280E-03,NaN,NaN
2.91E+01,4.79710E+02,2.42E+01,-1.72E+00,3.73510E-04,NaN,3.73510E-03,NaN,NaN
3.78E+01,4.79460E+02,2.42E+01,-1.46E+00,3.71440E-04,NaN,3.71440E-03,4.38E-01,1.06E+01
4.40E+01,4.79310E+02,2.42E+01,-8.16E-01,3.70090E-04,NaN,3.70090E-03,4.85E-01,1.17E+01
5.57E+01,4.79150E+02,2.42E+01,-6.45E-01,3.68230E-04,NaN,3.68230E-03,4.75E-01,1.15E+01
7.71E+01,4.78920E+02,2.42E+01,-1.26E+00,3.66520E-04,NaN,3.66520E-03,4.58E-01,1.11E+01
8.62E+01,4.78730E+02,2.42E+01,-1.38E+00,3.65010E-04,NaN,3.65010E-03,4.61E-01,1.12E+01
9.53E+01,4.78520E+02,2.42E+01,-1.02E+00,3.63180E-04,NaN,3.63180E-03,5.00E-01,1.21E+01
1.07E+02,4.78320E+02,2.42E+01,-6.88E-01,3.61140E-04,NaN,3.61140E-03,4.93E-01,1.20E+01
1.19E+02,4.78180E+02,2.42E+01,-1.03E+00,3.59750E-04,NaN,3.59750E-03,4.75E-01,1.15E+01
1.34E+02,4.77920E+02,2.43E+01,-1.16E+00,3.57840E-04,NaN,3.57840E-03,4.56E-01,1.11E+01
1.44E+02,4.77740E+02,2.43E+01,-1.15E+00,3.56300E-04,NaN,3.56300E-03,4.64E-01,1.12E+01
1.56E+02,4.77510E+02,2.43E+01,-8.46E-01,3.54320E-04,NaN,3.54320E-03,4.94E-01,1.20E+01
1.68E+02,4.77340E+02,2.43E+01,-8.02E-01,3.52720E-04,NaN,3.52720E-03,4.86E-01,1.18E+01
1.83E+02,4.77140E+02,2.43E+01,-1.11E+00,3.50910E-04,NaN,3.50910E-03,4.75E-01,1.16E+01
1.95E+02,4.76920E+02,2.43E+01,-1.15E+00,3.49230E-04,NaN,3.49230E-03,4.70E-01,1.14E+01
2.07E+02,4.76690E+02,2.43E+01,-9.24E-01,3.47300E-04,NaN,3.47300E-03,4.66E-01,1.13E+01
2.16E+02,4.76550E+02,2.43E+01,-9.20E-01,3.46010E-04,NaN,3.46010E-03,4.67E-01,1.14E+01
2.31E+02,4.76320E+02,2.43E+01,-1.01E+00,3.44200E-04,NaN,3.44200E-03,4.56E-01,1.11E+01
2.43E+02,4.76120E+02,2.44E+01,-1.15E+00,3.42640E-04,NaN,3.42640E-03,4.58E-01,1.11E+01
