Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
2180.0,470.03,24.66651,2.362573,0.00028396,,0.0028396,0.406,10.1
2180.0,470.03,24.66651,2.443913,0.00028325,,0.0028325,0.405,10.1
2170.0,469.95,24.67071,2.490399,0.00028253,,0.0028253,0.405,10.1
2170.0,469.83,24.67701,2.523295,0.00028162,,0.0028162,0.405,10.1
2170.0,469.68,24.68489,2.588489,0.00028051,,0.0028051,0.404,10.1
2160.0,469.56,24.6912,2.661214,0.00027965,,0.0027965,0.404,10.1
2160.0,469.44,24.69751,2.729614,0.00027886,,0.0027886,0.404,10.1
2150.0,469.33,24.7033,2.611009,0.00027676,,0.0027676,0.405,10.1
2150.0,468.98,24.72174,2.624151,0.00027614,,0.0027614,0.404,10.1
2150.0,468.81,24.7307,2.638352,0.00027519,,0.0027519,0.404,10.1
2140.0,468.69,24.73703,2.669959,0.00027381,,0.0027381,0.404,10.1
2140.0,468.55,24.74442,2.680648,0.00027317,,0.0027317,0.405,10.1
2140.0,468.38,24.75341,2.701834,0.00027277,,0.0027277,0.404,10.1
2130.0,468.25,24.76028,2.749896,0.00027201,,0.0027201,0.404,10.1
2130.0,468.12,24.76715,2.771937,0.0002712,,0.002712,0.406,10.2
2130.0,467.99,24.77403,2.792992,0.00027037,,0.0027037,0.405,10.2
2120.0,467.82,24.78304,2.654838,0.00026943,,0.0026943,0.405,10.2
2120.0,467.67,24.79099,2.757306,0.00026845,,0.0026845,0.405,10.2
2120.0,467.54,24.79788,2.822659,0.00026769,,0.0026769,0.405,10.2
2110.0,467.35,24.80796,2.918653,0.00026673,,0.0026673,0.405,10.2
2110.0,467.21,24.81539,2.981445,0.0002656,,0.002656,0.405,10.2
2110.0,467.08,24.8223,3.037412,0.00026483,,0.0026483,0.405,10.2
2100.0,466.88,24.83293,3.094503,0.0002637,,0.002637,0.404,10.2
2100.0,466.74,24.84038,3.159813,0.00026262,,0.0026262,0.404,10.2
2100.0,466.6,24.84784,3.203341,0.00026034,,0.0026034,0.405,10.2
2090.0,466.39,24.85902,3.297438,0.00026101,,0.0026101,0.405,10.2
2090.0,466.24,24.86702,3.378712,0.00026023,,0.0026023,0.405,10.2
2080.0,466.04,24.87769,3.520988,0.00025907,,0.0025907,0.405,10.2
2080.0,465.84,24.88837,3.388685,0.00025637,,0.0025637,0.405,10.3
2070.0,465.38,24.91297,3.427836,0.00025553,,0.0025553,0.405,10.3
2070.0,465.21,24.92208,3.468117,0.00025438,,0.0025438,0.405,10.3
2060.0,464.99,24.93387,3.514159,0.00025343,,0.0025343,0.405,10.3
2060.0,464.83,24.94245,3.527039,0.0002522,,0.002522,0.405,10.3
2060.0,464.61,24.95426,3.583927,0.00025131,,0.0025131,0.405,10.3
2050.0,464.45,24.96286,3.59239,0.00025032,,0.0025032,0.405,10.3
2050.0,464.22,24.97523,3.614535,0.00024927,,0.0024927,0.406,10.3
2050.0,464.05,24.98438,3.643925,0.00024821,,0.0024821,0.406,10.3
2040.0,463.81,24.9973,3.684455,0.00024713,,0.0024713,0.406,10.3
2040.0,463.64,25.00647,3.700951,0.00024606,,0.0024606,0.406,10.3
2040.0,463.4,25.01942,3.548291,0.00024507,,0.0024507,0.405,10.3
2030.0,463.23,25.0286,3.667227,0.00024398,,0.0024398,0.405,10.3
2030.0,463.04,25.03887,3.797064,0.00024294,,0.0024294,0.405,10.3
2030.0,462.81,25.05132,3.909357,0.00024178,,0.0024178,0.405,10.3
2020.0,462.62,25.06161,3.992654,0.00024027,,0.0024027,0.404,10.3
2020.0,462.43,25.0719,4.057792,0.00023923,,0.0023923,0.404,10.3
2020.0,462.18,25.08546,4.140124,0.00023808,,0.0023808,0.404,10.3
2010.0,461.99,25.09578,4.242551,0.00023702,,0.0023702,0.404,10.3
2010.0,461.79,25.10665,4.321812,0.00023599,,0.0023599,0.404,10.3
2010.0,461.54,25.12025,4.416574,0.00023484,,0.0023484,0.404,10.3
2000.0,461.35,25.13059,4.547006,0.00023371,,0.0023371,0.404,10.4
2000.0,461.15,25.14149,4.662068,0.00023256,,0.0023256,0.404,10.4
1990.0,460.86,25.15731,4.436641,0.00022952,,0.0022952,0.404,10.4
1990.0,460.31,25.18737,4.475131,0.00022837,,0.0022837,0.404,10.4
1980.0,460.02,25.20325,4.536465,0.0002273,,0.002273,0.404,10.4
1980.0,459.81,25.21476,4.556141,0.00022615,,0.0022615,0.403,10.4
1980.0,459.59,25.22683,4.609177,0.00022495,,0.0022495,0.403,10.4
1980.0,459.37,25.23891,4.633198,0.00022389,,0.0022389,0.403,10.4
1970.0,459.14,25.25156,4.628457,0.00022267,,0.0022267,0.404,10.4
1970.0,458.84,25.26807,4.693693,0.00022149,,0.0022149,0.403,10.4
1970.0,458.62,25.28019,4.711077,0.00022022,,0.0022022,0.403,10.4
1960.0,458.39,25.29287,4.772425,0.000219,,0.00219,0.402,10.4
1960.0,458.08,25.30999,4.841845,0.00021773,,0.0021773,0.402,10.4
1960.0,457.85,25.3227,4.496746,0.00021643,,0.0021643,0.402,10.4
1950.0,457.62,25.33543,4.657923,0.00021515,,0.0021515,0.401,10.4
1950.0,457.29,25.35371,4.791388,0.0002138,,0.002138,0.401,10.4
1940.0,457.05,25.36703,4.881654,0.00021252,,0.0021252,0.401,10.4
1940.0,456.82,25.3798,4.959515,0.00021131,,0.0021131,0.4,10.4
1940.0,456.5,25.39759,5.035741,0.00021002,,0.0021002,0.4,10.4
1930.0,456.26,25.41095,5.066911,0.000208882,,0.00208882,0.4,10.4
1930.0,456.01,25.42488,5.102732,0.000207494,,0.00207494,0.399,10.4
1930.0,455.69,25.44274,5.128127,0.000206134,,0.00206134,0.399,10.4
1920.0,455.44,25.4567,5.159434,0.000204821,,0.00204821,0.398,10.4
1920.0,455.09,25.47628,5.238862,0.000203565,,0.00203565,0.398,10.4
1920.0,454.83,25.49084,5.286708,0.000202169,,0.00202169,0.398,10.4
1910.0,454.58,25.50486,4.898613,0.000198413,,0.00198413,0.399,10.4
1900.0,453.71,25.55377,4.894172,0.000197146,,0.00197146,0.398,10.4
1900.0,453.46,25.56786,4.856679,0.000195849,,0.00195849,0.398,10.4
1900.0,453.18,25.58365,4.845807,0.000194527,,0.00194527,0.398,10.4
1890.0,452.85,25.6023,4.865459,0.000193307,,0.00193307,0.398,10.4
1890.0,452.6,25.61644,4.870105,0.00019214,,0.0019214,0.399,10.4
1890.0,452.36,25.63003,4.899244,0.000190941,,0.00190941,0.399,10.4
1880.0,452.04,25.64817,4.941038,0.000189783,,0.00189783,0.398,10.4
1880.0,451.8,25.6618,4.94595,0.000188625,,0.00188625,0.398,10.4
1880.0,451.47,25.68055,4.672506,0.000187504,,0.00187504,0.398,10.4
1870.0,451.22,25.69478,4.811554,0.000186335,,0.00186335,0.398,10.4
1870.0,450.98,25.70846,4.877828,0.000185024,,0.00185024,0.398,10.4
1870.0,450.66,25.72671,4.923218,0.000183818,,0.00183818,0.397,10.4
1860.0,450.42,25.74042,4.962624,0.0001827,,0.001827,0.397,10.5
1860.0,450.17,25.75471,4.947836,0.000181564,,0.00181564,0.397,10.5
1860.0,449.84,25.77361,4.926989,0.000180328,,0.00180328,0.397,10.5
1850.0,449.59,25.78794,4.914114,0.000179141,,0.00179141,0.397,10.5
1850.0,449.32,25.80344,4.879706,0.000177876,,0.00177876,0.397,10.5
1850.0,448.98,25.82298,4.894103,0.000176846,,0.00176846,0.397,10.5
1840.0,448.72,25.83794,4.940781,0.000175569,,0.00175569,0.397,10.5
1840.0,448.45,25.8535,5.006388,0.000174209,,0.00174209,0.398,10.5
1830.0,448.11,25.87311,4.788331,0.00017123,,0.0017123,0.399,10.5
1830.0,447.35,25.91707,4.905326,0.000170133,,0.00170133,0.399,10.5
1820.0,447.1,25.93156,4.996325,0.000169195,,0.00169195,0.399,10.6
1820.0,446.87,25.94491,5.08652,0.000168194,,0.00168194,0.399,10.6
1820.0,446.56,25.96292,5.186046,0.000167028,,0.00167028,0.399,10.6
1810.0,446.33,25.9763,5.267955,0.000166187,,0.00166187,0.399,10.6
1810.0,446.11,25.98911,5.241578,0.000165402,,0.00165402,0.399,10.6
1810.0,445.8,26.00718,5.246095,0.000164123,,0.00164123,0.399,10.6
1800.0,445.56,26.02119,5.21028,0.000163181,,0.00163181,0.399,10.6
1800.0,445.3,26.03638,5.107017,0.000162073,,0.00162073,0.4,10.6
1800.0,444.95,26.05686,4.713093,0.000160907,,0.00160907,0.4,10.6
1790.0,444.68,26.07268,4.719707,0.000159786,,0.00159786,0.4,10.7
1790.0,444.32,26.09381,4.730733,0.000158595,,0.00158595,0.4,10.7
1790.0,444.04,26.11026,4.766821,0.000157534,,0.00157534,0.4,10.7
1780.0,443.76,26.12674,4.784872,0.000156297,,0.00156297,0.401,10.7
1780.0,443.4,26.14795,4.854629,0.000155156,,0.00155156,0.401,10.7
1780.0,443.12,26.16447,4.909801,0.000154055,,0.00154055,0.401,10.7
1770.0,442.78,26.18456,5.02155,0.000153092,,0.00153092,0.401,10.7
1770.0,442.53,26.19935,5.077639,0.000152086,,0.00152086,0.401,10.7
1770.0,442.21,26.21831,5.172831,0.000151023,,0.00151023,0.401,10.8
1760.0,441.9,26.23671,5.300424,0.000149974,,0.00149974,0.401,10.8
1760.0,441.67,26.25037,5.372776,0.00014906,,0.0014906,0.401,10.8
1750.0,441.33,26.27059,5.077424,0.000146474,,0.00146474,0.402,10.8
1750.0,440.6,26.31412,5.065548,0.000145504,,0.00145504,0.402,10.8
1740.0,440.35,26.32906,4.979199,0.000144394,,0.00144394,0.402,10.8
1740.0,440.02,26.3488,4.881166,0.000143385,,0.00143385,0.403,10.8
1740.0,439.75,26.36498,4.807508,0.000142341,,0.00142341,0.403,10.8
1730.0,439.4,26.38598,4.795971,0.000141209,,0.00141209,0.404,10.9
