Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
2100.0,470.41,24.6,4.76,0.00030409,,0.0030409,0.407,10.2
2100.0,470.16,24.7,4.77,0.00030244,,0.0030244,0.407,10.2
2100.0,469.92,24.7,4.77,0.00030079,,0.0030079,0.407,10.2
2090.0,469.68,24.7,4.82,0.00029914,,0.0029914,0.406,10.2
2090.0,469.44,24.7,4.85,0.00029744,,0.0029744,0.406,10.2
2090.0,469.19,24.7,4.88,0.00029574,,0.0029574,0.405,10.2
2080.0,468.95,24.7,4.9,0.00029413,,0.0029413,0.405,10.2
2080.0,468.71,24.7,4.92,0.00029261,,0.0029261,0.405,10.2
2080.0,468.47,24.7,4.93,0.00029107,,0.0029107,0.404,10.2
2080.0,468.21,24.8,4.95,0.00028957,,0.0028957,0.404,10.2
2070.0,467.96,24.8,4.96,0.00028797,,0.0028797,0.404,10.2
2070.0,467.73,24.8,4.95,0.00028648,,0.0028648,0.403,10.2
2070.0,467.48,24.8,4.94,0.00028486,,0.0028486,0.403,10.2
2060.0,467.24,24.8,4.98,0.00028332,,0.0028332,0.403,10.2
2060.0,467.0,24.8,4.99,0.00028168,,0.0028168,0.403,10.2
2060.0,466.67,24.8,5.04,0.00028012,,0.0028012,0.402,10.2
2050.0,466.43,24.9,5.06,0.00027858,,0.0027858,0.402,10.2
2050.0,466.17,24.9,5.06,0.00027707,,0.0027707,0.401,10.1
2050.0,465.92,24.9,5.04,0.00027552,,0.0027552,0.401,10.1
2040.0,465.67,24.9,5.0,0.00027396,,0.0027396,0.401,10.1
2040.0,465.42,24.9,4.96,0.00027243,,0.0027243,0.4,10.1
2040.0,465.17,24.9,4.9,0.00027087,,0.0027087,0.4,10.1
2040.0,464.92,24.9,4.84,0.00026928,,0.0026928,0.4,10.1
2030.0,464.66,25.0,4.78,0.00026775,,0.0026775,0.399,10.1
2030.0,464.41,25.0,4.71,0.0002662,,0.002662,0.399,10.1
2030.0,464.06,25.0,4.73,0.00026469,,0.0026469,0.399,10.1
2020.0,463.81,25.0,4.78,0.0002633,,0.002633,0.398,10.1
2020.0,463.57,25.0,4.85,0.00026182,,0.0026182,0.398,10.1
2020.0,463.33,25.0,4.95,0.00026044,,0.0026044,0.398,10.1
2010.0,463.09,25.0,5.05,0.00025899,,0.0025899,0.397,10.1
2010.0,462.85,25.0,5.15,0.00025759,,0.0025759,0.397,10.1
2010.0,462.61,25.1,5.21,0.00025616,,0.0025616,0.397,10.1
2000.0,462.37,25.1,5.25,0.00025486,,0.0025486,0.396,10.1
2000.0,462.12,25.1,5.25,0.00025348,,0.0025348,0.396,10.1
2000.0,461.88,25.1,5.23,0.00025208,,0.0025208,0.396,10.1
