Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
1.79E+00,4.49480E+02,2.58E+01,NaN,2.2219E-04,2.2182E-03,2.2219E-03,NaN,NaN
8.92E+00,4.47450E+02,2.59E+01,NaN,2.1604E-04,1.6207E-02,2.1604E-03,NaN,NaN
1.61E+01,4.44470E+02,2.61E+01,NaN,2.0145E-04,2.6952E-02,2.0145E-03,NaN,NaN
2.35E+01,4.41050E+02,2.63E+01,-2.10E+01,1.8311E-04,3.1642E-02,1.8311E-03,NaN,NaN
3.06E+01,4.37470E+02,2.65E+01,-2.35E+01,1.6474E-04,3.4824E-02,1.6474E-03,NaN,NaN
3.77E+01,4.33210E+02,2.68E+01,-2.53E+01,1.4691E-04,3.6563E-02,1.4691E-03,NaN,NaN
4.50E+01,4.29570E+02,2.70E+01,-2.73E+01,1.3069E-04,3.6962E-02,1.3069E-03,NaN,NaN
5.22E+01,4.25980E+02,2.72E+01,-3.01E+01,1.1545E-04,3.9552E-02,1.1545E-03,NaN,NaN
5.95E+01,4.22340E+02,2.75E+01,-3.12E+01,1.0242E-04,3.6864E-02,1.0242E-03,NaN,NaN
6.66E+01,4.18920E+02,2.77E+01,-3.13E+01,9.0947E-05,3.5983E-02,9.0947E-04,NaN,NaN
7.35E+01,4.15540E+02,2.79E+01,-3.06E+01,8.0926E-05,3.6932E-02,8.0926E-04,NaN,NaN
8.06E+01,4.12150E+02,2.81E+01,-2.96E+01,7.1530E-05,3.9697E-02,7.1530E-04,NaN,NaN
8.83E+01,4.08510E+02,2.84E+01,-2.93E+01,6.3271E-05,3.8186E-02,6.3271E-04,NaN,NaN
9.56E+01,4.05400E+02,2.86E+01,-2.91E+01,5.6085E-05,3.6980E-02,5.6085E-04,NaN,NaN
1.03E+02,4.04010E+02,2.87E+01,-2.84E+01,5.0599E-05,2.1152E-02,5.0599E-04,NaN,NaN
1.06E+02,4.01450E+02,2.89E+01,-2.56E+01,4.8171E-05,2.8919E-02,4.8171E-04,5.07E-01,1.38E+01
1.12E+02,3.98550E+02,2.91E+01,-2.47E+01,4.3232E-05,3.4664E-02,4.3232E-04,5.09E-01,1.39E+01
1.19E+02,3.95730E+02,2.93E+01,-2.47E+01,3.8754E-05,3.4580E-02,3.8754E-04,5.10E-01,1.40E+01
1.26E+02,3.92900E+02,2.95E+01,-2.51E+01,3.4788E-05,3.3035E-02,3.4788E-04,5.11E-01,1.40E+01
