Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
1.71E+00,4.6883E+02,2.47E+01,NaN,3.69736E-04,2.93410E-03,3.69736E-03,NaN,NaN
9.00E+00,4.6591E+02,2.49E+01,NaN,3.55680E-04,2.20565E-02,3.55680E-03,NaN,NaN
1.62E+01,4.6178E+02,2.51E+01,-2.41E+01,3.24836E-04,3.33052E-02,3.24836E-03,NaN,NaN
2.32E+01,4.5701E+02,2.54E+01,-2.93E+01,2.87974E-04,4.14485E-02,2.87974E-03,NaN,NaN
3.05E+01,4.5161E+02,2.57E+01,-3.76E+01,2.51338E-04,4.53844E-02,2.51338E-03,NaN,NaN
3.81E+01,4.4689E+02,2.59E+01,-4.24E+01,2.17390E-04,4.55510E-02,2.17390E-03,NaN,NaN
4.54E+01,4.4147E+02,2.63E+01,-4.07E+01,1.87736E-04,4.69851E-02,1.87736E-03,NaN,NaN
5.30E+01,4.3697E+02,2.65E+01,-4.08E+01,1.61923E-04,4.54397E-02,1.61923E-03,NaN,NaN
6.03E+01,4.3258E+02,2.68E+01,-4.00E+01,1.40060E-04,4.64293E-02,1.40060E-03,4.64E-01,1.19E+01
6.78E+01,4.2833E+02,2.71E+01,-3.60E+01,1.21140E-04,4.35685E-02,1.21140E-03,4.74E-01,1.22E+01
7.49E+01,4.2351E+02,2.74E+01,-3.48E+01,1.05472E-04,4.35963E-02,1.05472E-03,4.83E-01,1.25E+01
8.22E+01,4.1954E+02,2.76E+01,-3.70E+01,9.17018E-05,4.25791E-02,9.17018E-04,4.86E-01,1.26E+01
8.94E+01,4.1571E+02,2.79E+01,-3.67E+01,8.00652E-05,4.24103E-02,8.00652E-04,4.90E-01,1.28E+01
9.67E+01,4.1201E+02,2.81E+01,-3.24E+01,6.99436E-05,4.22592E-02,6.99436E-04,4.94E-01,1.29E+01
1.04E+02,4.0780E+02,2.84E+01,-3.12E+01,6.09576E-05,4.41081E-02,6.09576E-04,4.97E-01,1.31E+01
1.12E+02,4.0436E+02,2.87E+01,-3.24E+01,5.32282E-05,4.11161E-02,5.32282E-04,4.99E-01,1.32E+01
1.19E+02,4.0093E+02,2.89E+01,-3.08E+01,4.69378E-05,3.92479E-02,4.69378E-04,5.07E-01,1.35E+01
1.26E+02,3.9771E+02,2.92E+01,-2.80E+01,4.12830E-05,3.90158E-02,4.12830E-04,5.12E-01,1.38E+01
1.33E+02,3.9460E+02,2.94E+01,-2.77E+01,3.64318E-05,3.85476E-02,3.64318E-04,5.16E-01,1.40E+01
1.40E+02,3.9158E+02,2.96E+01,-2.64E+01,3.21638E-05,3.88451E-02,3.21638E-04,5.19E-01,1.43E+01
1.48E+02,3.8858E+02,2.98E+01,-2.57E+01,2.85050E-05,3.75140E-02,2.85050E-04,5.21E-01,1.45E+01
1.55E+02,3.8536E+02,3.01E+01,-2.50E+01,2.52334E-05,3.73548E-02,2.52334E-04,5.24E-01,1.47E+01
1.62E+02,3.8264E+02,3.03E+01,-2.54E+01,2.23688E-05,3.67254E-02,2.23688E-04,5.24E-01,1.48E+01
1.70E+02,3.7963E+02,3.05E+01,-2.41E+01,1.98227E-05,3.81209E-02,1.98227E-04,5.25E-01,1.50E+01
1.78E+02,3.7702E+02,3.08E+01,-2.31E+01,1.75707E-05,3.58339E-02,1.75707E-04,5.26E-01,1.52E+01
1.85E+02,3.7457E+02,3.10E+01,-2.21E+01,1.57329E-05,3.34571E-02,1.57329E-04,5.30E-01,1.54E+01
1.92E+02,3.7186E+02,3.12E+01,-2.01E+01,1.41278E-05,3.43811E-02,1.41278E-04,5.31E-01,1.55E+01
1.99E+02,3.6949E+02,3.14E+01,-2.14E+01,1.26685E-05,3.28393E-02,1.26685E-04,5.30E-01,1.57E+01
2.07E+02,3.6726E+02,3.16E+01,-2.11E+01,1.13981E-05,3.33085E-02,1.13981E-04,5.31E-01,1.58E+01
2.14E+02,3.6481E+02,3.18E+01,-1.90E+01,1.02434E-05,3.17644E-02,1.02434E-04,5.32E-01,1.60E+01
2.21E+02,3.6268E+02,3.20E+01,-1.90E+01,9.26168E-06,3.07926E-02,9.26168E-05,5.31E-01,1.60E+01
2.29E+02,3.6066E+02,3.21E+01,-1.85E+01,8.41232E-06,2.99335E-02,8.41232E-05,5.31E-01,1.61E+01
2.36E+02,3.5870E+02,3.23E+01,-1.73E+01,7.63274E-06,3.03545E-02,7.63274E-05,5.30E-01,1.62E+01
2.43E+02,3.5675E+02,3.25E+01,-1.68E+01,6.93264E-06,2.97227E-02,6.93264E-05,5.30E-01,1.63E+01
2.50E+02,3.5492E+02,3.27E+01,-1.64E+01,6.31918E-06,2.95018E-02,6.31918E-05,5.31E-01,1.65E+01
2.58E+02,3.5314E+02,3.28E+01,-1.56E+01,5.77104E-06,2.71058E-02,5.77104E-05,5.32E-01,1.66E+01
2.65E+02,3.5142E+02,3.30E+01,-1.48E+01,5.28336E-06,2.75480E-02,5.28336E-05,5.35E-01,1.68E+01
2.72E+02,3.4947E+02,3.32E+01,-1.45E+01,4.84374E-06,2.72450E-02,4.84374E-05,5.35E-01,1.69E+01
2.79E+02,3.4785E+02,3.33E+01,-1.54E+01,4.43632E-06,2.69566E-02,4.43632E-05,5.36E-01,1.71E+01
2.87E+02,3.4628E+02,3.35E+01,-1.47E+01,4.07466E-06,2.65918E-02,4.07466E-05,5.36E-01,1.72E+01
2.94E+02,3.4451E+02,3.37E+01,-1.30E+01,3.75094E-06,2.56980E-02,3.75094E-05,5.37E-01,1.73E+01
3.01E+02,3.4304E+02,3.38E+01,-1.36E+01,3.45778E-06,2.56266E-02,3.45778E-05,5.38E-01,1.74E+01
3.09E+02,3.4162E+02,3.39E+01,-1.32E+01,3.19522E-06,2.41159E-02,3.19522E-05,5.38E-01,1.75E+01
3.16E+02,3.4005E+02,3.41E+01,-1.18E+01,2.96042E-06,2.43023E-02,2.96042E-05,5.38E-01,1.76E+01
3.23E+02,3.3865E+02,3.42E+01,-1.23E+01,2.73676E-06,2.43595E-02,2.73676E-05,5.37E-01,1.77E+01
3.31E+02,3.3735E+02,3.44E+01,-1.21E+01,2.53572E-06,2.33657E-02,2.53572E-05,5.36E-01,1.78E+01
3.38E+02,3.3592E+02,3.45E+01,-1.08E+01,2.35710E-06,2.22308E-02,2.35710E-05,5.36E-01,1.78E+01
3.46E+02,3.3467E+02,3.46E+01,-1.09E+01,2.20074E-06,2.15874E-02,2.20074E-05,5.35E-01,1.79E+01
3.53E+02,3.3348E+02,3.48E+01,-1.09E+01,2.05209E-06,2.15178E-02,2.05209E-05,5.34E-01,1.79E+01
3.60E+02,3.3232E+02,3.49E+01,-1.01E+01,1.91833E-06,2.12216E-02,1.91833E-05,5.34E-01,1.80E+01
3.68E+02,3.3102E+02,3.50E+01,-9.65E+00,1.79442E-06,2.05437E-02,1.79442E-05,5.35E-01,1.81E+01
3.75E+02,3.2992E+02,3.51E+01,-1.00E+01,1.68228E-06,2.01252E-02,1.68228E-05,5.35E-01,1.82E+01
3.82E+02,3.2884E+02,3.53E+01,-9.85E+00,1.58051E-06,1.96908E-02,1.58051E-05,5.37E-01,1.83E+01
3.89E+02,3.2778E+02,3.54E+01,-9.03E+00,1.48581E-06,1.87026E-02,1.48581E-05,5.36E-01,1.84E+01
