Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
2.02E+00,4.7750E+02,2.43E+01,NaN,4.2412E-04,1.8064E-02,4.2412E-03,NaN,NaN
1.36E+01,4.6864E+02,2.47E+01,NaN,3.6963E-04,6.8311E-02,3.6963E-03,NaN,NaN
2.58E+01,4.5938E+02,2.52E+01,-4.59E+01,2.9050E-04,7.4831E-02,2.9050E-03,NaN,NaN
3.68E+01,4.5053E+02,2.57E+01,-4.57E+01,2.2883E-04,7.5030E-02,2.2883E-03,NaN,NaN
4.75E+01,4.4268E+02,2.62E+01,-4.68E+01,1.7999E-04,7.4570E-02,1.7999E-03,NaN,NaN
5.79E+01,4.3538E+02,2.66E+01,-4.62E+01,1.4270E-04,7.2333E-02,1.4270E-03,NaN,NaN
6.82E+01,4.2765E+02,2.71E+01,-4.30E+01,1.1373E-04,7.2491E-02,1.1373E-03,NaN,NaN
7.89E+01,4.2112E+02,2.75E+01,-4.36E+01,9.0302E-05,7.0538E-02,9.0302E-04,NaN,NaN
8.92E+01,4.1483E+02,2.79E+01,-4.09E+01,7.2699E-05,6.6524E-02,7.2699E-04,4.86E-01,1.26E+01
9.94E+01,4.0839E+02,2.84E+01,-3.66E+01,5.8622E-05,6.6712E-02,5.8622E-04,4.92E-01,1.28E+01
1.10E+02,4.0289E+02,2.88E+01,-3.72E+01,4.7420E-05,6.6214E-02,4.7420E-04,4.95E-01,1.30E+01
1.20E+02,3.9758E+02,2.92E+01,-3.48E+01,3.8486E-05,6.5519E-02,3.8486E-04,4.98E-01,1.32E+01
1.31E+02,3.9214E+02,2.96E+01,-3.12E+01,3.1198E-05,6.7510E-02,3.1198E-04,5.02E-01,1.34E+01
1.42E+02,3.8694E+02,3.00E+01,-3.07E+01,2.5521E-05,6.0270E-02,2.5521E-04,5.04E-01,1.35E+01
1.52E+02,3.8294E+02,3.03E+01,-2.96E+01,2.1091E-05,5.6956E-02,2.1091E-04,5.06E-01,1.37E+01
1.62E+02,3.7823E+02,3.07E+01,-2.58E+01,1.7536E-05,5.9499E-02,1.7536E-04,5.09E-01,1.38E+01
1.73E+02,3.7425E+02,3.10E+01,-2.55E+01,1.4565E-05,5.6749E-02,1.4565E-04,5.18E-01,1.43E+01
1.83E+02,3.7001E+02,3.13E+01,-2.51E+01,1.2221E-05,5.4002E-02,1.2221E-04,5.22E-01,1.46E+01
1.94E+02,3.6643E+02,3.16E+01,-2.34E+01,1.0290E-05,5.4331E-02,1.0290E-04,5.24E-01,1.49E+01
2.04E+02,3.6295E+02,3.19E+01,-2.27E+01,8.6694E-06,5.0639E-02,8.6694E-05,5.26E-01,1.52E+01
2.15E+02,3.5939E+02,3.23E+01,-2.00E+01,7.3621E-06,5.2450E-02,7.3621E-05,5.28E-01,1.55E+01
2.26E+02,3.5594E+02,3.26E+01,-2.00E+01,6.2642E-06,4.9377E-02,6.2642E-05,5.31E-01,1.58E+01
2.36E+02,3.5302E+02,3.28E+01,-1.99E+01,5.3688E-06,4.7544E-02,5.3688E-05,5.32E-01,1.60E+01
2.47E+02,3.4997E+02,3.31E+01,-1.78E+01,4.6379E-06,4.4953E-02,4.6379E-05,5.34E-01,1.62E+01
2.57E+02,3.4728E+02,3.34E+01,-1.69E+01,4.0127E-06,4.4988E-02,4.0127E-05,5.35E-01,1.65E+01
2.68E+02,3.4475E+02,3.36E+01,-1.64E+01,3.5002E-06,4.1814E-02,3.5002E-05,5.35E-01,1.66E+01
2.78E+02,3.4205E+02,3.39E+01,-1.49E+01,3.0697E-06,4.0786E-02,3.0697E-05,5.37E-01,1.68E+01
2.88E+02,3.3976E+02,3.41E+01,-1.50E+01,2.6931E-06,4.1324E-02,2.6931E-05,5.37E-01,1.70E+01
2.99E+02,3.3713E+02,3.44E+01,-1.45E+01,2.3638E-06,4.2410E-02,2.3638E-05,5.38E-01,1.72E+01
3.11E+02,3.3488E+02,3.46E+01,-1.39E+01,2.0733E-06,3.7814E-02,2.0733E-05,5.36E-01,1.73E+01
3.22E+02,3.3288E+02,3.48E+01,-1.29E+01,1.8510E-06,3.5053E-02,1.8510E-05,5.37E-01,1.75E+01
3.32E+02,3.3101E+02,3.50E+01,-1.14E+01,1.6606E-06,3.2670E-02,1.6606E-05,5.37E-01,1.77E+01
3.42E+02,3.2922E+02,3.52E+01,-1.10E+01,1.5011E-06,3.1276E-02,1.5011E-05,5.38E-01,1.79E+01
3.52E+02,3.2747E+02,3.54E+01,-1.07E+01,1.3577E-06,3.1062E-02,1.3577E-05,5.37E-01,1.80E+01
3.62E+02,3.2582E+02,3.56E+01,-1.06E+01,1.2319E-06,2.9483E-02,1.2319E-05,5.37E-01,1.81E+01
3.73E+02,3.2421E+02,3.58E+01,-1.01E+01,1.1228E-06,2.8274E-02,1.1228E-05,5.38E-01,1.83E+01
3.83E+02,3.2271E+02,3.59E+01,-9.59E+00,1.0259E-06,2.7864E-02,1.0259E-05,5.38E-01,1.84E+01
3.93E+02,3.2107E+02,3.61E+01,-9.23E+00,9.3730E-07,2.8730E-02,9.3730E-06,5.37E-01,1.85E+01
4.04E+02,3.1967E+02,3.63E+01,-9.29E+00,8.5714E-07,2.6296E-02,8.5714E-06,5.37E-01,1.86E+01
4.14E+02,3.1833E+02,3.64E+01,-8.60E+00,7.8796E-07,2.5658E-02,7.8796E-06,5.36E-01,1.87E+01
4.24E+02,3.1700E+02,3.66E+01,-7.74E+00,7.2778E-07,2.4251E-02,7.2778E-06,5.36E-01,1.88E+01
4.35E+02,3.1564E+02,3.67E+01,-7.81E+00,6.7240E-07,2.4178E-02,6.7240E-06,5.37E-01,1.89E+01
4.45E+02,3.1442E+02,3.69E+01,-7.90E+00,6.2366E-07,2.3271E-02,6.2366E-06,5.35E-01,1.90E+01
4.55E+02,3.1328E+02,3.70E+01,-7.52E+00,5.7978E-07,2.2091E-02,5.7978E-06,5.35E-01,1.91E+01
4.66E+02,3.1207E+02,3.72E+01,-6.82E+00,5.4030E-07,2.2470E-02,5.4030E-06,5.33E-01,1.91E+01
4.76E+02,3.1094E+02,3.73E+01,-6.83E+00,5.0311E-07,2.2667E-02,5.0311E-06,5.31E-01,1.91E+01
4.88E+02,3.0989E+02,3.74E+01,-6.69E+00,4.6845E-07,2.1188E-02,4.6845E-06,5.29E-01,1.91E+01
4.99E+02,3.0875E+02,3.76E+01,-5.83E+00,4.3847E-07,2.0582E-02,4.3847E-06,5.29E-01,1.92E+01
5.11E+02,3.0788E+02,3.77E+01,-5.73E+00,4.1125E-07,1.7461E-02,4.1125E-06,5.27E-01,1.92E+01
5.21E+02,3.0704E+02,3.78E+01,-5.21E+00,3.9003E-07,1.6223E-02,3.9003E-06,5.27E-01,1.93E+01
5.31E+02,3.0617E+02,3.79E+01,-4.64E+00,3.7058E-07,1.5883E-02,3.7058E-06,5.27E-01,1.94E+01
5.42E+02,3.0542E+02,3.80E+01,-5.07E+00,3.5242E-07,1.5403E-02,3.5242E-06,5.26E-01,1.94E+01
5.52E+02,3.0472E+02,3.80E+01,-4.75E+00,3.3605E-07,1.4578E-02,3.3605E-06,5.26E-01,1.95E+01
5.63E+02,3.0398E+02,3.81E+01,-4.16E+00,3.2115E-07,1.3668E-02,3.2115E-06,5.25E-01,1.95E+01
5.73E+02,3.0337E+02,3.82E+01,-4.10E+00,3.0765E-07,1.2985E-02,3.0765E-06,5.24E-01,1.96E+01
5.84E+02,3.0273E+02,3.83E+01,-3.84E+00,2.9545E-07,1.2220E-02,2.9545E-06,5.25E-01,1.96E+01
5.94E+02,3.0218E+02,3.84E+01,-3.55E+00,2.8466E-07,1.1380E-02,2.8466E-06,5.26E-01,1.97E+01
6.05E+02,3.0166E+02,3.84E+01,-3.42E+00,2.7466E-07,1.1004E-02,2.7466E-06,5.25E-01,1.98E+01
6.15E+02,3.0103E+02,3.85E+01,-3.10E+00,2.6486E-07,1.2202E-02,2.6486E-06,5.25E-01,1.98E+01
6.28E+02,3.0048E+02,3.86E+01,-3.29E+00,2.5508E-07,1.1189E-02,2.5508E-06,5.25E-01,1.99E+01
6.40E+02,2.9999E+02,3.86E+01,-3.02E+00,2.4666E-07,9.7736E-03,2.4666E-06,5.23E-01,1.98E+01
6.52E+02,2.9960E+02,3.87E+01,-2.50E+00,2.3981E-07,8.1303E-03,2.3981E-06,5.21E-01,1.98E+01
6.62E+02,2.9923E+02,3.87E+01,-2.23E+00,2.3378E-07,7.6771E-03,2.3378E-06,5.21E-01,1.99E+01
6.73E+02,2.9885E+02,3.88E+01,-2.08E+00,2.2824E-07,7.0671E-03,2.2824E-06,5.19E-01,1.98E+01
6.83E+02,2.9852E+02,3.88E+01,-2.13E+00,2.2318E-07,6.8864E-03,2.2318E-06,5.20E-01,1.99E+01
6.94E+02,2.9821E+02,3.89E+01,-2.02E+00,2.1849E-07,6.3331E-03,2.1849E-06,5.21E-01,2.00E+01
7.04E+02,2.9787E+02,3.89E+01,-1.82E+00,2.1401E-07,7.0341E-03,2.1401E-06,5.19E-01,2.00E+01
7.17E+02,2.9754E+02,3.90E+01,-1.84E+00,2.0938E-07,6.7523E-03,2.0938E-06,5.18E-01,2.00E+01
7.30E+02,2.9729E+02,3.90E+01,-1.74E+00,2.0537E-07,5.5366E-03,2.0537E-06,5.18E-01,2.00E+01
7.41E+02,2.9704E+02,3.90E+01,-1.38E+00,2.0203E-07,4.8856E-03,2.0203E-06,5.17E-01,2.00E+01
7.52E+02,2.9684E+02,3.91E+01,-1.24E+00,1.9898E-07,4.6646E-03,1.9898E-06,5.17E-01,2.00E+01
7.62E+02,2.9663E+02,3.91E+01,-1.23E+00,1.9627E-07,4.1247E-03,1.9627E-06,5.18E-01,2.01E+01
7.73E+02,2.9644E+02,3.91E+01,-1.16E+00,1.9376E-07,3.9736E-03,1.9376E-06,5.19E-01,2.01E+01
7.84E+02,2.9627E+02,3.91E+01,-1.13E+00,1.9135E-07,3.8525E-03,1.9135E-06,5.21E-01,2.02E+01
7.95E+02,2.9611E+02,3.92E+01,-1.00E+00,1.8921E-07,3.3680E-03,1.8921E-06,5.20E-01,2.02E+01
8.06E+02,2.9600E+02,3.92E+01,-8.96E-01,1.8725E-07,3.0548E-03,1.8725E-06,5.20E-01,2.02E+01
8.17E+02,2.9600E+02,3.92E+01,-7.37E-01,1.8554E-07,1.7937E-03,1.8554E-06,5.21E-01,2.03E+01
6.15E+02,3.0103E+02,3.85E+01,-3.10E+00,2.6486E-07,1.2202E-02,2.6486E-06,5.25E-01,1.98E+01
6.28E+02,3.0048E+02,3.86E+01,-3.29E+00,2.5508E-07,1.1189E-02,2.5508E-06,5.25E-01,1.99E+01
6.40E+02,2.9999E+02,3.86E+01,-3.02E+00,2.4666E-07,9.7736E-03,2.4666E-06,5.23E-01,1.98E+01
6.52E+02,2.9960E+02,3.87E+01,-2.50E+00,2.3981E-07,8.1303E-03,2.3981E-06,5.21E-01,1.98E+01
6.62E+02,2.9923E+02,3.87E+01,-2.23E+00,2.3378E-07,7.6771E-03,2.3378E-06,5.21E-01,1.99E+01
6.73E+02,2.9885E+02,3.88E+01,-2.08E+00,2.2824E-07,7.0671E-03,2.2824E-06,5.19E-01,1.98E+01
6.83E+02,2.9852E+02,3.88E+01,-2.13E+00,2.2318E-07,6.8864E-03,2.2318E-06,5.20E-01,1.99E+01
6.94E+02,2.9821E+02,3.89E+01,-2.02E+00,2.1849E-07,6.3331E-03,2.1849E-06,5.21E-01,2.00E+01
7.04E+02,2.9787E+02,3.89E+01,-1.82E+00,2.1401E-07,7.0341E-03,2.1401E-06,5.19E-01,2.00E+01
7.17E+02,2.9754E+02,3.90E+01,-1.84E+00,2.0938E-07,6.7523E-03,2.0938E-06,5.18E-01,2.00E+01
7.30E+02,2.9729E+02,3.90E+01,-1.74E+00,2.0537E-07,5.5366E-03,2.0537E-06,5.18E-01,2.00E+01
7.41E+02,2.9704E+02,3.90E+01,-1.38E+00,2.0203E-07,4.8856E-03,2.0203E-06,5.17E-01,2.00E+01
7.52E+02,2.9684E+02,3.91E+01,-1.24E+00,1.9898E-07,4.6646E-03,1.9898E-06,5.17E-01,2.00E+01
7.62E+02,2.9663E+02,3.91E+01,-1.23E+00,1.9627E-07,4.1247E-03,1.9627E-06,5.18E-01,2.01E+01
7.73E+02,2.9644E+02,3.91E+01,-1.16E+00,1.9376E-07,3.9736E-03,1.9376E-06,5.19E-01,2.01E+01
7.84E+02,2.9627E+02,3.91E+01,-1.13E+00,1.9135E-07,3.8525E-03,1.9135E-06,5.21E-01,2.02E+01
7.95E+02,2.9611E+02,3.92E+01,-1.00E+00,1.8921E-07,3.3680E-03,1.8921E-06,5.20E-01,2.02E+01
8.06E+02,2.9600E+02,3.92E+01,-8.96E-01,1.8725E-07,3.0548E-03,1.8725E-06,5.20E-01,2.02E+01
8.17E+02,2.9600E+02,3.92E+01,-7.37E-01,1.8554E-07,1.7937E-03,1.8554E-06,5.21E-01,2.03E+01
