Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
5.00E+01,4.49830E+02,2.58E+01,-1.39E+00,2.20192E-04,1.29349E-03,2.20192E-03,NaN,NaN
5.87E+01,4.49630E+02,2.58E+01,-1.49E+00,2.18934E-04,1.55318E-03,2.18934E-03,NaN,NaN
6.71E+01,4.49420E+02,2.58E+01,-1.22E+00,2.17600E-04,1.50009E-03,2.17600E-03,5.18E-01,1.34E+01
7.55E+01,4.49250E+02,2.58E+01,-1.21E+00,2.16256E-04,1.88164E-03,2.16256E-03,5.16E-01,1.33E+01
8.54E+01,4.49050E+02,2.58E+01,-9.29E-01,2.15248E-04,1.25669E-03,2.15248E-03,4.98E-01,1.29E+01
9.58E+01,4.48890E+02,2.58E+01,-9.97E-01,2.14172E-04,1.01997E-03,2.14172E-03,4.84E-01,1.25E+01
1.07E+02,4.48700E+02,2.58E+01,-8.72E-01,2.13084E-04,8.77726E-04,2.13084E-03,4.87E-01,1.26E+01
1.20E+02,4.48510E+02,2.59E+01,-1.10E+00,2.11884E-04,9.85813E-04,2.11884E-03,4.68E-01,1.21E+01
1.33E+02,4.48280E+02,2.59E+01,-1.11E+00,2.10650E-04,1.06628E-03,2.10650E-03,4.62E-01,1.19E+01
1.46E+02,4.48040E+02,2.59E+01,-1.01E+00,2.09330E-04,1.17938E-03,2.09330E-03,4.62E-01,1.20E+01
1.56E+02,4.47870E+02,2.59E+01,-1.03E+00,2.08376E-04,9.77399E-04,2.08376E-03,4.84E-01,1.25E+01
1.68E+02,4.47670E+02,2.59E+01,-1.18E+00,2.07168E-04,1.23745E-03,2.07168E-03,5.00E-01,1.29E+01
1.78E+02,4.47470E+02,2.59E+01,-9.49E-01,2.05934E-04,1.32256E-03,2.05934E-03,4.98E-01,1.29E+01
1.91E+02,4.47260E+02,2.59E+01,-1.01E+00,2.04688E-04,9.96687E-04,2.04688E-03,4.88E-01,1.27E+01
2.01E+02,4.47090E+02,2.59E+01,-9.74E-01,2.03770E-04,7.99635E-04,2.03770E-03,4.74E-01,1.23E+01
2.14E+02,4.46880E+02,2.59E+01,-1.10E+00,2.02570E-04,8.74065E-04,2.02570E-03,4.62E-01,1.20E+01
2.25E+02,4.46670E+02,2.60E+01,-1.07E+00,2.01448E-04,1.38701E-03,2.01448E-03,4.64E-01,1.20E+01
2.37E+02,4.46460E+02,2.60E+01,-1.02E+00,2.00356E-04,8.74941E-04,2.00356E-03,4.62E-01,1.20E+01
2.49E+02,4.46260E+02,2.60E+01,-1.01E+00,1.99230E-04,1.26872E-03,1.99230E-03,4.59E-01,1.19E+01
2.60E+02,4.46070E+02,2.60E+01,-1.11E+00,1.98212E-04,1.05290E-03,1.98212E-03,4.66E-01,1.21E+01
2.72E+02,4.45860E+02,2.60E+01,-9.41E-01,1.97162E-04,8.85762E-04,1.97162E-03,4.63E-01,1.20E+01
2.83E+02,4.45680E+02,2.60E+01,-1.03E+00,1.96114E-04,9.61807E-04,1.96114E-03,4.72E-01,1.23E+01
2.95E+02,4.45480E+02,2.60E+01,-9.96E-01,1.95087E-04,1.09390E-03,1.95087E-03,4.80E-01,1.25E+01
3.08E+02,4.45260E+02,2.60E+01,-1.05E+00,1.93853E-04,1.19197E-03,1.93853E-03,4.77E-01,1.24E+01
3.20E+02,4.45050E+02,2.61E+01,-9.38E-01,1.92716E-04,1.06637E-03,1.92716E-03,4.74E-01,1.23E+01
3.32E+02,4.44860E+02,2.61E+01,-1.04E+00,1.91699E-04,1.10292E-03,1.91699E-03,4.58E-01,1.19E+01
3.43E+02,4.44680E+02,2.61E+01,-1.08E+00,1.90816E-04,1.17787E-03,1.90816E-03,4.50E-01,1.17E+01
3.55E+02,4.44450E+02,2.61E+01,-1.06E+00,1.89681E-04,1.03863E-03,1.89681E-03,4.57E-01,1.19E+01
3.66E+02,4.44270E+02,2.61E+01,-9.46E-01,1.88771E-04,1.24698E-03,1.88771E-03,4.71E-01,1.23E+01
3.77E+02,4.44090E+02,2.61E+01,-9.92E-01,1.87760E-04,1.13644E-03,1.87760E-03,4.92E-01,1.28E+01
3.90E+02,4.43870E+02,2.61E+01,-1.03E+00,1.86601E-04,1.08958E-03,1.86601E-03,4.85E-01,1.27E+01
4.02E+02,4.43670E+02,2.61E+01,-1.05E+00,1.85453E-04,1.45912E-03,1.85453E-03,4.87E-01,1.27E+01
4.15E+02,4.43440E+02,2.61E+01,-9.13E-01,1.84384E-04,1.14314E-03,1.84384E-03,4.65E-01,1.22E+01
4.26E+02,4.43280E+02,2.62E+01,-1.03E+00,1.83402E-04,1.16047E-03,1.83402E-03,4.15E-01,1.09E+01
4.37E+02,4.43080E+02,2.62E+01,-1.01E+00,1.82636E-04,4.48820E-04,1.82636E-03,3.82E-01,1.00E+01
4.50E+02,4.42860E+02,2.62E+01,-1.06E+00,1.81855E-04,1.16760E-03,1.81855E-03,3.78E-01,9.90E+00
4.61E+02,4.42680E+02,2.62E+01,-9.73E-01,1.81135E-04,9.92409E-04,1.81135E-03,4.23E-01,1.11E+01
4.72E+02,4.42490E+02,2.62E+01,-9.84E-01,1.80121E-04,9.37776E-04,1.80121E-03,4.52E-01,1.19E+01
4.85E+02,4.42280E+02,2.62E+01,-1.14E+00,1.79040E-04,1.74133E-03,1.79040E-03,4.64E-01,1.22E+01
4.97E+02,4.42060E+02,2.62E+01,-9.37E-01,1.78083E-04,7.28491E-04,1.78083E-03,4.41E-01,1.16E+01
5.08E+02,4.41880E+02,2.62E+01,-1.01E+00,1.77151E-04,8.29527E-04,1.77151E-03,4.22E-01,1.11E+01
5.21E+02,4.41660E+02,2.63E+01,-9.60E-01,1.76267E-04,9.26338E-04,1.76267E-03,4.23E-01,1.11E+01
5.33E+02,4.41470E+02,2.63E+01,-1.06E+00,1.75462E-04,9.76717E-04,1.75462E-03,4.13E-01,1.09E+01
5.45E+02,4.41260E+02,2.63E+01,-9.89E-01,1.74473E-04,1.08980E-03,1.74473E-03,4.11E-01,1.08E+01
5.57E+02,4.41070E+02,2.63E+01,-1.07E+00,1.73690E-04,1.03050E-03,1.73690E-03,4.15E-01,1.09E+01
5.68E+02,4.40860E+02,2.63E+01,-9.67E-01,1.72882E-04,8.81781E-04,1.72882E-03,4.20E-01,1.10E+01
5.80E+02,4.40670E+02,2.63E+01,-1.02E+00,1.71963E-04,1.09617E-03,1.71963E-03,4.44E-01,1.17E+01
5.92E+02,4.40470E+02,2.63E+01,-9.47E-01,1.71053E-04,1.08385E-03,1.71053E-03,4.49E-01,1.18E+01
6.03E+02,4.40290E+02,2.63E+01,-1.03E+00,1.70160E-04,9.32443E-04,1.70160E-03,4.36E-01,1.15E+01
6.16E+02,4.40070E+02,2.63E+01,-9.62E-01,1.69285E-04,9.69253E-04,1.69285E-03,4.34E-01,1.14E+01
6.28E+02,4.39880E+02,2.64E+01,-9.46E-01,1.68449E-04,9.38137E-04,1.68449E-03,4.21E-01,1.11E+01
6.41E+02,4.39680E+02,2.64E+01,-1.09E+00,1.67526E-04,9.16031E-04,1.67526E-03,4.30E-01,1.13E+01
6.52E+02,4.39470E+02,2.64E+01,-9.47E-01,1.66725E-04,9.29568E-04,1.66725E-03,4.32E-01,1.14E+01
6.65E+02,4.39260E+02,2.64E+01,-1.09E+00,1.65761E-04,9.80392E-04,1.65761E-03,4.43E-01,1.17E+01
6.75E+02,4.39080E+02,2.64E+01,-9.97E-01,1.64965E-04,1.02385E-03,1.64965E-03,4.69E-01,1.24E+01
6.89E+02,4.38860E+02,2.64E+01,-1.05E+00,1.63933E-04,1.12705E-03,1.63933E-03,4.72E-01,1.25E+01
7.01E+02,4.38650E+02,2.64E+01,-1.02E+00,1.62899E-04,1.20973E-03,1.62899E-03,4.70E-01,1.24E+01
7.11E+02,4.38480E+02,2.64E+01,-9.17E-01,1.62164E-04,1.12292E-03,1.62164E-03,4.54E-01,1.20E+01
7.24E+02,4.38280E+02,2.65E+01,-1.00E+00,1.61283E-04,9.44596E-04,1.61283E-03,4.36E-01,1.15E+01
7.35E+02,4.38090E+02,2.65E+01,-1.00E+00,1.60504E-04,9.09667E-04,1.60504E-03,4.36E-01,1.15E+01
7.48E+02,4.37870E+02,2.65E+01,-9.75E-01,1.59588E-04,9.97074E-04,1.59588E-03,4.33E-01,1.15E+01
7.60E+02,4.37680E+02,2.65E+01,-1.04E+00,1.58768E-04,1.01350E-03,1.58768E-03,4.33E-01,1.15E+01
7.71E+02,4.37480E+02,2.65E+01,-1.03E+00,1.57955E-04,9.67311E-04,1.57955E-03,4.40E-01,1.17E+01
7.84E+02,4.37260E+02,2.65E+01,-9.73E-01,1.57052E-04,9.91116E-04,1.57052E-03,4.45E-01,1.18E+01
7.96E+02,4.37070E+02,2.65E+01,-1.02E+00,1.56195E-04,1.05260E-03,1.56195E-03,4.56E-01,1.21E+01
8.08E+02,4.36870E+02,2.65E+01,-1.00E+00,1.55344E-04,1.03692E-03,1.55344E-03,4.52E-01,1.20E+01
8.19E+02,4.36680E+02,2.66E+01,-1.07E+00,1.54510E-04,1.09716E-03,1.54510E-03,4.44E-01,1.18E+01
8.31E+02,4.36470E+02,2.66E+01,-9.40E-01,1.53691E-04,1.05361E-03,1.53691E-03,4.39E-01,1.17E+01
8.44E+02,4.36260E+02,2.66E+01,-1.03E+00,1.52804E-04,1.03761E-03,1.52804E-03,4.35E-01,1.16E+01
