Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
9.76E+01,4.6960E+02,2.47E+01,NaN,3.902560E-04,1.842532E-03,3.902560E-03,NaN,NaN
1.26E+03,4.6867E+02,2.47E+01,NaN,3.816315E-04,3.529208E-03,3.816315E-03,NaN,NaN
2.49E+03,4.6762E+02,2.48E+01,NaN,3.724115E-04,2.602543E-03,3.724115E-03,NaN,NaN
3.67E+03,4.6665E+02,2.48E+01,NaN,3.620060E-04,3.283570E-03,3.620060E-03,NaN,NaN
4.87E+03,4.6562E+02,2.49E+01,NaN,3.527440E-04,2.780234E-03,3.527440E-03,NaN,NaN
6.08E+03,4.6465E+02,2.50E+01,NaN,3.453960E-04,1.763837E-03,3.453960E-03,NaN,NaN
7.27E+03,4.6363E+02,2.50E+01,NaN,3.363245E-04,2.654540E-03,3.363245E-03,NaN,NaN
8.48E+03,4.6267E+02,2.51E+01,NaN,3.277355E-04,3.128041E-03,3.277355E-03,NaN,NaN
9.68E+03,4.6166E+02,2.51E+01,NaN,3.200550E-04,2.678046E-03,3.200550E-03,NaN,NaN
1.09E+04,4.6062E+02,2.52E+01,NaN,3.131805E-04,2.680568E-03,3.131805E-03,NaN,NaN
1.21E+04,4.5968E+02,2.52E+01,NaN,3.050295E-04,2.308119E-03,3.050295E-03,NaN,NaN
1.33E+04,4.5862E+02,2.53E+01,NaN,2.967800E-04,2.827422E-03,2.967800E-03,NaN,NaN
1.45E+04,4.5765E+02,2.53E+01,NaN,2.898090E-04,3.697690E-03,2.898090E-03,NaN,NaN
1.57E+04,4.5666E+02,2.54E+01,NaN,2.810675E-04,2.402626E-03,2.810675E-03,NaN,NaN
1.69E+04,4.5568E+02,2.54E+01,NaN,2.729175E-04,2.966153E-03,2.729175E-03,NaN,NaN
1.81E+04,4.5468E+02,2.55E+01,NaN,2.693565E-04,2.426582E-03,2.693565E-03,NaN,NaN
1.93E+04,4.5370E+02,2.56E+01,-5.00E-02,2.584645E-04,7.094660E-03,2.584645E-03,NaN,NaN
2.05E+04,4.5266E+02,2.56E+01,-5.00E-02,2.543580E-04,2.286293E-03,2.543580E-03,NaN,NaN
2.17E+04,4.5167E+02,2.57E+01,-5.00E-02,2.472535E-04,4.997560E-03,2.472535E-03,NaN,NaN
2.29E+04,4.5067E+02,2.57E+01,-5.00E-02,2.397800E-04,3.168330E-03,2.397800E-03,NaN,NaN
2.41E+04,4.4964E+02,2.58E+01,-5.00E-02,2.332140E-04,3.022047E-03,2.332140E-03,NaN,NaN
2.53E+04,4.4862E+02,2.58E+01,-5.00E-02,2.271005E-04,2.086803E-03,2.271005E-03,NaN,NaN
2.65E+04,4.4763E+02,2.59E+01,-5.00E-02,2.217180E-04,2.583218E-03,2.217180E-03,NaN,NaN
2.77E+04,4.4667E+02,2.60E+01,-5.00E-02,2.168720E-04,2.195602E-03,2.168720E-03,NaN,NaN
2.89E+04,4.4568E+02,2.60E+01,-5.00E-02,2.114080E-04,2.111929E-03,2.114080E-03,NaN,NaN
3.01E+04,4.4467E+02,2.61E+01,-5.00E-02,2.060765E-04,2.311246E-03,2.060765E-03,NaN,NaN
3.13E+04,4.4367E+02,2.61E+01,-5.00E-02,2.013115E-04,2.548505E-03,2.013115E-03,NaN,NaN
3.25E+04,4.4269E+02,2.62E+01,-5.00E-02,1.970368E-04,2.241872E-03,1.970367E-03,NaN,NaN
3.37E+04,4.4167E+02,2.63E+01,-5.00E-02,1.922826E-04,2.297826E-03,1.922826E-03,NaN,NaN
3.49E+04,4.4069E+02,2.63E+01,-5.00E-02,1.870317E-04,2.156409E-03,1.870317E-03,NaN,NaN
3.61E+04,4.3970E+02,2.64E+01,-5.00E-02,1.826979E-04,2.029987E-03,1.826979E-03,NaN,NaN
3.73E+04,4.3868E+02,2.64E+01,-5.00E-02,1.780596E-04,2.439157E-03,1.780596E-03,NaN,NaN
3.85E+04,4.3769E+02,2.65E+01,-5.00E-02,1.736281E-04,1.699933E-03,1.736282E-03,NaN,NaN
3.97E+04,4.3667E+02,2.66E+01,-5.00E-02,1.692767E-04,2.239065E-03,1.692767E-03,NaN,NaN
