Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
1.76E+01,4.69940E+02,2.47E+01,-1.00E+00,3.62136E-04,3.68726E-04,3.62136E-03,NaN,NaN
3.50E+01,4.69650E+02,2.47E+01,-1.32E+00,3.59862E-04,1.14800E-03,3.59862E-03,NaN,NaN
4.54E+01,4.69420E+02,2.47E+01,-1.14E+00,3.57940E-04,1.22401E-03,3.57940E-03,4.67E-01,1.15E+01
5.44E+01,4.69250E+02,2.47E+01,-1.03E+00,3.56222E-04,1.22981E-03,3.56222E-03,5.01E-01,1.24E+01
6.48E+01,4.69070E+02,2.47E+01,-9.32E-01,3.54466E-04,9.92346E-04,3.54466E-03,5.02E-01,1.24E+01
7.64E+01,4.68890E+02,2.47E+01,-9.75E-01,3.52790E-04,8.74356E-04,3.52790E-03,4.77E-01,1.18E+01
9.00E+01,4.68670E+02,2.47E+01,-1.02E+00,3.50928E-04,8.92608E-04,3.50928E-03,4.65E-01,1.15E+01
1.02E+02,4.68460E+02,2.47E+01,-9.50E-01,3.49188E-04,1.15005E-03,3.49188E-03,4.34E-01,1.07E+01
1.14E+02,4.68270E+02,2.48E+01,-1.04E+00,3.47526E-04,9.36973E-04,3.47526E-03,4.23E-01,1.05E+01
1.26E+02,4.68060E+02,2.48E+01,-1.02E+00,3.46246E-04,8.54952E-04,3.46246E-03,4.28E-01,1.06E+01
1.38E+02,4.67860E+02,2.48E+01,-1.01E+00,3.44546E-04,1.08841E-03,3.44546E-03,4.46E-01,1.11E+01
1.49E+02,4.67680E+02,2.48E+01,-1.09E+00,3.42946E-04,9.50605E-04,3.42946E-03,4.67E-01,1.16E+01
1.61E+02,4.67470E+02,2.48E+01,-9.87E-01,3.41108E-04,1.05933E-03,3.41108E-03,4.58E-01,1.13E+01
1.73E+02,4.67270E+02,2.48E+01,-1.01E+00,3.39602E-04,9.18373E-04,3.39602E-03,4.51E-01,1.12E+01
1.85E+02,4.67070E+02,2.48E+01,-9.81E-01,3.37972E-04,9.27062E-04,3.37972E-03,4.61E-01,1.14E+01
1.97E+02,4.66870E+02,2.48E+01,-8.59E-01,3.36294E-04,9.33394E-04,3.36294E-03,4.65E-01,1.15E+01
2.09E+02,4.66700E+02,2.48E+01,-1.07E+00,3.34720E-04,8.72044E-04,3.34720E-03,4.66E-01,1.16E+01
