Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
2.63E+01,4.7973E+02,2.42E+01,-1.71E+00,4.07750E-04,1.91050E-03,4.07750E-03,NaN,NaN
3.65E+01,4.7944E+02,2.42E+01,-1.17E+00,4.05020E-04,2.07999E-03,4.05020E-03,NaN,NaN
4.62E+01,4.7925E+02,2.42E+01,-4.73E-01,4.02612E-04,1.39947E-03,4.02612E-03,5.41E-01,1.31E+01
5.64E+01,4.7917E+02,2.42E+01,-5.33E-01,4.01400E-04,5.67553E-04,4.01400E-03,4.28E-01,1.04E+01
6.65E+01,4.7908E+02,2.42E+01,-1.26E+00,4.00826E-04,5.21119E-04,4.00826E-03,3.72E-01,9.01E+00
8.28E+01,4.7874E+02,2.42E+01,-1.37E+00,3.98764E-04,1.51211E-03,3.98764E-03,3.94E-01,9.53E+00
9.24E+01,4.7852E+02,2.42E+01,-9.43E-01,3.96674E-04,1.72263E-03,3.96674E-03,4.42E-01,1.07E+01
1.03E+02,4.7836E+02,2.42E+01,-7.21E-01,3.94756E-04,1.25472E-03,3.94756E-03,5.07E-01,1.23E+01
1.13E+02,4.7824E+02,2.42E+01,-9.64E-01,3.93410E-04,9.13132E-04,3.93410E-03,4.80E-01,1.16E+01
1.27E+02,4.7801E+02,2.43E+01,-1.24E+00,3.91516E-04,1.30471E-03,3.91516E-03,4.52E-01,1.10E+01
1.39E+02,4.7776E+02,2.43E+01,-1.08E+00,3.89268E-04,1.26419E-03,3.89268E-03,4.62E-01,1.12E+01
1.49E+02,4.7758E+02,2.43E+01,-8.55E-01,3.87644E-04,1.37107E-03,3.87644E-03,4.84E-01,1.18E+01
1.59E+02,4.7744E+02,2.43E+01,-9.38E-01,3.86016E-04,1.36597E-03,3.86016E-03,4.75E-01,1.15E+01
1.73E+02,4.7722E+02,2.43E+01,-1.06E+00,3.84044E-04,9.55942E-04,3.84044E-03,4.69E-01,1.14E+01
1.85E+02,4.7700E+02,2.43E+01,-1.08E+00,3.82266E-04,1.39956E-03,3.82266E-03,4.73E-01,1.15E+01
1.95E+02,4.7682E+02,2.43E+01,-9.99E-01,3.80498E-04,1.53486E-03,3.80498E-03,4.93E-01,1.20E+01
2.07E+02,4.7662E+02,2.43E+01,-8.93E-01,3.78376E-04,1.52586E-03,3.78376E-03,5.28E-01,1.28E+01
2.19E+02,4.7644E+02,2.43E+01,-1.04E+00,3.76696E-04,9.80178E-04,3.76696E-03,4.61E-01,1.12E+01
2.34E+02,4.7619E+02,2.43E+01,-1.17E+00,3.73996E-04,1.49682E-03,3.73996E-03,3.24E-01,7.88E+00
2.44E+02,4.7599E+02,2.44E+01,-9.27E-01,3.73418E-04,3.32663E-03,3.73418E-03,2.60E-01,6.34E+00
2.54E+02,4.7583E+02,2.44E+01,-9.96E-01,3.73846E-04,9.48665E-04,3.73846E-03,2.70E-01,6.57E+00
2.66E+02,4.7563E+02,2.44E+01,-9.23E-01,3.71982E-04,2.22028E-03,3.71982E-03,4.14E-01,1.01E+01
2.79E+02,4.7544E+02,2.44E+01,-1.07E+00,3.69986E-04,1.90951E-03,3.69986E-03,5.06E-01,1.23E+01
2.93E+02,4.7519E+02,2.44E+01,-8.94E-01,3.67646E-04,9.68682E-04,3.67646E-03,4.71E-01,1.15E+01
3.03E+02,4.7504E+02,2.44E+01,-1.02E+00,3.66318E-04,1.05222E-03,3.66318E-03,4.16E-01,1.01E+01
3.15E+02,4.7484E+02,2.44E+01,-9.98E-01,3.65016E-04,1.09149E-03,3.65016E-03,5.08E-01,1.24E+01
3.27E+02,4.7464E+02,2.44E+01,-9.71E-01,3.63680E-04,1.51980E-03,3.63680E-03,3.84E-01,9.38E+00
3.41E+02,4.7441E+02,2.44E+01,-1.10E+00,3.59752E-04,1.52357E-03,3.59752E-03,4.58E-01,1.12E+01
3.53E+02,4.7419E+02,2.45E+01,-1.10E+00,3.61300E-04,2.65404E-03,3.61300E-03,5.19E-01,1.27E+01
3.63E+02,4.7401E+02,2.45E+01,-9.60E-01,3.57146E-04,3.34656E-03,3.57146E-03,5.85E-01,1.43E+01
3.75E+02,4.7381E+02,2.45E+01,-8.89E-01,3.54988E-04,1.94265E-03,3.54988E-03,7.27E-01,1.78E+01
3.87E+02,4.7363E+02,2.45E+01,-1.01E+00,3.52318E-04,2.07291E-03,3.52318E-03,5.70E-01,1.40E+01
4.00E+02,4.7342E+02,2.45E+01,-1.14E+00,3.50832E-04,1.54492E-03,3.50832E-03,5.52E-01,1.35E+01
4.12E+02,4.7319E+02,2.45E+01,-1.00E+00,3.48628E-04,1.63591E-03,3.48628E-03,5.13E-01,1.26E+01
4.22E+02,4.7302E+02,2.45E+01,-8.83E-01,3.46678E-04,1.72354E-03,3.46678E-03,5.00E-01,1.23E+01
4.34E+02,4.7284E+02,2.45E+01,-9.81E-01,3.45212E-04,9.19331E-04,3.45212E-03,4.72E-01,1.16E+01
4.49E+02,4.7261E+02,2.45E+01,-1.13E+00,3.43658E-04,1.14717E-03,3.43658E-03,4.53E-01,1.11E+01
4.61E+02,4.7238E+02,2.45E+01,-1.04E+00,3.41538E-04,1.32558E-03,3.41538E-03,4.71E-01,1.16E+01
4.70E+02,4.7221E+02,2.46E+01,-9.16E-01,3.40116E-04,1.29328E-03,3.40116E-03,4.72E-01,1.16E+01
4.83E+02,4.7202E+02,2.46E+01,-9.68E-01,3.38430E-04,1.14592E-03,3.38430E-03,4.17E-01,1.02E+01
4.95E+02,4.7182E+02,2.46E+01,-9.85E-01,3.37124E-04,1.05597E-03,3.37124E-03,4.29E-01,1.05E+01
5.08E+02,4.7162E+02,2.46E+01,-9.28E-01,3.36000E-04,3.47692E-03,3.36000E-03,4.36E-01,1.07E+01
5.20E+02,4.7143E+02,2.46E+01,-1.19E+00,3.33944E-04,1.33325E-03,3.33944E-03,4.81E-01,1.18E+01
5.30E+02,4.7123E+02,2.46E+01,-9.16E-01,3.32500E-04,1.62559E-03,3.32500E-03,5.11E-01,1.26E+01
5.42E+02,4.7104E+02,2.46E+01,-9.30E-01,3.30692E-04,1.19521E-03,3.30692E-03,2.96E-01,7.29E+00
5.55E+02,4.7085E+02,2.46E+01,-1.06E+00,3.29056E-04,1.19773E-03,3.29056E-03,1.97E-01,4.85E+00
5.69E+02,4.7060E+02,2.46E+01,-1.11E+00,3.30256E-04,7.44347E-04,3.30256E-03,1.55E-01,3.81E+00
5.79E+02,4.7041E+02,2.46E+01,-1.04E+00,3.29036E-04,1.62143E-03,3.29036E-03,2.06E-01,5.06E+00
5.91E+02,4.7020E+02,2.47E+01,-8.33E-01,3.27790E-04,1.43531E-03,3.27790E-03,3.67E-01,9.06E+00
6.01E+02,4.7006E+02,2.47E+01,-9.50E-01,3.26580E-04,6.09722E-04,3.26580E-03,3.88E-01,9.57E+00
6.15E+02,4.6984E+02,2.47E+01,-1.10E+00,3.25556E-04,1.56800E-03,3.25556E-03,4.26E-01,1.05E+01
6.27E+02,4.6962E+02,2.47E+01,-1.00E+00,3.23698E-04,1.37767E-03,3.23698E-03,4.53E-01,1.12E+01
6.39E+02,4.6942E+02,2.47E+01,-9.90E-01,3.21954E-04,1.42938E-03,3.21954E-03,4.94E-01,1.22E+01
6.51E+02,4.6922E+02,2.47E+01,-9.34E-01,3.20268E-04,1.41155E-03,3.20268E-03,4.80E-01,1.19E+01
