Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
5.62E+00,4.4984E+02,2.58E+01,NaN,1.80644E-04,NaN,1.80644E-03,NaN,NaN
1.15E+01,4.4859E+02,2.58E+01,-4.61E+00,1.77398E-04,NaN,1.77398E-03,NaN,NaN
1.43E+01,4.4742E+02,2.59E+01,-1.28E+01,1.73369E-04,NaN,1.73369E-03,NaN,NaN
1.73E+01,4.4598E+02,2.60E+01,-2.10E+01,1.67609E-04,NaN,1.67609E-03,NaN,NaN
2.06E+01,4.4438E+02,2.61E+01,-2.69E+01,1.60288E-04,NaN,1.60288E-03,NaN,NaN
2.37E+01,4.4255E+02,2.62E+01,-2.90E+01,1.52792E-04,NaN,1.52792E-03,NaN,NaN
2.66E+01,4.4076E+02,2.63E+01,-3.21E+01,1.45403E-04,NaN,1.45403E-03,3.91E-01,1.02E+01
2.98E+01,4.3905E+02,2.64E+01,-3.59E+01,1.37593E-04,NaN,1.37593E-03,4.07E-01,1.06E+01
3.31E+01,4.3662E+02,2.66E+01,-3.45E+01,1.29575E-04,NaN,1.29575E-03,4.25E-01,1.11E+01
3.60E+01,4.3479E+02,2.67E+01,-3.87E+01,1.22653E-04,NaN,1.22653E-03,4.31E-01,1.13E+01
3.90E+01,4.3296E+02,2.68E+01,-4.10E+01,1.15799E-04,NaN,1.15799E-03,4.37E-01,1.14E+01
4.21E+01,4.3175E+02,2.69E+01,-3.68E+01,1.09143E-04,NaN,1.09143E-03,4.44E-01,1.16E+01
4.50E+01,4.2983E+02,2.70E+01,-3.01E+01,1.03230E-04,NaN,1.03230E-03,4.56E-01,1.20E+01
4.83E+01,4.2745E+02,2.71E+01,-3.14E+01,9.68300E-05,NaN,9.68300E-04,4.64E-01,1.22E+01
5.13E+01,4.2569E+02,2.72E+01,-4.18E+01,9.12380E-05,NaN,9.12380E-04,4.71E-01,1.24E+01
5.45E+01,4.2393E+02,2.73E+01,-3.95E+01,8.57930E-05,NaN,8.57930E-04,4.80E-01,1.27E+01
5.76E+01,4.2221E+02,2.75E+01,-3.40E+01,8.07850E-05,NaN,8.07850E-04,4.88E-01,1.30E+01
6.06E+01,4.2049E+02,2.76E+01,-3.34E+01,7.61750E-05,NaN,7.61750E-04,4.96E-01,1.32E+01
6.35E+01,4.1882E+02,2.77E+01,-3.39E+01,7.19650E-05,NaN,7.19650E-04,5.02E-01,1.34E+01
6.67E+01,4.1715E+02,2.78E+01,-3.42E+01,6.76370E-05,NaN,6.76370E-04,5.06E-01,1.36E+01
6.97E+01,4.1540E+02,2.79E+01,-3.25E+01,6.38350E-05,NaN,6.38350E-04,5.11E-01,1.38E+01
7.28E+01,4.1377E+02,2.80E+01,-3.32E+01,6.01000E-05,NaN,6.01000E-04,5.15E-01,1.40E+01
7.59E+01,4.1218E+02,2.81E+01,-3.32E+01,5.66160E-05,NaN,5.66160E-04,5.18E-01,1.41E+01
