Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
1.71E+00,2.96480E+02,3.91E+01,NaN,1.664260E-07,NaN,1.664260E-06,NaN,NaN
5.56E+00,2.96490E+02,3.91E+01,NaN,1.664930E-07,NaN,1.664930E-06,NaN,NaN
8.56E+00,2.96490E+02,3.91E+01,NaN,1.665510E-07,NaN,1.665510E-06,NaN,NaN
3.25E+01,2.96690E+02,3.91E+01,2.82E-01,1.679270E-07,NaN,1.679270E-06,NaN,NaN
4.14E+01,2.97010E+02,3.90E+01,6.36E-01,1.701900E-07,NaN,1.701900E-06,NaN,NaN
4.45E+01,2.97160E+02,3.90E+01,8.66E-01,1.713980E-07,NaN,1.713980E-06,NaN,NaN
5.07E+01,2.97520E+02,3.90E+01,1.45E+00,1.745890E-07,NaN,1.745890E-06,NaN,NaN
5.36E+01,2.97730E+02,3.89E+01,1.79E+00,1.764840E-07,NaN,1.764840E-06,NaN,NaN
5.67E+01,2.97960E+02,3.89E+01,2.17E+00,1.787080E-07,NaN,1.787080E-06,NaN,NaN
5.97E+01,2.98210E+02,3.89E+01,2.55E+00,1.811690E-07,NaN,1.811690E-06,NaN,NaN
6.26E+01,2.98480E+02,3.88E+01,2.95E+00,1.838120E-07,NaN,1.838120E-06,NaN,NaN
6.57E+01,2.98770E+02,3.88E+01,3.35E+00,1.868020E-07,NaN,1.868020E-06,NaN,NaN
6.87E+01,2.99050E+02,3.88E+01,3.77E+00,1.899380E-07,NaN,1.899380E-06,NaN,NaN
7.17E+01,2.99340E+02,3.87E+01,4.15E+00,1.932460E-07,NaN,1.932460E-06,NaN,NaN
7.47E+01,2.99640E+02,3.87E+01,4.50E+00,1.967120E-07,NaN,1.967120E-06,NaN,NaN
7.79E+01,2.99920E+02,3.87E+01,4.82E+00,2.005110E-07,NaN,2.005110E-06,NaN,NaN
8.08E+01,3.00220E+02,3.86E+01,5.08E+00,2.040190E-07,NaN,2.040190E-06,NaN,NaN
8.37E+01,3.00500E+02,3.86E+01,5.31E+00,2.076060E-07,NaN,2.076060E-06,NaN,NaN
8.68E+01,3.00780E+02,3.85E+01,5.48E+00,2.116200E-07,NaN,2.116200E-06,NaN,NaN
9.06E+01,3.01170E+02,3.85E+01,5.60E+00,2.163900E-07,NaN,2.163900E-06,NaN,NaN
9.36E+01,3.01440E+02,3.85E+01,5.70E+00,2.202400E-07,NaN,2.202400E-06,4.22E-01,1.64E+01
9.66E+01,3.01700E+02,3.84E+01,5.74E+00,2.240300E-07,NaN,2.240300E-06,4.26E-01,1.66E+01
9.95E+01,3.01960E+02,3.84E+01,5.73E+00,2.276700E-07,NaN,2.276700E-06,4.30E-01,1.67E+01
1.03E+02,3.02210E+02,3.84E+01,5.71E+00,2.316200E-07,NaN,2.316200E-06,4.34E-01,1.68E+01
1.06E+02,3.02460E+02,3.83E+01,5.65E+00,2.353000E-07,NaN,2.353000E-06,4.37E-01,1.70E+01
1.09E+02,3.02640E+02,3.83E+01,5.58E+00,2.390800E-07,NaN,2.390800E-06,4.40E-01,1.71E+01
1.11E+02,3.02880E+02,3.83E+01,5.44E+00,2.427500E-07,NaN,2.427500E-06,4.44E-01,1.72E+01
