Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
1.47E+00,4.69990E+02,2.47E+01,-6.60E-01,2.989800E-04,NaN,2.989800E-03,NaN,NaN
3.15E+01,4.69660E+02,2.47E+01,-1.64E+00,2.970400E-04,NaN,2.970400E-03,NaN,NaN
3.77E+01,4.69490E+02,2.47E+01,-1.37E+00,2.958200E-04,NaN,2.958200E-03,4.67E-01,1.15E+01
4.65E+01,4.69290E+02,2.47E+01,-1.05E+00,2.940900E-04,NaN,2.940900E-03,5.24E-01,1.30E+01
5.51E+01,4.69140E+02,2.47E+01,-5.68E-01,2.928300E-04,NaN,2.928300E-03,5.20E-01,1.28E+01
7.52E+01,4.68950E+02,2.47E+01,-9.60E-01,2.913500E-04,NaN,2.913500E-03,4.83E-01,1.19E+01
8.70E+01,4.68760E+02,2.47E+01,-1.37E+00,2.899700E-04,NaN,2.899700E-03,4.64E-01,1.15E+01
9.84E+01,4.68500E+02,2.47E+01,-1.29E+00,2.882200E-04,NaN,2.882200E-03,4.66E-01,1.15E+01
1.07E+02,4.68310E+02,2.48E+01,-8.53E-01,2.869000E-04,NaN,2.869000E-03,4.69E-01,1.16E+01
1.19E+02,4.68140E+02,2.48E+01,-8.03E-01,2.855300E-04,NaN,2.855300E-03,4.72E-01,1.17E+01
1.34E+02,4.67940E+02,2.48E+01,-1.07E+00,2.841800E-04,NaN,2.841800E-03,4.61E-01,1.14E+01
1.46E+02,4.67730E+02,2.48E+01,-1.17E+00,2.827600E-04,NaN,2.827600E-03,4.58E-01,1.14E+01
1.58E+02,4.67500E+02,2.48E+01,-9.28E-01,2.812400E-04,NaN,2.812400E-03,4.73E-01,1.17E+01
1.69E+02,4.67320E+02,2.48E+01,-9.03E-01,2.798600E-04,NaN,2.798600E-03,4.78E-01,1.18E+01
1.81E+02,4.67150E+02,2.48E+01,-9.45E-01,2.786000E-04,NaN,2.786000E-03,4.69E-01,1.16E+01
1.95E+02,4.66920E+02,2.48E+01,-1.00E+00,2.770800E-04,NaN,2.770800E-03,4.45E-01,1.10E+01
2.07E+02,4.66730E+02,2.48E+01,-1.14E+00,2.758900E-04,NaN,2.758900E-03,4.50E-01,1.12E+01
2.18E+02,4.66510E+02,2.49E+01,-8.47E-01,2.745200E-04,NaN,2.745200E-03,4.59E-01,1.14E+01
2.30E+02,4.66340E+02,2.49E+01,-1.08E+00,2.731600E-04,NaN,2.731600E-03,4.59E-01,1.14E+01
2.42E+02,4.66130E+02,2.49E+01,-1.13E+00,2.718300E-04,NaN,2.718300E-03,4.62E-01,1.15E+01
2.54E+02,4.65910E+02,2.49E+01,-9.91E-01,2.704700E-04,NaN,2.704700E-03,4.61E-01,1.15E+01
2.66E+02,4.65710E+02,2.49E+01,-9.03E-01,2.690600E-04,NaN,2.690600E-03,4.77E-01,1.19E+01
2.78E+02,4.65530E+02,2.49E+01,-9.65E-01,2.677400E-04,NaN,2.677400E-03,4.76E-01,1.19E+01
2.89E+02,4.65340E+02,2.49E+01,-1.01E+00,2.664600E-04,NaN,2.664600E-03,4.59E-01,1.14E+01
3.01E+02,4.65140E+02,2.49E+01,-1.00E+00,2.652500E-04,NaN,2.652500E-03,4.44E-01,1.11E+01
3.16E+02,4.64900E+02,2.49E+01,-1.10E+00,2.637100E-04,NaN,2.637100E-03,4.45E-01,1.11E+01
3.24E+02,4.64740E+02,2.49E+01,-9.54E-01,2.627500E-04,NaN,2.627500E-03,4.54E-01,1.13E+01
3.36E+02,4.64550E+02,2.50E+01,-9.69E-01,2.614700E-04,NaN,2.614700E-03,4.62E-01,1.15E+01
3.51E+02,4.64320E+02,2.50E+01,-1.02E+00,2.600100E-04,NaN,2.600100E-03,4.61E-01,1.15E+01
3.62E+02,4.64120E+02,2.50E+01,-1.14E+00,2.586600E-04,NaN,2.586600E-03,4.59E-01,1.15E+01
3.74E+02,4.63900E+02,2.50E+01,-9.57E-01,2.573500E-04,NaN,2.573500E-03,4.62E-01,1.15E+01
3.83E+02,4.63760E+02,2.50E+01,-9.48E-01,2.564000E-04,NaN,2.564000E-03,4.55E-01,1.14E+01
3.98E+02,4.63520E+02,2.50E+01,-1.00E+00,2.548600E-04,NaN,2.548600E-03,4.54E-01,1.14E+01
4.10E+02,4.63320E+02,2.50E+01,-1.06E+00,2.536800E-04,NaN,2.536800E-03,4.59E-01,1.15E+01
4.22E+02,4.63110E+02,2.50E+01,-9.43E-01,2.524000E-04,NaN,2.524000E-03,4.67E-01,1.17E+01
4.34E+02,4.62920E+02,2.50E+01,-9.47E-01,2.510600E-04,NaN,2.510600E-03,4.63E-01,1.16E+01
4.46E+02,4.62730E+02,2.51E+01,-1.10E+00,2.498600E-04,NaN,2.498600E-03,4.57E-01,1.14E+01
4.58E+02,4.62520E+02,2.51E+01,-9.91E-01,2.487200E-04,NaN,2.487200E-03,4.46E-01,1.12E+01
4.69E+02,4.62330E+02,2.51E+01,-1.07E+00,2.475100E-04,NaN,2.475100E-03,4.59E-01,1.15E+01
4.81E+02,4.62120E+02,2.51E+01,-8.81E-01,2.462200E-04,NaN,2.462200E-03,4.72E-01,1.18E+01
4.92E+02,4.61950E+02,2.51E+01,-1.03E+00,2.450700E-04,NaN,2.450700E-03,4.73E-01,1.19E+01
5.04E+02,4.61750E+02,2.51E+01,-9.44E-01,2.438800E-04,NaN,2.438800E-03,4.67E-01,1.17E+01
5.19E+02,4.61520E+02,2.51E+01,-1.09E+00,2.424200E-04,NaN,2.424200E-03,4.65E-01,1.17E+01
5.30E+02,4.61310E+02,2.51E+01,-9.21E-01,2.412000E-04,NaN,2.412000E-03,4.65E-01,1.17E+01
5.42E+02,4.61130E+02,2.51E+01,-9.89E-01,2.400200E-04,NaN,2.400200E-03,4.55E-01,1.15E+01
5.54E+02,4.60930E+02,2.52E+01,-1.02E+00,2.388700E-04,NaN,2.388700E-03,4.43E-01,1.11E+01
5.66E+02,4.60730E+02,2.52E+01,-1.16E+00,2.377400E-04,NaN,2.377400E-03,4.35E-01,1.09E+01
5.78E+02,4.60500E+02,2.52E+01,-1.00E+00,2.365000E-04,NaN,2.365000E-03,4.49E-01,1.13E+01
5.87E+02,4.60350E+02,2.52E+01,-9.42E-01,2.355800E-04,NaN,2.355800E-03,4.44E-01,1.12E+01
6.02E+02,4.60110E+02,2.52E+01,-9.55E-01,2.340900E-04,NaN,2.340900E-03,4.49E-01,1.13E+01
6.14E+02,4.59920E+02,2.52E+01,-1.00E+00,2.332000E-04,NaN,2.332000E-03,4.54E-01,1.14E+01
6.26E+02,4.59720E+02,2.52E+01,-9.68E-01,2.319600E-04,NaN,2.319600E-03,4.62E-01,1.16E+01
6.38E+02,4.59530E+02,2.52E+01,-1.05E+00,2.307600E-04,NaN,2.307600E-03,4.71E-01,1.19E+01
6.50E+02,4.59320E+02,2.52E+01,-9.81E-01,2.295300E-04,NaN,2.295300E-03,4.63E-01,1.17E+01
6.61E+02,4.59130E+02,2.53E+01,-9.16E-01,2.285000E-04,NaN,2.285000E-03,4.51E-01,1.14E+01
6.73E+02,4.58950E+02,2.53E+01,-1.02E+00,2.274200E-04,NaN,2.274200E-03,4.52E-01,1.14E+01
6.85E+02,4.58750E+02,2.53E+01,-1.13E+00,2.263500E-04,NaN,2.263500E-03,4.51E-01,1.14E+01
6.96E+02,4.58530E+02,2.53E+01,-1.04E+00,2.250600E-04,NaN,2.250600E-03,4.48E-01,1.13E+01
7.08E+02,4.58320E+02,2.53E+01,-9.30E-01,2.239400E-04,NaN,2.239400E-03,4.57E-01,1.16E+01
7.20E+02,4.58140E+02,2.53E+01,-8.56E-01,2.229200E-04,NaN,2.229200E-03,4.51E-01,1.14E+01
