Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
4.23E+01,2.96200E+02,3.91E+01,4.58E-01,2.27720E-07,NaN,2.27720E-06,NaN,NaN
4.52E+01,2.96350E+02,3.91E+01,6.91E-01,2.29300E-07,NaN,2.29300E-06,NaN,NaN
5.15E+01,2.96720E+02,3.91E+01,1.28E+00,2.33870E-07,NaN,2.33870E-06,NaN,NaN
5.46E+01,2.97020E+02,3.90E+01,1.64E+00,2.36780E-07,NaN,2.36780E-06,NaN,NaN
5.78E+01,2.97270E+02,3.90E+01,2.09E+00,2.40230E-07,NaN,2.40230E-06,NaN,NaN
6.08E+01,2.97550E+02,3.90E+01,2.57E+00,2.43960E-07,NaN,2.43960E-06,NaN,NaN
6.39E+01,2.97840E+02,3.89E+01,3.06E+00,2.48060E-07,NaN,2.48060E-06,NaN,NaN
6.69E+01,2.98140E+02,3.89E+01,3.55E+00,2.52540E-07,NaN,2.52540E-06,NaN,NaN
7.00E+01,2.98430E+02,3.88E+01,4.03E+00,2.57430E-07,NaN,2.57430E-06,NaN,NaN
7.30E+01,2.98740E+02,3.88E+01,4.47E+00,2.62440E-07,NaN,2.62440E-06,NaN,NaN
7.61E+01,2.99040E+02,3.88E+01,4.85E+00,2.67940E-07,NaN,2.67940E-06,NaN,NaN
7.91E+01,2.99340E+02,3.87E+01,5.16E+00,2.73390E-07,NaN,2.73390E-06,NaN,NaN
8.24E+01,2.99640E+02,3.87E+01,5.42E+00,2.79590E-07,NaN,2.79590E-06,NaN,NaN
8.55E+01,2.99960E+02,3.87E+01,5.60E+00,2.85280E-07,NaN,2.85280E-06,NaN,NaN
8.84E+01,3.00250E+02,3.86E+01,5.73E+00,2.90870E-07,NaN,2.90870E-06,NaN,NaN
9.14E+01,3.00530E+02,3.86E+01,5.79E+00,2.96750E-07,NaN,2.96750E-06,NaN,NaN
9.44E+01,3.00810E+02,3.85E+01,5.84E+00,3.02320E-07,NaN,3.02320E-06,4.40E-01,1.72E+01
