6/26/2024
6:21 PM
fast cooling down 450_2024.06.26_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 1
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 20
Heater: Off
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
5.619000E+0	4.498400E+2	2.577361E+1	NaN	1.806440E-4	NaN	1.806440E-3	NaN	NaN
1.148400E+1	4.485900E+2	2.584543E+1	-4.605510E+0	1.773980E-4	NaN	1.773980E-3	NaN	NaN
1.429400E+1	4.474200E+2	2.591301E+1	-1.277221E+1	1.733690E-4	NaN	1.733690E-3	NaN	NaN
1.730800E+1	4.459800E+2	2.599668E+1	-2.099133E+1	1.676090E-4	NaN	1.676090E-3	NaN	NaN
2.059400E+1	4.443800E+2	2.609028E+1	-2.691021E+1	1.602880E-4	NaN	1.602880E-3	NaN	NaN
2.370700E+1	4.425500E+2	2.619817E+1	-2.895632E+1	1.527920E-4	NaN	1.527920E-3	NaN	NaN
2.664700E+1	4.407600E+2	2.630456E+1	-3.213401E+1	1.454030E-4	NaN	1.454030E-3	3.913281E-1	1.016015E+1
2.979300E+1	4.390500E+2	2.640702E+1	-3.587704E+1	1.375930E-4	NaN	1.375930E-3	4.073830E-1	1.059659E+1
3.306600E+1	4.366200E+2	2.655398E+1	-3.448335E+1	1.295750E-4	NaN	1.295750E-3	4.246284E-1	1.106454E+1
3.602900E+1	4.347900E+2	2.666575E+1	-3.873695E+1	1.226530E-4	NaN	1.226530E-3	4.309583E-1	1.125618E+1
3.903000E+1	4.329600E+2	2.677846E+1	-4.104966E+1	1.157990E-4	NaN	1.157990E-3	4.372593E-1	1.144480E+1
4.208500E+1	4.317500E+2	2.685350E+1	-3.682043E+1	1.091430E-4	NaN	1.091430E-3	4.438461E-1	1.164038E+1
4.500600E+1	4.298300E+2	2.697345E+1	-3.009984E+1	1.032300E-4	NaN	1.032300E-3	4.559322E-1	1.197571E+1
4.826400E+1	4.274500E+2	2.712364E+1	-3.136716E+1	9.683000E-5	NaN	9.683000E-4	4.637174E-1	1.220191E+1
5.130500E+1	4.256900E+2	2.723578E+1	-4.179409E+1	9.123800E-5	NaN	9.123800E-4	4.713198E-1	1.243833E+1
5.448000E+1	4.239300E+2	2.734885E+1	-3.948703E+1	8.579300E-5	NaN	8.579300E-4	4.796588E-1	1.269862E+1
5.755600E+1	4.222100E+2	2.746027E+1	-3.397157E+1	8.078500E-5	NaN	8.078500E-4	4.880666E-1	1.296599E+1
6.056500E+1	4.204900E+2	2.757259E+1	-3.340189E+1	7.617500E-5	NaN	7.617500E-4	4.956010E-1	1.321479E+1
6.350100E+1	4.188200E+2	2.768254E+1	-3.391810E+1	7.196500E-5	NaN	7.196500E-4	5.015267E-1	1.342474E+1
6.672700E+1	4.171500E+2	2.779336E+1	-3.421397E+1	6.763700E-5	NaN	6.763700E-4	5.060770E-1	1.360078E+1
6.968200E+1	4.154000E+2	2.791045E+1	-3.249792E+1	6.383500E-5	NaN	6.383500E-4	5.114913E-1	1.380286E+1
7.283700E+1	4.137700E+2	2.802040E+1	-3.316591E+1	6.010000E-5	NaN	6.010000E-4	5.149386E-1	1.395412E+1
7.593600E+1	4.121800E+2	2.812849E+1	-3.316679E+1	5.661600E-5	NaN	5.661600E-4	5.181901E-1	1.410137E+1
7.896800E+1	4.106100E+2	2.823604E+1	-3.089255E+1	5.346900E-5	NaN	5.346900E-4	5.230640E-1	1.429596E+1
8.213800E+1	4.090400E+2	2.834442E+1	-3.092429E+1	5.038400E-5	NaN	5.038400E-4	5.242573E-1	1.438475E+1
