6/26/2024
6:53 PM
fast cooling up 450_2024.06.26_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 1
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 5
Heater: High
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
7.480500E+1	2.964100E+2	3.911474E+1	3.818855E+0	1.551170E-7	NaN	1.551170E-6	NaN	NaN
7.809700E+1	2.967100E+2	3.907519E+1	4.272618E+0	1.583870E-7	NaN	1.583870E-6	NaN	NaN
8.116800E+1	2.970300E+2	3.903309E+1	4.672635E+0	1.616610E-7	NaN	1.616610E-6	NaN	NaN
8.419900E+1	2.973400E+2	3.899240E+1	5.024330E+0	1.649720E-7	NaN	1.649720E-6	NaN	NaN
8.729200E+1	2.976700E+2	3.894917E+1	5.315346E+0	1.684760E-7	NaN	1.684760E-6	NaN	NaN
9.047400E+1	2.980700E+2	3.889690E+1	5.564758E+0	1.721980E-7	NaN	1.721980E-6	NaN	NaN
9.351900E+1	2.982700E+2	3.887082E+1	5.831115E+0	1.757560E-7	NaN	1.757560E-6	4.200212E-1	1.647624E+1
9.664700E+1	2.986700E+2	3.881876E+1	5.948462E+0	1.794990E-7	NaN	1.794990E-6	4.267129E-1	1.673182E+1
9.988500E+1	2.989500E+2	3.878241E+1	6.062621E+0	1.833330E-7	NaN	1.833330E-6	4.311692E-1	1.689853E+1
1.029800E+2	2.992300E+2	3.874612E+1	6.107149E+0	1.870170E-7	NaN	1.870170E-6	4.360304E-1	1.708144E+1
1.061360E+2	2.995300E+2	3.870731E+1	6.096154E+0	1.908030E-7	NaN	1.908030E-6	4.407104E-1	1.725738E+1
1.091400E+2	2.998100E+2	3.867116E+1	6.056857E+0	1.944300E-7	NaN	1.944300E-6	4.449559E-1	1.741618E+1
1.121960E+2	3.000800E+2	3.863636E+1	6.013493E+0	1.981560E-7	NaN	1.981560E-6	4.488031E-1	1.755942E+1
1.154030E+2	3.003400E+2	3.860292E+1	5.948791E+0	2.020230E-7	NaN	2.020230E-6	4.524636E-1	1.769542E+1
1.182380E+2	3.006200E+2	3.856696E+1	5.822983E+0	2.055950E-7	NaN	2.055950E-6	4.561153E-1	1.783118E+1
1.213630E+2	3.008800E+2	3.853363E+1	5.719151E+0	2.094350E-7	NaN	2.094350E-6	4.592189E-1	1.794538E+1
1.243390E+2	3.011600E+2	3.849781E+1	5.596874E+0	2.134000E-7	NaN	2.134000E-6	4.622212E-1	1.805567E+1
1.273590E+2	3.014300E+2	3.846332E+1	5.501741E+0	2.172100E-7	NaN	2.172100E-6	4.649920E-1	1.815679E+1
1.303990E+2	3.016900E+2	3.843018E+1	5.484383E+0	2.211400E-7	NaN	2.211400E-6	4.674935E-1	1.824733E+1
1.333590E+2	3.019700E+2	3.839454E+1	5.384096E+0	2.249300E-7	NaN	2.249300E-6	4.698733E-1	1.833313E+1
1.366010E+2	3.022300E+2	3.836151E+1	5.386238E+0	2.291900E-7	NaN	2.291900E-6	4.718902E-1	1.840461E+1
1.397200E+2	3.025900E+2	3.831587E+1	5.354503E+0	2.333800E-7	NaN	2.333800E-6	4.739415E-1	1.847747E+1
1.429980E+2	3.028500E+2	3.828298E+1	5.388152E+0	2.377600E-7	NaN	2.377600E-6	4.753136E-1	1.852320E+1
