6/26/2024									
9:21 AM									
slow cooling down 450_2024.06.26_COND_FILE END.txt									
									
Data taken by: Akshat Sharma									
ammeter is Keithley 6517A at GPIB0::27::INSTR									
voltage source is Keithley 6517A at GPIB0::27::INSTR									
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1									
Readings: 1									
Voltage (V): 100									
Geo Factor: 1000									
Ea Window (pts): 5									
Shut off V when done?: TRUE									
Mconnect?: TRUE									
Use Abs(Cond)?: TRUE									
Rate (K/min): 1									
Heater: High									
DESCRIPTION									
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea
1.514000E+0	4.500000E+2	2.576444E+1	-6.406730E-1	1.805860E-4	NaN	1.805860E-3	NaN	NaN
3.241900E+1	4.496700E+2	2.578335E+1	-1.472228E+0	1.793450E-4	NaN	1.793450E-3	NaN	NaN
4.138500E+1	4.494500E+2	2.579597E+1	-1.476534E+0	1.782150E-4	NaN	1.782150E-3	4.605172E-1	1.187552E+1
4.707400E+1	4.493100E+2	2.580401E+1	-1.028571E+0	1.775510E-4	NaN	1.775510E-3	5.341580E-1	1.378314E+1
5.582400E+1	4.491600E+2	2.581263E+1	-6.977556E-1	1.765850E-4	NaN	1.765850E-3	5.172395E-1	1.335378E+1
7.302200E+1	4.489600E+2	2.582413E+1	-8.361398E-1	1.755010E-4	NaN	1.755010E-3	4.861145E-1	1.255556E+1
9.024400E+1	4.487200E+2	2.583794E+1	-1.276256E+0	1.744680E-4	NaN	1.744680E-3	4.643140E-1	1.199645E+1
1.015270E+2	4.484800E+2	2.585177E+1	-1.118620E+0	1.734190E-4	NaN	1.734190E-3	4.567187E-1	1.180483E+1
1.101090E+2	4.483200E+2	2.586099E+1	-1.192843E+0	1.725760E-4	NaN	1.725760E-3	4.819750E-1	1.246397E+1
1.186600E+2	4.481500E+2	2.587080E+1	-8.618331E-1	1.718180E-4	NaN	1.718180E-3	4.972845E-1	1.286634E+1
1.332800E+2	4.479400E+2	2.588293E+1	-8.533030E-1	1.707290E-4	NaN	1.707290E-3	4.791404E-1	1.240202E+1
1.473430E+2	4.477400E+2	2.589449E+1	-1.077568E+0	1.697620E-4	NaN	1.697620E-3	4.700794E-1	1.217274E+1
1.590360E+2	4.475300E+2	2.590664E+1	-1.106136E+0	1.689000E-4	NaN	1.689000E-3	4.578618E-1	1.186153E+1
1.704270E+2	4.473200E+2	2.591881E+1	-9.904431E-1	1.679520E-4	NaN	1.679520E-3	4.629349E-1	1.199794E+1
1.819370E+2	4.471300E+2	2.592982E+1	-9.594030E-1	1.670670E-4	NaN	1.670670E-3	4.721595E-1	1.224302E+1
1.931940E+2	4.469500E+2	2.594026E+1	-9.348442E-1	1.662140E-4	NaN	1.662140E-3	4.597188E-1	1.192604E+1
2.073140E+2	4.467300E+2	2.595304E+1	-1.054482E+0	1.652610E-4	NaN	1.652610E-3	4.582718E-1	1.189325E+1
2.186940E+2	4.465300E+2	2.596466E+1	-9.329648E-1	1.644610E-4	NaN	1.644610E-3	4.535081E-1	1.177473E+1
2.302700E+2	4.463500E+2	2.597513E+1	-1.082381E+0	1.635830E-4	NaN	1.635830E-3	4.588408E-1	1.191888E+1
2.419110E+2	4.461400E+2	2.598736E+1	-1.055780E+0	1.627140E-4	NaN	1.627140E-3	4.729142E-1	1.228962E+1
2.532770E+2	4.459400E+2	2.599901E+1	-9.532215E-1	1.618310E-4	NaN	1.618310E-3	4.599414E-1	1.195817E+1
2.646070E+2	4.457600E+2	2.600951E+1	-1.008121E+0	1.609640E-4	NaN	1.609640E-3	4.570589E-1	1.188858E+1
2.788910E+2	4.455200E+2	2.602352E+1	-9.261641E-1	1.600270E-4	NaN	1.600270E-3	4.406514E-1	1.146692E+1
2.905520E+2	4.453400E+2	2.603404E+1	-1.082381E+0	1.592750E-4	NaN	1.592750E-3	4.316883E-1	1.123834E+1
3.021930E+2	4.451300E+2	2.604632E+1	-9.978118E-1	1.584680E-4	NaN	1.584680E-3	4.422365E-1	1.151844E+1
3.136180E+2	4.449400E+2	2.605745E+1	-9.859033E-1	1.576610E-4	NaN	1.576610E-3	4.437204E-1	1.156261E+1
3.251810E+2	4.447500E+2	2.606858E+1	-1.007768E+0	1.568560E-4	NaN	1.568560E-3	4.503637E-1	1.174109E+1
3.394700E+2	4.445100E+2	2.608265E+1	-1.008582E+0	1.559020E-4	NaN	1.559020E-3	4.528323E-1	1.181044E+1
3.507730E+2	4.443200E+2	2.609381E+1	-1.043751E+0	1.551030E-4	NaN	1.551030E-3	4.609295E-1	1.202680E+1
3.622700E+2	4.441200E+2	2.610556E+1	-1.003256E+0	1.542470E-4	NaN	1.542470E-3	4.679399E-1	1.221569E+1
3.736330E+2	4.439300E+2	2.611673E+1	-9.814050E-1	1.534180E-4	NaN	1.534180E-3	4.656381E-1	1.216126E+1
3.852490E+2	4.437400E+2	2.612791E+1	-9.177501E-1	1.526500E-4	NaN	1.526500E-3	4.521464E-1	1.181442E+1
3.996320E+2	4.435200E+2	2.614087E+1	-1.066531E+0	1.517400E-4	NaN	1.517400E-3	4.442309E-1	1.161247E+1
4.114460E+2	4.433100E+2	2.615326E+1	-9.941571E-1	1.509600E-4	NaN	1.509600E-3	4.402782E-1	1.151418E+1
4.229130E+2	4.431200E+2	2.616447E+1	-1.035465E+0	1.501890E-4	NaN	1.501890E-3	4.433596E-1	1.159997E+1
4.345020E+2	4.429200E+2	2.617628E+1	-9.179771E-1	1.494250E-4	NaN	1.494250E-3	4.408853E-1	1.154064E+1
4.462670E+2	4.427400E+2	2.618693E+1	-1.057082E+0	1.486720E-4	NaN	1.486720E-3	4.371221E-1	1.144719E+1
4.576190E+2	4.425400E+2	2.619876E+1	-1.029689E+0	1.479790E-4	NaN	1.479790E-3	4.377064E-1	1.146775E+1
4.692730E+2	4.423400E+2	2.621061E+1	-1.088365E+0	1.471820E-4	NaN	1.471820E-3	4.444088E-1	1.164803E+1
4.808500E+2	4.421300E+2	2.622306E+1	-9.338521E-1	1.463750E-4	NaN	1.463750E-3	4.500789E-1	1.180273E+1
4.924150E+2	4.419500E+2	2.623374E+1	-1.036699E+0	1.456170E-4	NaN	1.456170E-3	4.489007E-1	1.177688E+1
5.068840E+2	4.417000E+2	2.624859E+1	-8.919983E-1	1.447140E-4	NaN	1.447140E-3	4.483982E-1	1.176879E+1
5.183190E+2	4.415300E+2	2.625869E+1	-1.003521E+0	1.440320E-4	NaN	1.440320E-3	4.449876E-1	1.168422E+1
5.296790E+2	4.413400E+2	2.627000E+1	-9.885536E-1	1.433050E-4	NaN	1.433050E-3	4.417553E-1	1.160538E+1
5.412110E+2	4.411500E+2	2.628131E+1	-1.063924E+0	1.425810E-4	NaN	1.425810E-3	4.374646E-1	1.149783E+1
5.524900E+2	4.409500E+2	2.629323E+1	-9.778912E-1	1.418950E-4	NaN	1.418950E-3	4.393698E-1	1.155298E+1
5.666020E+2	4.407200E+2	2.630695E+1	-1.024590E+0	1.410040E-4	NaN	1.410040E-3	4.346474E-1	1.143410E+1
5.783140E+2	4.405200E+2	2.631890E+1	-1.156880E+0	1.402500E-4	NaN	1.402500E-3	4.430157E-1	1.165934E+1
5.897240E+2	4.403000E+2	2.633205E+1	-9.475347E-1	1.395070E-4	NaN	1.395070E-3	4.479120E-1	1.179339E+1
6.011220E+2	4.401200E+2	2.634282E+1	-8.799931E-1	1.387800E-4	NaN	1.387800E-3	4.534769E-1	1.194611E+1
6.127130E+2	4.399500E+2	2.635299E+1	-1.030857E+0	1.381080E-4	NaN	1.381080E-3	4.588872E-1	1.209381E+1
6.272640E+2	4.397000E+2	2.636798E+1	-9.619789E-1	1.371980E-4	NaN	1.371980E-3	4.530157E-1	1.194443E+1
6.359960E+2	4.395600E+2	2.637638E+1	-1.009039E+0	1.366900E-4	NaN	1.366900E-3	4.519675E-1	1.192189E+1
6.502670E+2	4.393200E+2	2.639079E+1	-9.711219E-1	1.357780E-4	NaN	1.357780E-3	4.520779E-1	1.193074E+1
6.620060E+2	4.391300E+2	2.640220E+1	-1.021016E+0	1.350770E-4	NaN	1.350770E-3	4.491966E-1	1.185942E+1
6.737590E+2	4.389300E+2	2.641423E+1	-1.020235E+0	1.343730E-4	NaN	1.343730E-3	4.454383E-1	1.176618E+1
6.855210E+2	4.387300E+2	2.642628E+1	-1.072614E+0	1.336530E-4	NaN	1.336530E-3	4.468163E-1	1.180782E+1
6.972680E+2	4.385200E+2	2.643893E+1	-1.032258E+0	1.328890E-4	NaN	1.328890E-3	4.550154E-1	1.202967E+1
7.088930E+2	4.383200E+2	2.645099E+1	-9.207946E-1	1.321690E-4	NaN	1.321690E-3	4.579543E-1	1.211262E+1
7.206220E+2	4.381400E+2	2.646186E+1	-9.227614E-1	1.314860E-4	NaN	1.314860E-3	4.410393E-1	1.167183E+1
7.323260E+2	4.379600E+2	2.647274E+1	-1.092970E+0	1.308460E-4	NaN	1.308460E-3	4.399755E-1	1.164810E+1
7.471480E+2	4.376900E+2	2.648907E+1	-8.788732E-1	1.300030E-4	NaN	1.300030E-3	4.329195E-1	1.146667E+1
7.560230E+2	4.375600E+2	2.649694E+1	-1.074454E+0	1.294720E-4	NaN	1.294720E-3	4.431007E-1	1.174127E+1
