6/24/2024									
7:07 PM									
slow cooling down 470_2024.06.24_COND_FILE END.txt									
									
Data taken by: Akshat Sharma									
ammeter is Keithley 6517A at GPIB0::27::INSTR									
voltage source is Keithley 6517A at GPIB0::27::INSTR									
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1									
Readings: 1									
Voltage (V): 100									
Geo Factor: 1000									
Ea Window (pts): 5									
Shut off V when done?: TRUE									
Mconnect?: TRUE									
Use Abs(Cond)?: TRUE									
Rate (K/min): 1									
Heater: High									
DESCRIPTION									
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea
1.465000E+0	4.699900E+2	2.466861E+1	-6.598021E-1	2.989800E-4	NaN	2.989800E-3	NaN	NaN
3.147400E+1	4.696600E+2	2.468594E+1	-1.637239E+0	2.970400E-4	NaN	2.970400E-3	NaN	NaN
3.770400E+1	4.694900E+2	2.469488E+1	-1.366743E+0	2.958200E-4	NaN	2.958200E-3	4.671858E-1	1.153488E+1
4.648400E+1	4.692900E+2	2.470541E+1	-1.047486E+0	2.940900E-4	NaN	2.940900E-3	5.242485E-1	1.295127E+1
5.507600E+1	4.691400E+2	2.471331E+1	-5.675312E-1	2.928300E-4	NaN	2.928300E-3	5.197533E-1	1.284539E+1
7.516300E+1	4.689500E+2	2.472332E+1	-9.598383E-1	2.913500E-4	NaN	2.913500E-3	4.831815E-1	1.194740E+1
8.704000E+1	4.687600E+2	2.473334E+1	-1.367701E+0	2.899700E-4	NaN	2.899700E-3	4.639096E-1	1.147505E+1
9.844600E+1	4.685000E+2	2.474707E+1	-1.285956E+0	2.882200E-4	NaN	2.882200E-3	4.656037E-1	1.152110E+1
1.073110E+2	4.683100E+2	2.475711E+1	-8.531281E-1	2.869000E-4	NaN	2.869000E-3	4.693148E-1	1.161777E+1
1.192670E+2	4.681400E+2	2.476610E+1	-8.033742E-1	2.855300E-4	NaN	2.855300E-3	4.722980E-1	1.169770E+1
1.342040E+2	4.679400E+2	2.477668E+1	-1.068974E+0	2.841800E-4	NaN	2.841800E-3	4.606054E-1	1.141322E+1
1.459910E+2	4.677300E+2	2.478780E+1	-1.171875E+0	2.827600E-4	NaN	2.827600E-3	4.579488E-1	1.135153E+1
1.577670E+2	4.675000E+2	2.480000E+1	-9.281540E-1	2.812400E-4	NaN	2.812400E-3	4.725361E-1	1.171764E+1
1.694030E+2	4.673200E+2	2.480955E+1	-9.029745E-1	2.798600E-4	NaN	2.798600E-3	4.775254E-1	1.184706E+1
1.806990E+2	4.671500E+2	2.481858E+1	-9.450113E-1	2.786000E-4	NaN	2.786000E-3	4.687305E-1	1.163429E+1
1.953020E+2	4.669200E+2	2.483081E+1	-1.004848E+0	2.770800E-4	NaN	2.770800E-3	4.448691E-1	1.104660E+1
2.066470E+2	4.667300E+2	2.484091E+1	-1.142560E+0	2.758900E-4	NaN	2.758900E-3	4.502682E-1	1.118468E+1
2.182000E+2	4.665100E+2	2.485263E+1	-8.466838E-1	2.745200E-4	NaN	2.745200E-3	4.588299E-1	1.140264E+1
2.302470E+2	4.663400E+2	2.486169E+1	-1.078029E+0	2.731600E-4	NaN	2.731600E-3	4.591240E-1	1.141519E+1
2.419350E+2	4.661300E+2	2.487289E+1	-1.134801E+0	2.718300E-4	NaN	2.718300E-3	4.615188E-1	1.147985E+1
2.535670E+2	4.659100E+2	2.488463E+1	-9.912440E-1	2.704700E-4	NaN	2.704700E-3	4.612900E-1	1.147830E+1
2.656730E+2	4.657100E+2	2.489532E+1	-9.034633E-1	2.690600E-4	NaN	2.690600E-3	4.772315E-1	1.188010E+1
2.776270E+2	4.655300E+2	2.490495E+1	-9.647935E-1	2.677400E-4	NaN	2.677400E-3	4.762781E-1	1.186192E+1
2.894430E+2	4.653400E+2	2.491512E+1	-1.005615E+0	2.664600E-4	NaN	2.664600E-3	4.594029E-1	1.144705E+1
