6/26/2024
3:25 PM
slow cooling up 450_2024.06.26_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 1
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 5
Heater: High
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
1.471000E+0	2.960300E+2	3.916495E+1	NaN	2.363700E-7	NaN	2.363700E-6	NaN	NaN
3.271300E+1	2.963400E+2	3.912398E+1	4.354567E-1	2.396000E-7	NaN	2.396000E-6	NaN	NaN
3.886100E+1	2.966200E+2	3.908705E+1	6.776388E-1	2.425300E-7	NaN	2.425300E-6	NaN	NaN
4.195600E+1	2.967800E+2	3.906597E+1	9.504103E-1	2.446200E-7	NaN	2.446200E-6	NaN	NaN
4.779000E+1	2.971900E+2	3.901208E+1	1.595708E+0	2.497600E-7	NaN	2.497600E-6	NaN	NaN
5.093600E+1	2.974300E+2	3.898060E+1	1.983479E+0	2.533100E-7	NaN	2.533100E-6	NaN	NaN
5.387400E+1	2.976800E+2	3.894786E+1	2.409094E+0	2.569100E-7	NaN	2.569100E-6	NaN	NaN
5.677900E+1	2.979500E+2	3.891257E+1	2.849143E+0	2.610300E-7	NaN	2.610300E-6	NaN	NaN
5.981700E+1	2.981500E+2	3.888647E+1	3.291794E+0	2.657400E-7	NaN	2.657400E-6	NaN	NaN
6.270400E+1	2.984600E+2	3.884608E+1	3.682313E+0	2.705000E-7	NaN	2.705000E-6	NaN	NaN
6.565000E+1	2.987600E+2	3.880707E+1	4.080187E+0	2.756500E-7	NaN	2.756500E-6	NaN	NaN
6.871700E+1	2.990700E+2	3.876684E+1	4.455169E+0	2.813400E-7	NaN	2.813400E-6	NaN	NaN
7.174500E+1	2.993800E+2	3.872670E+1	4.793733E+0	2.872500E-7	NaN	2.872500E-6	NaN	NaN
7.465800E+1	2.996900E+2	3.868664E+1	5.085846E+0	2.930800E-7	NaN	2.930800E-6	NaN	NaN
7.753900E+1	2.999900E+2	3.864795E+1	5.357375E+0	2.988900E-7	NaN	2.988900E-6	NaN	NaN
8.039800E+1	3.002800E+2	3.861063E+1	5.572503E+0	3.047700E-7	NaN	3.047700E-6	NaN	NaN
8.340100E+1	3.005900E+2	3.857081E+1	5.751600E+0	3.109600E-7	NaN	3.109600E-6	NaN	NaN
8.623100E+1	3.008700E+2	3.853492E+1	5.904290E+0	3.168500E-7	NaN	3.168500E-6	NaN	NaN
8.927400E+1	3.011500E+2	3.849909E+1	6.008596E+0	3.230900E-7	NaN	3.230900E-6	NaN	NaN
9.235800E+1	3.014100E+2	3.846588E+1	6.066730E+0	3.294200E-7	NaN	3.294200E-6	4.630508E-1	1.800260E+1
9.534900E+1	3.016700E+2	3.843272E+1	6.077809E+0	3.355600E-7	NaN	3.355600E-6	4.671161E-1	1.815329E+1
9.824800E+1	3.019400E+2	3.839836E+1	5.975828E+0	3.415500E-7	NaN	3.415500E-6	4.709572E-1	1.829533E+1
1.012380E+2	3.021900E+2	3.836659E+1	5.883018E+0	3.476600E-7	NaN	3.476600E-6	4.742771E-1	1.841702E+1
1.042670E+2	3.024400E+2	3.833488E+1	5.767238E+0	3.538000E-7	NaN	3.538000E-6	4.774346E-1	1.853249E+1
1.073420E+2	3.027000E+2	3.830195E+1	5.632508E+0	3.600100E-7	NaN	3.600100E-6	4.803970E-1	1.864041E+1
1.102560E+2	3.028600E+2	3.828171E+1	5.495950E+0	3.659900E-7	NaN	3.659900E-6	4.830625E-1	1.873674E+1
1.132460E+2	3.031100E+2	3.825014E+1	5.309315E+0	3.721100E-7	NaN	3.721100E-6	4.862933E-1	1.885565E+1
1.161150E+2	3.033600E+2	3.821862E+1	5.150790E+0	3.780500E-7	NaN	3.780500E-6	4.891463E-1	1.895974E+1
1.191200E+2	3.036000E+2	3.818841E+1	5.028138E+0	3.844000E-7	NaN	3.844000E-6	4.915761E-1	1.904726E+1
1.220040E+2	3.038500E+2	3.815699E+1	4.937165E+0	3.905700E-7	NaN	3.905700E-6	4.938499E-1	1.912868E+1
1.248980E+2	3.041000E+2	3.812562E+1	4.888267E+0	3.968600E-7	NaN	3.968600E-6	4.958164E-1	1.919806E+1
1.277100E+2	3.043600E+2	3.809305E+1	4.870278E+0	4.032800E-7	NaN	4.032800E-6	4.975328E-1	1.925763E+1
1.308200E+2	3.046300E+2	3.805929E+1	4.877338E+0	4.102600E-7	NaN	4.102600E-6	4.989781E-1	1.930655E+1
1.337490E+2	3.048800E+2	3.802808E+1	4.903089E+0	4.170700E-7	NaN	4.170700E-6	5.002517E-1	1.934862E+1
1.366720E+2	3.051400E+2	3.799567E+1	4.959448E+0	4.240200E-7	NaN	4.240200E-6	5.014324E-1	1.938706E+1
1.396510E+2	3.054000E+2	3.796333E+1	5.032597E+0	4.312800E-7	NaN	4.312800E-6	5.024790E-1	1.942021E+1
1.426010E+2	3.055700E+2	3.794221E+1	5.113448E+0	4.385100E-7	NaN	4.385100E-6	5.034535E-1	1.945049E+1
1.455230E+2	3.058300E+2	3.790995E+1	5.135660E+0	4.458500E-7	NaN	4.458500E-6	5.048205E-1	1.949638E+1
1.485040E+2	3.061800E+2	3.786661E+1	5.103899E+0	4.534600E-7	NaN	4.534600E-6	5.060449E-1	1.953661E+1
1.517440E+2	3.064400E+2	3.783449E+1	5.148269E+0	4.617200E-7	NaN	4.617200E-6	5.067219E-1	1.955506E+1
1.548880E+2	3.067200E+2	3.779995E+1	5.175630E+0	4.699500E-7	NaN	4.699500E-6	5.074553E-1	1.957566E+1
1.577930E+2	3.069800E+2	3.776793E+1	5.191102E+0	4.778000E-7	NaN	4.778000E-6	5.081129E-1	1.959319E+1
1.607610E+2	3.072300E+2	3.773720E+1	5.209708E+0	4.857400E-7	NaN	4.857400E-6	5.087142E-1	1.960853E+1
1.639110E+2	3.074900E+2	3.770529E+1	5.217775E+0	4.943400E-7	NaN	4.943400E-6	5.093040E-1	1.962346E+1
1.669100E+2	3.077500E+2	3.767344E+1	5.227428E+0	5.027200E-7	NaN	5.027200E-6	5.099136E-1	1.963914E+1
1.697730E+2	3.079200E+2	3.765264E+1	5.238348E+0	5.107800E-7	NaN	5.107800E-6	5.104920E-1	1.965360E+1
1.726570E+2	3.081800E+2	3.762087E+1	5.187876E+0	5.189800E-7	NaN	5.189800E-6	5.113242E-1	1.967825E+1
1.756720E+2	3.084300E+2	3.759038E+1	5.162570E+0	5.278000E-7	NaN	5.278000E-6	5.120513E-1	1.969877E+1
1.785860E+2	3.087100E+2	3.755628E+1	5.141032E+0	5.362300E-7	NaN	5.362300E-6	5.127735E-1	1.971908E+1
1.816530E+2	3.089700E+2	3.752468E+1	5.074901E+0	5.455200E-7	NaN	5.455200E-6	5.133350E-1	1.973303E+1
1.846650E+2	3.092300E+2	3.749313E+1	5.006155E+0	5.545900E-7	NaN	5.545900E-6	5.145703E-1	1.977007E+1
1.875810E+2	3.094900E+2	3.746163E+1	5.019444E+0	5.633500E-7	NaN	5.633500E-6	5.158034E-1	1.980661E+1
1.904690E+2	3.097400E+2	3.743139E+1	5.031591E+0	5.724200E-7	NaN	5.724200E-6	5.170181E-1	1.984195E+1
1.935380E+2	3.099900E+2	3.740121E+1	5.058580E+0	5.820900E-7	NaN	5.820900E-6	5.182450E-1	1.987729E+1
1.964260E+2	3.102500E+2	3.736986E+1	5.090065E+0	5.912700E-7	NaN	5.912700E-6	5.195316E-1	1.991441E+1
1.994630E+2	3.105100E+2	3.733857E+1	5.134915E+0	6.012100E-7	NaN	6.012100E-6	5.207738E-1	1.994923E+1
2.022650E+2	3.107800E+2	3.730613E+1	5.175334E+0	6.104500E-7	NaN	6.104500E-6	5.220803E-1	1.998581E+1
2.052230E+2	3.110400E+2	3.727495E+1	5.245174E+0	6.203000E-7	NaN	6.203000E-6	5.232440E-1	2.001626E+1
2.081600E+2	3.112900E+2	3.724501E+1	5.251272E+0	6.304900E-7	NaN	6.304900E-6	5.243727E-1	2.004468E+1
