7/24/2024
4:42 PM
fast cool down 460_2024.07.24_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 1
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 1
Heater: Off
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
7.554000E+0	4.592800E+2	2.524386E+1	NaN	2.247700E-4	NaN	2.247700E-3	NaN	NaN
1.301800E+1	4.577500E+2	2.532824E+1	NaN	2.196100E-4	NaN	2.196100E-3	NaN	NaN
1.975300E+1	4.543900E+2	2.551553E+1	NaN	2.088900E-4	NaN	2.088900E-3	NaN	NaN
2.816000E+1	4.505800E+2	2.573128E+1	NaN	1.894220E-4	NaN	1.894220E-3	NaN	NaN
3.207700E+1	4.476000E+2	2.590259E+1	NaN	1.756880E-4	NaN	1.756880E-3	NaN	NaN
3.851100E+1	4.402300E+2	2.633623E+1	NaN	1.518490E-4	NaN	1.518490E-3	NaN	NaN
4.778600E+1	4.352700E+2	2.663634E+1	NaN	1.211550E-4	NaN	1.211550E-3	NaN	NaN
5.335800E+1	4.277000E+2	2.710779E+1	NaN	1.056300E-4	NaN	1.056300E-3	NaN	NaN
6.353400E+1	4.212500E+2	2.752285E+1	NaN	8.251100E-5	NaN	8.251100E-4	NaN	NaN
7.236300E+1	4.176800E+2	2.775809E+1	NaN	6.679300E-5	NaN	6.679300E-4	NaN	NaN
7.810200E+1	4.105000E+2	2.824361E+1	NaN	5.840900E-5	NaN	5.840900E-4	NaN	NaN
8.859900E+1	4.067600E+2	2.850329E+1	NaN	4.589900E-5	NaN	4.589900E-4	NaN	NaN
9.403900E+1	4.001500E+2	2.897413E+1	NaN	4.062000E-5	NaN	4.062000E-4	NaN	NaN
1.058030E+2	3.967800E+2	2.922022E+1	NaN	3.133500E-5	NaN	3.133500E-4	NaN	NaN
1.116440E+2	3.908900E+2	2.966052E+1	NaN	2.763000E-5	NaN	2.763000E-4	NaN	NaN
1.236390E+2	3.877300E+2	2.990225E+1	NaN	2.145100E-5	NaN	2.145100E-4	NaN	NaN
1.296950E+2	3.828600E+2	3.028261E+1	NaN	1.892530E-5	NaN	1.892530E-4	NaN	NaN
1.392560E+2	3.800600E+2	3.050571E+1	NaN	1.561630E-5	NaN	1.561630E-4	NaN	NaN
1.454500E+2	3.746600E+2	3.094539E+1	NaN	1.381770E-5	NaN	1.381770E-4	NaN	NaN
1.574340E+2	3.721300E+2	3.115578E+1	NaN	1.097540E-5	NaN	1.097540E-4	NaN	NaN
1.640260E+2	3.676200E+2	3.153800E+1	NaN	9.712000E-6	NaN	9.712000E-5	NaN	NaN
1.747970E+2	3.653100E+2	3.173743E+1	NaN	7.986000E-6	NaN	7.986000E-5	NaN	NaN
1.819010E+2	3.609300E+2	3.212257E+1	NaN	7.046300E-6	NaN	7.046300E-5	NaN	NaN
1.929420E+2	3.587600E+2	3.231687E+1	NaN	5.832800E-6	NaN	5.832800E-5	NaN	NaN
1.984060E+2	3.554200E+2	3.262056E+1	NaN	5.325200E-6	NaN	5.325200E-5	NaN	NaN
2.070060E+2	3.541300E+2	3.273939E+1	NaN	4.630400E-6	NaN	4.630400E-5	NaN	NaN
2.129370E+2	3.522500E+2	3.291412E+1	NaN	4.216200E-6	NaN	4.216200E-5	NaN	NaN
2.191240E+2	3.491800E+2	3.320351E+1	NaN	3.831600E-6	NaN	3.831600E-5	NaN	NaN
2.288240E+2	3.474600E+2	3.336787E+1	NaN	3.307800E-6	NaN	3.307800E-5	NaN	NaN
2.344350E+2	3.460700E+2	3.350189E+1	NaN	3.048400E-6	NaN	3.048400E-5	NaN	NaN
2.401390E+2	3.436100E+2	3.374174E+1	-3.108180E+1	2.809200E-6	NaN	2.809200E-5	NaN	NaN
2.494640E+2	3.420600E+2	3.389464E+1	-3.061905E+1	2.468600E-6	NaN	2.468600E-5	NaN	NaN
