7/24/2024
5:01 PM
fast cool up 460_2024.07.24_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 1
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 5
Heater: High
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
1.656000E+0	2.966500E+2	3.908309E+1	NaN	1.535740E-7	NaN	1.535740E-6	NaN	NaN
6.399000E+0	2.966600E+2	3.908178E+1	NaN	1.536800E-7	NaN	1.536800E-6	NaN	NaN
9.754000E+0	2.966700E+2	3.908046E+1	NaN	1.537550E-7	NaN	1.537550E-6	NaN	NaN
1.328700E+1	2.966700E+2	3.908046E+1	NaN	1.538350E-7	NaN	1.538350E-6	NaN	NaN
3.076900E+1	2.969000E+2	3.905019E+1	3.882498E-1	1.552030E-7	NaN	1.552030E-6	NaN	NaN
3.797500E+1	2.971700E+2	3.901471E+1	6.465127E-1	1.571000E-7	NaN	1.571000E-6	NaN	NaN
4.487600E+1	2.975500E+2	3.896488E+1	9.898449E-1	1.600290E-7	NaN	1.600290E-6	NaN	NaN
4.855400E+1	2.982000E+2	3.887995E+1	1.315728E+0	1.621200E-7	NaN	1.621200E-6	NaN	NaN
5.724200E+1	2.984600E+2	3.884608E+1	1.947051E+0	1.683940E-7	NaN	1.683940E-6	NaN	NaN
6.085300E+1	2.988100E+2	3.880058E+1	2.479653E+0	1.715330E-7	NaN	1.715330E-6	NaN	NaN
6.433100E+1	2.990600E+2	3.876814E+1	2.967341E+0	1.748040E-7	NaN	1.748040E-6	NaN	NaN
