6/27/2024
5:58 PM
fast cooling down 460_2024.06.27_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 1
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 0e+0
Heater: Off
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
1.717000E+0	4.599300E+2	2.520818E+1	NaN	2.208900E-4	NaN	2.208900E-3	NaN	NaN
8.686000E+0	4.592900E+2	2.524331E+1	NaN	2.194100E-4	NaN	2.194100E-3	NaN	NaN
1.158500E+1	4.585200E+2	2.528570E+1	NaN	2.173700E-4	NaN	2.173700E-3	NaN	NaN
1.466800E+1	4.573300E+2	2.535150E+1	NaN	2.129000E-4	NaN	2.129000E-3	NaN	NaN
1.773700E+1	4.557800E+2	2.543771E+1	NaN	2.060800E-4	NaN	2.060800E-3	NaN	NaN
2.079100E+1	4.540000E+2	2.553744E+1	NaN	1.976470E-4	NaN	1.976470E-3	NaN	NaN
2.394600E+1	4.519600E+2	2.565271E+1	NaN	1.879050E-4	NaN	1.879050E-3	NaN	NaN
2.712300E+1	4.499500E+2	2.576731E+1	NaN	1.775040E-4	NaN	1.775040E-3	NaN	NaN
3.011300E+1	4.479000E+2	2.588524E+1	NaN	1.678570E-4	NaN	1.678570E-3	NaN	NaN
3.346600E+1	4.458400E+2	2.600484E+1	NaN	1.570670E-4	NaN	1.570670E-3	NaN	NaN
3.647400E+1	4.437900E+2	2.612497E+1	NaN	1.479720E-4	NaN	1.479720E-3	NaN	NaN
3.964600E+1	4.417500E+2	2.624561E+1	NaN	1.386220E-4	NaN	1.386220E-3	NaN	NaN
4.272400E+1	4.397200E+2	2.636678E+1	NaN	1.300440E-4	NaN	1.300440E-3	NaN	NaN
4.577300E+1	4.375900E+2	2.649512E+1	NaN	1.221770E-4	NaN	1.221770E-3	NaN	NaN
4.873600E+1	4.356100E+2	2.661555E+1	NaN	1.149210E-4	NaN	1.149210E-3	NaN	NaN
5.171600E+1	4.336500E+2	2.673585E+1	NaN	1.080900E-4	NaN	1.080900E-3	NaN	NaN
5.468200E+1	4.317100E+2	2.685599E+1	NaN	1.015420E-4	NaN	1.015420E-3	NaN	NaN
5.788800E+1	4.291800E+2	2.701431E+1	NaN	9.504700E-5	NaN	9.504700E-4	NaN	NaN
6.105900E+1	4.273100E+2	2.713253E+1	NaN	8.906900E-5	NaN	8.906900E-4	NaN	NaN
6.432500E+1	4.254600E+2	2.725051E+1	NaN	8.320000E-5	NaN	8.320000E-4	NaN	NaN
6.749900E+1	4.235300E+2	2.737468E+1	NaN	7.803400E-5	NaN	7.803400E-4	NaN	NaN
7.051500E+1	4.217300E+2	2.749152E+1	NaN	7.342200E-5	NaN	7.342200E-4	NaN	NaN
7.348700E+1	4.199700E+2	2.760673E+1	NaN	6.910600E-5	NaN	6.910600E-4	NaN	NaN
7.661300E+1	4.182300E+2	2.772159E+1	NaN	6.486100E-5	NaN	6.486100E-4	NaN	NaN
7.974300E+1	4.165000E+2	2.783673E+1	NaN	6.089200E-5	NaN	6.089200E-4	NaN	NaN
8.277600E+1	4.148100E+2	2.795015E+1	NaN	5.734700E-5	NaN	5.734700E-4	NaN	NaN
8.581100E+1	4.131400E+2	2.806313E+1	NaN	5.396000E-5	NaN	5.396000E-4	NaN	NaN
8.885300E+1	4.115000E+2	2.817497E+1	NaN	5.085000E-5	NaN	5.085000E-4	NaN	NaN
9.182400E+1	4.097800E+2	2.829323E+1	NaN	4.793300E-5	NaN	4.793300E-4	NaN	NaN
9.496000E+1	4.081800E+2	2.840414E+1	NaN	4.509900E-5	NaN	4.509900E-4	NaN	NaN
9.809300E+1	4.066100E+2	2.851381E+1	NaN	4.244000E-5	NaN	4.244000E-4	NaN	NaN
1.013570E+2	4.045500E+2	2.865900E+1	NaN	3.986000E-5	NaN	3.986000E-4	NaN	NaN
1.044530E+2	4.030400E+2	2.876638E+1	NaN	3.754100E-5	NaN	3.754100E-4	NaN	NaN
1.074640E+2	4.020300E+2	2.883864E+1	NaN	3.545900E-5	NaN	3.545900E-4	NaN	NaN
1.104450E+2	4.000700E+2	2.897993E+1	NaN	3.353800E-5	NaN	3.353800E-4	NaN	NaN
