6/27/2024
6:14 PM
fast cooling up 460_2024.06.27_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 1
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 5
Heater: High
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
3.569000E+1	2.960800E+2	3.915834E+1	5.155550E-1	1.460020E-7	NaN	1.460020E-6	NaN	NaN
4.175600E+1	2.962900E+2	3.913058E+1	7.396090E-1	1.474890E-7	NaN	1.474890E-6	NaN	NaN
4.772200E+1	2.965900E+2	3.909100E+1	1.117915E+0	1.496540E-7	NaN	1.496540E-6	NaN	NaN
5.082600E+1	2.967700E+2	3.906729E+1	1.382086E+0	1.511320E-7	NaN	1.511320E-6	NaN	NaN
5.385700E+1	2.970400E+2	3.903178E+1	1.685005E+0	1.527480E-7	NaN	1.527480E-6	NaN	NaN
5.710400E+1	2.972700E+2	3.900158E+1	2.065316E+0	1.547790E-7	NaN	1.547790E-6	NaN	NaN
6.025400E+1	2.975300E+2	3.896750E+1	2.466241E+0	1.569900E-7	NaN	1.569900E-6	NaN	NaN
6.329600E+1	2.977900E+2	3.893348E+1	2.890784E+0	1.593740E-7	NaN	1.593740E-6	NaN	NaN
6.634200E+1	2.980600E+2	3.889821E+1	3.314316E+0	1.619740E-7	NaN	1.619740E-6	NaN	NaN
6.924900E+1	2.983300E+2	3.886300E+1	3.740564E+0	1.646000E-7	NaN	1.646000E-6	NaN	NaN
7.236900E+1	2.986200E+2	3.882526E+1	4.110100E+0	1.675690E-7	NaN	1.675690E-6	NaN	NaN
7.537700E+1	2.989100E+2	3.878759E+1	4.457313E+0	1.706280E-7	NaN	1.706280E-6	NaN	NaN
