7/25/2024									
2:22 PM									
slow cool down 460_2024.07.25_COND_FILE END.txt									
									
Data taken by: Akshat Sharma									
ammeter is Keithley 6517A at GPIB0::27::INSTR									
voltage source is Keithley 6517A at GPIB0::27::INSTR									
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1									
Readings: 1									
Voltage (V): 100									
Geo Factor: 1000									
Ea Window (pts): 5									
Shut off V when done?: TRUE									
Mconnect?: TRUE									
Use Abs(Cond)?: TRUE									
Rate (K/min): 1									
Heater: High									
DESCRIPTION									
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea
1.441000E+0	4.600000E+2	2.520435E+1	-6.407323E-1	2.223200E-4	NaN	2.223200E-3	NaN	NaN
2.766100E+1	4.597200E+2	2.521970E+1	-1.459444E+0	2.209700E-4	NaN	2.209700E-3	NaN	NaN
3.835000E+1	4.594600E+2	2.523397E+1	-1.130435E+0	2.195400E-4	NaN	2.195400E-3	4.808277E-1	1.212931E+1
4.525000E+1	4.593300E+2	2.524111E+1	-6.444222E-1	2.186400E-4	NaN	2.186400E-3	4.334083E-1	1.094256E+1
5.921600E+1	4.591800E+2	2.524936E+1	-1.449873E+0	2.175000E-4	NaN	2.175000E-3	4.670401E-1	1.179566E+1
7.618300E+1	4.587700E+2	2.527192E+1	-4.568383E-1	2.161200E-4	NaN	2.161200E-3	4.866839E-1	1.229454E+1
8.669000E+1	4.586900E+2	2.527633E+1	-9.522865E-1	2.146800E-4	NaN	2.146800E-3	4.845598E-1	1.224560E+1
9.677100E+1	4.585300E+2	2.528515E+1	-9.610984E-1	2.136900E-4	NaN	2.136900E-3	5.374426E-1	1.359201E+1
1.098810E+2	4.583200E+2	2.529674E+1	-8.713598E-1	2.127800E-4	NaN	2.127800E-3	4.400495E-1	1.113194E+1
1.229640E+2	4.581300E+2	2.530723E+1	-1.183924E+0	2.116600E-4	NaN	2.116600E-3	4.519849E-1	1.143847E+1
