7/25/2024
5:28 PM
slow cool up 460_2024.07.25_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 1
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 5
Heater: High
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
3.679100E+1	2.961500E+2	3.914908E+1	5.083796E-1	2.233400E-7	NaN	2.233400E-6	NaN	NaN
4.361800E+1	2.965000E+2	3.910287E+1	8.380359E-1	2.272900E-7	NaN	2.272900E-6	NaN	NaN
4.717400E+1	2.967000E+2	3.907651E+1	1.010142E+0	2.301500E-7	NaN	2.301500E-6	NaN	NaN
5.052100E+1	2.970000E+2	3.903704E+1	1.185499E+0	2.333600E-7	NaN	2.333600E-6	NaN	NaN
5.414500E+1	2.973200E+2	3.899502E+1	1.565636E+0	2.373400E-7	NaN	2.373400E-6	NaN	NaN
5.780700E+1	2.975900E+2	3.895964E+1	1.985200E+0	2.419100E-7	NaN	2.419100E-6	NaN	NaN
6.172200E+1	2.979700E+2	3.890996E+1	2.438511E+0	2.473800E-7	NaN	2.473800E-6	NaN	NaN
6.527400E+1	2.985400E+2	3.883567E+1	2.967934E+0	2.527900E-7	NaN	2.527900E-6	NaN	NaN
7.157200E+1	2.989200E+2	3.878630E+1	3.699303E+0	2.631000E-7	NaN	2.631000E-6	NaN	NaN
7.538400E+1	2.993000E+2	3.873705E+1	4.500452E+0	2.696200E-7	NaN	2.696200E-6	NaN	NaN
7.896700E+1	2.995800E+2	3.870085E+1	4.865892E+0	2.759500E-7	NaN	2.759500E-6	NaN	NaN
8.263000E+1	2.999500E+2	3.865311E+1	5.112039E+0	2.826100E-7	NaN	2.826100E-6	NaN	NaN
8.661100E+1	3.002200E+2	3.861835E+1	5.306395E+0	2.896900E-7	NaN	2.896900E-6	NaN	NaN
8.996300E+1	3.005700E+2	3.857338E+1	5.394550E+0	2.958200E-7	NaN	2.958200E-6	NaN	NaN
9.347000E+1	3.009200E+2	3.852851E+1	5.447654E+0	3.022500E-7	NaN	3.022500E-6	NaN	NaN
9.728000E+1	3.011700E+2	3.849653E+1	5.452212E+0	3.092300E-7	NaN	3.092300E-6	NaN	NaN
1.008850E+2	3.015100E+2	3.845312E+1	5.399000E+0	3.158300E-7	NaN	3.158300E-6	NaN	NaN
1.045610E+2	3.018400E+2	3.841108E+1	5.352205E+0	3.225800E-7	NaN	3.225800E-6	NaN	NaN
1.086710E+2	3.026900E+2	3.830321E+1	5.258911E+0	3.302300E-7	NaN	3.302300E-6	NaN	NaN
1.192350E+2	3.030300E+2	3.826024E+1	5.467272E+0	3.505300E-7	NaN	3.505300E-6	NaN	NaN
1.229670E+2	3.033700E+2	3.821736E+1	5.408801E+0	3.579600E-7	NaN	3.579600E-6	NaN	NaN
