6/27/2024									
10:44 AM									
slow cooling down 460_2024.06.27_COND_FILE END.txt									
									
Data taken by: Akshat Sharma									
ammeter is Keithley 6517A at GPIB0::27::INSTR									
voltage source is Keithley 6517A at GPIB0::27::INSTR									
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1									
Readings: 1									
Voltage (V): 100									
Geo Factor: 1000									
Ea Window (pts): 5									
Shut off V when done?: TRUE									
Mconnect?: TRUE									
Use Abs(Cond)?: TRUE									
Rate (K/min): 1									
Heater: High									
DESCRIPTION									
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea
5.877000E+0	4.600000E+2	2.520435E+1	-6.658446E-1	2.294700E-4	NaN	2.294700E-3	NaN	NaN
3.020700E+1	4.597300E+2	2.521915E+1	-1.620527E+0	2.282600E-4	NaN	2.282600E-3	NaN	NaN
3.909300E+1	4.594900E+2	2.523232E+1	-1.350772E+0	2.269400E-4	NaN	2.269400E-3	4.648816E-1	1.172769E+1
4.842100E+1	4.592800E+2	2.524386E+1	-9.025465E-1	2.255500E-4	NaN	2.255500E-3	4.968533E-1	1.254075E+1
5.772800E+1	4.591400E+2	2.525156E+1	-6.250343E-1	2.244700E-4	NaN	2.244700E-3	4.913926E-1	1.240950E+1
7.596700E+1	4.589500E+2	2.526201E+1	-1.070212E+0	2.235900E-4	NaN	2.235900E-3	4.763637E-1	1.203575E+1
8.830100E+1	4.587300E+2	2.527413E+1	-1.195791E+0	2.222900E-4	NaN	2.222900E-3	4.689978E-1	1.185313E+1
1.008450E+2	4.584800E+2	2.528791E+1	-1.183612E+0	2.207500E-4	NaN	2.207500E-3	4.979224E-1	1.258957E+1
1.074350E+2	4.583500E+2	2.529508E+1	-8.647232E-1	2.200100E-4	NaN	2.200100E-3	4.976506E-1	1.258906E+1
1.227000E+2	4.581300E+2	2.530723E+1	-8.903879E-1	2.186000E-4	NaN	2.186000E-3	4.768157E-1	1.206747E+1
1.375250E+2	4.579100E+2	2.531939E+1	-1.144396E+0	2.173600E-4	NaN	2.173600E-3	4.703545E-1	1.190832E+1
1.464380E+2	4.577400E+2	2.532879E+1	-1.061857E+0	2.165500E-4	NaN	2.165500E-3	4.570343E-1	1.157627E+1
1.583040E+2	4.575300E+2	2.534041E+1	-9.439430E-1	2.153000E-4	NaN	2.153000E-3	4.615781E-1	1.169652E+1
1.703810E+2	4.573400E+2	2.535094E+1	-9.590309E-1	2.142700E-4	NaN	2.142700E-3	4.682287E-1	1.186995E+1
1.822680E+2	4.571500E+2	2.536148E+1	-9.755304E-1	2.132200E-4	NaN	2.132200E-3	4.635829E-1	1.175740E+1
1.945690E+2	4.569500E+2	2.537258E+1	-9.703243E-1	2.121400E-4	NaN	2.121400E-3	4.627220E-1	1.174072E+1
2.069360E+2	4.567500E+2	2.538369E+1	-1.029075E+0	2.110200E-4	NaN	2.110200E-3	4.625597E-1	1.174175E+1
2.191800E+2	4.565400E+2	2.539537E+1	-1.056958E+0	2.099200E-4	NaN	2.099200E-3	4.632441E-1	1.176439E+1
2.311010E+2	4.563300E+2	2.540705E+1	-1.048951E+0	2.087700E-4	NaN	2.087700E-3	4.623850E-1	1.174770E+1
2.431130E+2	4.561200E+2	2.541875E+1	-1.022234E+0	2.076400E-4	NaN	2.076400E-3	4.759940E-1	1.209858E+1
2.548520E+2	4.559200E+2	2.542990E+1	-9.271182E-1	2.065700E-4	NaN	2.065700E-3	4.730834E-1	1.202992E+1
2.665010E+2	4.557400E+2	2.543994E+1	-9.692229E-1	2.054800E-4	NaN	2.054800E-3	4.633933E-1	1.178906E+1
2.782630E+2	4.555500E+2	2.545055E+1	-1.035843E+0	2.045600E-4	NaN	2.045600E-3	4.600164E-1	1.170837E+1
2.904270E+2	4.553400E+2	2.546229E+1	-1.026059E+0	2.035100E-4	NaN	2.035100E-3	4.531285E-1	1.153764E+1
3.027070E+2	4.551300E+2	2.547404E+1	-9.451169E-1	2.023500E-4	NaN	2.023500E-3	4.716191E-1	1.201343E+1
3.147690E+2	4.549400E+2	2.548468E+1	-9.345794E-1	2.013800E-4	NaN	2.013800E-3	4.759062E-1	1.212834E+1
3.269670E+2	4.547500E+2	2.549533E+1	-1.026895E+0	2.002800E-4	NaN	2.002800E-3	4.500593E-1	1.147547E+1
3.392370E+2	4.545400E+2	2.550711E+1	-1.173021E+0	1.992300E-4	NaN	1.992300E-3	4.419675E-1	1.127346E+1
