6/25/2024									
4:05 PM									
slow cooling down 480_2024.06.25_COND_FILE END.txt									
									
Data taken by: Akshat Sharma									
ammeter is Keithley 6517A at GPIB0::27::INSTR									
voltage source is Keithley 6517A at GPIB0::27::INSTR									
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1									
Readings: 1									
Voltage (V): 100									
Geo Factor: 1000									
Ea Window (pts): 5									
Shut off V when done?: TRUE									
Mconnect?: TRUE									
Use Abs(Cond)?: TRUE									
Rate (K/min): 1									
Heater: High									
DESCRIPTION									
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea
1.465000E+0	4.800000E+2	2.415417E+1	-6.291355E-1	3.752800E-4	NaN	3.752800E-3	NaN	NaN
2.912200E+1	4.797100E+2	2.416877E+1	-1.722356E+0	3.735100E-4	NaN	3.735100E-3	NaN	NaN
3.783100E+1	4.794600E+2	2.418137E+1	-1.464129E+0	3.714400E-4	NaN	3.714400E-3	4.376634E-1	1.058031E+1
4.397800E+1	4.793100E+2	2.418894E+1	-8.157023E-1	3.700900E-4	NaN	3.700900E-3	4.847797E-1	1.172617E+1
5.574700E+1	4.791500E+2	2.419702E+1	-6.451311E-1	3.682300E-4	NaN	3.682300E-3	4.749997E-1	1.149511E+1
7.713800E+1	4.789200E+2	2.420864E+1	-1.263998E+0	3.665200E-4	NaN	3.665200E-3	4.584293E-1	1.109809E+1
8.615700E+1	4.787300E+2	2.421824E+1	-1.384311E+0	3.650100E-4	NaN	3.650100E-3	4.605260E-1	1.115285E+1
9.525900E+1	4.785200E+2	2.422887E+1	-1.017984E+0	3.631800E-4	NaN	3.631800E-3	5.001750E-1	1.211781E+1
1.070470E+2	4.783200E+2	2.423900E+1	-6.880170E-1	3.611400E-4	NaN	3.611400E-3	4.930829E-1	1.195182E+1
1.192560E+2	4.781800E+2	2.424610E+1	-1.025439E+0	3.597500E-4	NaN	3.597500E-3	4.751387E-1	1.152177E+1
1.344690E+2	4.779200E+2	2.425929E+1	-1.163166E+0	3.578400E-4	NaN	3.578400E-3	4.557585E-1	1.105634E+1
1.437540E+2	4.777400E+2	2.426843E+1	-1.147896E+0	3.563000E-4	NaN	3.563000E-3	4.635681E-1	1.124951E+1
1.557760E+2	4.775100E+2	2.428012E+1	-8.456309E-1	3.543200E-4	NaN	3.543200E-3	4.936148E-1	1.198440E+1
1.678380E+2	4.773400E+2	2.428877E+1	-8.016568E-1	3.527200E-4	NaN	3.527200E-3	4.859260E-1	1.180289E+1
1.828070E+2	4.771400E+2	2.429895E+1	-1.110177E+0	3.509100E-4	NaN	3.509100E-3	4.753589E-1	1.155179E+1
1.946970E+2	4.769200E+2	2.431016E+1	-1.151535E+0	3.492300E-4	NaN	3.492300E-3	4.704974E-1	1.143732E+1
2.066810E+2	4.766900E+2	2.432189E+1	-9.244992E-1	3.473000E-4	NaN	3.473000E-3	4.661697E-1	1.133705E+1
2.157670E+2	4.765500E+2	2.432903E+1	-9.204909E-1	3.460100E-4	NaN	3.460100E-3	4.673466E-1	1.137096E+1
2.307590E+2	4.763200E+2	2.434078E+1	-1.009506E+0	3.442000E-4	NaN	3.442000E-3	4.560735E-1	1.110186E+1
