6/25/2024
11:16 AM
slow cooling up 470_2024.06.25_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 1
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 5
Heater: High
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
1.475000E+0	2.960000E+2	3.916892E+1	NaN	2.616100E-7	NaN	2.616100E-6	NaN	NaN
3.406600E+1	2.963000E+2	3.912926E+1	3.788406E-1	2.649200E-7	NaN	2.649200E-6	NaN	NaN
4.031200E+1	2.965700E+2	3.909364E+1	6.480936E-1	2.684500E-7	NaN	2.684500E-6	NaN	NaN
4.632200E+1	2.969400E+2	3.904492E+1	1.263257E+0	2.736800E-7	NaN	2.736800E-6	NaN	NaN
4.932600E+1	2.971600E+2	3.901602E+1	1.628331E+0	2.770300E-7	NaN	2.770300E-6	NaN	NaN
5.248800E+1	2.974100E+2	3.898322E+1	2.042077E+0	2.811100E-7	NaN	2.811100E-6	NaN	NaN
5.548700E+1	2.976800E+2	3.894786E+1	2.476851E+0	2.855000E-7	NaN	2.855000E-6	NaN	NaN
5.848200E+1	2.979600E+2	3.891126E+1	2.939286E+0	2.904300E-7	NaN	2.904300E-6	NaN	NaN
6.147800E+1	2.982800E+2	3.886952E+1	3.389871E+0	2.958000E-7	NaN	2.958000E-6	NaN	NaN
6.453000E+1	2.985900E+2	3.882916E+1	3.857897E+0	3.015800E-7	NaN	3.015800E-6	NaN	NaN
6.766600E+1	2.989000E+2	3.878889E+1	4.318011E+0	3.079700E-7	NaN	3.079700E-6	NaN	NaN
7.080600E+1	2.992200E+2	3.874741E+1	4.735755E+0	3.148200E-7	NaN	3.148200E-6	NaN	NaN
7.382700E+1	2.995300E+2	3.870731E+1	5.111823E+0	3.214200E-7	NaN	3.214200E-6	NaN	NaN
7.684200E+1	2.999400E+2	3.865440E+1	5.419516E+0	3.282300E-7	NaN	3.282300E-6	NaN	NaN
8.000600E+1	3.001500E+2	3.862735E+1	5.741872E+0	3.354300E-7	NaN	3.354300E-6	NaN	NaN
8.295800E+1	3.005600E+2	3.857466E+1	5.899204E+0	3.424000E-7	NaN	3.424000E-6	NaN	NaN
8.609400E+1	3.008500E+2	3.853748E+1	6.093559E+0	3.496800E-7	NaN	3.496800E-6	NaN	NaN
8.917500E+1	3.011200E+2	3.850292E+1	6.204745E+0	3.567800E-7	NaN	3.567800E-6	NaN	NaN
9.232000E+1	3.014000E+2	3.846715E+1	6.225520E+0	3.641400E-7	NaN	3.641400E-6	NaN	NaN
9.539300E+1	3.016600E+2	3.843400E+1	6.188145E+0	3.711500E-7	NaN	3.711500E-6	4.618714E-1	1.795114E+1
9.832000E+1	3.019200E+2	3.840090E+1	6.093600E+0	3.778300E-7	NaN	3.778300E-6	4.661305E-1	1.810935E+1
1.014030E+2	3.021800E+2	3.836786E+1	5.992197E+0	3.847700E-7	NaN	3.847700E-6	4.699421E-1	1.825022E+1
1.043870E+2	3.024300E+2	3.833614E+1	5.864130E+0	3.915600E-7	NaN	3.915600E-6	4.734715E-1	1.838016E+1
1.073170E+2	3.026900E+2	3.830321E+1	5.709450E+0	3.981600E-7	NaN	3.981600E-6	4.767317E-1	1.849971E+1
1.102980E+2	3.029400E+2	3.827160E+1	5.554264E+0	4.047300E-7	NaN	4.047300E-6	4.795184E-1	1.860080E+1
1.132440E+2	3.031800E+2	3.824131E+1	5.392675E+0	4.114900E-7	NaN	4.114900E-6	4.819671E-1	1.868878E+1
1.162490E+2	3.034200E+2	3.821106E+1	5.317727E+0	4.181900E-7	NaN	4.181900E-6	4.842649E-1	1.877097E+1
1.193090E+2	3.036600E+2	3.818086E+1	5.155932E+0	4.252100E-7	NaN	4.252100E-6	4.863718E-1	1.884579E+1
1.223070E+2	3.039000E+2	3.815071E+1	5.095480E+0	4.322500E-7	NaN	4.322500E-6	4.883859E-1	1.891703E+1
1.254120E+2	3.040700E+2	3.812938E+1	5.043175E+0	4.396500E-7	NaN	4.396500E-6	4.902867E-1	1.898387E+1
1.282600E+2	3.043100E+2	3.809931E+1	4.929232E+0	4.464800E-7	NaN	4.464800E-6	4.926459E-1	1.906891E+1
1.311700E+2	3.045700E+2	3.806678E+1	4.844012E+0	4.537000E-7	NaN	4.537000E-6	4.947229E-1	1.914289E+1
1.341210E+2	3.048400E+2	3.803307E+1	4.787749E+0	4.611500E-7	NaN	4.611500E-6	4.965020E-1	1.920512E+1
1.372700E+2	3.050900E+2	3.800190E+1	4.774056E+0	4.694200E-7	NaN	4.694200E-6	4.979920E-1	1.925591E+1
1.403000E+2	3.053500E+2	3.796954E+1	4.763671E+0	4.773900E-7	NaN	4.773900E-6	4.994980E-1	1.930725E+1
1.434480E+2	3.056200E+2	3.793600E+1	4.771564E+0	4.859400E-7	NaN	4.859400E-6	5.008684E-1	1.935320E+1
1.462710E+2	3.058700E+2	3.790499E+1	4.810258E+0	4.938900E-7	NaN	4.938900E-6	5.021484E-1	1.939548E+1
1.493250E+2	3.061300E+2	3.787280E+1	4.871883E+0	5.023800E-7	NaN	5.023800E-6	5.033208E-1	1.943354E+1
1.523400E+2	3.064000E+2	3.783943E+1	4.942377E+0	5.110500E-7	NaN	5.110500E-6	5.044170E-1	1.946855E+1
1.553220E+2	3.066700E+2	3.780611E+1	5.025770E+0	5.198500E-7	NaN	5.198500E-6	5.054036E-1	1.949919E+1
1.582840E+2	3.069500E+2	3.777162E+1	5.115598E+0	5.287600E-7	NaN	5.287600E-6	5.062919E-1	1.952591E+1
1.613380E+2	3.072200E+2	3.773843E+1	5.220610E+0	5.379700E-7	NaN	5.379700E-6	5.070453E-1	1.954725E+1
1.678650E+2	3.079100E+2	3.765386E+1	5.249326E+0	5.579800E-7	NaN	5.579800E-6	5.077430E-1	1.956637E+1
1.725140E+2	3.081600E+2	3.762331E+1	5.368797E+0	5.725700E-7	NaN	5.725700E-6	5.079462E-1	1.956422E+1
1.756470E+2	3.084200E+2	3.759160E+1	5.332379E+0	5.825800E-7	NaN	5.825800E-6	5.088093E-1	1.958798E+1
1.786370E+2	3.086800E+2	3.755993E+1	5.305950E+0	5.923000E-7	NaN	5.923000E-6	5.096443E-1	1.961085E+1
1.815800E+2	3.089500E+2	3.752711E+1	5.271919E+0	6.019100E-7	NaN	6.019100E-6	5.104066E-1	1.963107E+1
1.845900E+2	3.092100E+2	3.749555E+1	5.249316E+0	6.120500E-7	NaN	6.120500E-6	5.110443E-1	1.964657E+1
1.875800E+2	3.094600E+2	3.746526E+1	5.223620E+0	6.221400E-7	NaN	6.221400E-6	5.116435E-1	1.966071E+1
1.904420E+2	3.097200E+2	3.743381E+1	5.194066E+0	6.316900E-7	NaN	6.316900E-6	5.122230E-1	1.967425E+1
1.935260E+2	3.099800E+2	3.740241E+1	5.165972E+0	6.425800E-7	NaN	6.425800E-6	5.133491E-1	1.970596E+1
1.965740E+2	3.102300E+2	3.737227E+1	5.134275E+0	6.533200E-7	NaN	6.533200E-6	5.145144E-1	1.973883E+1
1.996410E+2	3.104900E+2	3.734098E+1	5.097004E+0	6.642600E-7	NaN	6.642600E-6	5.157290E-1	1.977325E+1
2.027240E+2	3.107500E+2	3.730973E+1	5.071326E+0	6.754600E-7	NaN	6.754600E-6	5.169393E-1	1.980707E+1
2.058370E+2	3.110200E+2	3.727735E+1	5.044327E+0	6.868800E-7	NaN	6.868800E-6	5.181978E-1	1.984221E+1
2.089000E+2	3.112800E+2	3.724621E+1	5.155864E+0	6.983400E-7	NaN	6.983400E-6	5.194378E-1	1.987605E+1
2.118840E+2	3.115300E+2	3.721632E+1	5.145264E+0	7.097900E-7	NaN	7.097900E-6	5.207319E-1	1.991131E+1
2.148970E+2	3.117900E+2	3.718528E+1	5.122630E+0	7.215000E-7	NaN	7.215000E-6	5.220367E-1	1.994641E+1
2.180500E+2	3.121300E+2	3.714478E+1	5.104299E+0	7.338400E-7	NaN	7.338400E-6	5.233033E-1	1.997942E+1
2.212580E+2	3.124000E+2	3.711268E+1	5.154580E+0	7.465300E-7	NaN	7.465300E-6	5.243350E-1	2.000242E+1
2.242990E+2	3.126600E+2	3.708181E+1	5.195048E+0	7.589900E-7	NaN	7.589900E-6	5.253369E-1	2.002363E+1
2.274010E+2	3.129300E+2	3.704982E+1	5.222525E+0	7.716600E-7	NaN	7.716600E-6	5.262667E-1	2.004159E+1
2.303150E+2	3.132000E+2	3.701788E+1	5.258991E+0	7.838100E-7	NaN	7.838100E-6	5.271088E-1	2.005566E+1
2.334130E+2	3.134700E+2	3.698600E+1	5.301122E+0	7.970600E-7	NaN	7.970600E-6	5.278000E-1	2.006350E+1
2.363970E+2	3.137300E+2	3.695534E+1	5.327659E+0	8.101600E-7	NaN	8.101600E-6	5.283551E-1	2.006582E+1
2.394410E+2	3.140000E+2	3.692357E+1	5.343874E+0	8.238300E-7	NaN	8.238300E-6	5.287958E-1	2.006358E+1
2.425180E+2	3.142700E+2	3.689184E+1	5.350939E+0	8.378700E-7	NaN	8.378700E-6	5.291253E-1	2.005698E+1
2.456030E+2	3.145400E+2	3.686018E+1	5.351234E+0	8.522400E-7	NaN	8.522400E-6	5.293197E-1	2.004523E+1
