6/25/2024
7:26 PM
slow cooling up 480_2024.06.25_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 1
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 5
Heater: High
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
4.227500E+1	2.962000E+2	3.914247E+1	4.577698E-1	2.277200E-7	NaN	2.277200E-6	NaN	NaN
4.520700E+1	2.963500E+2	3.912266E+1	6.913495E-1	2.293000E-7	NaN	2.293000E-6	NaN	NaN
5.149100E+1	2.967200E+2	3.907387E+1	1.284717E+0	2.338700E-7	NaN	2.338700E-6	NaN	NaN
5.458800E+1	2.970200E+2	3.903441E+1	1.643431E+0	2.367800E-7	NaN	2.367800E-6	NaN	NaN
5.776200E+1	2.972700E+2	3.900158E+1	2.094520E+0	2.402300E-7	NaN	2.402300E-6	NaN	NaN
6.084900E+1	2.975500E+2	3.896488E+1	2.566776E+0	2.439600E-7	NaN	2.439600E-6	NaN	NaN
6.385500E+1	2.978400E+2	3.892694E+1	3.055317E+0	2.480600E-7	NaN	2.480600E-6	NaN	NaN
6.692600E+1	2.981400E+2	3.888777E+1	3.551348E+0	2.525400E-7	NaN	2.525400E-6	NaN	NaN
6.999600E+1	2.984300E+2	3.884998E+1	4.028628E+0	2.574300E-7	NaN	2.574300E-6	NaN	NaN
7.300700E+1	2.987400E+2	3.880967E+1	4.469577E+0	2.624400E-7	NaN	2.624400E-6	NaN	NaN
7.612900E+1	2.990400E+2	3.877073E+1	4.847644E+0	2.679400E-7	NaN	2.679400E-6	NaN	NaN
7.909600E+1	2.993400E+2	3.873188E+1	5.163542E+0	2.733900E-7	NaN	2.733900E-6	NaN	NaN
8.242400E+1	2.996400E+2	3.869310E+1	5.421220E+0	2.795900E-7	NaN	2.795900E-6	NaN	NaN
8.550000E+1	2.999600E+2	3.865182E+1	5.604718E+0	2.852800E-7	NaN	2.852800E-6	NaN	NaN
8.842000E+1	3.002500E+2	3.861449E+1	5.731472E+0	2.908700E-7	NaN	2.908700E-6	NaN	NaN
9.144800E+1	3.005300E+2	3.857851E+1	5.789388E+0	2.967500E-7	NaN	2.967500E-6	NaN	NaN
9.442800E+1	3.008100E+2	3.854260E+1	5.844056E+0	3.023200E-7	NaN	3.023200E-6	4.404778E-1	1.715175E+1
9.751800E+1	3.010700E+2	3.850932E+1	5.849434E+0	3.083400E-7	NaN	3.083400E-6	4.457455E-1	1.734975E+1
1.004250E+2	3.013400E+2	3.847481E+1	5.809962E+0	3.138300E-7	NaN	3.138300E-6	4.510098E-1	1.754772E+1
1.034490E+2	3.016000E+2	3.844164E+1	5.765093E+0	3.196400E-7	NaN	3.196400E-6	4.555322E-1	1.771672E+1
1.063780E+2	3.018500E+2	3.840981E+1	5.703080E+0	3.252300E-7	NaN	3.252300E-6	4.597559E-1	1.787408E+1
1.094520E+2	3.021300E+2	3.837421E+1	5.618997E+0	3.310500E-7	NaN	3.310500E-6	4.636180E-1	1.801741E+1
1.123670E+2	3.023700E+2	3.834375E+1	5.551224E+0	3.365500E-7	NaN	3.365500E-6	4.669313E-1	1.813918E+1
1.154320E+2	3.026200E+2	3.831207E+1	5.467763E+0	3.423800E-7	NaN	3.423800E-6	4.699772E-1	1.825066E+1
1.184990E+2	3.028600E+2	3.828171E+1	5.383557E+0	3.483300E-7	NaN	3.483300E-6	4.728207E-1	1.835425E+1
1.214480E+2	3.031100E+2	3.825014E+1	5.270764E+0	3.540900E-7	NaN	3.540900E-6	4.755830E-1	1.845475E+1
1.245890E+2	3.033600E+2	3.821862E+1	5.189766E+0	3.604300E-7	NaN	3.604300E-6	4.780623E-1	1.854419E+1
1.276170E+2	3.036200E+2	3.818589E+1	5.120255E+0	3.665000E-7	NaN	3.665000E-6	4.804856E-1	1.863142E+1
1.306800E+2	3.038800E+2	3.815322E+1	5.068739E+0	3.728100E-7	NaN	3.728100E-6	4.826433E-1	1.870821E+1
1.337120E+2	3.041600E+2	3.811810E+1	5.039157E+0	3.792900E-7	NaN	3.792900E-6	4.846206E-1	1.877791E+1
1.367090E+2	3.044200E+2	3.808554E+1	5.026313E+0	3.857700E-7	NaN	3.857700E-6	4.863280E-1	1.883691E+1
