5/29/2024
3:35 PM
fast cooling at 450 at 15k per minute_2024.05.29_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 5
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 10
Heater: Off
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
1.789000E+0	4.494800E+2	2.579425E+1	NaN	2.221920E-4	2.218213E-3	2.221920E-3	NaN	NaN
8.915000E+0	4.474500E+2	2.591128E+1	NaN	2.160400E-4	1.620748E-2	2.160400E-3	NaN	NaN
1.607700E+1	4.444700E+2	2.608500E+1	NaN	2.014462E-4	2.695168E-2	2.014462E-3	NaN	NaN
2.348300E+1	4.410500E+2	2.628727E+1	-2.104194E+1	1.831130E-4	3.164203E-2	1.831130E-3	NaN	NaN
3.057200E+1	4.374700E+2	2.650239E+1	-2.349796E+1	1.647426E-4	3.482350E-2	1.647426E-3	NaN	NaN
3.773500E+1	4.332100E+2	2.676300E+1	-2.530967E+1	1.469092E-4	3.656260E-2	1.469092E-3	NaN	NaN
4.497800E+1	4.295700E+2	2.698978E+1	-2.730031E+1	1.306896E-4	3.696207E-2	1.306896E-3	NaN	NaN
5.221200E+1	4.259800E+2	2.721724E+1	-3.013109E+1	1.154454E-4	3.955219E-2	1.154454E-3	NaN	NaN
5.954300E+1	4.223400E+2	2.745182E+1	-3.118263E+1	1.024196E-4	3.686363E-2	1.024196E-3	NaN	NaN
6.662400E+1	4.189200E+2	2.767593E+1	-3.128663E+1	9.094680E-5	3.598259E-2	9.094680E-4	NaN	NaN
7.354900E+1	4.155400E+2	2.790104E+1	-3.059004E+1	8.092600E-5	3.693248E-2	8.092600E-4	NaN	NaN
8.063600E+1	4.121500E+2	2.813053E+1	-2.958870E+1	7.153040E-5	3.969738E-2	7.153040E-4	NaN	NaN
8.826500E+1	4.085100E+2	2.838119E+1	-2.931578E+1	6.327140E-5	3.818599E-2	6.327140E-4	NaN	NaN
9.561300E+1	4.054000E+2	2.859891E+1	-2.905661E+1	5.608520E-5	3.698013E-2	5.608520E-4	NaN	NaN
1.028370E+2	4.040100E+2	2.869731E+1	-2.836155E+1	5.059940E-5	2.115158E-2	5.059940E-4	NaN	NaN
1.061800E+2	4.014500E+2	2.888031E+1	-2.555655E+1	4.817120E-5	2.891942E-2	4.817120E-4	5.073951E-1	1.380191E+1
1.119910E+2	3.985500E+2	2.909045E+1	-2.474304E+1	4.323180E-5	3.466362E-2	4.323180E-4	5.086558E-1	1.387879E+1
1.189110E+2	3.957300E+2	2.929775E+1	-2.474356E+1	3.875420E-5	3.457968E-2	3.875420E-4	5.096692E-1	1.395177E+1
1.260230E+2	3.929000E+2	2.950878E+1	-2.512117E+1	3.478780E-5	3.303511E-2	3.478780E-4	5.106914E-1	1.402672E+1
1.333340E+2	3.902400E+2	2.970992E+1	-2.606747E+1	3.108200E-5	3.290129E-2	3.108200E-4	5.114568E-1	1.409635E+1
1.402510E+2	3.876500E+2	2.990842E+1	-2.636079E+1	2.802620E-5	3.206840E-2	2.802620E-4	5.126596E-1	1.417814E+1
1.471550E+2	3.851300E+2	3.010412E+1	-2.400145E+1	2.522700E-5	3.355097E-2	2.522700E-4	5.136655E-1	1.425475E+1
1.542870E+2	3.826200E+2	3.030160E+1	-2.282014E+1	2.275460E-5	3.221480E-2	2.275460E-4	5.146867E-1	1.433171E+1
1.613560E+2	3.802600E+2	3.048966E+1	-2.219850E+1	2.056440E-5	3.156051E-2	2.056440E-4	5.155495E-1	1.440448E+1
1.684450E+2	3.779500E+2	3.067602E+1	-2.156670E+1	1.861026E-5	3.085496E-2	1.861026E-4	5.164167E-1	1.447682E+1
1.755060E+2	3.756500E+2	3.086384E+1	-2.100393E+1	1.686132E-5	3.088617E-2	1.686132E-4	5.172531E-1	1.454783E+1
1.826040E+2	3.734700E+2	3.104399E+1	-2.036169E+1	1.527494E-5	3.031495E-2	1.527494E-4	5.179795E-1	1.461559E+1
1.897420E+2	3.713500E+2	3.122122E+1	-1.972361E+1	1.387886E-5	2.937613E-2	1.387886E-4	5.187643E-1	1.468430E+1
1.969210E+2	3.692500E+2	3.139878E+1	-1.911094E+1	1.259940E-5	2.988610E-2	1.259940E-4	5.195332E-1	1.475197E+1
2.041670E+2	3.669700E+2	3.159386E+1	-1.857407E+1	1.145502E-5	2.954843E-2	1.145502E-4	5.203047E-1	1.481926E+1
2.115370E+2	3.650200E+2	3.176264E+1	-1.829261E+1	1.043096E-5	2.927659E-2	1.043096E-4	5.207519E-1	1.487824E+1
2.189280E+2	3.630900E+2	3.193148E+1	-1.779429E+1	9.490300E-6	2.937364E-2	9.490300E-5	5.236292E-1	1.505885E+1
2.263540E+2	3.612600E+2	3.209323E+1	-1.726368E+1	8.674600E-6	2.650456E-2	8.674600E-5	5.258028E-1	1.522589E+1
2.333180E+2	3.594800E+2	3.225214E+1	-1.657872E+1	7.963460E-6	2.703909E-2	7.963460E-5	5.275275E-1	1.538313E+1
2.404220E+2	3.577600E+2	3.240720E+1	-1.592079E+1	7.321100E-6	2.634390E-2	7.321100E-5	5.290117E-1	1.553502E+1
2.475630E+2	3.560300E+2	3.256467E+1	-1.523547E+1	6.732460E-6	2.567480E-2	6.732460E-5	5.303640E-1	1.568379E+1
2.546100E+2	3.543900E+2	3.271537E+1	-1.495981E+1	6.207260E-6	2.467278E-2	6.207260E-5	5.309062E-1	1.580448E+1
2.615500E+2	3.528000E+2	3.286281E+1	-1.466918E+1	5.730180E-6	2.570360E-2	5.730180E-5	5.313685E-1	1.592145E+1
2.688070E+2	3.512100E+2	3.301159E+1	-1.440528E+1	5.291260E-6	2.370544E-2	5.291260E-5	5.320137E-1	1.604254E+1
2.757130E+2	3.497000E+2	3.315413E+1	-1.400773E+1	4.906340E-6	2.439566E-2	4.906340E-5	5.324997E-1	1.615651E+1
2.828970E+2	3.480400E+2	3.331226E+1	-1.368142E+1	4.541200E-6	2.463240E-2	4.541200E-5	5.329638E-1	1.626799E+1
2.902270E+2	3.468200E+2	3.342944E+1	-1.349543E+1	4.205980E-6	2.300406E-2	4.205980E-5	5.330818E-1	1.636773E+1
2.972280E+2	3.453800E+2	3.356882E+1	-1.291996E+1	3.917140E-6	2.188207E-2	3.917140E-5	5.337350E-1	1.647937E+1
3.040300E+2	3.440300E+2	3.370055E+1	-1.246931E+1	3.652260E-6	2.280347E-2	3.652260E-5	5.338327E-1	1.656859E+1
3.113760E+2	3.425300E+2	3.384813E+1	-1.211536E+1	3.391340E-6	2.303667E-2	3.391340E-5	5.340683E-1	1.665903E+1
3.187210E+2	3.412100E+2	3.397907E+1	-1.189742E+1	3.156640E-6	2.239629E-2	3.156640E-5	5.363147E-1	1.682262E+1
3.259670E+2	3.399600E+2	3.410401E+1	-1.163597E+1	2.948560E-6	2.086561E-2	2.948560E-5	5.367293E-1	1.692869E+1
3.329440E+2	3.387300E+2	3.422785E+1	-1.156596E+1	2.756500E-6	2.099402E-2	2.756500E-5	5.370285E-1	1.702961E+1
3.402350E+2	3.375400E+2	3.434852E+1	-1.114901E+1	2.576680E-6	2.135024E-2	2.576680E-5	5.373026E-1	1.712841E+1
3.474940E+2	3.363400E+2	3.447107E+1	-1.069871E+1	2.412820E-6	2.036181E-2	2.412820E-5	5.374493E-1	1.722096E+1
3.546720E+2	3.352100E+2	3.458727E+1	-1.027883E+1	2.264060E-6	1.970285E-2	2.264060E-5	5.378108E-1	1.731953E+1
3.617460E+2	3.341000E+2	3.470218E+1	-1.002602E+1	2.127980E-6	1.892731E-2	2.127980E-5	5.380902E-1	1.741405E+1
3.686350E+2	3.329800E+2	3.481891E+1	-9.801669E+0	2.002556E-6	1.933482E-2	2.002556E-5	5.383923E-1	1.750813E+1
3.758930E+2	3.319200E+2	3.493010E+1	-9.642093E+0	1.886046E-6	1.770485E-2	1.886046E-5	5.384753E-1	1.759364E+1
3.827630E+2	3.308900E+2	3.503883E+1	-9.475633E+0	1.780266E-6	1.783309E-2	1.780266E-5	5.385693E-1	1.767843E+1
3.896420E+2	3.298800E+2	3.514611E+1	-9.292855E+0	1.679700E-6	1.890998E-2	1.679700E-5	5.386146E-1	1.776049E+1
3.970450E+2	3.287100E+2	3.527121E+1	-9.138722E+0	1.583516E-6	1.820693E-2	1.583516E-5	5.385539E-1	1.783744E+1
4.042750E+2	3.277400E+2	3.537560E+1	-9.078740E+0	1.494706E-6	1.751211E-2	1.494706E-5	5.382251E-1	1.790582E+1
4.113200E+2	3.269300E+2	3.546325E+1	-8.893464E+0	1.416396E-6	1.640722E-2	1.416396E-5	5.379998E-1	1.797643E+1
4.181180E+2	3.259800E+2	3.556660E+1	-8.567595E+0	1.343728E-6	1.651539E-2	1.343728E-5	5.381496E-1	1.805727E+1
4.250300E+2	3.250700E+2	3.566616E+1	-8.282903E+0	1.273248E-6	1.709412E-2	1.273248E-5	5.376163E-1	1.811180E+1
4.323350E+2	3.240500E+2	3.577843E+1	-8.024903E+0	1.206138E-6	1.642117E-2	1.206138E-5	5.372158E-1	1.816945E+1
4.395180E+2	3.233100E+2	3.586032E+1	-7.883968E+0	1.145842E-6	1.572612E-2	1.145842E-5	5.367089E-1	1.822295E+1
4.465090E+2	3.223200E+2	3.597046E+1	-7.724692E+0	1.088436E-6	1.636581E-2	1.088436E-5	5.367185E-1	1.829174E+1
4.537420E+2	3.214900E+2	3.606333E+1	-7.776573E+0	1.035248E-6	1.504987E-2	1.035248E-5	5.363588E-1	1.834791E+1
4.607150E+2	3.206900E+2	3.615329E+1	-7.552820E+0	9.857080E-7	1.517797E-2	9.857080E-6	5.360696E-1	1.840534E+1
4.677530E+2	3.199800E+2	3.623351E+1	-7.347836E+0	9.403220E-7	1.461642E-2	9.403220E-6	5.357829E-1	1.846117E+1
4.746810E+2	3.192000E+2	3.632206E+1	-7.028337E+0	8.968740E-7	1.453172E-2	8.968740E-6	5.357303E-1	1.852326E+1
4.816250E+2	3.184300E+2	3.640989E+1	-6.905651E+0	8.563640E-7	1.454978E-2	8.563640E-6	5.357236E-1	1.858607E+1
4.885310E+2	3.176400E+2	3.650044E+1	-6.608169E+0	8.182460E-7	1.418855E-2	8.182460E-6	5.356661E-1	1.864596E+1
4.955710E+2	3.169100E+2	3.658452E+1	-6.603090E+0	7.816760E-7	1.440119E-2	7.816760E-6	5.353849E-1	1.869747E+1
5.026630E+2	3.161800E+2	3.666899E+1	-6.574703E+0	7.467640E-7	1.386400E-2	7.467640E-6	5.346247E-1	1.872924E+1
5.094810E+2	3.154400E+2	3.675501E+1	-6.551692E+0	7.153680E-7	1.373965E-2	7.153680E-6	5.348030E-1	1.879517E+1
5.166730E+2	3.147300E+2	3.683792E+1	-6.457842E+0	6.835560E-7	1.367328E-2	6.835560E-6	5.345877E-1	1.884636E+1
5.237640E+2	3.140400E+2	3.691886E+1	-6.320479E+0	6.541860E-7	1.349478E-2	6.541860E-6	5.344113E-1	1.889830E+1
5.308010E+2	3.133500E+2	3.700016E+1	-6.158089E+0	6.267200E-7	1.310401E-2	6.267200E-6	5.339163E-1	1.893649E+1
5.379080E+2	3.126600E+2	3.708181E+1	-6.063989E+0	6.003200E-7	1.328280E-2	6.003200E-6	5.334752E-1	1.897552E+1
5.450810E+2	3.120000E+2	3.716026E+1	-5.958769E+0	5.754920E-7	1.289081E-2	5.754920E-6	5.330749E-1	1.901536E+1
5.522300E+2	3.113500E+2	3.723784E+1	-5.813188E+0	5.522420E-7	1.251525E-2	5.522420E-6	5.327663E-1	1.905762E+1
5.593700E+2	3.107400E+2	3.731094E+1	-5.716561E+0	5.307200E-7	1.234495E-2	5.307200E-6	5.326677E-1	1.910679E+1
5.663100E+2	3.101100E+2	3.738673E+1	-5.569434E+0	5.103940E-7	1.250044E-2	5.103940E-6	5.326452E-1	1.915750E+1
5.736570E+2	3.095200E+2	3.745800E+1	-5.446604E+0	4.910440E-7	1.157730E-2	4.910440E-6	5.326690E-1	1.920942E+1
5.806320E+2	3.088700E+2	3.753683E+1	-5.283973E+0	4.730180E-7	1.152430E-2	4.730180E-6	5.328111E-1	1.926486E+1
5.878870E+2	3.083000E+2	3.760623E+1	-5.245886E+0	4.557800E-7	1.129715E-2	4.557800E-6	5.325371E-1	1.930476E+1
5.950800E+2	3.077500E+2	3.767344E+1	-5.159410E+0	4.398260E-7	1.083269E-2	4.398260E-6	5.323463E-1	1.934685E+1
6.021140E+2	3.072200E+2	3.773843E+1	-5.041185E+0	4.247880E-7	1.084886E-2	4.247880E-6	5.321458E-1	1.938779E+1
6.094130E+2	3.067000E+2	3.780241E+1	-4.868480E+0	4.104800E-7	1.031144E-2	4.104800E-6	5.320645E-1	1.943228E+1
6.165590E+2	3.062100E+2	3.786290E+1	-4.695371E+0	3.974500E-7	9.761067E-3	3.974500E-6	5.313490E-1	1.945075E+1
6.235460E+2	3.057400E+2	3.792111E+1	-4.449008E+0	3.851740E-7	9.573938E-3	3.851740E-6	5.307845E-1	1.947352E+1
6.306070E+2	3.052700E+2	3.797949E+1	-4.305252E+0	3.735060E-7	9.576634E-3	3.735060E-6	5.308689E-1	1.952045E+1
6.379140E+2	3.048200E+2	3.803556E+1	-4.174930E+0	3.623420E-7	9.086620E-3	3.623420E-6	5.307498E-1	1.955881E+1
6.449460E+2	3.044000E+2	3.808804E+1	-4.029358E+0	3.521320E-7	8.817439E-3	3.521320E-6	5.307690E-1	1.960144E+1
6.520460E+2	3.039800E+2	3.814067E+1	-3.892103E+0	3.424580E-7	8.647868E-3	3.424580E-6	5.303265E-1	1.962456E+1
6.591840E+2	3.035700E+2	3.819218E+1	-3.764505E+0	3.333180E-7	8.182059E-3	3.333180E-6	5.305908E-1	1.967438E+1
6.662410E+2	3.031900E+2	3.824005E+1	-3.640418E+0	3.248640E-7	7.821643E-3	3.248640E-6	5.301542E-1	1.969588E+1
6.732400E+2	3.028200E+2	3.828677E+1	-3.509943E+0	3.168680E-7	7.755444E-3	3.168680E-6	5.297710E-1	1.971830E+1
6.803620E+2	3.024400E+2	3.833488E+1	-3.401667E+0	3.092240E-7	7.511728E-3	3.092240E-6	5.294840E-1	1.974347E+1
