6/17/2024
5:26 PM
fast cooling at 455K at 20k per minute_2024.06.17_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 1
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 20
Heater: Off
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
1.675000E+0	4.549400E+2	2.548468E+1	NaN	1.666380E-4	NaN	1.666380E-3	NaN	NaN
7.839000E+0	4.545100E+2	2.550879E+1	-2.419355E+0	1.655140E-4	NaN	1.655140E-3	NaN	NaN
1.053600E+1	4.542600E+2	2.552283E+1	-4.102111E+0	1.641550E-4	NaN	1.641550E-3	NaN	NaN
1.337200E+1	4.537800E+2	2.554983E+1	-6.012108E+0	1.622550E-4	NaN	1.622550E-3	NaN	NaN
1.640500E+1	4.532200E+2	2.558140E+1	-7.935356E+0	1.598270E-4	NaN	1.598270E-3	NaN	NaN
1.919800E+1	4.525200E+2	2.562097E+1	-1.063729E+1	1.572690E-4	NaN	1.572690E-3	NaN	NaN
2.199800E+1	4.518100E+2	2.566123E+1	-1.294919E+1	1.545200E-4	NaN	1.545200E-3	NaN	NaN
2.506100E+1	4.510600E+2	2.570390E+1	-1.512609E+1	1.512240E-4	NaN	1.512240E-3	4.371009E-1	1.117653E+1
2.782900E+1	4.505200E+2	2.573471E+1	-1.493726E+1	1.481170E-4	NaN	1.481170E-3	4.449119E-1	1.138472E+1
3.065000E+1	4.494200E+2	2.579769E+1	-1.329898E+1	1.448660E-4	NaN	1.448660E-3	4.622093E-1	1.183406E+1
3.378900E+1	4.488500E+2	2.583046E+1	-1.762449E+1	1.411440E-4	NaN	1.411440E-3	4.591253E-1	1.176686E+1
3.668300E+1	4.479800E+2	2.588062E+1	-1.670134E+1	1.376950E-4	NaN	1.376950E-3	4.718933E-1	1.210246E+1
3.942600E+1	4.470900E+2	2.593214E+1	-1.427300E+1	1.343760E-4	NaN	1.343760E-3	4.799544E-1	1.231917E+1
4.218100E+1	4.461300E+2	2.598794E+1	-1.872699E+1	1.310360E-4	NaN	1.310360E-3	4.841827E-1	1.243872E+1
4.506900E+1	4.452200E+2	2.604106E+1	-2.018968E+1	1.276120E-4	NaN	1.276120E-3	4.852456E-1	1.247814E+1
4.792000E+1	4.446300E+2	2.607561E+1	-1.987518E+1	1.242200E-4	NaN	1.242200E-3	4.889066E-1	1.258887E+1
5.071700E+1	4.437100E+2	2.612968E+1	-1.568915E+1	1.209440E-4	NaN	1.209440E-3	4.976494E-1	1.282963E+1
