5/29/2024
11:51 AM
fast cooling at 470 at 20k per minute_2024.05.29_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 5
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 10
Heater: Off
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
1.073800E+1	4.674000E+2	2.480531E+1	-7.346100E+0	3.523760E-4	2.036181E-2	3.523760E-3	NaN	NaN
1.802700E+1	4.640400E+2	2.498492E+1	-2.286294E+1	3.263360E-4	2.748990E-2	3.263360E-3	NaN	NaN
2.529200E+1	4.601900E+2	2.519394E+1	-3.292987E+1	2.960360E-4	3.235930E-2	2.960360E-3	NaN	NaN
3.236700E+1	4.563000E+2	2.540872E+1	-3.401371E+1	2.659000E-4	3.430112E-2	2.659000E-3	NaN	NaN
3.947500E+1	4.523800E+2	2.562890E+1	-3.386978E+1	2.376500E-4	3.465433E-2	2.376500E-3	NaN	NaN
4.644300E+1	4.483300E+2	2.586042E+1	-3.313859E+1	2.117000E-4	3.742734E-2	2.117000E-3	NaN	NaN
5.355700E+1	4.444200E+2	2.608793E+1	-3.221112E+1	1.881858E-4	3.808818E-2	1.881858E-3	NaN	NaN
6.078100E+1	4.405600E+2	2.631651E+1	-3.325968E+1	1.663810E-4	3.790371E-2	1.663810E-3	NaN	NaN
6.785000E+1	4.367700E+2	2.654486E+1	-3.334912E+1	1.476016E-4	3.831263E-2	1.476016E-3	NaN	NaN
7.489800E+1	4.329300E+2	2.678031E+1	-3.308839E+1	1.309732E-4	3.769863E-2	1.309732E-3	4.733207E-1	1.204104E+1
8.208100E+1	4.293000E+2	2.700676E+1	-3.277697E+1	1.162052E-4	3.631717E-2	1.162052E-3	4.790325E-1	1.223379E+1
8.901900E+1	4.252600E+2	2.726332E+1	-3.211041E+1	1.030544E-4	3.850208E-2	1.030544E-3	4.839314E-1	1.240636E+1
9.630200E+1	4.217300E+2	2.749152E+1	-3.224367E+1	9.143680E-5	3.745926E-2	9.143680E-4	4.865102E-1	1.252365E+1
1.034640E+2	4.184000E+2	2.771033E+1	-3.196943E+1	8.127420E-5	3.657121E-2	8.127420E-4	4.890255E-1	1.263851E+1
1.104880E+2	4.151300E+2	2.792860E+1	-3.116960E+1	7.240180E-5	3.619027E-2	7.240180E-4	4.916398E-1	1.275477E+1
1.180960E+2	4.119500E+2	2.814419E+1	-3.012675E+1	6.400700E-5	3.545328E-2	6.400700E-4	4.940668E-1	1.286573E+1
1.250770E+2	4.087700E+2	2.836314E+1	-2.871040E+1	5.731740E-5	3.419743E-2	5.731740E-4	4.969218E-1	1.298727E+1
1.320940E+2	4.057700E+2	2.857284E+1	-2.731667E+1	5.121160E-5	3.527025E-2	5.121160E-4	4.990747E-1	1.309105E+1
1.392340E+2	4.028600E+2	2.877923E+1	-2.669669E+1	4.590080E-5	3.281435E-2	4.590080E-4	5.010951E-1	1.319099E+1
1.459770E+2	3.999600E+2	2.898790E+1	-2.608242E+1	4.117540E-5	3.567919E-2	4.117540E-4	5.029078E-1	1.328517E+1
1.531940E+2	3.972200E+2	2.918786E+1	-2.568732E+1	3.696520E-5	3.323537E-2	3.696520E-4	5.044551E-1	1.337243E+1
1.602740E+2	3.945400E+2	2.938612E+1	-2.518625E+1	3.322240E-5	3.273022E-2	3.322240E-4	5.059390E-1	1.345752E+1
1.672820E+2	3.919400E+2	2.958106E+1	-2.431127E+1	2.990340E-5	3.297769E-2	2.990340E-4	5.073452E-1	1.354019E+1
1.743980E+2	3.893400E+2	2.977860E+1	-2.359223E+1	2.695240E-5	3.247667E-2	2.695240E-4	5.086818E-1	1.362064E+1
1.815680E+2	3.868700E+2	2.996872E+1	-2.293016E+1	2.430900E-5	3.177559E-2	2.430900E-4	5.098634E-1	1.369694E+1
1.885950E+2	3.844900E+2	3.015423E+1	-2.213153E+1	2.199400E-5	3.140315E-2	2.199400E-4	5.120182E-1	1.381589E+1
1.956220E+2	3.821100E+2	3.034205E+1	-2.159420E+1	1.993098E-5	3.021215E-2	1.993098E-4	5.142436E-1	1.394116E+1
2.025440E+2	3.798500E+2	3.052257E+1	-2.105416E+1	1.807768E-5	3.090522E-2	1.807768E-4	5.165060E-1	1.407346E+1
2.096710E+2	3.776500E+2	3.070038E+1	-2.053227E+1	1.641816E-5	3.004256E-2	1.641816E-4	5.188787E-1	1.421574E+1
2.167480E+2	3.755100E+2	3.087534E+1	-1.994769E+1	1.494206E-5	2.868523E-2	1.494206E-4	5.214989E-1	1.437439E+1
2.236420E+2	3.733600E+2	3.105314E+1	-1.940450E+1	1.363572E-5	2.894283E-2	1.363572E-4	5.242254E-1	1.454783E+1
2.306700E+2	3.713400E+2	3.122206E+1	-1.895849E+1	1.245174E-5	2.758745E-2	1.245174E-4	5.259493E-1	1.469906E+1
2.381250E+2	3.693700E+2	3.138858E+1	-1.843394E+1	1.129250E-5	2.849276E-2	1.129250E-4	5.272690E-1	1.484170E+1
2.454340E+2	3.674200E+2	3.155517E+1	-1.778772E+1	1.031610E-5	2.757055E-2	1.031610E-4	5.285322E-1	1.498340E+1
2.525010E+2	3.655600E+2	3.171572E+1	-1.717520E+1	9.446160E-6	2.688177E-2	9.446160E-5	5.297143E-1	1.512379E+1
2.595750E+2	3.637300E+2	3.187529E+1	-1.657833E+1	8.668500E-6	2.698627E-2	8.668500E-5	5.308949E-1	1.526471E+1
2.666320E+2	3.619100E+2	3.203559E+1	-1.602768E+1	7.958500E-6	2.599311E-2	7.958500E-5	5.319083E-1	1.540045E+1
2.736380E+2	3.601900E+2	3.218857E+1	-1.574693E+1	7.326340E-6	2.656738E-2	7.326340E-5	5.328600E-1	1.553465E+1
2.809000E+2	3.585300E+2	3.233760E+1	-1.553330E+1	6.744080E-6	2.454848E-2	6.744080E-5	5.339611E-1	1.567324E+1
2.878420E+2	3.569200E+2	3.248347E+1	-1.510297E+1	6.230000E-6	2.478038E-2	6.230000E-5	5.351631E-1	1.581463E+1
2.949460E+2	3.550700E+2	3.265272E+1	-1.465990E+1	5.742500E-6	2.548835E-2	5.742500E-5	5.362393E-1	1.595121E+1
3.022880E+2	3.535300E+2	3.279495E+1	-1.451353E+1	5.308400E-6	2.397894E-2	5.308400E-5	5.370300E-1	1.608067E+1
3.092920E+2	3.520200E+2	3.293563E+1	-1.417572E+1	4.920660E-6	2.359359E-2	4.920660E-5	5.372625E-1	1.618897E+1
3.163540E+2	3.505100E+2	3.307752E+1	-1.387257E+1	4.561620E-6	2.321299E-2	4.561620E-5	5.374054E-1	1.629264E+1
3.235300E+2	3.490800E+2	3.321302E+1	-1.357730E+1	4.235800E-6	2.277993E-2	4.235800E-5	5.375574E-1	1.639557E+1
3.307100E+2	3.476900E+2	3.334580E+1	-1.307154E+1	3.929020E-6	2.327150E-2	3.929020E-5	5.376987E-1	1.649663E+1
3.380390E+2	3.462900E+2	3.348061E+1	-1.244140E+1	3.652760E-6	2.251784E-2	3.652760E-5	5.383043E-1	1.661082E+1
3.451670E+2	3.449600E+2	3.360969E+1	-1.213739E+1	3.404240E-6	2.179017E-2	3.404240E-5	5.386454E-1	1.671498E+1
3.522510E+2	3.436700E+2	3.373585E+1	-1.176718E+1	3.179760E-6	2.059884E-2	3.179760E-5	5.390313E-1	1.681920E+1
3.592910E+2	3.424000E+2	3.386098E+1	-1.143196E+1	2.971120E-6	2.066317E-2	2.971120E-5	5.393745E-1	1.692076E+1
3.664240E+2	3.411500E+2	3.398505E+1	-1.120567E+1	2.777600E-6	2.108763E-2	2.777600E-5	5.395773E-1	1.701606E+1
3.735440E+2	3.399500E+2	3.410502E+1	-1.098514E+1	2.602060E-6	2.057362E-2	2.602060E-5	5.398056E-1	1.711102E+1
3.805700E+2	3.387700E+2	3.422381E+1	-1.072727E+1	2.435800E-6	2.093526E-2	2.435800E-5	5.400558E-1	1.720533E+1
3.877840E+2	3.375900E+2	3.434343E+1	-1.048913E+1	2.288380E-6	1.926098E-2	2.288380E-5	5.403947E-1	1.730128E+1
