5/30/2024
12:35 PM
slow cooling at 470K at 1k per minute sitti9ng for 2 hours_2024.05.30_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 5
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 20
Heater: Off
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
1.714000E+0	4.688300E+2	2.472965E+1	NaN	3.697360E-4	2.934096E-3	3.697360E-3	NaN	NaN
8.997000E+0	4.659100E+2	2.488463E+1	NaN	3.556800E-4	2.205654E-2	3.556800E-3	NaN	NaN
1.615700E+1	4.617800E+2	2.510719E+1	-2.405602E+1	3.248360E-4	3.330522E-2	3.248360E-3	NaN	NaN
2.319800E+1	4.570100E+2	2.536925E+1	-2.927257E+1	2.879740E-4	4.144845E-2	2.879740E-3	NaN	NaN
3.053800E+1	4.516100E+2	2.567259E+1	-3.759455E+1	2.513380E-4	4.538439E-2	2.513380E-3	NaN	NaN
3.809800E+1	4.468900E+2	2.594374E+1	-4.244309E+1	2.173900E-4	4.555099E-2	2.173900E-3	NaN	NaN
4.543700E+1	4.414700E+2	2.626226E+1	-4.073524E+1	1.877362E-4	4.698514E-2	1.877362E-3	NaN	NaN
5.297000E+1	4.369700E+2	2.653271E+1	-4.081802E+1	1.619234E-4	4.543968E-2	1.619234E-3	NaN	NaN
6.025700E+1	4.325800E+2	2.680198E+1	-4.000311E+1	1.400604E-4	4.642925E-2	1.400604E-3	4.641512E-1	1.187886E+1
6.784600E+1	4.283300E+2	2.706791E+1	-3.599106E+1	1.211396E-4	4.356849E-2	1.211396E-3	4.744536E-1	1.220206E+1
