5/31/2024
11:30 AM
fast cooling at 480K at 20k per minute_2024.05.31_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 5
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 15
Heater: Off
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
3.390000E+0	4.777000E+2	2.427046E+1	NaN	4.276020E-4	1.675070E-2	4.276020E-3	NaN	NaN
1.134900E+1	4.729700E+2	2.451318E+1	-8.833876E+1	3.933780E-4	3.353120E-2	3.933780E-3	NaN	NaN
1.904100E+1	4.675300E+2	2.479841E+1	-4.138077E+1	3.475520E-4	4.372653E-2	3.475520E-3	NaN	NaN
2.702100E+1	4.626300E+2	2.506106E+1	-4.147519E+1	3.005760E-4	4.598875E-2	3.005760E-3	NaN	NaN
3.469700E+1	4.569200E+2	2.537424E+1	-3.866299E+1	2.588580E-4	5.021499E-2	2.588580E-3	NaN	NaN
4.284700E+1	4.514500E+2	2.568169E+1	-4.078469E+1	2.215220E-4	4.744590E-2	2.215220E-3	NaN	NaN
5.044700E+1	4.461200E+2	2.598852E+1	-4.091789E+1	1.905404E-4	4.708418E-2	1.905404E-3	NaN	NaN
5.812400E+1	4.414500E+2	2.626345E+1	-4.206985E+1	1.635116E-4	4.802441E-2	1.635116E-3	NaN	NaN
6.607700E+1	4.364300E+2	2.656554E+1	-3.986637E+1	1.399046E-4	4.823923E-2	1.399046E-3	NaN	NaN
7.400300E+1	4.315600E+2	2.686533E+1	-3.855909E+1	1.203360E-4	4.656623E-2	1.203360E-3	4.824311E-1	1.219974E+1
8.187100E+1	4.267800E+2	2.716622E+1	-3.716711E+1	1.032956E-4	4.630728E-2	1.032956E-3	4.874079E-1	1.239356E+1
8.973900E+1	4.228200E+2	2.742065E+1	-3.704648E+1	8.933320E-5	4.296591E-2	8.933320E-4	4.910296E-1	1.255472E+1
9.721300E+1	4.184600E+2	2.770635E+1	-3.470667E+1	7.738240E-5	4.573899E-2	7.738240E-4	4.954927E-1	1.273246E+1
1.050980E+2	4.141600E+2	2.799401E+1	-3.349075E+1	6.679080E-5	4.580334E-2	6.679080E-4	4.984901E-1	1.287473E+1
1.131200E+2	4.101000E+2	2.827115E+1	-3.282559E+1	5.777040E-5	4.419886E-2	5.777040E-4	5.007664E-1	1.299989E+1
1.211960E+2	4.062200E+2	2.854118E+1	-3.263375E+1	5.002080E-5	4.422677E-2	5.002080E-4	5.027681E-1	1.311783E+1
1.290940E+2	4.023700E+2	2.881428E+1	-3.059138E+1	4.341800E-5	4.446525E-2	4.341800E-4	5.047022E-1	1.323336E+1
1.373060E+2	3.987500E+2	2.907586E+1	-2.941426E+1	3.775880E-5	4.126927E-2	3.775880E-4	5.062894E-1	1.333997E+1
1.450800E+2	3.957000E+2	2.929997E+1	-2.825988E+1	3.304780E-5	4.211061E-2	3.304780E-4	5.078212E-1	1.344425E+1
1.529270E+2	3.922300E+2	2.955919E+1	-2.643434E+1	2.898020E-5	3.907693E-2	2.898020E-4	5.098853E-1	1.355885E+1
1.605620E+2	3.889800E+2	2.980616E+1	-2.533642E+1	2.559000E-5	3.921100E-2	2.559000E-4	5.155534E-1	1.383176E+1
1.683740E+2	3.858600E+2	3.004717E+1	-2.534015E+1	2.248660E-5	3.942539E-2	2.248660E-4	5.196005E-1	1.407804E+1
1.762750E+2	3.831200E+2	3.026206E+1	-2.536506E+1	1.981768E-5	3.887438E-2	1.981768E-4	5.218680E-1	1.428026E+1
1.840590E+2	3.801800E+2	3.049608E+1	-2.345850E+1	1.757870E-5	3.747935E-2	1.757870E-4	5.235828E-1	1.446513E+1
1.917470E+2	3.773500E+2	3.072479E+1	-2.230221E+1	1.561492E-5	3.737037E-2	1.561492E-4	5.257085E-1	1.466720E+1
1.995330E+2	3.749600E+2	3.092063E+1	-2.192544E+1	1.388928E-5	3.643687E-2	1.388928E-4	5.270024E-1	1.484445E+1
2.071500E+2	3.722300E+2	3.114741E+1	-2.115277E+1	1.241704E-5	3.481119E-2	1.241704E-4	5.287398E-1	1.503005E+1
2.146850E+2	3.699900E+2	3.133598E+1	-2.042902E+1	1.112630E-5	3.445145E-2	1.112630E-4	5.294179E-1	1.518444E+1
2.223990E+2	3.675200E+2	3.154658E+1	-1.947651E+1	9.964980E-6	3.417426E-2	9.964980E-5	5.311620E-1	1.536961E+1
2.301430E+2	3.650400E+2	3.176090E+1	-1.935586E+1	8.929840E-6	3.442793E-2	8.929840E-5	5.326626E-1	1.554698E+1
2.380250E+2	3.627200E+2	3.196405E+1	-1.880958E+1	8.016460E-6	3.422807E-2	8.016460E-5	5.334510E-1	1.570249E+1
2.461310E+2	3.604900E+2	3.216178E+1	-1.873941E+1	7.197080E-6	3.290318E-2	7.197080E-5	5.337703E-1	1.584081E+1
2.540040E+2	3.585400E+2	3.233670E+1	-1.775604E+1	6.502560E-6	3.116849E-2	6.502560E-5	5.349689E-1	1.600833E+1
2.617530E+2	3.564400E+2	3.252721E+1	-1.636154E+1	5.889080E-6	2.988772E-2	5.889080E-5	5.361375E-1	1.617138E+1
2.694110E+2	3.544300E+2	3.271168E+1	-1.577953E+1	5.348060E-6	3.062576E-2	5.348060E-5	5.367014E-1	1.631372E+1
2.773230E+2	3.524300E+2	3.289731E+1	-1.568131E+1	4.858700E-6	2.910365E-2	4.858700E-5	5.368852E-1	1.644208E+1
2.851810E+2	3.507600E+2	3.305394E+1	-1.572257E+1	4.422780E-6	2.890992E-2	4.422780E-5	5.368027E-1	1.656034E+1
2.929010E+2	3.489300E+2	3.322729E+1	-1.460637E+1	4.037360E-6	2.855489E-2	4.037360E-5	5.369921E-1	1.668068E+1
3.008660E+2	3.471100E+2	3.340152E+1	-1.391915E+1	3.689300E-6	2.751185E-2	3.689300E-5	5.369483E-1	1.679071E+1
3.086950E+2	3.454000E+2	3.356688E+1	-1.362335E+1	3.378180E-6	2.747618E-2	3.378180E-5	5.377178E-1	1.692895E+1
3.165770E+2	3.439500E+2	3.370839E+1	-1.367959E+1	3.104860E-6	2.618838E-2	3.104860E-5	5.378844E-1	1.704440E+1
3.242630E+2	3.422900E+2	3.387186E+1	-1.266957E+1	2.861720E-6	2.575990E-2	2.861720E-5	5.379429E-1	1.715086E+1
3.320610E+2	3.407300E+2	3.402694E+1	-1.222589E+1	2.635260E-6	2.558015E-2	2.635260E-5	5.374453E-1	1.723731E+1
3.401320E+2	3.392100E+2	3.417942E+1	-1.208565E+1	2.428420E-6	2.530148E-2	2.428420E-5	5.377910E-1	1.735132E+1
3.481230E+2	3.377000E+2	3.433225E+1	-1.206280E+1	2.244400E-6	2.453434E-2	2.244400E-5	5.376424E-1	1.744631E+1
3.559520E+2	3.362800E+2	3.447722E+1	-1.151663E+1	2.079180E-6	2.412749E-2	2.079180E-5	5.368151E-1	1.751625E+1
3.640580E+2	3.350400E+2	3.460482E+1	-1.119268E+1	1.928764E-6	2.200800E-2	1.928764E-5	5.369646E-1	1.761927E+1
3.716390E+2	3.336900E+2	3.474482E+1	-1.049680E+1	1.795896E-6	2.217345E-2	1.795896E-5	5.367660E-1	1.770526E+1
3.794700E+2	3.323800E+2	3.488176E+1	-1.011985E+1	1.671186E-6	2.248651E-2	1.671186E-5	5.370667E-1	1.780960E+1
3.872930E+2	3.312500E+2	3.500075E+1	-1.001742E+1	1.559406E-6	2.143045E-2	1.559406E-5	5.370232E-1	1.790074E+1
3.949830E+2	3.300100E+2	3.513227E+1	-9.809334E+0	1.456548E-6	2.151590E-2	1.456548E-5	5.368935E-1	1.798414E+1
4.028380E+2	3.288000E+2	3.526156E+1	-9.378925E+0	1.362090E-6	2.142156E-2	1.362090E-5	5.363733E-1	1.805214E+1
4.108470E+2	3.276000E+2	3.539072E+1	-9.239357E+0	1.274958E-6	2.013121E-2	1.274958E-5	5.357558E-1	1.811462E+1
4.186370E+2	3.264400E+2	3.551648E+1	-9.290865E+0	1.194240E-6	2.024548E-2	1.194240E-5	5.356623E-1	1.819573E+1
