5/23/2024									
4:29 PM									
fast cooling at 490K_2024.05.23_COND_FILE END.txt									
									
Data taken by: Akshat Sharma									
ammeter is Keithley 6517A at GPIB0::27::INSTR									
voltage source is Keithley 6517A at GPIB0::27::INSTR									
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1									
Readings: 5									
Voltage (V): 100									
Geo Factor: 1000									
Ea Window (pts): 5									
Shut off V when done?: TRUE									
Mconnect?: TRUE									
Use Abs(Cond)?: TRUE									
Rate (K/min): 20									
Heater: Off									
DESCRIPTION									
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea
2.057100E+1	4.897500E+2	2.367330E+1	-2.753346E+1	5.518300E-4	2.519609E-3	5.518300E-3	NaN	NaN
2.161700E+1	4.892700E+2	2.369653E+1	-3.046632E+1	5.457240E-4	3.157700E-3	5.457240E-3	NaN	NaN
2.258200E+1	4.887800E+2	2.372028E+1	-5.958702E+1	5.403800E-4	2.728572E-3	5.403800E-3	3.789684E-1	8.994732E+0
2.359900E+1	4.877700E+2	2.376940E+1	-2.129693E+1	5.339980E-4	3.130530E-3	5.339980E-3	3.908309E-1	9.284396E+0
2.506400E+1	4.872500E+2	2.379477E+1	-3.634286E+1	5.249400E-4	2.971677E-3	5.249400E-3	4.152750E-1	9.875479E+0
2.593900E+1	4.867200E+2	2.382068E+1	-3.625998E+1	5.192860E-4	2.960686E-3	5.192860E-3	5.601178E-1	1.333663E+1
2.681600E+1	4.861900E+2	2.384664E+1	4.867898E-10	5.137860E-4	3.432582E-3	5.137860E-3	5.662188E-1	1.349409E+1
2.776300E+1	4.861900E+2	2.384664E+1	-3.608018E+1	5.079420E-4	3.336237E-3	5.079420E-3	5.467354E-1	1.304817E+1
2.866100E+1	4.856500E+2	2.387316E+1	-3.849951E+1	5.023620E-4	3.418828E-3	5.023620E-3	3.830044E-1	9.155616E+0
2.967400E+1	4.850000E+2	2.390515E+1	-6.727829E+1	4.959960E-4	3.130763E-3	4.959960E-3	3.729401E-1	8.919648E+0
3.065500E+1	4.839000E+2	2.395950E+1	-2.264151E+1	4.895680E-4	3.404970E-3	4.895680E-3	3.978669E-1	9.525053E+0
3.213900E+1	4.833400E+2	2.398726E+1	-3.707094E+1	4.799960E-4	3.470033E-3	4.799960E-3	4.308110E-1	1.032642E+1
3.301300E+1	4.828000E+2	2.401408E+1	-3.724605E+1	4.742900E-4	3.656413E-3	4.742900E-3	5.937170E-1	1.425101E+1
3.389900E+1	4.822500E+2	2.404147E+1	-0.000000E+0	4.688160E-4	3.283853E-3	4.688160E-3	6.018395E-1	1.446008E+1
3.482500E+1	4.822500E+2	2.404147E+1	-3.779006E+1	4.627720E-4	3.901214E-3	4.627720E-3	6.208411E-1	1.493606E+1
3.573000E+1	4.816800E+2	2.406992E+1	-3.313609E+1	4.568800E-4	3.733069E-3	4.568800E-3	4.719806E-1	1.137422E+1
3.674400E+1	4.811200E+2	2.409794E+1	-5.393258E+1	4.504420E-4	3.879468E-3	4.504420E-3	4.526949E-1	1.091570E+1
3.799000E+1	4.800000E+2	2.415417E+1	-2.239686E+1	4.419640E-4	4.171975E-3	4.419640E-3	4.703236E-1	1.135273E+1
3.951700E+1	4.794300E+2	2.418288E+1	-3.592437E+1	4.326700E-4	3.720542E-3	4.326700E-3	4.842996E-1	1.170378E+1
4.046900E+1	4.788600E+2	2.421167E+1	-3.525708E+1	4.270160E-4	3.800939E-3	4.270160E-3	5.207773E-1	1.260954E+1
4.142200E+1	4.783000E+2	2.424002E+1	-3.741794E+1	4.213520E-4	3.935601E-3	4.213520E-3	4.640806E-1	1.124951E+1
4.233600E+1	4.777300E+2	2.426894E+1	-3.860045E+1	4.156480E-4	3.616169E-3	4.156480E-3	4.553263E-1	1.105049E+1
4.322200E+1	4.771600E+2	2.429793E+1	-4.226415E+1	4.102580E-4	3.559796E-3	4.102580E-3	5.245405E-1	1.273842E+1
4.401700E+1	4.766000E+2	2.432648E+1	-0.000000E+0	4.053300E-4	3.491092E-3	4.053300E-3	5.155943E-1	1.254391E+1
4.486800E+1	4.766000E+2	2.432648E+1	-7.500000E+1	4.001820E-4	3.576274E-3	4.001820E-3	4.267602E-1	1.040225E+1
4.578000E+1	4.754600E+2	2.438481E+1	-4.499005E+1	3.919380E-4	7.322218E-3	3.919380E-3	4.811268E-1	1.173201E+1
4.728700E+1	4.743300E+2	2.444290E+1	-0.000000E+0	3.851260E-4	7.385096E-3	3.851260E-3	4.588522E-1	1.120028E+1
