4/29/2024									
5:39 PM									
slow cooling 470 to 296_2024.04.29_COND_FILE END.txt									
									
Data taken by: Akshat Sharma									
ammeter is Keithley 6517A at GPIB0::27::INSTR									
voltage source is Keithley 6517A at GPIB0::27::INSTR									
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1									
Readings: 5									
Voltage (V): 100									
Geo Factor: 1000									
Ea Window (pts): 5									
Shut off V when done?: TRUE									
Mconnect?: TRUE									
Use Abs(Cond)?: TRUE									
Rate (K/min): 0.5									
Heater: High									
DESCRIPTION									
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea
7.723500E+1	4.690200E+2	2.471963E+1	NaN	4.219420E-4	7.440505E-3	4.219420E-3	NaN	NaN
1.895790E+2	4.682000E+2	2.476292E+1	-4.920136E-1	4.113980E-4	6.114555E-3	4.113980E-3	NaN	NaN
3.011530E+2	4.671200E+2	2.482017E+1	-5.086704E-1	4.022240E-4	5.631193E-3	4.022240E-3	4.715121E-1	1.170334E+1
4.191440E+2	4.662700E+2	2.486542E+1	-5.088421E-1	3.923540E-4	6.727135E-3	3.923540E-3	4.426978E-1	1.101133E+1
5.361660E+2	4.652100E+2	2.492208E+1	-5.377719E-1	3.832280E-4	5.791674E-3	3.832280E-3	4.493345E-1	1.120098E+1
6.600570E+2	4.641000E+2	2.498168E+1	-5.027990E-1	3.739440E-4	6.506674E-3	3.739440E-3	4.523225E-1	1.129603E+1
7.717120E+2	4.631100E+2	2.503509E+1	-4.638942E-1	3.643480E-4	5.719190E-3	3.643480E-3	4.737958E-1	1.185830E+1
8.995940E+2	4.621800E+2	2.508546E+1	-4.762276E-1	3.550060E-4	7.598684E-3	3.550060E-3	4.707277E-1	1.181091E+1
1.028118E+3	4.612300E+2	2.513713E+1	-5.223932E-1	3.465360E-4	6.132666E-3	3.465360E-3	4.334228E-1	1.089888E+1
1.143542E+3	4.601300E+2	2.519723E+1	-5.299986E-1	3.381600E-4	6.153173E-3	3.381600E-3	4.177897E-1	1.052595E+1
