5/7/2024
6:48 PM
slow cooling again at 0.05k per min_2024.05.07_COND_FILE END.txt

Data taken by: YOUR NAME
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 20
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 0.05
Heater: High
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
9.758900E+1	4.696000E+2	2.468910E+1	NaN	3.902560E-4	1.842532E-3	3.902560E-3	NaN	NaN
1.261860E+3	4.686700E+2	2.473809E+1	NaN	3.816315E-4	3.529208E-3	3.816315E-3	NaN	NaN
2.485271E+3	4.676200E+2	2.479364E+1	NaN	3.724115E-4	2.602543E-3	3.724115E-3	NaN	NaN
3.670382E+3	4.666500E+2	2.484517E+1	NaN	3.620060E-4	3.283570E-3	3.620060E-3	NaN	NaN
4.865684E+3	4.656200E+2	2.490013E+1	NaN	3.527440E-4	2.780234E-3	3.527440E-3	NaN	NaN
6.082018E+3	4.646500E+2	2.495211E+1	NaN	3.453960E-4	1.763837E-3	3.453960E-3	NaN	NaN
7.270619E+3	4.636300E+2	2.500701E+1	NaN	3.363245E-4	2.654540E-3	3.363245E-3	NaN	NaN
8.475377E+3	4.626700E+2	2.505890E+1	NaN	3.277355E-4	3.128041E-3	3.277355E-3	NaN	NaN
9.676989E+3	4.616600E+2	2.511372E+1	NaN	3.200550E-4	2.678046E-3	3.200550E-3	NaN	NaN
1.088912E+4	4.606200E+2	2.517042E+1	NaN	3.131805E-4	2.680568E-3	3.131805E-3	NaN	NaN
1.207710E+4	4.596800E+2	2.522189E+1	NaN	3.050295E-4	2.308119E-3	3.050295E-3	NaN	NaN
1.327734E+4	4.586200E+2	2.528019E+1	NaN	2.967800E-4	2.827422E-3	2.967800E-3	NaN	NaN
1.448260E+4	4.576500E+2	2.533377E+1	NaN	2.898090E-4	3.697690E-3	2.898090E-3	NaN	NaN
1.568265E+4	4.566600E+2	2.538869E+1	NaN	2.810675E-4	2.402626E-3	2.810675E-3	NaN	NaN
1.686902E+4	4.556800E+2	2.544329E+1	NaN	2.729175E-4	2.966153E-3	2.729175E-3	NaN	NaN
1.806057E+4	4.546800E+2	2.549925E+1	NaN	2.693565E-4	2.426582E-3	2.693565E-3	NaN	NaN
1.926014E+4	4.537000E+2	2.555433E+1	-4.998155E-2	2.584645E-4	7.094660E-3	2.584645E-3	NaN	NaN
2.046703E+4	4.526600E+2	2.561304E+1	-4.998232E-2	2.543580E-4	2.286293E-3	2.543580E-3	NaN	NaN
2.167590E+4	4.516700E+2	2.566918E+1	-4.998413E-2	2.472535E-4	4.997560E-3	2.472535E-3	NaN	NaN
2.286671E+4	4.506700E+2	2.572614E+1	-4.998401E-2	2.397800E-4	3.168330E-3	2.397800E-3	NaN	NaN
2.409307E+4	4.496400E+2	2.578507E+1	-4.998650E-2	2.332140E-4	3.022047E-3	2.332140E-3	NaN	NaN
2.528468E+4	4.486200E+2	2.584370E+1	-4.998694E-2	2.271005E-4	2.086803E-3	2.271005E-3	NaN	NaN
2.648866E+4	4.476300E+2	2.590086E+1	-4.998944E-2	2.217180E-4	2.583218E-3	2.217180E-3	NaN	NaN
2.768458E+4	4.466700E+2	2.595652E+1	-4.999100E-2	2.168720E-4	2.195602E-3	2.168720E-3	NaN	NaN
2.887468E+4	4.456800E+2	2.601418E+1	-4.998874E-2	2.114080E-4	2.111929E-3	2.114080E-3	NaN	NaN
3.007620E+4	4.446700E+2	2.607327E+1	-4.998818E-2	2.060765E-4	2.311246E-3	2.060765E-3	NaN	NaN
3.126078E+4	4.436700E+2	2.613204E+1	-4.998768E-2	2.013115E-4	2.548505E-3	2.013115E-3	NaN	NaN
3.246463E+4	4.426900E+2	2.618988E+1	-4.998769E-2	1.970368E-4	2.241872E-3	1.970367E-3	NaN	NaN
3.367911E+4	4.416700E+2	2.625037E+1	-4.998686E-2	1.922826E-4	2.297826E-3	1.922826E-3	NaN	NaN
3.486764E+4	4.406900E+2	2.630874E+1	-4.998682E-2	1.870317E-4	2.156409E-3	1.870317E-3	NaN	NaN
3.606487E+4	4.397000E+2	2.636798E+1	-4.998838E-2	1.826979E-4	2.029987E-3	1.826979E-3	NaN	NaN
3.727535E+4	4.386800E+2	2.642929E+1	-4.998696E-2	1.780596E-4	2.439157E-3	1.780596E-3	NaN	NaN
3.847759E+4	4.376900E+2	2.648907E+1	-4.998581E-2	1.736281E-4	1.699933E-3	1.736282E-3	NaN	NaN
3.968648E+4	4.366700E+2	2.655094E+1	-4.998815E-2	1.692767E-4	2.239065E-3	1.692767E-3	NaN	NaN
4.086501E+4	4.356700E+2	2.661189E+1	-4.998761E-2	1.651854E-4	2.478257E-3	1.651854E-3	NaN	NaN
4.207859E+4	4.347000E+2	2.667127E+1	-4.998712E-2	1.610247E-4	2.324190E-3	1.610247E-3	NaN	NaN
4.328301E+4	4.336600E+2	2.673523E+1	-4.998747E-2	1.570639E-4	1.982604E-3	1.570639E-3	NaN	NaN
4.447716E+4	4.327000E+2	2.679455E+1	-4.998642E-2	1.533491E-4	1.924996E-3	1.533491E-3	NaN	NaN
4.566385E+4	4.317000E+2	2.685661E+1	-4.998602E-2	1.500078E-4	2.265163E-3	1.500078E-3	NaN	NaN
4.686212E+4	4.309100E+2	2.690585E+1	-4.997846E-2	1.469428E-4	5.149106E-4	1.469428E-3	NaN	NaN
4.805852E+4	4.299200E+2	2.696781E+1	-4.995931E-2	1.434944E-4	6.144403E-4	1.434944E-3	NaN	NaN
4.927202E+4	4.289100E+2	2.703131E+1	-4.994374E-2	1.398753E-4	7.615155E-4	1.398753E-3	NaN	NaN
5.047251E+4	4.276700E+2	2.710969E+1	-4.993723E-2	1.353565E-4	2.596586E-3	1.353565E-3	NaN	NaN
5.166554E+4	4.266900E+2	2.717195E+1	-4.994180E-2	1.322831E-4	1.981992E-3	1.322831E-3	NaN	NaN
5.285055E+4	4.256700E+2	2.723706E+1	-4.994754E-2	1.288348E-4	3.059012E-3	1.288348E-3	NaN	NaN
5.407904E+4	4.247000E+2	2.729927E+1	-4.995286E-2	1.250809E-4	2.123234E-3	1.250809E-3	NaN	NaN
5.526410E+4	4.239200E+2	2.734950E+1	-4.996205E-2	1.220963E-4	8.366102E-4	1.220963E-3	NaN	NaN
5.645926E+4	4.227100E+2	2.742779E+1	-4.997985E-2	1.182876E-4	2.868026E-3	1.182876E-3	NaN	NaN
5.766550E+4	4.217100E+2	2.749283E+1	-5.000180E-2	1.153133E-4	2.378851E-3	1.153133E-3	NaN	NaN
5.886372E+4	4.206800E+2	2.756014E+1	-5.002461E-2	1.119795E-4	2.907049E-3	1.119795E-3	NaN	NaN
6.007476E+4	4.196800E+2	2.762581E+1	-5.004197E-2	1.090481E-4	2.432835E-3	1.090481E-3	NaN	NaN
6.127666E+4	4.186500E+2	2.769378E+1	-5.005771E-2	1.063180E-4	2.140813E-3	1.063179E-3	NaN	NaN
6.247380E+4	4.176900E+2	2.775743E+1	-5.005899E-2	1.037416E-4	2.076449E-3	1.037416E-3	NaN	NaN
6.368403E+4	4.166700E+2	2.782538E+1	-5.005710E-2	1.010423E-4	2.486532E-3	1.010423E-3	NaN	NaN
6.487799E+4	4.156200E+2	2.789567E+1	-5.005845E-2	9.828490E-5	2.675594E-3	9.828490E-4	NaN	NaN
6.606632E+4	4.147000E+2	2.795756E+1	-5.005731E-2	9.573930E-5	2.386675E-3	9.573930E-4	4.268665E-1	1.121414E+1
6.728563E+4	4.136800E+2	2.802649E+1	-5.005204E-2	9.310350E-5	2.683230E-3	9.310350E-4	4.263074E-1	1.121233E+1
