6/1/2024									
1:58 PM									
slow cooling at 460K at 1k per minute_2024.06.01_COND_FILE END.txt									
									
Data taken by: Akshat Sharma									
ammeter is Keithley 6517A at GPIB0::27::INSTR									
voltage source is Keithley 6517A at GPIB0::27::INSTR									
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1									
Readings: 5									
Voltage (V): 100									
Geo Factor: 1000									
Ea Window (pts): 5									
Shut off V when done?: TRUE									
Mconnect?: TRUE									
Use Abs(Cond)?: TRUE									
Rate (K/min): 1									
Heater: High									
DESCRIPTION									
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea
1.454000E+0	4.600600E+2	2.520106E+1	-2.000267E+0	2.671740E-4	2.390554E-3	2.671740E-3	NaN	NaN
3.145000E+1	4.590600E+2	2.525596E+1	-1.054349E+0	2.646260E-4	5.531154E-3	2.646260E-3	NaN	NaN
3.941700E+1	4.589200E+2	2.526366E+1	2.583732E+0	2.614780E-4	1.796742E-3	2.614780E-3	2.663329E-1	6.723889E+0
4.777700E+1	4.592800E+2	2.524386E+1	-1.867151E+0	2.618300E-4	2.292200E-3	2.618300E-3	3.323480E-1	8.399286E+0
7.477000E+1	4.584400E+2	2.529011E+1	-2.573434E+0	2.607420E-4	5.673737E-3	2.607420E-3	3.313352E-1	8.373843E+0
8.246400E+1	4.581100E+2	2.530833E+1	1.488095E+0	2.569040E-4	3.271279E-3	2.569040E-3	2.830482E-1	7.154208E+0
9.052800E+1	4.583100E+2	2.529729E+1	3.400309E+0	2.559620E-4	9.398342E-4	2.559620E-3	2.216553E-1	5.608663E+0
9.829200E+1	4.587500E+2	2.527302E+1	-3.016657E+0	2.579660E-4	3.592662E-3	2.579660E-3	2.705132E-1	6.846612E+0
1.211650E+2	4.576000E+2	2.533654E+1	-2.113473E+0	2.552400E-4	5.893580E-3	2.552400E-3	3.068276E-1	7.766251E+0
1.291140E+2	4.573200E+2	2.535205E+1	1.849340E+0	2.515720E-4	2.779293E-3	2.515720E-3	2.980431E-1	7.544053E+0
1.372250E+2	4.575700E+2	2.533820E+1	3.264095E+0	2.510900E-4	1.596038E-3	2.510900E-3	1.865677E-1	4.728345E+0
1.453130E+2	4.580100E+2	2.531386E+1	-3.259433E+0	2.534700E-4	3.594068E-3	2.534700E-3	2.568549E-1	6.511809E+0
1.657460E+2	4.569000E+2	2.537536E+1	-2.839863E+0	2.509960E-4	5.726523E-3	2.509960E-3	3.103142E-1	7.867507E+0
1.733520E+2	4.565400E+2	2.539537E+1	1.091051E+0	2.471840E-4	3.485722E-3	2.471840E-3	3.151589E-1	7.990335E+0
1.810510E+2	4.566800E+2	2.538758E+1	3.662906E+0	2.460520E-4	6.766588E-4	2.460520E-3	2.263480E-1	5.747075E+0
1.885860E+2	4.571400E+2	2.536203E+1	-2.691722E+0	2.477760E-4	3.496197E-3	2.477760E-3	2.629886E-1	6.678972E+0
2.122140E+2	4.560800E+2	2.542098E+1	-2.475822E+0	2.457520E-4	6.118576E-3	2.457520E-3	3.046532E-1	7.737730E+0
2.199690E+2	4.557600E+2	2.543883E+1	1.792208E+0	2.420920E-4	2.996424E-3	2.420920E-3	2.913397E-1	7.399882E+0
2.276690E+2	4.559900E+2	2.542600E+1	3.265941E+0	2.413820E-4	1.154574E-3	2.413820E-3	2.135015E-1	5.430747E+0
2.353850E+2	4.564100E+2	2.540260E+1	-3.173375E+0	2.433740E-4	3.752015E-3	2.433740E-3	2.686175E-1	6.833906E+0
2.586410E+2	4.551800E+2	2.547124E+1	-1.498689E+0	2.405260E-4	6.061524E-3	2.405260E-3	3.012942E-1	7.665767E+0
2.666480E+2	4.549800E+2	2.548244E+1	2.264151E+0	2.370200E-4	2.552614E-3	2.370200E-3	2.908850E-1	7.401217E+0
2.743330E+2	4.552700E+2	2.546621E+1	3.289817E+0	2.367220E-4	1.674735E-3	2.367220E-3	2.089179E-1	5.322332E+0
2.819930E+2	4.556900E+2	2.544274E+1	-3.276433E+0	2.389900E-4	3.752108E-3	2.389900E-3	2.776850E-1	7.076332E+0
3.052500E+2	4.544200E+2	2.551384E+1	-1.556017E+0	2.355140E-4	5.763869E-3	2.355140E-3	3.054442E-1	7.784185E+0
3.129620E+2	4.542200E+2	2.552508E+1	2.714210E+0	2.324440E-4	2.111237E-3	2.324440E-3	3.033569E-1	7.731045E+0
3.204780E+2	4.545600E+2	2.550598E+1	3.102780E+0	2.324040E-4	2.036618E-3	2.324040E-3	1.906211E-1	4.864643E+0
3.282130E+2	4.549600E+2	2.548356E+1	-3.567671E+0	2.348720E-4	3.851151E-3	2.348720E-3	2.684378E-1	6.852108E+0
3.500760E+2	4.536600E+2	2.555658E+1	-1.660298E+0	2.314940E-4	5.948320E-3	2.314940E-3	3.065174E-1	7.824352E+0
3.576650E+2	4.534500E+2	2.556842E+1	2.110961E+0	2.282020E-4	2.636798E-3	2.282020E-3	3.083981E-1	7.872515E+0
3.650550E+2	4.537100E+2	2.555377E+1	3.615910E+0	2.277560E-4	1.440446E-3	2.277560E-3	2.215983E-1	5.664693E+0
3.725220E+2	4.541600E+2	2.552845E+1	-3.207906E+0	2.298820E-4	3.873433E-3	2.298820E-3	2.814880E-1	7.197575E+0
3.972110E+2	4.528400E+2	2.560286E+1	-1.197445E+0	2.262980E-4	5.745691E-3	2.262980E-3	3.033407E-1	7.756771E+0
4.047270E+2	4.526900E+2	2.561135E+1	2.564445E+0	2.235280E-4	1.872397E-3	2.235280E-3	2.708061E-1	6.927993E+0
4.122140E+2	4.530100E+2	2.559325E+1	-1.693039E+0	2.237420E-4	2.281470E-3	2.237420E-3	3.166974E-1	8.114080E+0
4.402110E+2	4.522200E+2	2.563796E+1	-2.491888E+0	2.233820E-4	6.251074E-3	2.233820E-3	3.127302E-1	8.012534E+0
4.479160E+2	4.519000E+2	2.565612E+1	1.573358E+0	2.197760E-4	3.346805E-3	2.197760E-3	2.541271E-1	6.511663E+0
4.555430E+2	4.521000E+2	2.564477E+1	4.121306E+0	2.190480E-4	1.259121E-3	2.190480E-3	1.941084E-1	4.978584E+0
4.632590E+2	4.526300E+2	2.561474E+1	-3.228167E+0	2.211260E-4	4.192792E-3	2.211260E-3	2.499549E-1	6.412491E+0
4.864920E+2	4.513800E+2	2.568568E+1	-1.940439E+0	2.187840E-4	6.121913E-3	2.187840E-3	2.868081E-1	7.358513E+0
4.939130E+2	4.511400E+2	2.569934E+1	2.139037E+0	2.154320E-4	3.124959E-3	2.154320E-3	2.733523E-1	7.013665E+0
5.017670E+2	4.514200E+2	2.568340E+1	3.955021E+0	2.149900E-4	1.830659E-3	2.149900E-3	2.125175E-1	5.459795E+0
5.095040E+2	4.519300E+2	2.565442E+1	-3.496769E+0	2.173360E-4	4.387862E-3	2.173360E-3	2.745831E-1	7.056242E+0
5.331830E+2	4.505500E+2	2.573299E+1	-1.251303E+0	2.138920E-4	6.076341E-3	2.138920E-3	3.000447E-1	7.711048E+0
5.408550E+2	4.503900E+2	2.574213E+1	2.576835E+0	2.110160E-4	2.161981E-3	2.110160E-3	2.943868E-1	7.565777E+0
5.483060E+2	4.507100E+2	2.572386E+1	3.903201E+0	2.111120E-4	2.366373E-3	2.111120E-3	1.810418E-1	4.659387E+0
5.559920E+2	4.512100E+2	2.569535E+1	-3.903422E+0	2.136240E-4	4.225163E-3	2.136240E-3	2.614219E-1	6.729468E+0
5.778190E+2	4.497900E+2	2.577647E+1	-1.321072E+0	2.103660E-4	6.323440E-3	2.103660E-3	2.926105E-1	7.532627E+0
5.855400E+2	4.496200E+2	2.578622E+1	2.748691E+0	2.072200E-4	2.620408E-3	2.072200E-3	2.896404E-1	7.456331E+0
5.931800E+2	4.499700E+2	2.576616E+1	3.580902E+0	2.070580E-4	2.102220E-3	2.070580E-3	1.870092E-1	4.820658E+0
6.007200E+2	4.504200E+2	2.574042E+1	-3.624669E+0	2.093840E-4	4.200036E-3	2.093840E-3	2.675220E-1	6.898144E+0
6.237290E+2	4.490300E+2	2.582010E+1	-1.331940E+0	2.060760E-4	6.110165E-3	2.060760E-3	2.940033E-1	7.581462E+0
6.313870E+2	4.488600E+2	2.582988E+1	2.885772E+0	2.031420E-4	2.311924E-3	2.031420E-3	2.705417E-1	6.979543E+0
6.388720E+2	4.492200E+2	2.580918E+1	-1.756242E+0	2.032340E-4	2.533093E-3	2.032340E-3	3.120796E-1	8.063387E+0
6.672280E+2	4.483900E+2	2.585695E+1	-2.391975E+0	2.030600E-4	6.728597E-3	2.030600E-3	2.877971E-1	7.436163E+0
