6/4/2024									
10:08 AM									
slow cooling at 460K at 1k per minute_2024.06.04_COND_FILE END.txt									
									
Data taken by: Akshat Sharma									
ammeter is Keithley 6517A at GPIB0::27::INSTR									
voltage source is Keithley 6517A at GPIB0::27::INSTR									
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1									
Readings: 5									
Voltage (V): 100									
Geo Factor: 1000									
Ea Window (pts): 5									
Shut off V when done?: TRUE									
Mconnect?: TRUE									
Use Abs(Cond)?: TRUE									
Rate (K/min): 1									
Heater: High									
DESCRIPTION									
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea
4.248100E+1	4.597200E+2	2.521970E+1	1.613100E+0	2.750680E-4	2.897034E-3	2.750680E-3	NaN	NaN
5.066400E+1	4.599400E+2	2.520764E+1	-2.039877E+0	2.741720E-4	1.049967E-3	2.741720E-3	NaN	NaN
7.890100E+1	4.589800E+2	2.526036E+1	-4.345727E-1	2.711580E-4	5.163002E-3	2.711580E-3	3.912001E-1	9.872761E+0
8.718500E+1	4.589200E+2	2.526366E+1	2.571324E+0	2.680820E-4	1.724669E-3	2.680820E-3	2.959617E-1	7.475382E+0
9.535200E+1	4.592700E+2	2.524441E+1	-2.529866E+0	2.684960E-4	2.576421E-3	2.684960E-3	3.565506E-1	9.012323E+0
1.209660E+2	4.581900E+2	2.530391E+1	-9.771987E-1	2.659640E-4	6.012949E-3	2.659640E-3	3.238124E-1	8.185562E+0
1.295620E+2	4.580500E+2	2.531165E+1	2.697717E+0	2.621900E-4	2.239910E-3	2.621900E-3	2.647220E-1	6.694925E+0
1.382360E+2	4.584400E+2	2.529011E+1	-1.925515E+0	2.624020E-4	2.511382E-3	2.624020E-3	3.361410E-1	8.510179E+0
1.634760E+2	4.576300E+2	2.533488E+1	-2.569436E+0	2.619300E-4	6.193219E-3	2.619300E-3	3.292675E-1	8.336448E+0
1.716490E+2	4.572800E+2	2.535427E+1	1.344119E+0	2.575980E-4	3.422610E-3	2.575980E-3	2.727619E-1	6.906656E+0
1.796840E+2	4.574600E+2	2.534429E+1	3.616236E+0	2.566180E-4	8.943233E-4	2.566180E-3	2.308144E-1	5.851020E+0
1.878140E+2	4.579500E+2	2.531717E+1	-3.359185E+0	2.586560E-4	3.671774E-3	2.586560E-3	2.655772E-1	6.733464E+0
2.096050E+2	4.567300E+2	2.538480E+1	-1.369863E+0	2.557780E-4	6.432125E-3	2.557780E-3	2.856712E-1	7.243745E+0
2.179270E+2	4.565400E+2	2.539537E+1	2.764642E+0	2.522520E-4	2.162701E-3	2.522520E-3	2.789650E-1	7.073670E+0
2.261740E+2	4.569200E+2	2.537424E+1	2.110694E+0	2.523920E-4	2.333500E-3	2.523920E-3	1.862958E-1	4.730240E+0
2.347020E+2	4.572200E+2	2.535760E+1	-3.978120E+0	2.550460E-4	3.231989E-3	2.550460E-3	2.745721E-1	6.973215E+0
2.528010E+2	4.560200E+2	2.542432E+1	-1.567882E+0	2.515960E-4	6.083749E-3	2.515960E-3	3.112920E-1	7.905989E+0
2.612200E+2	4.558000E+2	2.543659E+1	2.092855E+0	2.478840E-4	2.669952E-3	2.478840E-3	3.260250E-1	8.280232E+0
2.695340E+2	4.560900E+2	2.542042E+1	3.024714E+0	2.476880E-4	2.117852E-3	2.476880E-3	2.081896E-1	5.295036E+0
2.776670E+2	4.565000E+2	2.539759E+1	-3.912716E+0	2.502760E-4	3.708759E-3	2.502760E-3	2.782297E-1	7.077725E+0
2.976020E+2	4.552000E+2	2.547012E+1	-9.295674E-1	2.466260E-4	6.017992E-3	2.466260E-3	3.049407E-1	7.757697E+0
3.059930E+2	4.550700E+2	2.547740E+1	2.672937E+0	2.432020E-4	2.442186E-3	2.432020E-3	2.775341E-1	7.064107E+0
3.140740E+2	4.554300E+2	2.545726E+1	-1.993653E+0	2.432540E-4	2.184912E-3	2.432540E-3	3.136784E-1	7.994301E+0
3.408590E+2	4.545400E+2	2.550711E+1	-2.109758E+0	2.427900E-4	6.254726E-3	2.427900E-3	2.869092E-1	7.312399E+0
3.488220E+2	4.542600E+2	2.552283E+1	2.098688E+0	2.388400E-4	3.429429E-3	2.388400E-3	2.377060E-1	6.058980E+0
3.568270E+2	4.545400E+2	2.550711E+1	3.272727E+0	2.383360E-4	1.534925E-3	2.383360E-3	1.777849E-1	4.535939E+0
3.650770E+2	4.549900E+2	2.548188E+1	-3.535581E+0	2.407680E-4	4.014985E-3	2.407680E-3	2.574660E-1	6.570535E+0
3.851020E+2	4.538100E+2	2.554814E+1	-1.830608E+0	2.383080E-4	6.357451E-3	2.383080E-3	2.965471E-1	7.568454E+0
3.932960E+2	4.535600E+2	2.556222E+1	2.199145E+0	2.344680E-4	3.021427E-3	2.344680E-3	2.947075E-1	7.521616E+0
4.014810E+2	4.538600E+2	2.554532E+1	2.972136E+0	2.341440E-4	1.896481E-3	2.341440E-3	1.920820E-1	4.909230E+0
4.095560E+2	4.542600E+2	2.552283E+1	-3.788175E+0	2.363740E-4	3.278307E-3	2.363740E-3	2.620078E-1	6.697777E+0
4.299880E+2	4.529700E+2	2.559551E+1	-1.007315E+0	2.333360E-4	6.502542E-3	2.333360E-3	2.856783E-1	7.303597E+0
4.383270E+2	4.528300E+2	2.560343E+1	2.895054E+0	2.299200E-4	2.392532E-3	2.299200E-3	2.568154E-1	6.568594E+0
4.466170E+2	4.532300E+2	2.558083E+1	-2.019562E+0	2.300340E-4	2.772433E-3	2.300340E-3	3.040085E-1	7.785080E+0
4.718700E+2	4.523800E+2	2.562890E+1	-2.316882E+0	2.300200E-4	6.489212E-3	2.300200E-3	2.867825E-1	7.344355E+0
4.801570E+2	4.520600E+2	2.564704E+1	1.867530E+0	2.259740E-4	3.649803E-3	2.259740E-3	2.356796E-1	6.036322E+0
4.881890E+2	4.523100E+2	2.563286E+1	3.703704E+0	2.252980E-4	1.534807E-3	2.252980E-3	2.083018E-1	5.340664E+0
4.961270E+2	4.528000E+2	2.560512E+1	-3.488050E+0	2.275880E-4	4.184073E-3	2.275880E-3	2.638438E-1	6.766352E+0
5.178010E+2	4.515400E+2	2.567657E+1	-1.612706E+0	2.248460E-4	6.642008E-3	2.248460E-3	2.895617E-1	7.426815E+0
5.259860E+2	4.513200E+2	2.568909E+1	3.128880E+0	2.213820E-4	2.664388E-3	2.213820E-3	2.833477E-1	7.267594E+0
5.340400E+2	4.517400E+2	2.566521E+1	2.887463E+0	2.213060E-4	2.534585E-3	2.213060E-3	1.796144E-1	4.613076E+0
5.421440E+2	4.521300E+2	2.564307E+1	-4.272604E+0	2.240500E-4	4.189553E-3	2.240500E-3	2.594230E-1	6.664149E+0
5.620850E+2	4.507100E+2	2.572386E+1	-8.599068E-1	2.205440E-4	6.770962E-3	2.205440E-3	2.834434E-1	7.281852E+0
5.704580E+2	4.505900E+2	2.573071E+1	3.058252E+0	2.171780E-4	2.424138E-3	2.171780E-3	2.735924E-1	7.031801E+0
5.786980E+2	4.510100E+2	2.570675E+1	-2.090988E+0	2.174020E-4	2.886408E-3	2.174020E-3	3.040768E-1	7.825441E+0
6.050970E+2	4.500900E+2	2.575929E+1	-1.951572E+0	2.169560E-4	6.350257E-3	2.169560E-3	2.676106E-1	6.887689E+0
6.133980E+2	4.498200E+2	2.577475E+1	2.455465E+0	2.133600E-4	3.167744E-3	2.133600E-3	2.243537E-1	5.774956E+0
6.217060E+2	4.501600E+2	2.575529E+1	3.655416E+0	2.130500E-4	2.303519E-3	2.130500E-3	1.937635E-1	4.992295E+0
6.299130E+2	4.506600E+2	2.572671E+1	-4.058625E+0	2.156720E-4	4.368743E-3	2.156720E-3	2.630371E-1	6.778758E+0
6.503140E+2	4.492800E+2	2.580573E+1	-1.249388E+0	2.124800E-4	6.465590E-3	2.124800E-3	2.863895E-1	7.381355E+0
6.584780E+2	4.491100E+2	2.581550E+1	3.147493E+0	2.092660E-4	2.527833E-3	2.092660E-3	2.900012E-1	7.474330E+0
6.666750E+2	4.495400E+2	2.579081E+1	2.801120E+0	2.094720E-4	2.901185E-3	2.094720E-3	2.219480E-1	5.728072E+0
6.752430E+2	4.499400E+2	2.576788E+1	-4.342363E+0	2.122360E-4	3.995208E-3	2.122360E-3	3.032799E-1	7.828720E+0
6.951400E+2	4.485000E+2	2.585061E+1	-5.035971E-1	2.079720E-4	6.636850E-3	2.079720E-3	3.157875E-1	8.152525E+0
