5/28/2024
3:17 PM
slow cooling at 470 at 1k per minute_2024.05.28_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 5
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 1
Heater: High
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
1.478000E+0	4.700100E+2	2.466756E+1	NaN	3.769480E-4	4.172687E-3	3.769480E-3	NaN	NaN
3.550100E+1	4.696500E+2	2.468647E+1	NaN	3.764140E-4	1.252942E-3	3.764140E-3	NaN	NaN
4.569100E+1	4.694300E+2	2.469804E+1	NaN	3.740840E-4	1.297616E-3	3.740840E-3	NaN	NaN
5.572100E+1	4.692200E+2	2.470909E+1	NaN	3.718580E-4	1.284694E-3	3.718580E-3	NaN	NaN
6.438000E+1	4.690700E+2	2.471699E+1	NaN	3.699860E-4	8.629104E-4	3.699860E-3	NaN	NaN
7.609100E+1	4.688800E+2	2.472701E+1	-1.005890E+0	3.679140E-4	8.703204E-4	3.679140E-3	NaN	NaN
8.927100E+1	4.686800E+2	2.473756E+1	-1.023056E+0	3.658420E-4	9.252134E-4	3.658420E-3	NaN	NaN
1.011920E+2	4.684800E+2	2.474812E+1	-1.023015E+0	3.639280E-4	1.193853E-3	3.639280E-3	NaN	NaN
1.144160E+2	4.682600E+2	2.475975E+1	-1.016782E+0	3.615100E-4	7.289803E-4	3.615100E-3	NaN	NaN
1.261780E+2	4.680500E+2	2.477086E+1	-1.015667E+0	3.600500E-4	9.740690E-4	3.600500E-3	NaN	NaN
1.365520E+2	4.678600E+2	2.478092E+1	-1.019032E+0	3.583880E-4	1.121918E-3	3.583880E-3	NaN	NaN
1.467210E+2	4.676900E+2	2.478992E+1	-1.022880E+0	3.566980E-4	9.330618E-4	3.566980E-3	NaN	NaN
1.598980E+2	4.674800E+2	2.480106E+1	-1.023219E+0	3.545140E-4	8.466049E-4	3.545140E-3	NaN	NaN
1.729270E+2	4.672800E+2	2.481168E+1	-1.038767E+0	3.528880E-4	1.000562E-3	3.528880E-3	NaN	NaN
1.857610E+2	4.670500E+2	2.482389E+1	-1.033754E+0	3.503360E-4	2.550629E-3	3.503360E-3	NaN	NaN
1.959560E+2	4.668800E+2	2.483293E+1	-1.027461E+0	3.489520E-4	1.829625E-3	3.489520E-3	NaN	NaN
2.089590E+2	4.666500E+2	2.484517E+1	-1.009328E+0	3.474380E-4	1.058775E-3	3.474380E-3	NaN	NaN
2.206890E+2	4.664800E+2	2.485423E+1	-9.979423E-1	3.454120E-4	1.710116E-3	3.454120E-3	NaN	NaN
2.327530E+2	4.662700E+2	2.486542E+1	-9.983389E-1	3.436540E-4	9.000967E-4	3.436540E-3	NaN	NaN
2.446930E+2	4.660500E+2	2.487716E+1	-1.002126E+0	3.418820E-4	9.255165E-4	3.418820E-3	NaN	NaN
2.551310E+2	4.658800E+2	2.488624E+1	-1.007608E+0	3.402500E-4	1.125877E-3	3.402500E-3	NaN	NaN
2.666100E+2	4.656800E+2	2.489692E+1	-1.010961E+0	3.387320E-4	9.962044E-4	3.387320E-3	NaN	NaN
2.797760E+2	4.654800E+2	2.490762E+1	-1.010021E+0	3.367620E-4	1.066609E-3	3.367620E-3	NaN	NaN
2.932240E+2	4.652600E+2	2.491940E+1	-1.003658E+0	3.350660E-4	1.045550E-3	3.350660E-3	NaN	NaN
3.050330E+2	4.650600E+2	2.493012E+1	-1.001640E+0	3.334560E-4	1.174289E-3	3.334560E-3	NaN	NaN
3.155140E+2	4.648900E+2	2.493923E+1	-1.004524E+0	3.316760E-4	9.304067E-4	3.316760E-3	NaN	NaN
3.285380E+2	4.646600E+2	2.495158E+1	-1.005216E+0	3.299860E-4	8.945165E-4	3.299860E-3	NaN	NaN
3.401770E+2	4.644600E+2	2.496232E+1	-1.006295E+0	3.284800E-4	8.395386E-4	3.284800E-3	NaN	NaN
3.504330E+2	4.642900E+2	2.497146E+1	-1.007817E+0	3.270200E-4	1.117082E-3	3.270200E-3	NaN	NaN
3.637640E+2	4.640600E+2	2.498384E+1	-1.003589E+0	3.251980E-4	9.555936E-4	3.251980E-3	NaN	NaN
3.752480E+2	4.638800E+2	2.499353E+1	-1.003940E+0	3.236440E-4	9.046880E-4	3.236440E-3	NaN	NaN
3.868940E+2	4.636800E+2	2.500431E+1	-1.003717E+0	3.219400E-4	9.385566E-4	3.219400E-3	NaN	NaN
4.000670E+2	4.632900E+2	2.502536E+1	-9.999712E-1	3.192760E-4	3.484198E-3	3.192760E-3	NaN	NaN
4.173700E+2	4.631800E+2	2.503131E+1	-1.006996E+0	3.176280E-4	1.094109E-3	3.176280E-3	NaN	NaN
4.246920E+2	4.630600E+2	2.503779E+1	-1.007942E+0	3.165820E-4	8.247274E-4	3.165820E-3	NaN	NaN
4.362210E+2	4.628600E+2	2.504861E+1	-1.005077E+0	3.150960E-4	9.458820E-4	3.150960E-3	4.868526E-1	1.209360E+1
4.476900E+2	4.626800E+2	2.505836E+1	-1.007033E+0	3.136120E-4	1.028656E-3	3.136120E-3	4.863706E-1	1.208474E+1
4.593300E+2	4.624700E+2	2.506973E+1	-1.006694E+0	3.120440E-4	1.029395E-3	3.120440E-3	4.858778E-1	1.207549E+1
4.710900E+2	4.622800E+2	2.508004E+1	-1.004304E+0	3.102480E-4	1.019376E-3	3.102480E-3	4.854200E-1	1.206704E+1
4.830450E+2	4.620700E+2	2.509144E+1	-1.003121E+0	3.084960E-4	1.466162E-3	3.084960E-3	4.851687E-1	1.206365E+1
4.946990E+2	4.618700E+2	2.510230E+1	-1.002962E+0	3.066300E-4	1.515521E-3	3.066300E-3	4.850808E-1	1.206428E+1
5.079280E+2	4.616600E+2	2.511372E+1	-1.002503E+0	3.046980E-4	6.215786E-4	3.046980E-3	4.855262E-1	1.207870E+1
5.196570E+2	4.614800E+2	2.512352E+1	-9.974995E-1	3.036280E-4	1.295691E-3	3.036280E-3	4.855424E-1	1.208174E+1
5.312680E+2	4.612700E+2	2.513495E+1	-9.956928E-1	3.011540E-4	1.533689E-3	3.011540E-3	4.858585E-1	1.209218E+1
5.429160E+2	4.610800E+2	2.514531E+1	-9.976523E-1	2.999640E-4	7.705901E-4	2.999640E-3	4.864855E-1	1.211033E+1
5.544490E+2	4.608900E+2	2.515568E+1	-9.934564E-1	2.987200E-4	8.954483E-4	2.987200E-3	4.866276E-1	1.211645E+1
5.674940E+2	4.606600E+2	2.516824E+1	-9.934901E-1	2.972660E-4	7.724736E-4	2.972660E-3	4.865701E-1	1.211818E+1
5.791440E+2	4.604800E+2	2.517808E+1	-9.924402E-1	2.960420E-4	8.337323E-4	2.960420E-3	4.863010E-1	1.211402E+1
5.907420E+2	4.602800E+2	2.518902E+1	-9.855219E-1	2.946380E-4	8.864762E-4	2.946380E-3	4.858799E-1	1.210606E+1
6.035880E+2	4.600500E+2	2.520161E+1	-9.973270E-1	2.929780E-4	8.839529E-4	2.929780E-3	4.853741E-1	1.209658E+1
6.152590E+2	4.598700E+2	2.521147E+1	-9.978153E-1	2.914920E-4	1.009968E-3	2.914920E-3	4.849456E-1	1.208840E+1
6.270760E+2	4.596700E+2	2.522244E+1	-9.967240E-1	2.900840E-4	9.161589E-4	2.900840E-3	4.845743E-1	1.208163E+1
6.401790E+2	4.594500E+2	2.523452E+1	-9.945272E-1	2.885460E-4	8.885191E-4	2.885460E-3	4.840770E-1	1.207231E+1
6.505830E+2	4.592800E+2	2.524386E+1	-9.970227E-1	2.873760E-4	8.148143E-4	2.873760E-3	4.837130E-1	1.206509E+1
6.640130E+2	4.590600E+2	2.525596E+1	-9.969786E-1	2.857920E-4	9.631603E-4	2.857920E-3	4.831256E-1	1.205355E+1
6.744420E+2	4.588800E+2	2.526586E+1	-9.990279E-1	2.845420E-4	9.401976E-4	2.845420E-3	4.827520E-1	1.204611E+1
6.875860E+2	4.586600E+2	2.527798E+1	-9.972437E-1	2.828560E-4	9.342339E-4	2.828560E-3	4.822190E-1	1.203593E+1
6.993000E+2	4.584700E+2	2.528846E+1	-9.967486E-1	2.813580E-4	9.279774E-4	2.813580E-3	4.818044E-1	1.202808E+1
7.097380E+2	4.582800E+2	2.529894E+1	-9.996895E-1	2.801420E-4	8.535046E-4	2.801420E-3	4.814896E-1	1.202212E+1
7.230550E+2	4.580700E+2	2.531054E+1	-1.000115E+0	2.786280E-4	8.869297E-4	2.786280E-3	4.809735E-1	1.201241E+1
7.348270E+2	4.578700E+2	2.532160E+1	-1.000638E+0	2.772780E-4	9.553452E-4	2.772780E-3	4.805461E-1	1.200425E+1
7.467090E+2	4.576800E+2	2.533211E+1	-1.000763E+0	2.760200E-4	1.013125E-3	2.760200E-3	4.801238E-1	1.199622E+1
7.581940E+2	4.574800E+2	2.534318E+1	-1.000677E+0	2.744940E-4	1.112955E-3	2.744940E-3	4.796781E-1	1.198761E+1
7.715930E+2	4.572700E+2	2.535482E+1	-9.986696E-1	2.730580E-4	9.708007E-4	2.730580E-3	4.792062E-1	1.197894E+1
7.832860E+2	4.570600E+2	2.536647E+1	-9.979347E-1	2.716180E-4	1.134280E-3	2.716180E-3	4.788263E-1	1.197192E+1
7.953130E+2	4.568600E+2	2.537758E+1	-9.985181E-1	2.701720E-4	8.705641E-4	2.701720E-3	4.784778E-1	1.196570E+1
8.070260E+2	4.566700E+2	2.538814E+1	-9.993403E-1	2.690240E-4	9.076980E-4	2.690240E-3	4.780889E-1	1.195850E+1
8.186440E+2	4.564600E+2	2.539982E+1	-1.000944E+0	2.678540E-4	7.748894E-4	2.678540E-3	4.776226E-1	1.194937E+1
8.306880E+2	4.562800E+2	2.540984E+1	-1.002756E+0	2.666220E-4	1.092650E-3	2.666220E-3	4.770780E-1	1.193830E+1
8.422100E+2	4.560800E+2	2.542098E+1	-1.001369E+0	2.651880E-4	1.123832E-3	2.651880E-3	4.765963E-1	1.192878E+1
8.540450E+2	4.558900E+2	2.543157E+1	-1.000933E+0	2.636900E-4	1.032671E-3	2.636900E-3	4.761859E-1	1.192104E+1
8.671470E+2	4.556800E+2	2.544329E+1	-9.970936E-1	2.621680E-4	9.632267E-4	2.621680E-3	4.757855E-1	1.191414E+1
8.802220E+2	4.554600E+2	2.545558E+1	-9.942370E-1	2.607900E-4	8.869231E-4	2.607900E-3	4.751359E-1	1.190346E+1
8.920870E+2	4.552500E+2	2.546733E+1	-9.936942E-1	2.594340E-4	1.162962E-3	2.594340E-3	4.743691E-1	1.188889E+1
9.024550E+2	4.550700E+2	2.547740E+1	-9.958752E-1	2.582280E-4	9.859416E-4	2.582280E-3	4.738044E-1	1.187838E+1
9.140360E+2	4.548800E+2	2.548804E+1	-9.979394E-1	2.570320E-4	1.013565E-3	2.570320E-3	4.729760E-1	1.186264E+1
9.258320E+2	4.546800E+2	2.549925E+1	-9.993756E-1	2.558020E-4	1.193577E-3	2.558020E-3	4.720454E-1	1.184443E+1
9.390540E+2	4.544700E+2	2.551103E+1	-1.000198E+0	2.542880E-4	1.175628E-3	2.542880E-3	4.709967E-1	1.182441E+1
9.509920E+2	4.542700E+2	2.552227E+1	-9.989437E-1	2.530800E-4	1.045794E-3	2.530800E-3	4.702690E-1	1.181099E+1
9.641890E+2	4.540500E+2	2.553463E+1	-9.958967E-1	2.517080E-4	8.925234E-4	2.517080E-3	4.694806E-1	1.179723E+1
9.742110E+2	4.538800E+2	2.554420E+1	-9.973259E-1	2.506680E-4	8.895424E-4	2.506680E-3	4.690191E-1	1.178931E+1
9.871980E+2	4.536700E+2	2.555602E+1	-9.966734E-1	2.492180E-4	1.156840E-3	2.492180E-3	4.683113E-1	1.177767E+1
9.991290E+2	4.534700E+2	2.556729E+1	-9.987127E-1	2.477940E-4	9.380515E-4	2.477940E-3	4.679643E-1	1.177391E+1
1.011046E+3	4.532600E+2	2.557914E+1	-9.983341E-1	2.466060E-4	1.005048E-3	2.466060E-3	4.675098E-1	1.176742E+1
1.021451E+3	4.530800E+2	2.558930E+1	-1.001978E+0	2.454680E-4	1.396267E-3	2.454680E-3	4.670394E-1	1.175929E+1
1.034518E+3	4.528600E+2	2.560173E+1	-1.001655E+0	2.439120E-4	9.985445E-4	2.439120E-3	4.665513E-1	1.175310E+1
1.046195E+3	4.526800E+2	2.561191E+1	-1.001688E+0	2.427300E-4	1.116535E-3	2.427300E-3	4.661579E-1	1.174812E+1
1.057830E+3	4.524900E+2	2.562267E+1	-1.000702E+0	2.415840E-4	1.113631E-3	2.415840E-3	4.657024E-1	1.174161E+1
1.069933E+3	4.522800E+2	2.563456E+1	-9.986475E-1	2.403220E-4	9.357352E-4	2.403220E-3	4.653415E-1	1.173757E+1
1.083304E+3	4.520700E+2	2.564647E+1	-9.967568E-1	2.388300E-4	1.019190E-3	2.388300E-3	4.650175E-1	1.173565E+1
1.095061E+3	4.518700E+2	2.565782E+1	-9.970433E-1	2.376380E-4	8.823936E-4	2.376380E-3	4.645780E-1	1.172957E+1
1.106779E+3	4.516900E+2	2.566805E+1	-9.977383E-1	2.366620E-4	7.666575E-4	2.366620E-3	4.641535E-1	1.172389E+1
1.118633E+3	4.514800E+2	2.567999E+1	-9.976590E-1	2.356700E-4	8.804045E-4	2.356700E-3	4.637575E-1	1.171896E+1
1.130343E+3	4.512900E+2	2.569080E+1	-9.971189E-1	2.345400E-4	9.529077E-4	2.345400E-3	4.632283E-1	1.171066E+1
1.141912E+3	4.510800E+2	2.570276E+1	-9.974717E-1	2.333780E-4	9.772941E-4	2.333780E-3	4.626509E-1	1.170110E+1
1.153699E+3	4.508800E+2	2.571416E+1	-9.987307E-1	2.321440E-4	1.098076E-3	2.321440E-3	4.620384E-1	1.169067E+1
1.167234E+3	4.506700E+2	2.572614E+1	-9.976930E-1	2.309200E-4	7.673673E-4	2.309200E-3	4.614009E-1	1.168089E+1
1.179064E+3	4.504700E+2	2.573756E+1	-9.958774E-1	2.299040E-4	8.181490E-4	2.299040E-3	4.607994E-1	1.167081E+1
1.190694E+3	4.502600E+2	2.574957E+1	-9.954017E-1	2.288540E-4	9.053613E-4	2.288540E-3	4.601308E-1	1.165902E+1
1.202638E+3	4.500800E+2	2.575986E+1	-9.972096E-1	2.276540E-4	9.310927E-4	2.276540E-3	4.594774E-1	1.164760E+1
1.214472E+3	4.498800E+2	2.577132E+1	-9.977773E-1	2.265360E-4	9.922873E-4	2.265360E-3	4.588435E-1	1.163672E+1
1.226328E+3	4.496800E+2	2.578278E+1	-9.987094E-1	2.254660E-4	9.135987E-4	2.254660E-3	4.581362E-1	1.162396E+1
1.239523E+3	4.494500E+2	2.579597E+1	-9.975700E-1	2.241480E-4	1.060636E-3	2.241480E-3	4.572244E-1	1.160727E+1
1.249671E+3	4.492800E+2	2.580573E+1	-1.000270E+0	2.231540E-4	1.007326E-3	2.231540E-3	4.566438E-1	1.159643E+1
1.262930E+3	4.490600E+2	2.581838E+1	-1.000327E+0	2.219000E-4	9.339514E-4	2.219000E-3	4.557244E-1	1.157958E+1
1.274495E+3	4.488600E+2	2.582988E+1	-1.000799E+0	2.208280E-4	9.608345E-4	2.208280E-3	4.549900E-1	1.156615E+1
1.286380E+3	4.486800E+2	2.584024E+1	-1.000588E+0	2.197560E-4	9.428437E-4	2.197560E-3	4.542108E-1	1.155154E+1
