5/30/2024									
3:01 PM									
slow cooling at 470K at 1k per minute sitting for 2 hours_2024.05.30_COND_FILE END.txt									
									
Data taken by: Akshat Sharma									
ammeter is Keithley 6517A at GPIB0::27::INSTR									
voltage source is Keithley 6517A at GPIB0::27::INSTR									
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1									
Readings: 5									
Voltage (V): 100									
Geo Factor: 1000									
Ea Window (pts): 5									
Shut off V when done?: TRUE									
Mconnect?: TRUE									
Use Abs(Cond)?: TRUE									
Rate (K/min): 1									
Heater: High									
DESCRIPTION									
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea
1.759700E+1	4.699400E+2	2.467123E+1	-1.001208E+0	3.621360E-4	3.687262E-4	3.621360E-3	NaN	NaN
3.497600E+1	4.696500E+2	2.468647E+1	-1.318933E+0	3.598620E-4	1.148002E-3	3.598620E-3	NaN	NaN
4.543900E+1	4.694200E+2	2.469856E+1	-1.144524E+0	3.579400E-4	1.224007E-3	3.579400E-3	4.674786E-1	1.154367E+1
5.435100E+1	4.692500E+2	2.470751E+1	-1.030633E+0	3.562220E-4	1.229814E-3	3.562220E-3	5.013400E-1	1.238626E+1
6.483000E+1	4.690700E+2	2.471699E+1	-9.317574E-1	3.544660E-4	9.923455E-4	3.544660E-3	5.016252E-1	1.239944E+1
7.642100E+1	4.688900E+2	2.472648E+1	-9.748172E-1	3.527900E-4	8.743557E-4	3.527900E-3	4.772988E-1	1.180295E+1
8.996200E+1	4.686700E+2	2.473809E+1	-1.021318E+0	3.509280E-4	8.926079E-4	3.509280E-3	4.646290E-1	1.149405E+1
1.022990E+2	4.684600E+2	2.474918E+1	-9.503960E-1	3.491880E-4	1.150052E-3	3.491880E-3	4.336658E-1	1.073264E+1
1.142940E+2	4.682700E+2	2.475922E+1	-1.037977E+0	3.475260E-4	9.369730E-4	3.475260E-3	4.227195E-1	1.046640E+1
1.264330E+2	4.680600E+2	2.477033E+1	-1.016518E+0	3.462460E-4	8.549518E-4	3.462460E-3	4.280859E-1	1.060352E+1
1.382380E+2	4.678600E+2	2.478092E+1	-1.005961E+0	3.445460E-4	1.088408E-3	3.445460E-3	4.463491E-1	1.106050E+1
1.489740E+2	4.676800E+2	2.479046E+1	-1.086488E+0	3.429460E-4	9.506049E-4	3.429460E-3	4.669587E-1	1.157659E+1
1.605710E+2	4.674700E+2	2.480159E+1	-9.870856E-1	3.411080E-4	1.059326E-3	3.411080E-3	4.575900E-1	1.134914E+1
1.727280E+2	4.672700E+2	2.481221E+1	-1.012658E+0	3.396020E-4	9.183732E-4	3.396020E-3	4.513805E-1	1.119963E+1
1.845780E+2	4.670700E+2	2.482283E+1	-9.812740E-1	3.379720E-4	9.270618E-4	3.379720E-3	4.612083E-1	1.144804E+1
1.968070E+2	4.668700E+2	2.483347E+1	-8.591644E-1	3.362940E-4	9.333943E-4	3.362940E-3	4.648909E-1	1.154500E+1
2.086790E+2	4.667000E+2	2.484251E+1	-1.074066E+0	3.347200E-4	8.720435E-4	3.347200E-3	4.664130E-1	1.158762E+1
2.220860E+2	4.664600E+2	2.485529E+1	-1.029061E+0	3.329420E-4	8.976474E-4	3.329420E-3	4.545111E-1	1.129698E+1
2.325810E+2	4.662800E+2	2.486489E+1	-1.140025E+0	3.313680E-4	1.064259E-3	3.313680E-3	4.516552E-1	1.123014E+1
2.446860E+2	4.660500E+2	2.487716E+1	-9.562201E-1	3.296500E-4	1.146534E-3	3.296500E-3	4.590823E-1	1.142023E+1
2.553530E+2	4.658800E+2	2.488624E+1	-9.387573E-1	3.281720E-4	9.701820E-4	3.281720E-3	4.618083E-1	1.149278E+1
2.687750E+2	4.656700E+2	2.489746E+1	-9.715812E-1	3.265340E-4	9.158265E-4	3.265340E-3	4.615820E-1	1.149250E+1
2.811260E+2	4.654700E+2	2.490816E+1	-1.004604E+0	3.248260E-4	7.988284E-4	3.248260E-3	4.506911E-1	1.122593E+1
2.930710E+2	4.652700E+2	2.491886E+1	-1.040806E+0	3.233820E-4	8.124032E-4	3.233820E-3	4.525274E-1	1.127660E+1
3.051770E+2	4.650600E+2	2.493012E+1	-9.904259E-1	3.217540E-4	9.765638E-4	3.217540E-3	4.462209E-1	1.112419E+1
3.172930E+2	4.648600E+2	2.494084E+1	-1.002004E+0	3.201160E-4	8.670069E-4	3.201160E-3	4.517631E-1	1.126690E+1
3.292690E+2	4.646600E+2	2.495158E+1	-9.773860E-1	3.186480E-4	9.292109E-4	3.186480E-3	4.452198E-1	1.110871E+1
3.397050E+2	4.644900E+2	2.496071E+1	-1.053952E+0	3.173280E-4	9.736998E-4	3.173280E-3	4.417729E-1	1.102747E+1
3.516600E+2	4.642800E+2	2.497200E+1	-1.008658E+0	3.157940E-4	9.985156E-4	3.157940E-3	4.510223E-1	1.126336E+1
3.635570E+2	4.640800E+2	2.498276E+1	-9.979587E-1	3.142380E-4	9.108278E-4	3.142380E-3	4.543617E-1	1.135098E+1
3.767840E+2	4.638600E+2	2.499461E+1	-9.887553E-1	3.125000E-4	8.905549E-4	3.125000E-3	4.491681E-1	1.122644E+1
3.871000E+2	4.636900E+2	2.500377E+1	-1.074744E+0	3.112120E-4	9.349932E-4	3.112120E-3	4.409875E-1	1.102706E+1
3.993820E+2	4.634700E+2	2.501564E+1	-9.839732E-1	3.097000E-4	8.484781E-4	3.097000E-3	4.508391E-1	1.127794E+1
4.127970E+2	4.632500E+2	2.502752E+1	-8.640407E-1	3.080520E-4	9.548480E-4	3.080520E-3	4.537279E-1	1.135460E+1
4.246020E+2	4.630800E+2	2.503671E+1	-1.084784E+0	3.065380E-4	9.251192E-4	3.065380E-3	4.620971E-1	1.156972E+1
4.351110E+2	4.628900E+2	2.504699E+1	-9.959258E-1	3.052660E-4	9.023712E-4	3.052660E-3	4.600448E-1	1.152366E+1
4.483650E+2	4.626700E+2	2.505890E+1	-1.040291E+0	3.035800E-4	1.003462E-3	3.035800E-3	4.560207E-1	1.142694E+1
4.604770E+2	4.624600E+2	2.507028E+1	-9.694896E-1	3.019700E-4	8.947416E-4	3.019700E-3	4.666007E-1	1.169713E+1
4.709980E+2	4.622900E+2	2.507950E+1	-1.030001E+0	3.006500E-4	9.175529E-4	3.006500E-3	4.619579E-1	1.158601E+1
4.832310E+2	4.620800E+2	2.509089E+1	-9.728623E-1	2.990880E-4	8.783922E-4	2.990880E-3	4.554429E-1	1.142785E+1
4.949490E+2	4.618900E+2	2.510121E+1	-1.007172E+0	2.977120E-4	9.563872E-4	2.977120E-3	4.486548E-1	1.126208E+1
5.080550E+2	4.616700E+2	2.511318E+1	-1.034572E+0	2.961140E-4	9.166760E-4	2.961140E-3	4.431994E-1	1.113002E+1
5.196540E+2	4.614700E+2	2.512406E+1	-1.013514E+0	2.946980E-4	9.077961E-4	2.946980E-3	4.421585E-1	1.110858E+1
5.314940E+2	4.612700E+2	2.513495E+1	-9.859502E-1	2.933120E-4	9.178026E-4	2.933120E-3	4.480159E-1	1.126070E+1
5.436650E+2	4.610700E+2	2.514586E+1	-9.370376E-1	2.918760E-4	8.621967E-4	2.918760E-3	4.500903E-1	1.131777E+1
