6/17/2024
9:58 AM
slow cooling at 475K at 1k per minute_2024.06.17_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 1
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 1
Heater: High
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
1.455000E+0	4.750100E+2	2.440791E+1	NaN	3.405600E-4	NaN	3.405600E-3	NaN	NaN
2.725700E+1	4.747100E+2	2.442333E+1	NaN	3.385600E-4	NaN	3.385600E-3	NaN	NaN
3.571500E+1	4.745000E+2	2.443414E+1	NaN	3.366600E-4	NaN	3.366600E-3	NaN	NaN
4.426400E+1	4.743200E+2	2.444341E+1	NaN	3.349400E-4	NaN	3.349400E-3	NaN	NaN
6.122700E+1	4.741400E+2	2.445269E+1	NaN	3.311000E-4	NaN	3.311000E-3	NaN	NaN
7.478500E+1	4.739300E+2	2.446353E+1	NaN	3.286300E-4	NaN	3.286300E-3	NaN	NaN
8.326200E+1	4.737300E+2	2.447386E+1	NaN	3.271700E-4	NaN	3.271700E-3	NaN	NaN
9.460100E+1	4.735400E+2	2.448368E+1	-1.009641E+0	3.253900E-4	NaN	3.253900E-3	NaN	NaN
1.089900E+2	4.733600E+2	2.449299E+1	-1.007063E+0	3.237900E-4	NaN	3.237900E-3	NaN	NaN
1.228670E+2	4.731100E+2	2.450593E+1	-9.949177E-1	3.222300E-4	NaN	3.222300E-3	NaN	NaN
1.311630E+2	4.729400E+2	2.451474E+1	-9.961857E-1	3.221600E-4	NaN	3.221600E-3	NaN	NaN
1.421730E+2	4.727500E+2	2.452459E+1	-1.002447E+0	3.208700E-4	NaN	3.208700E-3	NaN	NaN
1.561150E+2	4.725600E+2	2.453445E+1	-1.002294E+0	3.180500E-4	NaN	3.180500E-3	NaN	NaN
