Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
1.003,8.44e-05,,407.7,407.7
37.59,8.45e-05,,407.7,407.7
53.788,8.46e-05,,407.7,407.7
70.13,8.47e-05,,407.6,407.6
86.108,8.48e-05,,407.6,407.6
102.65,8.49e-05,,407.6,407.6
118.75,8.5e-05,,407.6,407.6
134.543,8.5e-05,,407.6,407.6
150.36,8.51e-05,,407.6,407.6
166.327,8.52e-05,,407.6,407.6
182.677,8.53e-05,,407.6,407.6
198.67,8.54e-05,,407.6,407.6
214.675,8.55e-05,,407.6,407.6
219.676,8.55e-05,,407.6,407.6
258.043,8.57e-05,,407.6,407.6
274.013,8.58e-05,,407.6,407.6
290.175,8.58e-05,,407.6,407.6
306.425,8.6e-05,,407.5,407.5
322.804,8.61e-05,,407.5,407.5
338.91,8.62e-05,,407.6,407.6
354.967,8.62e-05,,407.6,407.6
370.936,8.63e-05,,407.5,407.5
387.033,8.63e-05,,407.5,407.5
403.189,8.64e-05,,407.5,407.5
419.138,8.65e-05,,407.5,407.5
424.325,8.66e-05,,407.5,407.5
462.229,8.68e-05,,407.5,407.5
478.118,8.68e-05,,407.5,407.5
494.063,8.69e-05,,407.5,407.5
510.039,8.7e-05,,407.5,407.5
526.046,8.71e-05,,407.5,407.5
542.561,8.72e-05,,407.5,407.5
558.288,8.72e-05,,407.5,407.5
574.239,8.73e-05,,407.5,407.5
590.7,8.74e-05,,407.5,407.5
606.516,8.75e-05,,407.5,407.5
622.655,8.76e-05,,407.5,407.5
638.366,8.77e-05,,407.5,407.5
654.789,8.78e-05,,407.5,407.5
670.75,8.78e-05,,407.5,407.5
686.729,8.79e-05,,407.5,407.5
702.642,8.8e-05,,407.5,407.5
718.652,8.8e-05,,407.5,407.5
734.621,8.81e-05,,407.5,407.5
750.487,8.81e-05,,407.5,407.5
766.45,8.82e-05,,407.5,407.5
783.041,8.83e-05,,407.5,407.5
799.299,8.84e-05,,407.5,407.5
815.854,8.85e-05,,407.5,407.5
831.859,8.86e-05,,407.5,407.5
848.052,8.86e-05,,407.5,407.5
864.078,8.87e-05,,407.5,407.5
880.042,8.87e-05,,407.5,407.5
896.027,8.88e-05,,407.5,407.5
912.497,8.89e-05,,407.5,407.5
928.947,8.9e-05,,407.5,407.5
945.759,8.9e-05,,407.5,407.5
961.789,8.91e-05,,407.5,407.5
977.595,8.91e-05,,407.5,407.5
993.985,8.92e-05,,407.5,407.5
1010.027,8.93e-05,,407.5,407.5
1026.103,8.94e-05,,407.5,407.5
1042.005,8.94e-05,,407.5,407.5
1057.935,8.95e-05,,407.5,407.5
1073.887,8.95e-05,,407.5,407.5
1090.248,8.96e-05,,407.5,407.5
1106.601,8.97e-05,,407.5,407.5
1122.617,8.97e-05,,407.5,407.5
1138.674,8.98e-05,,407.5,407.5
1155.249,8.99e-05,,407.5,407.5
1171.148,8.99e-05,,407.5,407.5
1187.159,9e-05,,407.5,407.5
1203.334,9.01e-05,,407.5,407.5
1219.27,9.01e-05,,407.5,407.5
1235.105,9.02e-05,,407.5,407.5
1251.269,9.02e-05,,407.5,407.5
1267.239,9.03e-05,,407.5,407.5
1283.203,9.04e-05,,407.5,407.5
1299.186,9.04e-05,,407.5,407.5
1315.152,9.05e-05,,407.5,407.5
1331.118,9.05e-05,,407.5,407.5
1347.455,9.06e-05,,407.5,407.5
1363.401,9.06e-05,,407.5,407.5
1379.513,9.07e-05,,407.5,407.5
1396.254,9.07e-05,,407.5,407.5
1412.091,9.08e-05,,407.5,407.5
1427.95,9.08e-05,,407.5,407.5
1443.963,9.09e-05,,407.5,407.5
1460.161,9.1e-05,,407.5,407.5
1476.1,9.1e-05,,407.5,407.5
1492.025,9.11e-05,,407.5,407.5
1507.931,9.11e-05,,407.5,407.5
1523.866,9.11e-05,,407.5,407.5
1539.804,9.12e-05,,407.5,407.5
1555.795,9.13e-05,,407.5,407.5
1571.563,9.13e-05,,407.5,407.5
1587.342,9.14e-05,,407.5,407.5
1603.252,9.14e-05,,407.5,407.5
1619.725,9.14e-05,,407.5,407.5
1636.062,9.15e-05,,407.5,407.5
1652.024,9.16e-05,,407.5,407.5
1667.987,9.16e-05,,407.5,407.5
1684.03,9.17e-05,,407.5,407.5
1699.974,9.17e-05,,407.5,407.5
1715.878,9.18e-05,,407.5,407.5
1731.847,9.18e-05,,407.5,407.5
1747.672,9.19e-05,,407.5,407.5
1763.446,9.19e-05,,407.5,407.5
1779.84,9.2e-05,,407.5,407.5
1795.974,9.2e-05,,407.5,407.5
