Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Unnamed: 5,Unnamed: 6
17.921,0.0001198372,1.200741e-08,430.0,430.0,,
36.585,0.0001199074,2.088168e-08,430.01,430.01,,
55.218,0.0001199268,1.133137e-08,430.0,430.0,,
73.55,0.000120053,2.059126e-08,430.0,430.0,,
92.359,0.0001201107,1.267587e-08,430.01,430.01,,
110.656,0.0001201476,1.335165e-08,430.0,430.0,,
128.73,0.000120198,1.988858e-08,430.0,430.0,,
147.262,0.0001202489,1.219699e-08,430.0,430.0,,
165.464,0.0001202952,1.736408e-08,429.99,429.99,,
183.502,0.0001203608,1.985391e-08,430.0,430.0,,
201.859,0.0001203995,1.021165e-08,430.0,430.0,,
220.2,0.0001204372,1.334832e-08,429.99,429.99,,
238.171,0.0001204934,1.981133e-08,430.0,430.0,,
256.657,0.0001205386,1.201111e-08,430.0,430.0,,
275.119,0.0001205778,1.553348e-08,429.99,429.99,,
293.79,0.0001206445,1.785279e-08,429.99,429.99,,
312.15,0.0001207194,2.406565e-08,430.0,430.0,,
330.1,0.0001207736,1.274711e-08,430.0,430.0,,
348.164,0.0001208196,8.30261e-09,430.0,430.0,,
366.051,0.0001208565,9.594559e-09,429.99,429.99,,
384.17,0.0001209165,2.288255e-08,429.99,429.99,,
402.559,0.0001209525,7.199537e-09,430.0,430.0,,
421.071,0.0001209806,1.485635e-08,429.99,429.99,,
439.448,0.0001210592,3.262514e-08,430.0,430.0,,
461.571,0.000121123,1.171893e-08,430.0,430.0,,
479.877,0.000121139,6.200358e-09,430.0,430.0,,
497.969,0.0001211738,1.944108e-08,429.99,429.99,,
516.158,0.0001212558,2.79873e-08,430.0,430.0,,
534.893,0.0001212899,5.237684e-09,430.01,430.01,,
552.823,0.0001213031,9.048634e-09,429.99,429.99,,
571.265,0.0001213579,2.066371e-08,430.0,430.0,,
589.627,0.0001213996,1.182464e-08,430.0,430.0,,
607.667,0.0001214066,5.910443e-09,430.01,430.01,,
625.669,0.0001214419,2.86529e-08,429.99,429.99,,
644.002,0.000121504,1.429841e-08,430.0,430.0,,
662.082,0.0001215273,4.164666e-09,430.0,430.0,,
680.405,0.0001215455,2.124591e-08,430.0,430.0,,
698.953,0.0001216009,8.157478e-09,430.0,430.0,,
717.571,0.0001216298,1.41327e-08,430.0,430.0,,
735.969,0.0001216691,1.664298e-08,430.0,430.0,,
754.438,0.0001216962,6.876692e-09,430.0,430.0,,
772.823,0.0001216608,1.590108e-08,430.0,430.0,,
791.231,0.0001217083,2.219134e-08,430.0,430.0,,
809.197,0.0001217083,1.014396e-08,430.01,430.01,,
827.493,0.0001217486,2.234676e-08,430.01,430.01,,
845.806,0.0001217919,1.849595e-08,430.0,430.0,,
864.243,0.0001218764,6.319669e-08,430.01,430.01,,
882.129,0.0001219614,1.390603e-08,430.0,430.0,,
900.547,0.0001219934,2.761722e-08,430.01,430.01,,
919.294,0.0001220309,7.093816e-09,430.0,430.0,,
937.596,0.0001220593,9.21412e-09,430.01,430.01,,
955.98,0.0001221031,2.572267e-08,430.0,430.0,,
975.018,0.0001221454,1.291167e-08,430.0,430.0,,
993.256,0.0001221553,1.485523e-08,430.01,430.01,,
1011.903,0.0001221318,8.560893e-09,430.0,430.0,,
1030.447,0.0001221586,6.328068e-09,430.0,430.0,,
1048.781,0.0001222169,2.701625e-08,430.02,430.02,,
1067.775,0.0001222642,1.514962e-08,430.0,430.0,,
1086.615,0.0001223321,1.730414e-08,430.0,430.0,,
1104.751,0.0001223464,1.042646e-08,430.01,430.01,,
1122.777,0.0001223357,7.528465e-09,430.0,430.0,,
1140.906,0.0001223879,1.965508e-08,430.0,430.0,,
1159.16,0.0001224117,5.355164e-09,430.02,430.02,,
1177.435,0.0001224496,1.172083e-08,430.0,430.0,,
1195.419,0.0001225112,2.343217e-08,430.0,430.0,,
1214.174,0.0001225365,2.034836e-08,430.01,430.01,,
1232.396,0.0001225607,2.302197e-08,430.0,430.0,,
1250.683,0.0001226117,1.405584e-08,430.0,430.0,,
1269.112,0.0001226249,4.280446e-09,430.01,430.01,,
1287.599,0.0001226331,6.314885e-09,430.01,430.01,,
1306.789,0.0001226675,1.124722e-08,430.0,430.0,,
1325.145,0.0001226785,1.668166e-08,430.0,430.0,,
1343.126,0.0001226944,1.875692e-08,430.0,430.0,,
1361.317,0.000122729,6.463573e-09,430.01,430.01,,
1379.434,0.0001227136,7.396696e-09,430.01,430.01,,
1397.53,0.0001227778,3.217245e-08,430.0,430.0,,
1415.639,0.0001228071,1.377155e-08,430.01,430.01,,
1433.711,0.000122798,1.505545e-08,430.0,430.0,,
1451.778,0.0001228047,1.828205e-08,430.0,430.0,,
1469.743,0.0001228303,1.966977e-08,430.01,430.01,,
1488.056,0.0001228428,2.128536e-08,430.01,430.01,,
1506.068,0.0001228679,1.114002e-08,429.99,429.99,,
1524.145,0.000122923,2.059126e-08,430.01,430.01,,
1542.244,0.0001229383,7.273239e-09,430.01,430.01,,
1560.601,0.0001229743,2.033634e-08,430.0,430.0,,
1578.885,0.0001230303,1.45224e-08,430.0,430.0,,
1597.186,0.0001230346,1.099697e-08,430.01,430.01,,
1616.066,0.0001229936,1.198332e-08,430.01,430.01,,
1635.162,0.0001230165,9.834746e-09,430.0,430.0,,
1653.975,0.000123064,1.431394e-08,430.0,430.0,,
1671.995,0.0001230767,6.236986e-09,430.01,430.01,,
1689.833,0.0001230958,1.126252e-08,430.0,430.0,,
1707.917,0.0001231278,1.084025e-08,430.01,430.01,,
1726.222,0.0001231486,5.103376e-09,430.0,430.0,,
1744.063,0.0001231324,1.848843e-08,430.0,430.0,,
1762.276,0.0001231612,2.40961e-08,430.0,430.0,,
1780.508,0.0001231507,1.043552e-08,430.0,430.0,,
1799.189,0.0001231663,9.31009e-09,430.01,430.01,,
1817.576,0.0001231804,5.966574e-09,430.0,430.0,,
1836.233,0.0001232062,3.858843e-08,430.01,430.01,,
1854.614,0.0001232614,8.044322e-09,430.0,430.0,,
1872.611,0.0001232987,1.235628e-08,430.0,430.0,,
1890.742,0.0001233069,6.640783e-09,430.01,430.01,,
1909.072,0.000123306,1.132353e-08,430.0,430.0,,
1927.378,0.0001233498,1.182089e-08,430.0,430.0,,
1945.69,0.0001233741,5.820462e-09,430.01,430.01,,
1963.744,0.0001233687,5.735852e-09,430.0,430.0,,
1981.879,0.0001233787,9.956014e-09,430.0,430.0,,
