Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
16.606,0.0001582126,2.214197e-08,440.0,440.0
33.128,0.0001582611,1.772287e-08,440.0,440.0
49.767,0.0001581655,5.138796e-08,440.0,440.0
66.629,0.0001582193,2.759247e-08,439.98,440.0
82.83,0.0001582717,2.512215e-08,440.0,440.0
99.324,0.0001582121,1.281045e-07,440.0,440.0
116.07,0.0001580859,5.20031e-08,440.0,440.0
132.736,0.0001580831,4.475228e-08,439.99,440.0
149.492,0.0001580704,5.940857e-08,439.99,440.0
166.328,0.0001582698,4.398687e-08,440.0,440.0
183.533,0.0001581592,8.068567e-08,439.99,440.0
200.458,0.0001582924,9.101673e-08,439.99,440.0
217.522,0.0001583533,6.23147e-08,439.99,440.0
234.333,0.000158475,5.231316e-08,439.99,440.0
251.22,0.0001584923,4.921845e-08,439.99,440.0
268.265,0.0001584951,7.123272e-08,439.99,440.0
285.138,0.000158381,8.890444e-08,440.0,440.0
301.806,0.0001583411,9.978471e-08,439.99,440.0
319.233,0.0001582972,6.553845e-08,439.99,440.0
335.803,0.0001582925,6.635134e-08,440.0,440.0
352.339,0.0001583753,1.802437e-07,439.99,440.0
369.236,0.0001586127,4.842646e-08,440.0,440.0
386.073,0.0001587142,1.956073e-08,440.0,440.0
402.598,0.0001587658,2.738532e-08,439.99,440.0
419.477,0.0001587939,2.315863e-08,440.0,440.0
436.398,0.0001587581,6.222263e-08,440.0,440.0
452.85,0.0001588441,7.143832e-08,439.99,440.0
469.7,0.0001589284,5.420578e-08,440.0,440.0
486.28,0.0001589468,3.586642e-08,440.0,440.0
503.141,0.0001590426,2.483814e-08,439.99,440.0
519.907,0.0001591839,1.423962e-08,439.99,440.0
536.142,0.0001591821,4.88409e-08,440.0,440.0
552.945,0.0001590048,8.126199e-08,439.99,440.0
569.566,0.0001589979,7.775238e-08,439.99,440.0
586.245,0.0001586749,4.983406e-08,439.99,440.0
602.825,0.0001586228,1.554733e-07,440.0,440.0
619.695,0.000158699,1.736081e-07,439.99,440.0
636.5,0.0001588491,9.332434e-08,439.99,440.0
653.275,0.0001588839,1.75274e-07,440.0,440.0
670.154,0.0001591055,5.313975e-08,440.0,440.0
686.87,0.0001591362,3.501047e-08,440.0,440.0
703.884,0.0001590839,3.628422e-08,440.0,440.0
720.709,0.0001590173,3.215259e-08,440.0,440.0
737.655,0.0001589865,2.29359e-08,440.0,440.0
754.317,0.0001589151,1.722692e-08,440.0,440.0
771.226,0.0001589625,4.212218e-08,440.0,440.0
787.967,0.0001590219,1.28448e-08,440.0,440.0
804.843,0.0001590223,1.45606e-08,440.0,440.0
821.469,0.0001589962,2.169895e-08,440.01,440.0
838.073,0.0001589283,3.506201e-08,440.0,440.0
855.349,0.000158922,2.524986e-08,440.0,440.0
871.772,0.0001589273,2.795254e-08,440.0,440.0
888.204,0.0001588767,1.396066e-08,440.0,440.0
