Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
138.834,8.72e-05,2.74e-09,450,450
140.46,8.72e-05,9.66e-10,450,450
141.952,8.72e-05,5.12e-09,450,450
143.579,8.72e-05,4.06e-09,450,450
145.138,8.72e-05,2.15e-09,450,450
146.707,8.72e-05,4.25e-09,450,450
148.242,8.73e-05,4.85e-09,450,450
149.766,8.73e-05,3.78e-09,450,450
151.245,8.73e-05,1.05e-09,450,450
152.73,8.73e-05,4.25e-09,450,450
154.174,8.73e-05,4.06e-09,450,450
156.035,8.73e-05,2.97e-09,450,450
157.593,8.73e-05,4.35e-09,450,450
159.044,8.73e-05,2.98e-09,450,450
160.618,8.74e-05,2.87e-09,450,450
162.127,8.74e-05,2.18e-09,450,450
164.296,8.74e-05,4e-09,450,450
165.907,8.74e-05,3.59e-09,450,450
167.421,8.74e-05,1.94e-09,450,450
168.916,8.74e-05,2.56e-09,450,450
170.537,8.74e-05,5.28e-09,450,450
172.161,8.74e-05,2.72e-09,450,450
173.728,8.75e-05,2.54e-09,450,450
175.197,8.75e-05,4.52e-09,450,450
177.3,8.75e-05,2.86e-09,450,450
178.883,8.75e-05,3.52e-09,450,450
180.562,8.75e-05,3.21e-09,450,450
182.096,8.75e-05,4.46e-09,450,450
183.657,8.75e-05,2.87e-09,450,450
185.199,8.75e-05,1.49e-09,450,450
186.815,8.76e-05,3.27e-09,450,450
188.39,8.76e-05,3.49e-09,450,450
189.917,8.76e-05,3.09e-09,450,450
191.426,8.76e-05,1.71e-09,450,450
193.371,8.76e-05,3.55e-09,450,450
194.929,8.76e-05,3.21e-09,450,450
196.479,8.76e-05,3.18e-09,450,450
198.2,8.76e-05,3.35e-09,450,450
200.222,8.76e-05,4.81e-09,450,450
201.728,8.77e-05,3.63e-09,450,450
203.201,8.77e-05,2.4e-09,450,450
204.754,8.77e-05,2.11e-09,450,450
206.228,8.77e-05,1.85e-09,450,450
207.741,8.77e-05,4.5e-09,450,450
209.307,8.77e-05,1.62e-09,450,450
210.852,8.77e-05,3.84e-09,450,450
212.304,8.77e-05,3.13e-09,450,450
213.804,8.78e-05,4.79e-09,450,450
215.374,8.78e-05,1.9e-09,450,450
216.807,8.78e-05,4.14e-09,450,450
218.286,8.78e-05,4.94e-09,450,450
219.816,8.78e-05,4.38e-09,450,450
221.303,8.78e-05,3.83e-09,450,450
222.789,8.78e-05,5.3e-09,450,450
224.404,8.78e-05,3.5e-09,450,450
225.921,8.78e-05,2.77e-09,450,450
227.43,8.79e-05,2.67e-09,450,450
228.926,8.79e-05,2.21e-09,450,450
230.39,8.79e-05,5.34e-09,450,450
231.816,8.79e-05,4.99e-09,450,450
233.255,8.79e-05,1.65e-09,450,450
234.76,8.79e-05,2.67e-09,450,450
236.239,8.79e-05,4.5e-09,450,450
237.771,8.79e-05,2.04e-09,450,450
239.352,8.79e-05,4.57e-09,450,450
240.947,8.8e-05,2.78e-09,450,450
242.49,8.8e-05,3.79e-09,450,450
244.083,8.8e-05,4.89e-09,450,450
245.644,8.8e-05,2.49e-09,450,450
247.131,8.8e-05,2.12e-09,450,450
248.633,8.8e-05,4.07e-09,450,450
250.193,8.8e-05,2.76e-09,450,450
251.69,8.8e-05,5.01e-09,450,450
253.215,8.81e-05,1.07e-09,450,450
254.782,8.81e-05,3.75e-09,450,450
256.42,8.81e-05,3.95e-09,450,450
257.885,8.81e-05,3.69e-09,450,450
259.686,8.81e-05,3.07e-09,450,450
261.231,8.81e-05,1.69e-09,450,450
262.743,8.81e-05,4.14e-09,450,450
264.262,8.81e-05,2.69e-09,450,450
265.822,8.82e-05,6.11e-09,450,450
267.369,8.82e-05,3.51e-09,450,450
268.852,8.82e-05,2.2e-09,450,450
270.394,8.82e-05,3.65e-09,450,450
272.123,8.82e-05,3.37e-09,450,450
273.76,8.82e-05,8.76e-10,450,450
275.417,8.82e-05,3.03e-09,450,450
276.921,8.82e-05,4.74e-09,450,450
278.478,8.83e-05,4.11e-09,450,450
280.001,8.83e-05,3.62e-09,450,450
281.563,8.83e-05,2.78e-09,450,450
283.04,8.83e-05,3.02e-09,450,450
284.62,8.83e-05,1.65e-09,450,450
286.115,8.83e-05,3.92e-09,450,450
287.575,8.83e-05,3.2e-09,450,450
289.086,8.83e-05,1.89e-09,450,450
290.64,8.83e-05,3.21e-09,450,450
292.194,8.83e-05,7.38e-10,450,450
293.746,8.84e-05,2.59e-09,450,450
295.372,8.84e-05,5.75e-09,450,450
297.093,8.84e-05,2.22e-09,450,450
298.812,8.84e-05,5.48e-09,450,450
300.561,8.84e-05,4.22e-09,450,450
302.129,8.84e-05,1.9e-09,450,450
303.823,8.84e-05,2.96e-09,450,450
305.455,8.85e-05,3.62e-09,450,450
307.005,8.85e-05,1.89e-09,450,450
308.49,8.85e-05,4.02e-09,450,450
310.019,8.85e-05,3.74e-09,450,450
311.586,8.85e-05,2.71e-09,450,450
313.223,8.85e-05,2.94e-09,450,450
314.724,8.85e-05,4.16e-09,450,450
316.196,8.85e-05,3.92e-09,450,450
317.879,8.85e-05,2.12e-09,450,450
319.603,8.86e-05,4.74e-09,450,450
321.108,8.86e-05,4.35e-09,450,450
322.621,8.86e-05,3.03e-09,450,450
324.072,8.86e-05,1.4e-09,450,450
325.652,8.86e-05,2.66e-09,450,450
327.129,8.86e-05,4.54e-09,450,450
328.696,8.86e-05,2.5e-09,450,450
330.162,8.86e-05,2.94e-09,450,450
331.663,8.87e-05,5.07e-09,450,450
333.207,8.87e-05,2.76e-09,450,450
334.783,8.87e-05,3.63e-09,450,450
336.245,8.87e-05,3.83e-09,450,450
337.822,8.87e-05,2.97e-09,450,450
339.324,8.87e-05,3.13e-09,450,450
340.84,8.87e-05,3.19e-09,450,450
342.492,8.87e-05,2.91e-09,450,450
344.565,8.88e-05,2.27e-09,450,450
346.125,8.88e-05,3.26e-09,450,450
347.55,8.88e-05,3.74e-09,450,450
349.102,8.88e-05,4.67e-09,450,450
350.581,8.88e-05,3.75e-09,450,450
352.033,8.88e-05,2.95e-09,450,450
353.497,8.88e-05,4.88e-09,450,450
355.031,8.88e-05,4.54e-09,450,450
356.519,8.89e-05,5.08e-09,450,450
357.996,8.89e-05,2.63e-09,450,450
359.582,8.89e-05,2.92e-09,450,450
361.045,8.89e-05,2.59e-09,450,450
362.527,8.89e-05,1.83e-09,450,450
363.991,8.89e-05,1.96e-09,450,450
365.564,8.89e-05,5.66e-09,450,450
367.045,8.89e-05,4.47e-09,450,450
368.624,8.9e-05,2.75e-09,450,450
370.113,8.9e-05,1.64e-09,450,450
371.587,8.9e-05,2.81e-09,450,450
373.357,8.9e-05,3.53e-09,450,450
374.843,8.9e-05,6.75e-10,450,450
376.316,8.9e-05,3.36e-09,450,450
377.822,8.9e-05,5.54e-09,450,450
379.855,8.9e-05,8.76e-10,450,450
381.258,8.91e-05,4.52e-09,450,450
382.789,8.91e-05,2.58e-09,450,450
384.208,8.91e-05,2.83e-09,450,450
385.727,8.91e-05,2.73e-09,450,450
387.261,8.91e-05,2.72e-09,450,450
388.788,8.91e-05,3.5e-09,450,450
390.366,8.91e-05,5.34e-09,450,450
391.808,8.91e-05,4.72e-09,450,450
393.252,8.91e-05,1.77e-09,450,450
394.708,8.92e-05,3.37e-09,450,450
396.188,8.92e-05,5.66e-09,450,450
397.666,8.92e-05,2.53e-09,450,450
399.112,8.92e-05,3.41e-09,450,450
400.603,8.92e-05,4.95e-09,450,450
402.05,8.92e-05,3.05e-09,450,450
403.68,8.92e-05,4.58e-09,450,450
405.226,8.92e-05,2.58e-09,450,450
406.695,8.92e-05,2.99e-09,450,450
408.136,8.93e-05,3.86e-09,450,450
409.578,8.93e-05,2.76e-09,450,450
411.029,8.93e-05,2.66e-09,450,450
412.514,8.93e-05,3.16e-09,450,450
413.948,8.93e-05,2.64e-09,450,450
415.458,8.93e-05,2.84e-09,450,450
417.41,8.93e-05,6.32e-10,450,450
419.04,8.93e-05,2.2e-09,450,450
