Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Conductivity_(S/cm),Delta_T
1.002,6.52e-05,,400,400,0.000652,1.0
15.301,6.52e-05,,400,400,0.000652,1.0
31.637,6.52e-05,,400,400,0.000652,1.0
47.52,6.53e-05,,400,400,0.000653,0.9940476190476188
63.466,6.54e-05,,400,400,0.000654,0.9880952380952385
79.464,6.55e-05,,400,400,0.000655,0.9821428571428573
95.76,6.56e-05,,400,400,0.0006559999999999,0.9761904761910712
113.27,6.56e-05,,400,400,0.0006559999999999,0.9761904761910712
129.283,6.56e-05,,400,400,0.0006559999999999,0.9761904761910712
145.195,6.57e-05,,400,400,0.000657,0.9702380952380951
161.071,6.57e-05,,400,400,0.000657,0.9702380952380951
177.112,6.58e-05,,400,400,0.000658,0.9642857142857147
193.721,6.59e-05,,400,400,0.000659,0.9583333333333336
209.589,6.59e-05,,400,400,0.000659,0.9583333333333336
225.531,6.59e-05,,400,400,0.000659,0.9583333333333336
241.514,6.59e-05,,400,400,0.000659,0.9583333333333336
257.851,6.6e-05,,400,400,0.00066,0.9523809523809526
274.444,6.6e-05,,400,400,0.00066,0.9523809523809526
290.902,6.61e-05,,400,400,0.0006609999999999,0.946428571429167
306.889,6.62e-05,,400,400,0.0006619999999999,0.940476190476786
322.943,6.62e-05,,400,400,0.0006619999999999,0.940476190476786
338.862,6.62e-05,,400,400,0.0006619999999999,0.940476190476786
354.895,6.63e-05,,400,400,0.000663,0.9345238095238099
371.513,6.63e-05,,400,400,0.000663,0.9345238095238099
388.074,6.64e-05,,400,400,0.000664,0.9285714285714287
403.989,6.64e-05,,400,400,0.000664,0.9285714285714287
419.88,6.65e-05,,400,400,0.000665,0.9226190476190477
435.705,6.65e-05,,400,400,0.000665,0.9226190476190477
451.699,6.65e-05,,400,400,0.000665,0.9226190476190477
467.562,6.66e-05,,400,400,0.000666,0.9166666666666665
483.434,6.66e-05,,400,400,0.000666,0.9166666666666665
499.935,6.67e-05,,400,400,0.000667,0.9107142857142861
515.8,6.67e-05,,400,400,0.000667,0.9107142857142861
532.157,6.68e-05,,400,400,0.000668,0.904761904761905
548.061,6.68e-05,,400,400,0.000668,0.904761904761905
564.191,6.69e-05,,400,400,0.000669,0.898809523809524
580.283,6.69e-05,,400,400,0.000669,0.898809523809524
596.345,6.69e-05,,400,400,0.000669,0.898809523809524
612.502,6.7e-05,,400,400,0.00067,0.8928571428571428
628.498,6.7e-05,,400,400,0.00067,0.8928571428571428
644.547,6.71e-05,,400,400,0.000671,0.8869047619047618
661.652,6.71e-05,,400,400,0.000671,0.8869047619047618
677.66,6.71e-05,,400,400,0.000671,0.8869047619047618
693.967,6.72e-05,,400,400,0.000672,0.8809523809523813
709.936,6.72e-05,,400,400,0.000672,0.8809523809523813
725.926,6.73e-05,,400,400,0.000673,0.8750000000000001
741.785,6.73e-05,,400,400,0.000673,0.8750000000000001
757.754,6.74e-05,,400,400,0.000674,0.8690476190476191
773.691,6.74e-05,,400,400,0.000674,0.8690476190476191
790.004,6.74e-05,,400,400,0.000674,0.8690476190476191
805.914,6.75e-05,,400,400,0.000675,0.8630952380952379
821.788,6.75e-05,,400,400,0.000675,0.8630952380952379
837.76,6.76e-05,,400,400,0.000676,0.8571428571428575
853.522,6.77e-05,,400,400,0.000677,0.8511904761904764
869.541,6.77e-05,,400,400,0.000677,0.8511904761904764
885.44,6.77e-05,,400,400,0.000677,0.8511904761904764
902.001,6.77e-05,,400,400,0.000677,0.8511904761904764
917.692,6.78e-05,,400,400,0.000678,0.8452380952380953
