Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Conductivity_(S/cm),Delta_T
1.003,8.44e-05,,407.7,407.7,0.000844,1.0
37.59,8.45e-05,,407.7,407.7,0.0008449999999999,0.9959556741895172
53.788,8.46e-05,,407.7,407.7,0.000846,0.9919113483782256
70.13,8.47e-05,,407.6,407.6,0.000847,0.9878670225673382
86.108,8.48e-05,,407.6,407.6,0.000848,0.9838226967564507
102.65,8.49e-05,,407.6,407.6,0.000849,0.9797783709455633
118.75,8.5e-05,,407.6,407.6,0.00085,0.9757340451346763
134.543,8.5e-05,,407.6,407.6,0.00085,0.9757340451346763
150.36,8.51e-05,,407.6,407.6,0.000851,0.9716897193237889
166.327,8.52e-05,,407.6,407.6,0.000852,0.9676453935129015
182.677,8.53e-05,,407.6,407.6,0.000853,0.963601067702014
198.67,8.54e-05,,407.6,407.6,0.000854,0.9595567418911266
214.675,8.55e-05,,407.6,407.6,0.000855,0.9555124160802396
219.676,8.55e-05,,407.6,407.6,0.000855,0.9555124160802396
258.043,8.57e-05,,407.6,407.6,0.0008569999999999,0.9474237644588691
274.013,8.58e-05,,407.6,407.6,0.000858,0.9433794386475773
290.175,8.58e-05,,407.6,407.6,0.000858,0.9433794386475773
306.425,8.6e-05,,407.5,407.5,0.00086,0.9352907870258029
322.804,8.61e-05,,407.5,407.5,0.000861,0.9312464612149155
338.91,8.62e-05,,407.6,407.6,0.0008619999999999,0.9272021354044329
354.967,8.62e-05,,407.6,407.6,0.0008619999999999,0.9272021354044329
370.936,8.63e-05,,407.5,407.5,0.0008629999999999,0.9231578095935454
387.033,8.63e-05,,407.5,407.5,0.0008629999999999,0.9231578095935454
403.189,8.64e-05,,407.5,407.5,0.000864,0.9191134837822537
419.138,8.65e-05,,407.5,407.5,0.000865,0.9150691579713662
424.325,8.66e-05,,407.5,407.5,0.000866,0.9110248321604788
462.229,8.68e-05,,407.5,407.5,0.000868,0.9029361805387044
478.118,8.68e-05,,407.5,407.5,0.000868,0.9029361805387044
494.063,8.69e-05,,407.5,407.5,0.000869,0.898891854727817
510.039,8.7e-05,,407.5,407.5,0.00087,0.8948475289169295
526.046,8.71e-05,,407.5,407.5,0.000871,0.8908032031060421
542.561,8.72e-05,,407.5,407.5,0.000872,0.8867588772951547
558.288,8.72e-05,,407.5,407.5,0.000872,0.8867588772951547
574.239,8.73e-05,,407.5,407.5,0.000873,0.8827145514842677
590.7,8.74e-05,,407.5,407.5,0.000874,0.8786702256733803
606.516,8.75e-05,,407.5,407.5,0.000875,0.874625899862493
622.655,8.76e-05,,407.5,407.5,0.000876,0.8705815740516055
638.366,8.77e-05,,407.5,407.5,0.000877,0.8665372482407185
654.789,8.78e-05,,407.5,407.5,0.000878,0.8624929224298311
670.75,8.78e-05,,407.5,407.5,0.000878,0.8624929224298311
686.729,8.79e-05,,407.5,407.5,0.000879,0.8584485966189437
702.642,8.8e-05,,407.5,407.5,0.0008799999999999,0.8544042708084609
718.652,8.8e-05,,407.5,407.5,0.0008799999999999,0.8544042708084609
734.621,8.81e-05,,407.5,407.5,0.000881,0.8503599449971693
750.487,8.81e-05,,407.5,407.5,0.000881,0.8503599449971693
766.45,8.82e-05,,407.5,407.5,0.000882,0.8463156191862818
783.041,8.83e-05,,407.5,407.5,0.000883,0.8422712933753944
799.299,8.84e-05,,407.5,407.5,0.0008839999999999,0.8382269675649117
815.854,8.85e-05,,407.5,407.5,0.0008849999999999,0.8341826417540242
831.859,8.86e-05,,407.5,407.5,0.000886,0.8301383159427326
848.052,8.86e-05,,407.5,407.5,0.000886,0.8301383159427326
864.078,8.87e-05,,407.5,407.5,0.000887,0.8260939901318451
880.042,8.87e-05,,407.5,407.5,0.000887,0.8260939901318451
896.027,8.88e-05,,407.5,407.5,0.000888,0.8220496643209577
912.497,8.89e-05,,407.5,407.5,0.000889,0.8180053385100703
928.947,8.9e-05,,407.5,407.5,0.00089,0.8139610126991833
945.759,8.9e-05,,407.5,407.5,0.00089,0.8139610126991833
961.789,8.91e-05,,407.5,407.5,0.000891,0.8099166868882959
977.595,8.91e-05,,407.5,407.5,0.000891,0.8099166868882959
993.985,8.92e-05,,407.5,407.5,0.000892,0.8058723610774085
8564.866,0.000100673,,407.5,407.5,0.00100673,0.3418668607943056
5268.21,9.8e-05,,407.5,407.5,0.00098,0.44997168971932383
6916.318,9.92e-05,,407.5,407.5,0.000992,0.4014397799886756
9802.855,0.000101486,,407.5,407.5,0.00101486,0.3089864919517914
9967.784,0.000101551,,407.5,407.5,0.00101551,0.30635768017471443
2253.967,9.33e-05,,407.5,407.5,0.000933,0.6400550028310279
3169.233,9.51e-05,,407.5,407.5,0.0009509999999999,0.5672571382354608
2237.954,9.32e-05,,407.5,407.5,0.000932,0.6440993286419153
2368.391,9.34e-05,,407.5,407.5,0.0009339999999999,0.6360106770205453
7326.201,9.96e-05,,407.5,407.5,0.000996,0.38526247674512676
1106.601,8.97e-05,,407.5,407.5,0.000897,0.7856507320229718
8053.411,0.000100244,,407.5,407.5,0.00100244,0.35921701852301186
7903.953,0.000100074,,407.5,407.5,0.00100074,0.36609237240152065
2173.182,9.3e-05,,407.5,407.5,0.0009299999999999,0.6521879802640945
9735.774,0.000101416,,407.5,407.5,0.00101416,0.3118175200194124
8233.371,0.000100385,,407.5,407.5,0.00100385,0.35351451912966125
9146.135,0.000101081,,407.5,407.5,0.00101081,0.3253660114858851
1897.952,9.23e-05,,407.5,407.5,0.000923,0.6804982609399013
6833.288,9.89e-05,,407.5,407.5,0.000989,0.4135727574213374
9522.897,0.000101271,,407.5,407.5,0.00101271,0.31768179244519923
2141.526,9.29e-05,,407.5,407.5,0.0009289999999999,0.656232306074982
8631.901,0.000100758,,407.5,407.5,0.00100758,0.3384291838550508
8980.006,0.000100996,,407.5,407.5,0.00100996,0.3288036884251391
7212.06,9.96e-05,,407.5,407.5,0.000996,0.38526247674512676
4489.878,9.71e-05,,407.5,407.5,0.000971,0.48637062201730974
1042.005,8.94e-05,,407.5,407.5,0.000894,0.7977837094556336
2922.315,9.46e-05,,407.5,407.5,0.000946,0.5874787672894928
6866.437,9.89e-05,,407.5,407.5,0.000989,0.4135727574213374
1171.148,8.99e-05,,407.5,407.5,0.000899,0.7775620804011973
6769.214,9.9e-05,,407.5,407.5,0.00099,0.40952843161045044
2221.559,9.32e-05,,407.5,407.5,0.000932,0.6440993286419153
5132.041,9.78e-05,,407.5,407.5,0.000978,0.45806034134109863
2270.356,9.33e-05,,407.5,407.5,0.000933,0.6400550028310279
2401.039,9.35e-05,,407.5,407.5,0.000935,0.6319663512092535
9506.73,0.000101233,,407.5,407.5,0.00101233,0.3192186362533361
4671.519,9.72e-05,,407.5,407.5,0.000972,0.4823262962064223
8897.188,0.000100956,,407.5,407.5,0.00100956,0.33042141874949404
9637.262,0.000101365,,407.5,407.5,0.00101365,0.3138801261829649
8614.537,0.000100734,,407.5,407.5,0.00100734,0.3393998220496641
9210.573,0.000101061,,407.5,407.5,0.00101061,0.32617487664806305
6239.536,9.88e-05,,407.5,407.5,0.000988,0.4176170832322253
5515.853,9.82e-05,,407.5,407.5,0.000982,0.441883038097549
3259.73,9.53e-05,,407.5,407.5,0.000953,0.5591684866132817
6536.716,9.88e-05,,407.5,407.5,0.000988,0.4176170832322253
9391.294,0.000101202,,407.5,407.5,0.00101202,0.32047237725471156
3980.953,9.64e-05,,407.5,407.5,0.000964,0.5146809026935208
6321.056,9.88e-05,,407.5,407.5,0.000988,0.4176170832322253
3565.062,9.59e-05,,407.5,407.5,0.000959,0.5349025317479575
7098.228,9.94e-05,,407.5,407.5,0.000994,0.3933511283669007
6173.699,9.88e-05,,407.5,407.5,0.000988,0.4176170832322253
1492.025,9.11e-05,,407.5,407.5,0.000911,0.7290301706705491
7573.167,9.98e-05,,407.5,407.5,0.000998,0.3771738251233519
2335.438,9.34e-05,,407.5,407.5,0.0009339999999999,0.6360106770205453
2189.11,9.31e-05,,407.5,407.5,0.000931,0.6481436544528028
6636.514,9.89e-05,,407.5,407.5,0.000989,0.4135727574213374
8548.49,0.000100644,,407.5,407.5,0.00100644,0.34303971527946303
1155.249,8.99e-05,,407.5,407.5,0.000899,0.7775620804011973
9178.188,0.000101061,,407.5,407.5,0.00101061,0.32617487664806305
4013.637,9.64e-05,,407.5,407.5,0.000964,0.5146809026935208
9769.511,0.000101499,,407.5,407.5,0.00101499,0.3084607295963765
4638.65,9.72e-05,,407.5,407.5,0.000972,0.4823262962064223
5045.932,9.77e-05,,407.5,407.5,0.000977,0.4621046671519856
3530.618,9.58e-05,,407.5,407.5,0.000958,0.538946857558845
4375.931,9.69e-05,,407.5,407.5,0.000969,0.49445927363908415
9702.839,0.000101419,,407.5,407.5,0.0010141899999999,0.3116961902454907
9919.466,0.00010155,,407.5,407.5,0.0010155,0.30639812343282397
2457.061,9.37e-05,,407.5,407.5,0.000937,0.6238776995874787
6007.506,9.86e-05,,407.5,407.5,0.000986,0.42570573485400015
7195.59,9.96e-05,,407.5,407.5,0.000996,0.38526247674512676
4227.905,9.67e-05,,407.5,407.5,0.000967,0.502547925260859
4872.272,9.75e-05,,407.5,407.5,0.000975,0.47019331877376047
2286.63,9.33e-05,,407.5,407.5,0.000933,0.6400550028310279
6058.822,9.87e-05,,407.5,407.5,0.000987,0.4216614090431123
3767.254,9.61e-05,,407.5,407.5,0.000961,0.5268138801261827
7738.706,0.0001,,407.5,407.5,0.001,0.36908517350157705
2109.573,9.29e-05,,407.5,407.5,0.0009289999999999,0.656232306074982
9488.892,0.000101204,,407.5,407.5,0.00101204,0.32039149073849343
2027.927,9.27e-05,,407.5,407.5,0.000927,0.664320957696352
5925.218,9.86e-05,,407.5,407.5,0.000986,0.42570573485400015
2661.968,9.41e-05,,407.5,407.5,0.000941,0.6077003963439295
5598.616,9.83e-05,,407.5,407.5,0.000983,0.437838712286662
6884.004,9.89e-05,,407.5,407.5,0.000989,0.4135727574213374
1539.804,9.12e-05,,407.5,407.5,0.0009119999999999,0.7249858448600665
3619.364,9.59e-05,,407.5,407.5,0.000959,0.5349025317479575
3311.22,9.54e-05,,407.5,407.5,0.000954,0.5551241608023942
1010.027,8.93e-05,,407.5,407.5,0.000893,0.801828035266521
1187.159,9e-05,,407.5,407.5,0.0009,0.7735177545903099
5449.575,9.82e-05,,407.5,407.5,0.000982,0.441883038097549
