Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Conductivity_(S/cm),Delta_T
1.003,0.000103688,,430,430,0.00103688,1.0
2.895,0.000103672,,430,430,0.00103672,1.0004103616311872
4.745,0.000103671,,430,430,0.00103671,1.0004360092331368
6.552,0.000103705,,430,430,0.0010370499999999,0.99956399076712
8.375,0.000103719,,430,430,0.00103719,0.9992049243395745
10.224,0.000103727,,430,430,0.00103727,0.9989997435239804
12.084,0.00010373,,430,430,0.0010373,0.9989228007181331
14.175,0.000103743,,430,430,0.00103743,0.998589381892793
16.006,0.000103759,,430,430,0.00103759,0.9981790202616058
17.827,0.000103781,,430,430,0.00103781,0.997614773018723
19.694,0.000103777,,430,430,0.00103777,0.9977173634265198
21.535,0.000103778,,430,430,0.0010377799999999,0.9976917158248272
23.376,0.000103811,,430,430,0.00103811,0.996845344960246
25.417,0.000103822,,430,430,0.0010382199999999,0.9965632213390611
27.265,0.000103832,,430,430,0.00103832,0.9963067453193128
29.104,0.000103847,,430,430,0.0010384699999999,0.9959220312903311
31.13,0.000103875,,430,430,0.00103875,0.9952038984354964
33.042,0.000103878,,430,430,0.00103878,0.9951269556296487
34.88,0.000103882,,430,430,0.00103882,0.9950243652218518
36.73,0.0001039,,430,430,0.001039,0.9945627083867659
39.195,0.000103923,,430,430,0.00103923,0.993972813541934
41.023,0.000103927,,430,430,0.00103927,0.9938702231341372
43.299,0.000103952,,430,430,0.00103952,0.9932290330854067
45.385,0.000103941,,430,430,0.00103941,0.9935111567068481
47.682,0.000103986,,430,430,0.00103986,0.992357014619133
49.59,0.000103991,,430,430,0.00103991,0.992228776609387
51.499,0.00010401,,430,430,0.0010401,0.991741472172352
53.886,0.000104025,,430,430,0.00104025,0.9913567581431137
56.097,0.000104053,,430,430,0.00104053,0.9906386252885355
57.961,0.000104055,,430,430,0.00104055,0.9905873300846374
59.855,0.000104074,,430,430,0.0010407399999999,0.9901000256478582
62.19,0.000104087,,430,430,0.00104087,0.9897666068222623
64.349,0.000104094,,430,430,0.00104094,0.9895870736086178
66.199,0.000104126,,430,430,0.00104126,0.9887663503462426
68.275,0.000104141,,430,430,0.00104141,0.9883816363170044
