Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Unnamed: 5,Unnamed: 6,Conductivity_(S/cm),Delta_T
17.921,0.0001198372,1.200741e-08,430.0,430.0,,,0.001198372,1.0
36.585,0.0001199074,2.088168e-08,430.01,430.01,,,0.001199074,0.9939617058611021
55.218,0.0001199268,1.133137e-08,430.0,430.0,,,0.001199268,0.9922930034922327
73.55,0.000120053,2.059126e-08,430.0,430.0,,,0.00120053,0.9814378365359808
92.359,0.0001201107,1.267587e-08,430.01,430.01,,,0.0012011069999999,0.9764747372232462
110.656,0.0001201476,1.335165e-08,430.0,430.0,,,0.001201476,0.9733007620980934
128.73,0.000120198,1.988858e-08,430.0,430.0,,,0.00120198,0.9689655765624732
147.262,0.0001202489,1.219699e-08,430.0,430.0,,,0.001202489,0.964587383233843
165.464,0.0001202952,1.736408e-08,429.99,429.99,,,0.001202952,0.9606048616009228
183.502,0.0001203608,1.985391e-08,430.0,430.0,,,0.0012036079999999,0.9549622391585967
201.859,0.0001203995,1.021165e-08,430.0,430.0,,,0.001203995,0.9516334359785997
220.2,0.0001204372,1.334832e-08,429.99,429.99,,,0.001204372,0.948390648385488
238.171,0.0001204934,1.981133e-08,430.0,430.0,,,0.001204934,0.943556572450929
256.657,0.0001205386,1.201111e-08,430.0,430.0,,,0.001205386,0.9396686679626362
275.119,0.0001205778,1.553348e-08,429.99,429.99,,,0.001205778,0.936296856990487
293.79,0.0001206445,1.785279e-08,429.99,429.99,,,0.001206445,0.9305596174026739
312.15,0.0001207194,2.406565e-08,430.0,430.0,,,0.001207194,0.9241170500094624
330.1,0.0001207736,1.274711e-08,430.0,430.0,,,0.001207736,0.9194550052469508
348.164,0.0001208196,8.30261e-09,430.0,430.0,,,0.001208196,0.9154982882898393
366.051,0.0001208565,9.594559e-09,429.99,429.99,,,0.001208565,0.9123243131655462
384.17,0.0001209165,2.288255e-08,429.99,429.99,,,0.001209165,0.9071633780040957
402.559,0.0001209525,7.199537e-09,430.0,430.0,,,0.001209525,0.9040668169072248
421.071,0.0001209806,1.485635e-08,429.99,429.99,,,0.001209806,0.9016497789399452
439.448,0.0001210592,3.262514e-08,430.0,430.0,,,0.001210592,0.894888953878444
461.571,0.000121123,1.171893e-08,430.0,430.0,,,0.00121123,0.8894011594901002
479.877,0.000121139,6.200358e-09,430.0,430.0,,,0.00121139,0.8880249101137139
497.969,0.0001211738,1.944108e-08,429.99,429.99,,,0.001211738,0.8850315677200717
516.158,0.0001212558,2.79873e-08,430.0,430.0,,,0.001212558,0.8779782896660873
534.893,0.0001212899,5.237684e-09,430.01,430.01,,,0.001212899,0.8750451581826639
552.823,0.0001213031,9.048634e-09,429.99,429.99,,,0.0012130309999999,0.8739097524480034
571.265,0.0001213579,2.066371e-08,430.0,430.0,,,0.001213579,0.8691960983330184
589.627,0.0001213996,1.182464e-08,430.0,430.0,,,0.001213996,0.8656092483958102
607.667,0.0001214066,5.910443e-09,430.01,430.01,,,0.001214066,0.8650071392936407
625.669,0.0001214419,2.86529e-08,429.99,429.99,,,0.001214419,0.8619707891069867
644.002,0.000121504,1.429841e-08,430.0,430.0,,,0.00121504,0.8566292212148854
662.082,0.0001215273,4.164666e-09,430.0,430.0,,,0.001215273,0.854625058060521
680.405,0.0001215455,2.124591e-08,430.0,430.0,,,0.001215455,0.8530595743948804
698.953,0.0001216009,8.157478e-09,430.0,430.0,,,0.0012160089999999,0.8482943109300017
717.571,0.0001216298,1.41327e-08,430.0,430.0,,,0.001216298,0.8458084604930419
735.969,0.0001216691,1.664298e-08,430.0,430.0,,,0.001216691,0.8424280479622913
754.438,0.0001216962,6.876692e-09,430.0,430.0,,,0.001216962,0.8400970255810355
772.823,0.0001216608,1.590108e-08,430.0,430.0,,,0.001216608,0.8431419773262911
791.231,0.0001217083,2.219134e-08,430.0,430.0,,,0.001217083,0.8390562369901423
809.197,0.0001217083,1.014396e-08,430.01,430.01,,,0.001217083,0.8390562369901423
827.493,0.0001217486,2.234676e-08,430.01,430.01,,,0.001217486,0.835589808873368
845.806,0.0001217919,1.849595e-08,430.0,430.0,,,0.001217919,0.8318653339985207
864.243,0.0001218764,6.319669e-08,430.01,430.01,,,0.001218764,0.8245970169794772
882.129,0.0001219614,1.390603e-08,430.0,430.0,,,0.001219614,0.8172856921674218
900.547,0.0001219934,2.761722e-08,430.01,430.01,,,0.001219934,0.8145331934146472
919.294,0.0001220309,7.093816e-09,430.0,430.0,,,0.001220309,0.8113076089387408
937.596,0.0001220593,9.21412e-09,430.01,430.01,,,0.001220593,0.8088647662956526
955.98,0.0001221031,2.572267e-08,430.0,430.0,,,0.001221031,0.8050972836277936
975.018,0.0001221454,1.291167e-08,430.0,430.0,,,0.0012214539999999,0.8014588243398317
993.256,0.0001221553,1.485523e-08,430.01,430.01,,,0.001221553,0.8006072700373312
9291.568,0.000126117,1.023067e-08,430.01,430.01,,,0.00126117,0.45983932288530677
2552.078,0.0001237553,4.945256e-09,430.0,430.0,,,0.001237553,0.6629823323986314
8960.568,0.0001260146,6.569289e-09,430.0,430.0,,,0.001260146,0.4686473188941842
9698.458,0.0001261552,1.069579e-08,430.0,430.0,,,0.001261552,0.45655352749918326
8850.068,0.0001260095,9.204468e-09,430.01,430.01,,,0.001260095,0.469085998382908
6712.494,0.0001254857,1.457586e-08,430.01,430.02,,,0.0012548569999999,0.514140962343236
1560.601,0.0001229743,2.033634e-08,430.0,430.0,,,0.001229743,0.7301605050835221
5029.447,0.0001249083,2.750757e-09,430.0,430.0,,,0.001249083,0.5638063617127427
9882.648,0.0001261209,1.802128e-08,430.0,430.0,,,0.001261209,0.45950386209981364
5234.816,0.0001250958,5.573748e-09,430.01,430.0,,,0.001250958,0.5476784393332081
1177.435,0.0001224496,1.172083e-08,430.0,430.0,,,0.0012244959999999,0.7752928830712722
3278.646,0.0001241487,7.19645e-09,430.01,430.01,,,0.0012414869999999,0.6291438008575765
8739.888,0.0001259297,7.242621e-09,430.01,430.01,,,0.001259297,0.47595004214763803
4736.749,0.0001249519,3.805391e-08,430.0,430.0,,,0.001249519,0.5600560821620887
7595.286,0.0001256422,5.266245e-09,430.0,430.0,,,0.0012564219999999,0.5006795231304523
2293.461,0.0001236373,6.000926e-09,430.01,430.01,,,0.001236373,0.6731321715494849
8886.818,0.0001260082,1.005319e-08,429.99,429.99,,,0.001260082,0.46919781864473836
8905.288,0.0001260308,4.341019e-09,430.01,430.01,,,0.001260308,0.4672538664005928
7668.474,0.0001256803,1.147025e-08,430.01,430.01,,,0.001256803,0.4974023293020706
4865.008,0.000125024,1.480991e-08,430.0,430.0,,,0.00125024,0.5538543584097451
2439.886,0.0001236915,1.503514e-08,430.01,430.01,,,0.0012369149999999,0.668470126787835
4316.718,0.000124663,8.969083e-09,430.0,430.0,,,0.00124663,0.5849059849644751
8776.658,0.0001259145,1.180631e-08,429.99,429.99,,,0.001259145,0.47725747905520577
2018.289,0.0001234312,1.045413e-08,430.0,430.0,,,0.001234312,0.6908599838290703
2403.008,0.0001236745,5.642104e-09,430.0,430.0,,,0.001236745,0.6699323917493851
2421.375,0.0001237023,1.083256e-08,430.0,430.0,,,0.0012370229999999,0.667541158458774
3828.602,0.0001244741,4.201851e-09,430.0,430.0,,,0.001244741,0.6011543291644454
5853.975,0.000125283,7.149204e-09,430.0,430.0,,,0.00125283,0.5315763216294803
