4/6/2024
6:40 PM
relaxation time temp = 400K again because 405 was being wierd around 400 part 2_2024.04.06_IR_FILE END.txt

Data taken by: Akshat Sharma
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: TRUE
Readings: 1
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.003000E+0	8.375300E-5	NaN	4.000100E+2	4.000100E+2
1.502600E+1	8.376300E-5	NaN	4.000000E+2	4.000000E+2
3.150800E+1	8.378600E-5	NaN	3.999800E+2	3.999800E+2
4.783300E+1	8.381400E-5	NaN	4.000000E+2	4.000000E+2
6.417200E+1	8.383800E-5	NaN	4.000000E+2	4.000000E+2
8.021400E+1	8.381700E-5	NaN	4.000100E+2	4.000100E+2
9.628200E+1	8.379100E-5	NaN	4.000000E+2	4.000000E+2
1.122220E+2	8.377900E-5	NaN	3.999900E+2	3.999900E+2
1.284490E+2	8.379600E-5	NaN	3.999900E+2	3.999900E+2
1.444440E+2	8.384000E-5	NaN	4.000000E+2	4.000000E+2
1.608600E+2	8.385500E-5	NaN	4.000100E+2	4.000100E+2
1.768660E+2	8.385100E-5	NaN	4.000000E+2	4.000000E+2
1.927870E+2	8.383600E-5	NaN	3.999900E+2	3.999900E+2
2.087480E+2	8.385300E-5	NaN	4.000000E+2	4.000000E+2
2.248000E+2	8.387800E-5	NaN	4.000100E+2	4.000100E+2
2.410490E+2	8.388800E-5	NaN	3.999900E+2	3.999900E+2
2.570920E+2	8.392300E-5	NaN	3.999900E+2	3.999900E+2
2.741130E+2	8.396000E-5	NaN	4.000100E+2	4.000100E+2
2.899220E+2	8.394900E-5	NaN	4.000000E+2	4.000000E+2
3.057540E+2	8.394000E-5	NaN	4.000000E+2	4.000000E+2
3.216630E+2	8.394200E-5	NaN	3.999900E+2	3.999900E+2
3.376850E+2	8.396000E-5	NaN	3.999900E+2	3.999900E+2
3.536630E+2	8.397500E-5	NaN	4.000100E+2	4.000100E+2
3.700390E+2	8.397000E-5	NaN	4.000000E+2	4.000000E+2
3.860940E+2	8.396800E-5	NaN	3.999900E+2	3.999900E+2
4.020080E+2	8.398300E-5	NaN	3.999900E+2	3.999900E+2
4.179370E+2	8.401600E-5	NaN	4.000000E+2	4.000000E+2
4.339960E+2	8.401300E-5	NaN	4.000200E+2	4.000200E+2
4.501520E+2	8.398500E-5	NaN	4.000000E+2	4.000000E+2
4.663070E+2	8.394200E-5	NaN	3.999900E+2	3.999900E+2
4.823230E+2	8.395500E-5	NaN	4.000000E+2	4.000000E+2
4.991310E+2	8.397800E-5	NaN	3.999900E+2	3.999900E+2
5.159020E+2	8.398900E-5	NaN	4.000000E+2	4.000000E+2
5.318850E+2	8.401700E-5	NaN	4.000000E+2	4.000000E+2
5.479340E+2	8.403500E-5	NaN	4.000000E+2	4.000000E+2
5.640350E+2	8.403000E-5	NaN	3.999900E+2	3.999900E+2
5.801350E+2	8.402100E-5	NaN	3.999900E+2	3.999900E+2
5.961060E+2	8.405400E-5	NaN	4.000000E+2	4.000000E+2
6.120800E+2	8.407200E-5	NaN	4.000000E+2	4.000000E+2
6.282050E+2	8.406800E-5	NaN	3.999900E+2	3.999900E+2
6.444460E+2	8.406400E-5	NaN	4.000000E+2	4.000000E+2
6.604200E+2	8.406400E-5	NaN	4.000100E+2	4.000100E+2
6.763500E+2	8.403700E-5	NaN	4.000000E+2	4.000000E+2
6.924230E+2	8.401900E-5	NaN	3.999900E+2	3.999900E+2
7.085010E+2	8.405700E-5	NaN	4.000000E+2	4.000000E+2
7.244690E+2	8.405700E-5	NaN	4.000000E+2	4.000000E+2
7.404340E+2	8.406400E-5	NaN	4.000000E+2	4.000000E+2
7.564910E+2	8.406100E-5	NaN	4.000000E+2	4.000000E+2
7.727910E+2	8.404800E-5	NaN	4.000000E+2	4.000000E+2
7.890170E+2	8.403100E-5	NaN	4.000000E+2	4.000000E+2
8.049790E+2	8.396700E-5	NaN	4.000100E+2	4.000100E+2
8.212730E+2	8.397600E-5	NaN	4.000100E+2	4.000100E+2
8.372850E+2	8.395100E-5	NaN	3.999900E+2	3.999900E+2
8.532570E+2	8.396300E-5	NaN	4.000000E+2	4.000000E+2
8.697130E+2	8.398800E-5	NaN	4.000000E+2	4.000000E+2
8.856570E+2	8.397700E-5	NaN	3.999900E+2	3.999900E+2
9.016270E+2	8.399200E-5	NaN	4.000000E+2	4.000000E+2
9.177350E+2	8.400700E-5	NaN	4.000100E+2	4.000100E+2
9.350370E+2	8.401800E-5	NaN	4.000000E+2	4.000000E+2
9.511660E+2	8.400600E-5	NaN	3.999900E+2	3.999900E+2
9.672310E+2	8.400000E-5	NaN	4.000100E+2	4.000100E+2
9.832170E+2	8.397800E-5	NaN	4.000000E+2	4.000000E+2
