4/1/2024
7:13 PM
relaxation time temp = 400K again because 405 was being wierd around 400_2024.04.01_IR_FILE END.txt

Data taken by: Akshat Sharma
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: TRUE
Readings: 1
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.002000E+0	6.515000E-5	NaN	3.999700E+2	3.999700E+2
1.530100E+1	6.519700E-5	NaN	4.000000E+2	4.000000E+2
3.163700E+1	6.523600E-5	NaN	3.999900E+2	3.999900E+2
4.752000E+1	6.527900E-5	NaN	3.999600E+2	3.999600E+2
6.346600E+1	6.536900E-5	NaN	3.999600E+2	3.999600E+2
7.946400E+1	6.548900E-5	NaN	3.999800E+2	3.999800E+2
9.576000E+1	6.557000E-5	NaN	4.000000E+2	4.000000E+2
1.132700E+2	6.562300E-5	NaN	4.000000E+2	4.000000E+2
1.292830E+2	6.564400E-5	NaN	3.999900E+2	3.999900E+2
1.451950E+2	6.567000E-5	NaN	3.999600E+2	3.999600E+2
1.610710E+2	6.573400E-5	NaN	3.999600E+2	3.999600E+2
1.771120E+2	6.581000E-5	NaN	4.000000E+2	4.000000E+2
1.937210E+2	6.585100E-5	NaN	4.000000E+2	4.000000E+2
2.095890E+2	6.587100E-5	NaN	3.999900E+2	3.999900E+2
2.255310E+2	6.590000E-5	NaN	3.999800E+2	3.999800E+2
2.415140E+2	6.593000E-5	NaN	3.999900E+2	3.999900E+2
2.578510E+2	6.597600E-5	NaN	3.999800E+2	3.999800E+2
2.744440E+2	6.604200E-5	NaN	3.999700E+2	3.999700E+2
2.909020E+2	6.611100E-5	NaN	3.999900E+2	3.999900E+2
3.068890E+2	6.616800E-5	NaN	3.999900E+2	3.999900E+2
3.229430E+2	6.620200E-5	NaN	4.000000E+2	4.000000E+2
3.388620E+2	6.623000E-5	NaN	3.999900E+2	3.999900E+2
3.548950E+2	6.627100E-5	NaN	3.999800E+2	3.999800E+2
3.715130E+2	6.632100E-5	NaN	3.999800E+2	3.999800E+2
3.880740E+2	6.639200E-5	NaN	4.000000E+2	4.000000E+2
4.039890E+2	6.641900E-5	NaN	4.000000E+2	4.000000E+2
4.198800E+2	6.645600E-5	NaN	3.999900E+2	3.999900E+2
4.357050E+2	6.650400E-5	NaN	3.999900E+2	3.999900E+2
4.516990E+2	6.654200E-5	NaN	3.999900E+2	3.999900E+2
4.675620E+2	6.658500E-5	NaN	3.999900E+2	3.999900E+2
4.834340E+2	6.663300E-5	NaN	3.999900E+2	3.999900E+2
4.999350E+2	6.669300E-5	NaN	4.000000E+2	4.000000E+2
5.158000E+2	6.673800E-5	NaN	3.999900E+2	3.999900E+2
5.321570E+2	6.677800E-5	NaN	4.000000E+2	4.000000E+2
5.480610E+2	6.681600E-5	NaN	4.000000E+2	4.000000E+2
5.641910E+2	6.685300E-5	NaN	3.999900E+2	3.999900E+2
5.802830E+2	6.690300E-5	NaN	4.000000E+2	4.000000E+2
5.963450E+2	6.694100E-5	NaN	4.000000E+2	4.000000E+2
6.125020E+2	6.696300E-5	NaN	4.000000E+2	4.000000E+2
6.284980E+2	6.701200E-5	NaN	3.999900E+2	3.999900E+2
6.445470E+2	6.705600E-5	NaN	3.999900E+2	3.999900E+2
6.616520E+2	6.711300E-5	NaN	4.000000E+2	4.000000E+2
6.776600E+2	6.713500E-5	NaN	3.999900E+2	3.999900E+2
6.939670E+2	6.716900E-5	NaN	3.999900E+2	3.999900E+2
7.099360E+2	6.723200E-5	NaN	4.000000E+2	4.000000E+2
7.259260E+2	6.727500E-5	NaN	3.999900E+2	3.999900E+2
7.417850E+2	6.733500E-5	NaN	4.000000E+2	4.000000E+2
7.577540E+2	6.737900E-5	NaN	4.000000E+2	4.000000E+2
7.736910E+2	6.741600E-5	NaN	4.000000E+2	4.000000E+2
7.900040E+2	6.743900E-5	NaN	3.999900E+2	3.999900E+2
8.059140E+2	6.749100E-5	NaN	4.000000E+2	4.000000E+2
8.217880E+2	6.753100E-5	NaN	3.999800E+2	3.999800E+2
8.377600E+2	6.758700E-5	NaN	3.999800E+2	3.999800E+2
8.535220E+2	6.766600E-5	NaN	4.000100E+2	4.000100E+2
8.695410E+2	6.768900E-5	NaN	4.000100E+2	4.000100E+2
8.854400E+2	6.770100E-5	NaN	4.000000E+2	4.000000E+2
9.020010E+2	6.773700E-5	NaN	3.999900E+2	3.999900E+2
9.176920E+2	6.778500E-5	NaN	4.000100E+2	4.000100E+2
9.337990E+2	6.781800E-5	NaN	3.999900E+2	3.999900E+2
9.497070E+2	6.786100E-5	NaN	4.000000E+2	4.000000E+2
