1/16/2024
9:00 AM
part 2 relaxation time temp 400 part 2 for 40 days_2024.01.16_IR_FILE END.txt

Data taken by: Akshat Sharma
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: TRUE
Readings: 1
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.004000E+0	7.114500E-5	NaN	4.000000E+2	4.000000E+2
1.700500E+1	7.115100E-5	NaN	4.000000E+2	4.000000E+2
2.225600E+1	7.115500E-5	NaN	4.000000E+2	4.000000E+2
5.010700E+1	7.115500E-5	NaN	3.999800E+2	3.999800E+2
5.532900E+1	7.116700E-5	NaN	3.999800E+2	3.999800E+2
8.315800E+1	7.119900E-5	NaN	4.000000E+2	4.000000E+2
8.855100E+1	7.120000E-5	NaN	4.000000E+2	4.000000E+2
1.162680E+2	7.119100E-5	NaN	4.000100E+2	4.000100E+2
1.220610E+2	7.118400E-5	NaN	4.000100E+2	4.000100E+2
1.517640E+2	7.118500E-5	NaN	4.000100E+2	4.000100E+2
1.578450E+2	7.118600E-5	NaN	4.000000E+2	4.000000E+2
1.886050E+2	7.116400E-5	NaN	4.000000E+2	4.000000E+2
1.955880E+2	7.114100E-5	NaN	4.000000E+2	4.000000E+2
2.254690E+2	7.115500E-5	NaN	4.000000E+2	4.000000E+2
2.310710E+2	7.116200E-5	NaN	4.000000E+2	4.000000E+2
2.597910E+2	7.115300E-5	NaN	4.000100E+2	4.000100E+2
2.655730E+2	7.114300E-5	NaN	4.000000E+2	4.000000E+2
2.976060E+2	7.112000E-5	NaN	4.000000E+2	4.000000E+2
3.051140E+2	7.114000E-5	NaN	4.000100E+2	4.000100E+2
3.242640E+2	7.113800E-5	NaN	4.000000E+2	4.000000E+2
3.561860E+2	7.114800E-5	NaN	4.000000E+2	4.000000E+2
3.625010E+2	7.115100E-5	NaN	4.000000E+2	4.000000E+2
3.930830E+2	7.112300E-5	NaN	4.000100E+2	4.000100E+2
4.013380E+2	7.111400E-5	NaN	4.000000E+2	4.000000E+2
4.327150E+2	7.112500E-5	NaN	4.000000E+2	4.000000E+2
4.386800E+2	7.112600E-5	NaN	4.000000E+2	4.000000E+2
4.697230E+2	7.110500E-5	NaN	4.000000E+2	4.000000E+2
4.782530E+2	7.111200E-5	NaN	4.000000E+2	4.000000E+2
5.110960E+2	7.112700E-5	NaN	4.000000E+2	4.000000E+2
5.185900E+2	7.112500E-5	NaN	4.000000E+2	4.000000E+2
5.482580E+2	7.114700E-5	NaN	4.000000E+2	4.000000E+2
5.541830E+2	7.115000E-5	NaN	4.000100E+2	4.000100E+2
5.835730E+2	7.113100E-5	NaN	4.000100E+2	4.000100E+2
5.955710E+2	7.111900E-5	NaN	4.000000E+2	4.000000E+2
6.185250E+2	7.111500E-5	NaN	4.000000E+2	4.000000E+2
6.241060E+2	7.110700E-5	NaN	4.000100E+2	4.000100E+2
6.557320E+2	7.110300E-5	NaN	3.999900E+2	3.999900E+2
6.631560E+2	7.109100E-5	NaN	4.000000E+2	4.000000E+2
6.924860E+2	7.109500E-5	NaN	4.000000E+2	4.000000E+2
6.979520E+2	7.109400E-5	NaN	4.000000E+2	4.000000E+2
7.265430E+2	7.109600E-5	NaN	3.999900E+2	3.999900E+2
7.327920E+2	7.111900E-5	NaN	4.000000E+2	4.000000E+2
7.610070E+2	7.109800E-5	NaN	4.000100E+2	4.000100E+2
7.665010E+2	7.110200E-5	NaN	4.000000E+2	4.000000E+2
7.964860E+2	7.111700E-5	NaN	4.000000E+2	4.000000E+2
8.024150E+2	7.110200E-5	NaN	4.000100E+2	4.000100E+2
8.314250E+2	7.108900E-5	NaN	4.000000E+2	4.000000E+2
8.377630E+2	7.109000E-5	NaN	4.000000E+2	4.000000E+2
8.666790E+2	7.108700E-5	NaN	4.000000E+2	4.000000E+2
8.727230E+2	7.108300E-5	NaN	4.000000E+2	4.000000E+2
9.027990E+2	7.107800E-5	NaN	4.000000E+2	4.000000E+2
9.082890E+2	7.107400E-5	NaN	4.000000E+2	4.000000E+2
9.387390E+2	7.106000E-5	NaN	4.000000E+2	4.000000E+2
9.448800E+2	7.106000E-5	NaN	4.000000E+2	4.000000E+2
9.768260E+2	7.106100E-5	NaN	4.000100E+2	4.000100E+2
9.857200E+2	7.106600E-5	NaN	4.000000E+2	4.000000E+2
1.014683E+3	7.105800E-5	NaN	3.999900E+2	3.999900E+2
1.020645E+3	7.105800E-5	NaN	3.999900E+2	3.999900E+2
1.051113E+3	7.106900E-5	NaN	4.000100E+2	4.000100E+2
1.057457E+3	7.103800E-5	NaN	4.000000E+2	4.000000E+2
1.087239E+3	7.104200E-5	NaN	4.000000E+2	4.000000E+2
1.092948E+3	7.103600E-5	NaN	4.000000E+2	4.000000E+2
1.122386E+3	7.101200E-5	NaN	3.999900E+2	3.999900E+2
1.128058E+3	7.100700E-5	NaN	3.999900E+2	3.999900E+2
1.159636E+3	7.105400E-5	NaN	4.000000E+2	4.000000E+2
1.168155E+3	7.105300E-5	NaN	4.000100E+2	4.000100E+2
1.198221E+3	7.106000E-5	NaN	4.000000E+2	4.000000E+2
1.206649E+3	7.106000E-5	NaN	4.000000E+2	4.000000E+2
1.236531E+3	7.103600E-5	NaN	4.000100E+2	4.000100E+2
1.242694E+3	7.102100E-5	NaN	4.000000E+2	4.000000E+2
1.272351E+3	7.100800E-5	NaN	4.000000E+2	4.000000E+2
1.277754E+3	7.101700E-5	NaN	4.000000E+2	4.000000E+2
1.310982E+3	7.103700E-5	NaN	4.000000E+2	4.000000E+2
1.318752E+3	7.103300E-5	NaN	4.000000E+2	4.000000E+2
1.349173E+3	7.101200E-5	NaN	4.000100E+2	4.000100E+2
1.356682E+3	7.103500E-5	NaN	4.000000E+2	4.000000E+2
1.385668E+3	7.103600E-5	NaN	4.000000E+2	4.000000E+2
1.398144E+3	7.103400E-5	NaN	4.000100E+2	4.000100E+2
1.421187E+3	7.101300E-5	NaN	4.000000E+2	4.000000E+2
