12/6/2023
8:16 PM
relaxation time temp 400_2023.12.06_IR_FILE END.txt

Data taken by: Akshat Sharma
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: TRUE
Readings: 1
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.004000E+0	3.284200E-5	NaN	3.999900E+2	3.999900E+2
4.266000E+0	3.287700E-5	NaN	3.999900E+2	3.999900E+2
8.139000E+0	3.290100E-5	NaN	3.999900E+2	3.999900E+2
1.173400E+1	3.291800E-5	NaN	3.999800E+2	3.999800E+2
1.502400E+1	3.293300E-5	NaN	3.999900E+2	3.999900E+2
1.822800E+1	3.295000E-5	NaN	3.999900E+2	3.999900E+2
2.151600E+1	3.295800E-5	NaN	3.999900E+2	3.999900E+2
2.476100E+1	3.296300E-5	NaN	3.999900E+2	3.999900E+2
2.820200E+1	3.297400E-5	NaN	3.999900E+2	3.999900E+2
3.142600E+1	3.297900E-5	NaN	3.999900E+2	3.999900E+2
3.514100E+1	3.299000E-5	NaN	3.999800E+2	3.999800E+2
3.880600E+1	3.299500E-5	NaN	3.999800E+2	3.999800E+2
4.199600E+1	3.300000E-5	NaN	3.999800E+2	3.999800E+2
4.570700E+1	3.301000E-5	NaN	3.999800E+2	3.999800E+2
4.939800E+1	3.302000E-5	NaN	3.999900E+2	3.999900E+2
5.291800E+1	3.302500E-5	NaN	3.999800E+2	3.999800E+2
5.668400E+1	3.302900E-5	NaN	3.999800E+2	3.999800E+2
5.985900E+1	3.303400E-5	NaN	3.999800E+2	3.999800E+2
6.350200E+1	3.304000E-5	NaN	3.999800E+2	3.999800E+2
6.724700E+1	3.304500E-5	NaN	3.999800E+2	3.999800E+2
7.069200E+1	3.305500E-5	NaN	3.999800E+2	3.999800E+2
7.408800E+1	3.305600E-5	NaN	3.999900E+2	3.999900E+2
7.734400E+1	3.306300E-5	NaN	4.000000E+2	4.000000E+2
8.058500E+1	3.306700E-5	NaN	4.000000E+2	4.000000E+2
8.399900E+1	3.307300E-5	NaN	4.000000E+2	4.000000E+2
8.767000E+1	3.307800E-5	NaN	4.000000E+2	4.000000E+2
9.104200E+1	3.307600E-5	NaN	4.000000E+2	4.000000E+2
9.477100E+1	3.307900E-5	NaN	4.000000E+2	4.000000E+2
9.845000E+1	3.308100E-5	NaN	3.999900E+2	3.999900E+2
1.021990E+2	3.308900E-5	NaN	3.999900E+2	3.999900E+2
1.057390E+2	3.309700E-5	NaN	3.999900E+2	3.999900E+2
1.089430E+2	3.310100E-5	NaN	3.999800E+2	3.999800E+2
1.122100E+2	3.310100E-5	NaN	3.999800E+2	3.999800E+2
1.154650E+2	3.310100E-5	NaN	3.999800E+2	3.999800E+2
1.189020E+2	3.311100E-5	NaN	3.999800E+2	3.999800E+2
1.221890E+2	3.311900E-5	NaN	4.000000E+2	4.000000E+2
1.254660E+2	3.312800E-5	NaN	3.999900E+2	3.999900E+2
1.295160E+2	3.313700E-5	NaN	4.000000E+2	4.000000E+2
1.328530E+2	3.313800E-5	NaN	4.000000E+2	4.000000E+2
1.367620E+2	3.314300E-5	NaN	4.000000E+2	4.000000E+2
1.407920E+2	3.314500E-5	NaN	3.999900E+2	3.999900E+2
1.441340E+2	3.314600E-5	NaN	3.999900E+2	3.999900E+2
1.473050E+2	3.315000E-5	NaN	3.999900E+2	3.999900E+2
1.505350E+2	3.315200E-5	NaN	3.999800E+2	3.999800E+2
1.540520E+2	3.316300E-5	NaN	3.999800E+2	3.999800E+2
1.573700E+2	3.317000E-5	NaN	3.999800E+2	3.999800E+2
1.605780E+2	3.317200E-5	NaN	3.999800E+2	3.999800E+2
1.637450E+2	3.317000E-5	NaN	3.999800E+2	3.999800E+2
1.670100E+2	3.317700E-5	NaN	3.999800E+2	3.999800E+2
1.703250E+2	3.317900E-5	NaN	3.999800E+2	3.999800E+2
1.736300E+2	3.318700E-5	NaN	3.999800E+2	3.999800E+2
1.777730E+2	3.319100E-5	NaN	3.999800E+2	3.999800E+2
