3/18/2024
7:28 PM
relaxation time temp 405 again because last part was wierd_2024.03.18_IR_FILE END.txt

Data taken by: Akshat
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: TRUE
Readings: 1
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.004000E+0	4.914700E-7	NaN	3.051400E+2	3.051400E+2
2.605800E+1	6.723800E-7	NaN	3.100100E+2	3.100100E+2
3.201500E+1	7.235500E-7	NaN	3.111400E+2	3.111400E+2
5.891200E+1	9.998000E-7	NaN	3.163100E+2	3.163100E+2
6.387300E+1	1.059420E-6	NaN	3.172600E+2	3.172600E+2
9.061500E+1	1.434900E-6	NaN	3.222600E+2	3.222600E+2
9.572700E+1	1.518630E-6	NaN	3.232300E+2	3.232300E+2
1.225610E+2	2.027030E-6	NaN	3.281800E+2	3.281800E+2
1.275180E+2	2.136800E-6	NaN	3.290900E+2	3.290900E+2
1.543370E+2	2.813700E-6	NaN	3.339600E+2	3.339600E+2
1.592980E+2	2.956800E-6	NaN	3.348300E+2	3.348300E+2
1.861600E+2	3.849100E-6	NaN	3.396700E+2	3.396700E+2
1.914070E+2	4.048400E-6	NaN	3.406000E+2	3.406000E+2
2.206810E+2	5.329500E-6	NaN	3.457900E+2	3.457900E+2
2.279080E+2	5.693500E-6	NaN	3.470600E+2	3.470600E+2
2.559130E+2	7.315500E-6	NaN	3.519800E+2	3.519800E+2
2.622830E+2	7.737300E-6	NaN	3.531000E+2	3.531000E+2
2.899700E+2	9.799800E-6	NaN	3.579100E+2	3.579100E+2
2.957810E+2	1.028380E-5	NaN	3.589200E+2	3.589200E+2
3.238610E+2	1.292220E-5	NaN	3.637200E+2	3.637200E+2
3.295660E+2	1.351810E-5	NaN	3.647200E+2	3.647200E+2
3.592430E+2	1.706450E-5	NaN	3.698000E+2	3.698000E+2
3.654050E+2	1.789420E-5	NaN	3.708700E+2	3.708700E+2
3.946160E+2	2.229300E-5	NaN	3.758700E+2	3.758700E+2
4.011480E+2	2.339100E-5	NaN	3.769600E+2	3.769600E+2
4.286230E+2	2.852000E-5	NaN	3.816500E+2	3.816500E+2
4.353310E+2	2.989500E-5	NaN	3.827600E+2	3.827600E+2
4.632590E+2	3.629600E-5	NaN	3.875000E+2	3.875000E+2
4.706410E+2	3.816500E-5	NaN	3.887600E+2	3.887600E+2
4.983790E+2	4.594100E-5	NaN	3.934100E+2	3.934100E+2
5.059850E+2	4.828400E-5	NaN	3.947000E+2	3.947000E+2
5.361930E+2	5.865600E-5	NaN	3.997900E+2	3.997900E+2
5.434630E+2	6.141000E-5	NaN	4.010000E+2	4.010000E+2
5.744160E+2	7.356800E-5	NaN	4.058600E+2	4.058600E+2
5.801250E+2	7.503400E-5	NaN	4.063400E+2	4.063400E+2
6.094870E+2	7.557700E-5	NaN	4.062300E+2	4.062300E+2
6.160550E+2	7.501700E-5	NaN	4.060100E+2	4.060100E+2
6.605010E+2	7.371200E-5	NaN	4.055500E+2	4.055500E+2
6.787570E+2	7.386900E-5	NaN	4.055800E+2	4.055800E+2
6.863300E+2	7.389900E-5	NaN	4.055700E+2	4.055700E+2
7.150460E+2	7.384200E-5	NaN	4.054800E+2	4.054800E+2
7.220040E+2	7.382900E-5	NaN	4.054600E+2	4.054600E+2
7.493650E+2	7.382900E-5	NaN	4.054100E+2	4.054100E+2
7.567520E+2	7.382400E-5	NaN	4.053900E+2	4.053900E+2
7.843850E+2	7.388000E-5	NaN	4.053600E+2	4.053600E+2
7.897630E+2	7.389900E-5	NaN	4.053500E+2	4.053500E+2
8.176140E+2	7.395300E-5	NaN	4.053000E+2	4.053000E+2
8.241130E+2	7.396900E-5	NaN	4.052900E+2	4.052900E+2
8.524550E+2	7.405100E-5	NaN	4.052600E+2	4.052600E+2
8.655920E+2	7.408400E-5	NaN	4.052400E+2	4.052400E+2
8.884300E+2	7.416600E-5	NaN	4.052200E+2	4.052200E+2
8.943250E+2	7.419400E-5	NaN	4.052200E+2	4.052200E+2
9.240980E+2	7.427900E-5	NaN	4.052000E+2	4.052000E+2
9.329640E+2	7.430500E-5	NaN	4.051800E+2	4.051800E+2
9.630970E+2	7.440500E-5	NaN	4.051600E+2	4.051600E+2
