2/10/2024
6:58 PM
relaxation time temp 405K retry part 2_2024.02.10_IR_FILE END.txt

Data taken by: Akshat Sharma
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: FALSE
Readings: 1
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.003000E+0	8.457700E-5	NaN	4.050100E+2	4.050100E+2
1.517500E+1	8.456300E-5	NaN	4.050000E+2	4.050000E+2
3.127400E+1	8.457100E-5	NaN	4.049900E+2	4.049900E+2
4.696900E+1	8.461200E-5	NaN	4.049800E+2	4.049800E+2
6.774800E+1	8.466600E-5	NaN	4.050100E+2	4.050100E+2
8.364500E+1	8.466700E-5	NaN	4.050200E+2	4.050200E+2
1.044390E+2	8.465300E-5	NaN	4.050100E+2	4.050100E+2
1.203060E+2	8.461500E-5	NaN	4.050000E+2	4.050000E+2
2.193400E+2	8.459000E-5	NaN	4.050000E+2	4.050000E+2
2.383170E+2	8.462400E-5	NaN	4.050000E+2	4.050000E+2
2.600010E+2	8.460000E-5	NaN	4.050000E+2	4.050000E+2
2.764230E+2	8.458300E-5	NaN	4.049900E+2	4.049900E+2
2.926800E+2	8.459400E-5	NaN	4.050000E+2	4.050000E+2
3.088070E+2	8.457400E-5	NaN	4.050000E+2	4.050000E+2
3.296570E+2	8.456500E-5	NaN	4.050000E+2	4.050000E+2
3.499850E+2	8.454200E-5	NaN	4.050000E+2	4.050000E+2
3.715310E+2	8.454800E-5	NaN	4.049900E+2	4.049900E+2
3.875470E+2	8.451500E-5	NaN	4.050000E+2	4.050000E+2
4.082660E+2	8.451300E-5	NaN	4.050000E+2	4.050000E+2
4.246010E+2	8.452200E-5	NaN	4.050100E+2	4.050100E+2
4.405000E+2	8.449800E-5	NaN	4.049900E+2	4.049900E+2
4.562460E+2	8.450200E-5	NaN	4.049900E+2	4.049900E+2
4.816230E+2	8.455400E-5	NaN	4.050100E+2	4.050100E+2
4.978490E+2	8.453600E-5	NaN	4.050100E+2	4.050100E+2
5.142990E+2	8.449800E-5	NaN	4.049900E+2	4.049900E+2
5.352750E+2	8.454000E-5	NaN	4.050000E+2	4.050000E+2
5.520160E+2	8.455200E-5	NaN	4.050100E+2	4.050100E+2
5.734510E+2	8.448100E-5	NaN	4.049800E+2	4.049800E+2
5.945210E+2	8.453900E-5	NaN	4.050000E+2	4.050000E+2
6.154320E+2	8.456800E-5	NaN	4.049900E+2	4.049900E+2
6.319130E+2	8.453300E-5	NaN	4.050100E+2	4.050100E+2
6.477490E+2	8.452100E-5	NaN	4.050000E+2	4.050000E+2
6.635420E+2	8.447600E-5	NaN	4.049900E+2	4.049900E+2
6.846420E+2	8.450300E-5	NaN	4.050000E+2	4.050000E+2
7.053180E+2	8.450100E-5	NaN	4.050200E+2	4.050200E+2
7.221030E+2	8.445200E-5	NaN	4.050100E+2	4.050100E+2
7.377970E+2	8.445900E-5	NaN	4.049900E+2	4.049900E+2
7.602150E+2	8.442600E-5	NaN	4.050100E+2	4.050100E+2
7.812330E+2	8.445800E-5	NaN	4.050000E+2	4.050000E+2
7.974850E+2	8.450300E-5	NaN	4.049900E+2	4.049900E+2
8.131690E+2	8.452200E-5	NaN	4.049800E+2	4.049800E+2
9.261840E+2	8.444300E-5	NaN	4.050100E+2	4.050100E+2
9.468100E+2	8.443800E-5	NaN	4.050100E+2	4.050100E+2
