2/17/2024
6:17 PM
relaxation time temp 405K retry part 3_2024.02.17_IR_FILE END.txt
***********The data has been geopardized, because of a glitch in file IO and we don't have the data for the last 18 hours. Make sure to account for that in the end
Data taken by: Akshat Sharma
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: FALSE
Readings: 1
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.003000E+0	8.677000E-5	NaN	4.050100E+2	4.050100E+2
1.841000E+1	8.675200E-5	NaN	4.050000E+2	4.050000E+2
4.428600E+1	8.674400E-5	NaN	4.050000E+2	4.050000E+2
6.950100E+1	8.675800E-5	NaN	4.050100E+2	4.050100E+2
9.360200E+1	8.673600E-5	NaN	4.050000E+2	4.050000E+2
1.205010E+2	8.672400E-5	NaN	4.050000E+2	4.050000E+2
1.457050E+2	8.677800E-5	NaN	4.050000E+2	4.050000E+2
1.855030E+2	8.678400E-5	NaN	4.050000E+2	4.050000E+2
2.094130E+2	8.678300E-5	NaN	4.050100E+2	4.050100E+2
2.259590E+2	8.679500E-5	NaN	4.050000E+2	4.050000E+2
2.543360E+2	8.680100E-5	NaN	4.049900E+2	4.049900E+2
3.934510E+2	8.685300E-5	NaN	4.050000E+2	4.050000E+2
4.148890E+2	8.685600E-5	NaN	4.049900E+2	4.049900E+2
4.367430E+2	8.690500E-5	NaN	4.050000E+2	4.050000E+2
4.529120E+2	8.689400E-5	NaN	4.050100E+2	4.050100E+2
4.695650E+2	8.687700E-5	NaN	4.050000E+2	4.050000E+2
4.855310E+2	8.687500E-5	NaN	4.049900E+2	4.049900E+2
5.079690E+2	8.690100E-5	NaN	4.049900E+2	4.049900E+2
5.303390E+2	8.694200E-5	NaN	4.050000E+2	4.050000E+2
5.587410E+2	8.698600E-5	NaN	4.049900E+2	4.049900E+2
5.748060E+2	8.704300E-5	NaN	4.050100E+2	4.050100E+2
5.915780E+2	8.704300E-5	NaN	4.050100E+2	4.050100E+2
6.079430E+2	8.703800E-5	NaN	4.050000E+2	4.050000E+2
6.252540E+2	8.702100E-5	NaN	4.050000E+2	4.050000E+2
6.478410E+2	8.702300E-5	NaN	4.050100E+2	4.050100E+2
6.701870E+2	8.700700E-5	NaN	4.049900E+2	4.049900E+2
6.923840E+2	8.703600E-5	NaN	4.050000E+2	4.050000E+2
7.085620E+2	8.703700E-5	NaN	4.049900E+2	4.049900E+2
7.310590E+2	8.705500E-5	NaN	4.049900E+2	4.049900E+2
7.482370E+2	8.709200E-5	NaN	4.049900E+2	4.049900E+2
7.695140E+2	8.715500E-5	NaN	4.050200E+2	4.050200E+2
7.912100E+2	8.714600E-5	NaN	4.050200E+2	4.050200E+2
8.072650E+2	8.711900E-5	NaN	4.050000E+2	4.050000E+2
8.234890E+2	8.709100E-5	NaN	4.050000E+2	4.050000E+2
8.400540E+2	8.708300E-5	NaN	4.049900E+2	4.049900E+2
8.570620E+2	8.711100E-5	NaN	4.049700E+2	4.049700E+2
8.731330E+2	8.716100E-5	NaN	4.050100E+2	4.050100E+2
8.893900E+2	8.718400E-5	NaN	4.050200E+2	4.050200E+2
9.122680E+2	8.712500E-5	NaN	4.050000E+2	4.050000E+2
9.415230E+2	8.711100E-5	NaN	4.050100E+2	4.050100E+2
9.576650E+2	8.711600E-5	NaN	4.050000E+2	4.050000E+2
9.790920E+2	8.709800E-5	NaN	4.050000E+2	4.050000E+2
9.955080E+2	8.710800E-5	NaN	4.049900E+2	4.049900E+2
1.012573E+3	8.712200E-5	NaN	4.049900E+2	4.049900E+2
1.028993E+3	8.715100E-5	NaN	4.050100E+2	4.050100E+2
1.050882E+3	8.712300E-5	NaN	4.050000E+2	4.050000E+2
1.072751E+3	8.715700E-5	NaN	4.050000E+2	4.050000E+2
1.089169E+3	8.716900E-5	NaN	4.050200E+2	4.050200E+2
1.112659E+3	8.713900E-5	NaN	4.049900E+2	4.049900E+2
1.140514E+3	8.716600E-5	NaN	4.050000E+2	4.050000E+2
1.286615E+3	8.722500E-5	NaN	4.050100E+2	4.050100E+2
1.307849E+3	8.722600E-5	NaN	4.050000E+2	4.050000E+2
1.329819E+3	8.718100E-5	NaN	4.050000E+2	4.050000E+2
1.346357E+3	8.717200E-5	NaN	4.050000E+2	4.050000E+2
1.362206E+3	8.715700E-5	NaN	4.049900E+2	4.049900E+2
1.378376E+3	8.717700E-5	NaN	4.050000E+2	4.050000E+2
1.399341E+3	8.720600E-5	NaN	4.050000E+2	4.050000E+2
1.415392E+3	8.720600E-5	NaN	4.050100E+2	4.050100E+2
1.439184E+3	8.715100E-5	NaN	4.049900E+2	4.049900E+2
1.455621E+3	8.717000E-5	NaN	4.049900E+2	4.049900E+2
1.477920E+3	8.722600E-5	NaN	4.049900E+2	4.049900E+2
1.493951E+3	8.727600E-5	NaN	4.050100E+2	4.050100E+2
1.515705E+3	8.727400E-5	NaN	4.050300E+2	4.050300E+2
1.537780E+3	8.723100E-5	NaN	4.050000E+2	4.050000E+2
1.559230E+3	8.719800E-5	NaN	4.049800E+2	4.049800E+2
1.580776E+3	8.724800E-5	NaN	4.050200E+2	4.050200E+2
1.602307E+3	8.722300E-5	NaN	4.050100E+2	4.050100E+2
1.618504E+3	8.720000E-5	NaN	4.049900E+2	4.049900E+2
1.639818E+3	8.723300E-5	NaN	4.049800E+2	4.049800E+2
1.656633E+3	8.728200E-5	NaN	4.050000E+2	4.050000E+2
1.672821E+3	8.731300E-5	NaN	4.050200E+2	4.050200E+2
1.694415E+3	8.728300E-5	NaN	4.050100E+2	4.050100E+2
1.710923E+3	8.725800E-5	NaN	4.049800E+2	4.049800E+2
1.732903E+3	8.730000E-5	NaN	4.050100E+2	4.050100E+2
1.749045E+3	8.729700E-5	NaN	4.050000E+2	4.050000E+2
1.765614E+3	8.727300E-5	NaN	4.050000E+2	4.050000E+2
1.787265E+3	8.727600E-5	NaN	4.050100E+2	4.050100E+2
1.808570E+3	8.729600E-5	NaN	4.049900E+2	4.049900E+2
1.831026E+3	8.732600E-5	NaN	4.049900E+2	4.049900E+2
1.853809E+3	8.735000E-5	NaN	4.050200E+2	4.050200E+2
1.877365E+3	8.732600E-5	NaN	4.049800E+2	4.049800E+2
1.893903E+3	8.732600E-5	NaN	4.050200E+2	4.050200E+2
1.910762E+3	8.735300E-5	NaN	4.049800E+2	4.049800E+2
