2/21/2024
8:58 PM
relaxation time temp 405K retry part 4_2024.02.21_IR_FILE END.txt

Data taken by: Akshat Sharma
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: FALSE
Readings: 1
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.003000E+0	8.983600E-5	NaN	4.050100E+2	4.050100E+2
1.682700E+1	9.005900E-5	NaN	4.050000E+2	4.050000E+2
3.316300E+1	9.001000E-5	NaN	4.049900E+2	4.049900E+2
5.048300E+1	9.000500E-5	NaN	4.050100E+2	4.050100E+2
6.754900E+1	8.997700E-5	NaN	4.050100E+2	4.050100E+2
8.406100E+1	9.006400E-5	NaN	4.050100E+2	4.050100E+2
1.015250E+2	8.998800E-5	NaN	4.050000E+2	4.050000E+2
1.076610E+2	9.004100E-5	NaN	4.049900E+2	4.049900E+2
1.406590E+2	8.992400E-5	NaN	4.049900E+2	4.049900E+2
1.578330E+2	8.986500E-5	NaN	4.050000E+2	4.050000E+2
1.634450E+2	8.997200E-5	NaN	4.050000E+2	4.050000E+2
1.906830E+2	8.992900E-5	NaN	4.050100E+2	4.050100E+2
2.067700E+2	8.991900E-5	NaN	4.050100E+2	4.050100E+2
2.229730E+2	8.986200E-5	NaN	4.049800E+2	4.049800E+2
2.389180E+2	8.991600E-5	NaN	4.049900E+2	4.049900E+2
2.550870E+2	9.001900E-5	NaN	4.050200E+2	4.050200E+2
2.714960E+2	9.007400E-5	NaN	4.050200E+2	4.050200E+2
2.883690E+2	8.998300E-5	NaN	4.050000E+2	4.050000E+2
3.043850E+2	8.999600E-5	NaN	4.049900E+2	4.049900E+2
3.204780E+2	8.999400E-5	NaN	4.050000E+2	4.050000E+2
3.368250E+2	9.000200E-5	NaN	4.050100E+2	4.050100E+2
3.529120E+2	8.994700E-5	NaN	4.050000E+2	4.050000E+2
3.690040E+2	8.998300E-5	NaN	4.050100E+2	4.050100E+2
3.745170E+2	9.011200E-5	NaN	4.050000E+2	4.050000E+2
4.080340E+2	9.005200E-5	NaN	4.050100E+2	4.050100E+2
4.241520E+2	9.002200E-5	NaN	4.050000E+2	4.050000E+2
4.402550E+2	9.002800E-5	NaN	4.050000E+2	4.050000E+2
4.566360E+2	9.002600E-5	NaN	4.050000E+2	4.050000E+2
4.727530E+2	9.003500E-5	NaN	4.050100E+2	4.050100E+2
4.888290E+2	8.995900E-5	NaN	4.050000E+2	4.050000E+2
5.051310E+2	8.995500E-5	NaN	4.050000E+2	4.050000E+2
5.211940E+2	8.999200E-5	NaN	4.050100E+2	4.050100E+2
5.376820E+2	8.998900E-5	NaN	4.050000E+2	4.050000E+2
5.539410E+2	8.992500E-5	NaN	4.050000E+2	4.050000E+2
5.700740E+2	8.996200E-5	NaN	4.050000E+2	4.050000E+2
5.864310E+2	8.995100E-5	NaN	4.050100E+2	4.050100E+2
6.024450E+2	8.991500E-5	NaN	4.050000E+2	4.050000E+2
6.183070E+2	8.991800E-5	NaN	4.049900E+2	4.049900E+2
6.344550E+2	8.991200E-5	NaN	4.050100E+2	4.050100E+2
6.505150E+2	8.991300E-5	NaN	4.049900E+2	4.049900E+2
6.665700E+2	8.991100E-5	NaN	4.050000E+2	4.050000E+2
6.829610E+2	8.994800E-5	NaN	4.050100E+2	4.050100E+2
6.995080E+2	8.982700E-5	NaN	4.050000E+2	4.050000E+2
7.157310E+2	8.982600E-5	NaN	4.050000E+2	4.050000E+2
7.317300E+2	8.985300E-5	NaN	4.050000E+2	4.050000E+2
7.480220E+2	8.979000E-5	NaN	4.050000E+2	4.050000E+2
7.643860E+2	9.001200E-5	NaN	4.050100E+2	4.050100E+2
7.811010E+2	8.994100E-5	NaN	4.050100E+2	4.050100E+2
7.980050E+2	8.988800E-5	NaN	4.050100E+2	4.050100E+2
8.141970E+2	8.993200E-5	NaN	4.050000E+2	4.050000E+2
8.309530E+2	8.991100E-5	NaN	4.050000E+2	4.050000E+2
8.476250E+2	8.988600E-5	NaN	4.050000E+2	4.050000E+2
8.637660E+2	8.988000E-5	NaN	4.050000E+2	4.050000E+2
8.802940E+2	8.979800E-5	NaN	4.050100E+2	4.050100E+2
8.965040E+2	8.975700E-5	NaN	4.050000E+2	4.050000E+2
9.129850E+2	8.979900E-5	NaN	4.050000E+2	4.050000E+2
9.296390E+2	8.978200E-5	NaN	4.050100E+2	4.050100E+2
9.456310E+2	8.978000E-5	NaN	4.050000E+2	4.050000E+2
9.627230E+2	8.976400E-5	NaN	4.050000E+2	4.050000E+2
9.798940E+2	8.975700E-5	NaN	4.049900E+2	4.049900E+2
9.963880E+2	8.983800E-5	NaN	4.050100E+2	4.050100E+2
1.012487E+3	8.986900E-5	NaN	4.050000E+2	4.050000E+2
1.029139E+3	8.984300E-5	NaN	4.050000E+2	4.050000E+2
1.045201E+3	8.983000E-5	NaN	4.050000E+2	4.050000E+2
1.062656E+3	8.983100E-5	NaN	4.050000E+2	4.050000E+2
1.078812E+3	8.985000E-5	NaN	4.050000E+2	4.050000E+2
1.094768E+3	8.991500E-5	NaN	4.050100E+2	4.050100E+2
1.110927E+3	8.978700E-5	NaN	4.050000E+2	4.050000E+2
1.127168E+3	8.978200E-5	NaN	4.050000E+2	4.050000E+2
1.143476E+3	8.980100E-5	NaN	4.050000E+2	4.050000E+2
1.159840E+3	8.983300E-5	NaN	4.050100E+2	4.050100E+2
1.175903E+3	8.979800E-5	NaN	4.050000E+2	4.050000E+2
1.192424E+3	8.980000E-5	NaN	4.049900E+2	4.049900E+2
1.209546E+3	8.976800E-5	NaN	4.050100E+2	4.050100E+2
1.226348E+3	8.971200E-5	NaN	4.050000E+2	4.050000E+2
1.242505E+3	8.976900E-5	NaN	4.050000E+2	4.050000E+2
1.258464E+3	8.972400E-5	NaN	4.050100E+2	4.050100E+2
1.275122E+3	8.972200E-5	NaN	4.050000E+2	4.050000E+2
1.291313E+3	8.973000E-5	NaN	4.050100E+2	4.050100E+2
1.307369E+3	8.975300E-5	NaN	4.050000E+2	4.050000E+2
1.323535E+3	8.974200E-5	NaN	4.050000E+2	4.050000E+2
1.339698E+3	8.973200E-5	NaN	4.050200E+2	4.050200E+2
1.355841E+3	8.971500E-5	NaN	4.050000E+2	4.050000E+2
1.372005E+3	8.975400E-5	NaN	4.050000E+2	4.050000E+2
1.388705E+3	8.969900E-5	NaN	4.050000E+2	4.050000E+2
1.404706E+3	8.973500E-5	NaN	4.050000E+2	4.050000E+2
1.420752E+3	8.970300E-5	NaN	4.050000E+2	4.050000E+2
1.437511E+3	8.966700E-5	NaN	4.050000E+2	4.050000E+2
1.453792E+3	8.966200E-5	NaN	4.050100E+2	4.050100E+2
1.469819E+3	8.973500E-5	NaN	4.049900E+2	4.049900E+2
1.485886E+3	8.974500E-5	NaN	4.050000E+2	4.050000E+2
1.502318E+3	8.974600E-5	NaN	4.050100E+2	4.050100E+2
1.518650E+3	8.975300E-5	NaN	4.050100E+2	4.050100E+2
1.535658E+3	8.970600E-5	NaN	4.049900E+2	4.049900E+2
1.551973E+3	8.969800E-5	NaN	4.050000E+2	4.050000E+2
1.568422E+3	8.974200E-5	NaN	4.050000E+2	4.050000E+2
1.585400E+3	8.972100E-5	NaN	4.050100E+2	4.050100E+2
1.601430E+3	8.973600E-5	NaN	4.050100E+2	4.050100E+2
1.617826E+3	8.977000E-5	NaN	4.050000E+2	4.050000E+2
1.634011E+3	8.977400E-5	NaN	4.050000E+2	4.050000E+2
1.650346E+3	8.976300E-5	NaN	4.050000E+2	4.050000E+2
1.666320E+3	8.975000E-5	NaN	4.050000E+2	4.050000E+2
1.682574E+3	8.977800E-5	NaN	4.050100E+2	4.050100E+2
1.699007E+3	8.978200E-5	NaN	4.050100E+2	4.050100E+2
1.715160E+3	8.985000E-5	NaN	4.049900E+2	4.049900E+2
1.731414E+3	8.981000E-5	NaN	4.050000E+2	4.050000E+2
1.747531E+3	8.982000E-5	NaN	4.050100E+2	4.050100E+2
1.763396E+3	8.980500E-5	NaN	4.050100E+2	4.050100E+2
1.780562E+3	8.977200E-5	NaN	4.050000E+2	4.050000E+2
1.796814E+3	8.978700E-5	NaN	4.050100E+2	4.050100E+2
1.813410E+3	8.974800E-5	NaN	4.050000E+2	4.050000E+2
1.829697E+3	8.975100E-5	NaN	4.050000E+2	4.050000E+2
1.846050E+3	8.979100E-5	NaN	4.050000E+2	4.050000E+2
1.862303E+3	8.978700E-5	NaN	4.050100E+2	4.050100E+2
1.878467E+3	8.970400E-5	NaN	4.050100E+2	4.050100E+2
1.895233E+3	8.969700E-5	NaN	4.050000E+2	4.050000E+2
1.911492E+3	8.979900E-5	NaN	4.050100E+2	4.050100E+2
1.927639E+3	8.977500E-5	NaN	4.049900E+2	4.049900E+2
1.944064E+3	8.985600E-5	NaN	4.050000E+2	4.050000E+2
1.960265E+3	8.985900E-5	NaN	4.050000E+2	4.050000E+2
1.976796E+3	8.984900E-5	NaN	4.050000E+2	4.050000E+2
1.993297E+3	8.980300E-5	NaN	4.050100E+2	4.050100E+2
2.009717E+3	8.981500E-5	NaN	4.050000E+2	4.050000E+2
2.025940E+3	8.978800E-5	NaN	4.050000E+2	4.050000E+2
2.042755E+3	8.982600E-5	NaN	4.050000E+2	4.050000E+2
2.059578E+3	8.984200E-5	NaN	4.050100E+2	4.050100E+2
2.076135E+3	8.981300E-5	NaN	4.050100E+2	4.050100E+2
2.092819E+3	8.991000E-5	NaN	4.049900E+2	4.049900E+2
2.109671E+3	8.983700E-5	NaN	4.050000E+2	4.050000E+2
2.126271E+3	8.981800E-5	NaN	4.050100E+2	4.050100E+2
2.143076E+3	8.982300E-5	NaN	4.050000E+2	4.050000E+2
2.159668E+3	8.978700E-5	NaN	4.050000E+2	4.050000E+2
2.176307E+3	8.980400E-5	NaN	4.050000E+2	4.050000E+2
2.193760E+3	8.979400E-5	NaN	4.050000E+2	4.050000E+2
2.210575E+3	8.981400E-5	NaN	4.050000E+2	4.050000E+2
2.227605E+3	8.981400E-5	NaN	4.050000E+2	4.050000E+2
2.244226E+3	8.979200E-5	NaN	4.050100E+2	4.050100E+2
2.260792E+3	8.980300E-5	NaN	4.050000E+2	4.050000E+2
2.277052E+3	8.980200E-5	NaN	4.050000E+2	4.050000E+2
2.293441E+3	8.980500E-5	NaN	4.050000E+2	4.050000E+2
2.299327E+3	8.980000E-5	NaN	4.049900E+2	4.049900E+2
